"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD86","CD206","Time"
96251.234375,73657.968750,85638.000000,36302.000000,100919.992188,23574.000000,2912.139893,22141.000000,0.616255
86489.992188,80084.320312,70778.000000,43124.000000,91161.039062,31002.000000,1329.789917,22894.000000,0.616255
90651.710938,75982.890625,78188.000000,35874.000000,82330.804688,28556.000000,546.700012,2003.000000,0.620350
55913.042969,82976.320312,44161.000000,37319.000000,88252.375000,27713.000000,573.649963,10784.000000,0.622397
80837.539062,74929.898438,70703.000000,56822.000000,96704.234375,38508.000000,3505.809814,20009.000000,0.624445
80840.703125,73758.179688,71829.000000,46034.000000,87412.984375,34513.000000,1888.039917,4688.000000,0.628539
95795.406250,74130.617188,84689.000000,28482.000000,83445.679688,22369.000000,2008.929932,3622.000000,0.634682
89920.960938,76203.695312,77333.000000,42731.000000,83612.070312,33493.000000,144.759995,10464.000000,0.636729
117840.351562,75744.773438,101958.000000,65496.000000,89034.343750,48210.000000,680.679993,5478.000000,0.640824
79039.500000,78204.187500,66236.000000,20783.000000,80861.710938,16844.000000,709.940002,4489.000000,0.645942
59603.921875,104170.960938,37498.000000,54216.000000,121490.109375,29246.000000,2879.800049,8797.000000,0.646966
96204.625000,75539.953125,83464.000000,36539.000000,83727.968750,28600.000000,1167.319946,3176.000000,0.646966
98766.593750,76410.906250,84710.000000,19436.000000,82894.554688,15366.000000,2541.770020,6867.000000,0.649013
66486.398438,75901.062500,57407.000000,28302.000000,82586.046875,22459.000000,1134.209961,28124.000000,0.650037
52808.339844,84926.687500,40751.000000,71675.000000,120384.757812,39019.000000,1121.119995,48742.000000,0.651060
58126.621094,78154.085938,48742.000000,32291.000000,83165.250000,25446.000000,439.669983,4027.000000,0.654131
76024.859375,84325.390625,59085.000000,84042.000000,108129.187500,50937.000000,3627.469971,33481.000000,0.661297
89878.304688,73396.195312,80253.000000,18217.000000,79670.953125,14985.000000,3207.819824,942.000000,0.661297
102776.632812,83353.789062,80807.000000,54532.000000,93793.382812,38103.000000,8879.639648,17531.000000,0.672558
128901.140625,77995.968750,108309.000000,73646.000000,95390.320312,50597.000000,1717.869995,17550.000000,0.676652
65005.152344,79192.820312,53795.000000,21816.000000,91631.960938,15603.000000,4482.939941,2450.000000,0.682794
122257.242188,75528.132812,106083.000000,33264.000000,81809.945312,26647.000000,438.899994,4858.000000,0.685866
72638.132812,80562.070312,59090.000000,30328.000000,87273.898438,22774.000000,495.109985,12412.000000,0.689960
85308.945312,80430.531250,69511.000000,56388.000000,92601.406250,39907.000000,1419.109985,3183.000000,0.689960
127316.406250,79267.046875,105262.000000,82852.000000,103028.140625,52702.000000,2883.649902,11756.000000,0.689960
72226.539062,75249.812500,62903.000000,47089.000000,92888.203125,33223.000000,980.979980,29400.000000,0.690984
129819.914062,78351.515625,108586.000000,31375.000000,89252.195312,23038.000000,5948.250000,5748.000000,0.690984
70722.382812,73754.210938,62842.000000,49444.000000,87676.875000,36958.000000,5744.199707,3105.000000,0.697126
110231.070312,74207.539062,97350.000000,22773.000000,80265.210938,18594.000000,354.199982,3476.000000,0.699173
113275.734375,75664.164062,98113.000000,67005.000000,113830.523438,38577.000000,4139.520020,7547.000000,0.700197
126219.882812,77153.601562,107214.000000,42038.000000,86925.046875,31694.000000,1167.319946,9229.000000,0.704292
103824.171875,92605.937500,73475.000000,55775.000000,115355.523438,31687.000000,4437.509766,15153.000000,0.710434
78935.218750,81797.179688,63243.000000,50022.000000,90272.390625,36315.000000,561.329956,5630.000000,0.710434
157259.781250,79998.273438,128830.000000,82008.000000,102546.773438,52410.000000,1852.619995,3818.000000,0.710434
138044.609375,77755.171875,116351.000000,88804.000000,99120.484375,58715.000000,2364.669922,13941.000000,0.711457
80470.984375,73418.804688,71831.000000,28254.000000,83667.898438,22131.000000,1640.869995,9117.000000,0.711457
85134.351562,80349.156250,69439.000000,57078.000000,94741.132812,39483.000000,2349.270020,11835.000000,0.716576
62519.023438,80163.695312,51111.000000,38696.000000,117108.335938,21655.000000,3475.780029,29428.000000,0.718623
106593.125000,73439.242188,95122.000000,23501.000000,81086.742188,18994.000000,405.789978,3260.000000,0.718623
126317.054688,83545.078125,99088.000000,105503.000000,110656.250000,62484.000000,2789.709961,41721.000000,0.718623
42109.371094,129077.632812,21380.000000,43178.000000,138602.750000,20416.000000,1103.409912,5554.000000,0.723742
60545.601562,76000.625000,52209.000000,38344.000000,94894.921875,26481.000000,1873.409912,3048.000000,0.725789
97881.000000,77420.218750,82856.000000,22517.000000,81063.179688,18204.000000,1282.819946,5681.000000,0.727836
105834.726562,71115.687500,97531.000000,64381.000000,93216.828125,45263.000000,2233.000000,12072.000000,0.729884
133859.187500,75278.640625,116535.000000,62571.000000,93224.203125,43987.000000,3843.069824,12403.000000,0.730907
108523.882812,74504.726562,95460.000000,41254.000000,84816.851562,31876.000000,1195.809937,3931.000000,0.730907
72023.515625,75510.046875,62510.000000,29108.000000,85535.906250,22302.000000,2311.540039,19380.000000,0.730907
100072.460938,74254.992188,88322.000000,42223.000000,88672.898438,31206.000000,8488.479492,5787.000000,0.745239
42748.480469,82171.773438,34094.000000,21078.000000,101705.773438,13582.000000,150.149994,2471.000000,0.746263
118492.101562,74528.515625,104195.000000,30631.000000,81872.554688,24519.000000,409.639984,5658.000000,0.746263
115833.750000,73101.335938,103846.000000,77470.000000,89805.679688,56534.000000,4232.689941,3398.000000,0.747286
89364.015625,77827.007812,75251.000000,25282.000000,82239.601562,20147.000000,268.729980,4042.000000,0.751381
79926.671875,82222.632812,63706.000000,31863.000000,93447.312500,22346.000000,4723.179688,25504.000000,0.757523
92471.085938,73493.312500,82459.000000,51829.000000,86651.835938,39199.000000,1354.429932,7183.000000,0.762641
33006.199219,85840.492188,25199.000000,58523.000000,110532.382812,34699.000000,468.929993,11637.000000,0.765713
114025.445312,76102.125000,98194.000000,42865.000000,84517.742188,33238.000000,582.119995,5700.000000,0.770831
54120.531250,98304.960938,36080.000000,40939.000000,100155.976562,26788.000000,3938.549805,10062.000000,0.770831
68462.984375,82631.179688,54299.000000,33609.000000,89817.703125,24523.000000,960.959961,18966.000000,0.777997
141330.218750,84410.703125,109728.000000,54541.000000,97257.265625,36752.000000,2446.290039,61237.000000,0.780044
85289.195312,77405.289062,72211.000000,41246.000000,88675.585938,30483.000000,4919.529785,3078.000000,0.780044
83347.375000,71437.500000,76462.000000,33591.000000,83191.742188,26462.000000,4794.790039,4492.000000,0.789257
101776.492188,74335.203125,89729.000000,41826.000000,82047.015625,33409.000000,780.779968,2099.000000,0.790281
101025.992188,75252.203125,87982.000000,36070.000000,85853.250000,27534.000000,3131.589844,3598.000000,0.800518
76351.132812,75890.257812,65934.000000,24451.000000,89351.000000,17934.000000,1146.530029,17462.000000,0.806660
92354.164062,74764.039062,80955.000000,23817.000000,84339.484375,18507.000000,2810.500000,8648.000000,0.810754
103418.906250,79465.140625,85291.000000,68386.000000,88819.539062,50459.000000,4529.909668,4531.000000,0.811778
36550.140625,82390.875000,29073.000000,29773.000000,96398.570312,20241.000000,2363.129883,7415.000000,0.813825
86200.851562,74902.015625,75422.000000,32717.000000,81470.531250,26318.000000,2767.379883,3271.000000,0.814849
68481.148438,81946.804688,54767.000000,51804.000000,95069.507812,35711.000000,1292.829956,2833.000000,0.814849
95615.281250,76160.328125,82277.000000,21543.000000,81378.867188,17349.000000,1311.309937,2988.000000,0.814849
81725.500000,72653.750000,73719.000000,26609.000000,84134.093750,20727.000000,8833.439453,5627.000000,0.819968
38713.949219,75858.320312,33446.000000,29833.000000,87399.890625,22370.000000,1317.469971,11254.000000,0.819968
101544.234375,74746.187500,89032.000000,35331.000000,80286.148438,28840.000000,1283.589966,3138.000000,0.820991
113592.523438,75951.640625,98015.000000,26045.000000,82653.875000,20651.000000,919.380005,2200.000000,0.822015
80598.960938,77780.234375,67911.000000,44504.000000,89032.453125,32759.000000,1449.140015,3678.000000,0.826110
61103.339844,78270.375000,51162.000000,25151.000000,91257.671875,18062.000000,984.829956,15602.000000,0.832252
109712.835938,75139.937500,95690.000000,30360.000000,84315.320312,23598.000000,1691.689941,6289.000000,0.857844
95951.820312,72450.015625,86795.000000,23164.000000,89430.101562,16975.000000,3295.599854,5921.000000,0.861938
80038.851562,72783.390625,72069.000000,43294.000000,88841.015625,31937.000000,569.799988,2811.000000,0.862962
97459.929688,73714.429688,86647.000000,38741.000000,83235.429688,30503.000000,237.159988,2601.000000,0.865009
