"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD86","CD206","Time"
71329.101562,77890.929688,60015.000000,45306.000000,94490.468750,31423.000000,6586.580078,5060.000000,0.627817
65848.875000,81102.648438,53210.000000,39386.000000,98511.601562,26202.000000,9141.439453,11806.000000,0.627817
44754.292969,88338.570312,33202.000000,50006.000000,121332.585938,27010.000000,7555.239746,9225.000000,0.635069
53016.113281,83322.484375,41699.000000,53625.000000,115228.960938,30499.000000,11054.889648,8158.000000,0.638177
40165.972656,111491.617188,23610.000000,31050.000000,105664.812500,19258.000000,1792.559937,6868.000000,0.639213
31332.980469,100906.054688,20350.000000,30359.000000,108543.773438,18330.000000,2312.310059,10357.000000,0.640249
55016.390625,88495.062500,40743.000000,37451.000000,95564.726562,25683.000000,3264.030029,8351.000000,0.644393
39059.972656,91120.007812,28093.000000,25282.000000,113105.406250,14649.000000,3669.049805,2564.000000,0.645429
58024.710938,79242.882812,47988.000000,51436.000000,108978.070312,30932.000000,4663.889648,1380.000000,0.647501
73810.492188,81470.750000,59374.000000,37948.000000,91614.234375,27146.000000,6441.819824,6017.000000,0.665113
77195.640625,77128.554688,65593.000000,40200.000000,90780.726562,29021.000000,4488.330078,9660.000000,0.666149
40342.929688,101055.476562,26163.000000,33483.000000,101126.414062,21699.000000,3398.010010,10748.000000,0.668221
85005.585938,95584.062500,58283.000000,74177.000000,116156.460938,41851.000000,9389.379883,19205.000000,0.670293
93248.445312,84171.875000,72603.000000,64578.000000,110874.335938,38171.000000,2757.369873,16240.000000,0.671329
46677.152344,74921.234375,40830.000000,25753.000000,96719.117188,17450.000000,10215.589844,5382.000000,0.678581
41357.292969,94218.789062,28767.000000,33772.000000,104661.734375,21147.000000,3863.089844,1758.000000,0.679617
38909.871094,78650.210938,32422.000000,32632.000000,102648.109375,20834.000000,13431.879883,2413.000000,0.679617
48881.250000,83757.726562,38247.000000,21133.000000,94273.523438,14691.000000,7140.209961,3031.000000,0.684797
95348.265625,88625.867188,70507.000000,98099.000000,130854.578125,49131.000000,2700.389893,17925.000000,0.685833
41034.179688,89943.343750,29899.000000,33364.000000,112690.984375,19403.000000,4518.359863,7723.000000,0.693085
36625.980469,85539.375000,28061.000000,27718.000000,111986.117188,16221.000000,1466.849976,1922.000000,0.697229
34974.882812,78384.304688,29242.000000,28533.000000,99730.070312,18750.000000,463.539978,3598.000000,0.697229
53369.242188,86518.742188,40426.000000,96455.000000,118861.179688,53182.000000,7170.239746,20805.000000,0.698265
50687.191406,81782.367188,40618.000000,17168.000000,85979.070312,13086.000000,4374.370117,1138.000000,0.698265
46463.851562,98424.429688,30938.000000,58428.000000,119503.695312,32042.000000,6912.290039,11942.000000,0.699301
31885.191406,80373.398438,25999.000000,26741.000000,102563.257812,17087.000000,5353.040039,7341.000000,0.700337
36049.281250,83816.140625,28187.000000,26789.000000,106667.718750,16459.000000,1514.589966,4053.000000,0.701373
38886.960938,144579.109375,17627.000000,40895.000000,165570.812500,16187.000000,3363.359863,4801.000000,0.702409
59898.589844,86057.531250,45615.000000,27594.000000,95304.375000,18975.000000,9300.059570,2759.000000,0.704481
50336.429688,79112.867188,41698.000000,58955.000000,83517.250000,46262.000000,2725.800049,1847.000000,0.709661
67834.140625,95329.125000,46634.000000,44768.000000,104432.117188,28094.000000,8050.349609,8707.000000,0.710697
108787.742188,81787.679688,87171.000000,51636.000000,100323.648438,33731.000000,2669.589844,9110.000000,0.714841
36163.832031,101591.718750,23329.000000,62420.000000,137140.265625,29829.000000,5761.909668,8680.000000,0.716913
86027.054688,88781.140625,63503.000000,72191.000000,98731.390625,47919.000000,15112.019531,19264.000000,0.721057
94889.273438,73683.468750,84397.000000,62143.000000,105933.242188,38445.000000,5778.080078,9441.000000,0.721057
28326.240234,107591.773438,17254.000000,38587.000000,102556.484375,24658.000000,3613.609863,9211.000000,0.725201
43467.382812,89015.632812,32002.000000,34781.000000,98924.031250,23042.000000,4549.929688,13341.000000,0.737633
29620.261719,83363.117188,23286.000000,30848.000000,115562.734375,17494.000000,6183.869629,12961.000000,0.738669
90222.742188,79640.617188,74244.000000,57525.000000,109172.898438,34532.000000,4147.219727,5365.000000,0.765605
87196.250000,80550.484375,70943.000000,66910.000000,102389.007812,42827.000000,4984.979980,10437.000000,0.768713
25338.460938,88772.664062,18706.000000,51903.000000,117561.171875,28934.000000,4894.889648,7114.000000,0.774929
59668.703125,81794.843750,47808.000000,32725.000000,92939.226562,23076.000000,17040.869141,5653.000000,0.777001
53429.281250,83073.343750,42150.000000,50917.000000,130971.679688,25478.000000,4036.339844,12502.000000,0.779073
27221.031250,102532.187500,17399.000000,35644.000000,132793.203125,17591.000000,9334.709961,7712.000000,0.780109
74292.390625,77210.648438,63059.000000,62354.000000,109747.062500,37235.000000,7696.919922,6766.000000,0.782181
39536.339844,81474.546875,31802.000000,23341.000000,95046.343750,16094.000000,5544.000000,4772.000000,0.784253
55506.980469,81786.625000,44478.000000,29991.000000,100639.539062,19530.000000,13119.259766,1586.000000,0.785289
62037.121094,85057.531250,47799.000000,48400.000000,117640.562500,26963.000000,7878.639648,9542.000000,0.789433
56617.722656,80524.726562,46079.000000,38371.000000,96130.664062,26159.000000,13830.739258,11327.000000,0.792541
35696.152344,80546.179688,29044.000000,20303.000000,100801.320312,13200.000000,800.799988,1024.000000,0.800829
50216.351562,90148.984375,36506.000000,62196.000000,113901.445312,35786.000000,3138.520020,9257.000000,0.801865
93548.640625,85113.406250,72031.000000,60406.000000,99329.265625,39855.000000,16513.419922,3904.000000,0.804973
84051.265625,83747.140625,65774.000000,70020.000000,114829.867188,39962.000000,6559.629883,9413.000000,0.819477
61473.851562,79703.054688,50547.000000,31592.000000,92334.359375,22423.000000,2092.089844,4658.000000,0.836053
43109.511719,81012.367188,34874.000000,17123.000000,89473.203125,12542.000000,2536.379883,1787.000000,0.837089
55096.179688,86749.703125,41623.000000,39192.000000,100132.039062,25651.000000,11687.830078,7775.000000,0.837089
59746.910156,86570.273438,45230.000000,48635.000000,100629.648438,31674.000000,5371.520020,4064.000000,0.838125
48304.550781,87029.203125,36375.000000,36018.000000,115218.210938,20487.000000,7928.689941,14555.000000,0.839161
48184.472656,86246.179688,36614.000000,38695.000000,117392.625000,21602.000000,8008.000000,11298.000000,0.843305
60111.101562,93135.398438,42298.000000,51126.000000,117937.132812,28410.000000,4247.319824,8937.000000,0.850557
54995.062500,109074.726562,33043.000000,71428.000000,200467.031250,23351.000000,5045.810059,18608.000000,0.851593
79407.640625,82070.007812,63410.000000,51732.000000,112046.679688,30258.000000,2051.280029,20451.000000,0.852629
26446.041016,87920.046875,19713.000000,42124.000000,126096.867188,21893.000000,4638.479980,11440.000000,0.853665
35042.820312,84744.140625,27100.000000,23157.000000,86899.742188,17464.000000,9591.889648,2779.000000,0.867133
46679.519531,83320.328125,36716.000000,30163.000000,105191.703125,18792.000000,1722.489990,4853.000000,0.871277
69535.015625,76646.992188,59455.000000,50490.000000,105034.851562,31503.000000,11171.160156,11601.000000,0.878529
70632.320312,78785.437500,58754.000000,33911.000000,89188.187500,24918.000000,6049.119629,6299.000000,0.879565
70896.968750,80616.007812,57635.000000,29203.000000,91087.898438,21011.000000,1086.469971,1891.000000,0.881637
47275.179688,87014.164062,35606.000000,56879.000000,119089.554688,31301.000000,5371.520020,6156.000000,0.885781
36500.371094,85793.281250,27882.000000,31643.000000,100736.210938,20586.000000,7678.439941,4485.000000,0.887853
53420.589844,82542.843750,42414.000000,24316.000000,93816.875000,16986.000000,2357.739990,1866.000000,0.913753
30095.839844,78530.062500,25116.000000,29289.000000,104798.203125,18316.000000,1325.169922,3158.000000,0.919969
39496.839844,89544.570312,28907.000000,20041.000000,94063.382812,13963.000000,7918.679688,4104.000000,0.921005
49943.800781,93150.343750,35138.000000,39166.000000,103158.226562,24882.000000,5796.560059,6853.000000,0.923077
48908.113281,81893.812500,39139.000000,42183.000000,100152.343750,27603.000000,16193.099609,5825.000000,0.923077
31073.070312,92220.125000,22082.000000,68596.000000,115750.234375,38838.000000,2756.599854,12778.000000,0.925149
52893.660156,87037.414062,39827.000000,41123.000000,103436.453125,26055.000000,5471.619629,3668.000000,0.926185
51459.019531,78373.656250,43030.000000,33880.000000,94523.617188,23490.000000,4670.049805,1421.000000,0.929293
74523.859375,78893.742188,61906.000000,31152.000000,89284.414062,22866.000000,3276.349854,2926.000000,0.935509
77610.390625,87078.843750,58410.000000,54778.000000,93893.679688,38234.000000,5296.830078,9935.000000,0.936545
54623.761719,84055.101562,42589.000000,34622.000000,97628.648438,23241.000000,1640.869995,6272.000000,0.937581
36417.421875,80404.687500,29683.000000,24377.000000,126001.343750,12679.000000,2942.169922,1912.000000,0.944833
41498.699219,81597.921875,33330.000000,38847.000000,110777.000000,22982.000000,10994.830078,10348.000000,0.946905
23744.240234,93684.687500,16610.000000,40275.000000,113740.515625,23206.000000,2138.290039,2041.000000,0.957265
27984.960938,133431.968750,13745.000000,49823.000000,151271.718750,21585.000000,2902.129883,3171.000000,0.961409
46711.121094,84672.789062,36154.000000,27122.000000,91744.992188,19374.000000,9772.069336,3928.000000,0.968661
32435.820312,97286.679688,21850.000000,42868.000000,114193.859375,24602.000000,4319.699707,4433.000000,0.970733
38943.839844,78195.523438,32639.000000,25028.000000,90326.281250,18159.000000,6668.969727,2857.000000,0.975913
31988.681641,99795.796875,21007.000000,43486.000000,130999.710938,21755.000000,4049.429932,5874.000000,0.976949
62346.011719,80768.328125,50588.000000,33481.000000,92131.804688,23816.000000,9126.809570,7243.000000,0.982129
21968.320312,100161.109375,14374.000000,40653.000000,123150.359375,21634.000000,6549.619629,11329.000000,0.984201
54495.781250,84997.750000,42018.000000,30709.000000,97027.539062,20742.000000,2496.339844,1859.000000,0.989381
103086.312500,83726.164062,80690.000000,71978.000000,115883.414062,40706.000000,4045.579834,8251.000000,1.006993
52921.312500,80315.203125,43183.000000,35332.000000,106730.492188,21695.000000,20809.250000,6994.000000,1.016317
42590.480469,92706.585938,30108.000000,33673.000000,110538.648438,19964.000000,3943.169922,2560.000000,1.016317
61229.742188,77583.085938,51722.000000,24829.000000,88137.437500,18462.000000,7539.069824,3661.000000,1.019425
86142.390625,77444.960938,72896.000000,59731.000000,101381.195312,38612.000000,23509.638672,16047.000000,1.019425
45347.582031,76298.406250,38951.000000,49685.000000,105149.226562,30967.000000,18811.869141,24210.000000,1.020461
54981.632812,96377.789062,37387.000000,60271.000000,112677.796875,35055.000000,2505.579834,18260.000000,1.022533
35018.332031,108570.414062,21138.000000,77889.000000,92309.554688,55298.000000,1629.319946,4016.000000,1.024605
31821.201172,83920.906250,24850.000000,40076.000000,110735.343750,23718.000000,3332.559814,10193.000000,1.028749
43195.621094,92009.890625,30767.000000,40504.000000,104297.281250,25451.000000,5015.009766,5727.000000,1.030821
39814.421875,81583.281250,31983.000000,18999.000000,87938.304688,14159.000000,4692.379883,4190.000000,1.037037
72603.375000,78572.828125,60557.000000,54339.000000,99593.382812,35757.000000,24511.410156,2598.000000,1.038073
36423.742188,95658.664062,24954.000000,30674.000000,117986.335938,17038.000000,5162.080078,3268.000000,1.041181
59411.953125,76468.468750,50918.000000,28616.000000,88653.601562,21154.000000,3736.039795,7933.000000,1.043253
50819.121094,74630.976562,44626.000000,44620.000000,113350.515625,25798.000000,18087.298828,6520.000000,1.044289
59652.902344,79086.671875,49432.000000,30034.000000,92391.484375,21304.000000,868.559998,3051.000000,1.046361
30219.080078,80613.734375,24567.000000,38036.000000,105165.054688,23703.000000,1450.679932,1785.000000,1.053613
76736.648438,76643.093750,65616.000000,43776.000000,98682.710938,29072.000000,2336.179932,2871.000000,1.058793
47311.519531,87442.054688,35459.000000,23569.000000,94166.804688,16403.000000,4794.790039,1812.000000,1.070189
23051.410156,92920.242188,16258.000000,50752.000000,137634.828125,24166.000000,1112.650024,10094.000000,1.075369
48705.082031,78996.593750,40406.000000,25629.000000,98074.398438,17126.000000,15482.389648,1721.000000,1.078477
35925.250000,88541.125000,26591.000000,31373.000000,118225.578125,17391.000000,2793.559814,2984.000000,1.080549
43907.410156,77163.820312,37291.000000,28302.000000,101605.031250,18255.000000,1804.880005,4543.000000,1.086765
48018.570312,82082.085938,38339.000000,42884.000000,102455.101562,27431.000000,3843.069824,9409.000000,1.087801
38439.031250,90802.742188,27743.000000,49191.000000,112834.039062,28571.000000,6589.659668,8704.000000,1.087801
68733.953125,82211.796875,54792.000000,53250.000000,104874.140625,33276.000000,2696.540039,7058.000000,1.106449
62914.023438,86276.070312,47790.000000,67446.000000,130951.617188,33754.000000,7830.129883,22052.000000,1.107485
69802.820312,76458.656250,59831.000000,36571.000000,90995.000000,26339.000000,1426.039917,5263.000000,1.112665
37731.980469,89766.695312,27547.000000,35014.000000,123989.710938,18507.000000,1600.829956,11077.000000,1.113701
30138.500000,93172.171875,21199.000000,33539.000000,110281.062500,19931.000000,14365.889648,16949.000000,1.116809
39514.222656,99150.171875,26118.000000,48437.000000,116764.781250,27186.000000,3318.699951,3932.000000,1.120953
120545.312500,89701.015625,88071.000000,126402.000000,132231.109375,62647.000000,15967.489258,48095.000000,1.120953
113706.281250,84324.671875,88371.000000,46028.000000,94197.640625,32023.000000,4085.619873,5939.000000,1.121989
36380.289062,91686.609375,26004.000000,38279.000000,119391.429688,21012.000000,3278.659912,4653.000000,1.123025
49011.601562,85473.921875,37579.000000,22828.000000,92036.656250,16255.000000,5313.000000,2167.000000,1.124061
57250.511719,84423.960938,44442.000000,36916.000000,100880.953125,23982.000000,12692.679688,8621.000000,1.125097
31844.111328,94163.054688,22163.000000,31422.000000,110743.328125,18595.000000,1475.319946,6189.000000,1.125097
39349.902344,80160.257812,32171.000000,24219.000000,100948.703125,15723.000000,2212.209961,2252.000000,1.125097
33789.089844,90181.304688,24555.000000,23517.000000,105540.656250,14603.000000,3323.319824,1423.000000,1.125097
40694.480469,87004.648438,30653.000000,19650.000000,88174.078125,14605.000000,5888.959961,8563.000000,1.126133
74055.390625,77371.703125,62727.000000,66573.000000,108966.960938,40039.000000,2569.489990,34550.000000,1.127169
73996.929688,80691.242188,60099.000000,38161.000000,93196.171875,26835.000000,6391.770020,23802.000000,1.133385
37340.140625,81617.023438,29983.000000,33702.000000,104425.054688,21151.000000,9683.519531,10021.000000,1.133385
39697.500000,91300.773438,28495.000000,32036.000000,106948.773438,19631.000000,5142.060059,6408.000000,1.136493
28948.761719,95383.906250,19890.000000,31785.000000,122807.562500,16962.000000,3321.010010,6186.000000,1.137529
40130.421875,79776.375000,32967.000000,19788.000000,86299.757812,15027.000000,4301.219727,3244.000000,1.152033
53435.601562,81013.156250,43227.000000,54779.000000,116744.062500,30751.000000,12913.669922,10332.000000,1.159285
39928.972656,92020.437500,28437.000000,40158.000000,112657.625000,23361.000000,3538.149902,1695.000000,1.165501
38552.000000,81746.656250,30907.000000,35286.000000,111893.515625,20667.000000,8157.379883,10527.000000,1.169645
102583.875000,87077.898438,77206.000000,53945.000000,109799.976562,32198.000000,6376.369629,4063.000000,1.171717
51483.511719,87502.882812,38559.000000,44853.000000,135691.562500,21663.000000,6320.929688,2530.000000,1.172753
49178.292969,76636.515625,42055.000000,37175.000000,97331.335938,25031.000000,3528.139893,8037.000000,1.177933
72269.992188,80065.695312,59155.000000,40151.000000,93912.554688,28019.000000,1958.880005,7699.000000,1.183113
93030.406250,79140.695312,77038.000000,41974.000000,89086.343750,30878.000000,4549.929688,7387.000000,1.196581
37852.062500,83857.515625,29582.000000,30423.000000,104661.500000,19050.000000,5510.889648,3413.000000,1.197617
38679.191406,82112.007812,30871.000000,25253.000000,89695.984375,18451.000000,5968.270020,5805.000000,1.202797
44904.390625,78757.539062,37366.000000,21462.000000,91918.281250,15302.000000,5325.319824,2958.000000,1.204869
56747.281250,78396.859375,47438.000000,37069.000000,106039.023438,22910.000000,9313.919922,4670.000000,1.205905
39428.109375,80184.960938,32225.000000,24919.000000,96994.218750,16837.000000,6325.549805,6320.000000,1.209013
41949.792969,84458.906250,32551.000000,52692.000000,141973.562500,24323.000000,6173.089844,15179.000000,1.210049
61547.320312,88434.046875,45611.000000,49472.000000,109537.382812,29599.000000,17535.208984,8528.000000,1.210049
35057.039062,90842.523438,25291.000000,35600.000000,147635.359375,15803.000000,3497.339844,6220.000000,1.229733
74693.710938,80571.593750,60755.000000,35107.000000,89695.234375,25651.000000,18832.660156,5405.000000,1.244237
47757.082031,73027.398438,42858.000000,33577.000000,97617.875000,22542.000000,4964.189941,4904.000000,1.250453
25791.919922,115948.640625,14578.000000,39536.000000,126305.515625,20514.000000,2439.359863,6857.000000,1.251489
29392.740234,104535.882812,18427.000000,59948.000000,146164.375000,26879.000000,947.869995,18101.000000,1.253561
75459.218750,79502.523438,62203.000000,58857.000000,110097.109375,35035.000000,7023.169922,8752.000000,1.267029
46921.261719,84157.523438,36539.000000,27780.000000,89812.554688,20271.000000,10043.109375,12010.000000,1.270137
71800.734375,88093.843750,53415.000000,45205.000000,96465.601562,30711.000000,8544.689453,7240.000000,1.270137
60344.152344,80336.289062,49227.000000,62849.000000,121604.687500,33871.000000,4803.259766,9849.000000,1.272209
71683.812500,80367.296875,58455.000000,34017.000000,86211.304688,25859.000000,5512.429688,3384.000000,1.277389
66178.304688,81865.320312,52978.000000,63685.000000,112285.718750,37170.000000,4425.189941,6622.000000,1.278425
60344.152344,84592.812500,46750.000000,49441.000000,123869.007812,26158.000000,7091.699707,8823.000000,1.279461
34865.070312,86461.468750,26427.000000,30529.000000,102839.812500,19455.000000,6226.219727,13850.000000,1.282569
31915.210938,90361.398438,23147.000000,31298.000000,109109.304688,18799.000000,2624.159912,10689.000000,1.285677
94774.718750,84729.164062,73306.000000,80096.000000,123075.539062,42650.000000,3836.909912,7708.000000,1.289821
48648.992188,85802.796875,37158.000000,33164.000000,101344.585938,21446.000000,4520.669922,15104.000000,1.291893
32792.109375,82940.195312,25911.000000,34900.000000,108341.921875,21111.000000,3650.569824,5737.000000,1.305361
45801.042969,93654.195312,32050.000000,44720.000000,112229.835938,26114.000000,11343.639648,14440.000000,1.311577
71668.015625,85027.515625,55239.000000,56828.000000,112819.367188,33011.000000,6186.949707,5341.000000,1.311577
42089.621094,85616.281250,32218.000000,47623.000000,117322.789062,26602.000000,9436.349609,24194.000000,1.312613
49219.371094,78195.453125,41251.000000,25461.000000,91848.523438,18167.000000,7014.699707,4864.000000,1.314685
27308.720703,106359.085938,16827.000000,35576.000000,120535.007812,19343.000000,9467.919922,6709.000000,1.317793
38690.250000,97123.531250,26107.000000,31091.000000,108226.468750,18827.000000,1226.609985,7674.000000,1.318829
45852.390625,105087.679688,28595.000000,38695.000000,136581.875000,18567.000000,4715.479980,8593.000000,1.318829
74586.273438,90959.765625,53739.000000,42567.000000,99977.453125,27903.000000,7837.059570,9515.000000,1.321937
44889.382812,88680.007812,33174.000000,39914.000000,109201.125000,23954.000000,7998.759766,16837.000000,1.322973
36095.101562,86270.195312,27420.000000,24972.000000,98778.664062,16568.000000,5150.529785,4321.000000,1.325045
32319.691406,176995.343750,11967.000000,61399.000000,155920.687500,25807.000000,19800.548828,13999.000000,1.327117
62600.390625,76972.914062,53299.000000,52731.000000,110808.312500,31187.000000,3766.069824,7563.000000,1.336441
37632.441406,77590.125000,31786.000000,30192.000000,112436.812500,17598.000000,3678.289795,4795.000000,1.339549
