"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD86","CD206","Time"
81321.023438,74344.429688,71686.000000,50404.000000,88403.273438,37366.000000,3608.989990,18229.000000,0.565531
37389.121094,128491.531250,19070.000000,20052.000000,138300.140625,9502.000000,167.089996,4078.000000,0.568756
76908.085938,76909.257812,65535.000000,52778.000000,97821.179688,35359.000000,1500.729980,14357.000000,0.570906
52211.890625,74846.523438,45717.000000,17813.000000,112715.343750,10357.000000,554.399963,44892.000000,0.573057
111592.242188,77312.617188,94594.000000,41764.000000,90254.093750,30326.000000,950.949951,20192.000000,0.574132
42942.031250,92041.117188,30576.000000,39630.000000,110556.429688,23492.000000,1000.229980,6274.000000,0.578432
89793.773438,83867.406250,70167.000000,16149.000000,89093.437500,11879.000000,825.440002,14836.000000,0.580583
77762.070312,73906.390625,68955.000000,45566.000000,87023.562500,34315.000000,607.529968,12760.000000,0.581658
84299.320312,75028.382812,73634.000000,46316.000000,92796.257812,32710.000000,386.539978,7284.000000,0.583808
84381.484375,75190.351562,73547.000000,33807.000000,85375.351562,25951.000000,66.220001,11395.000000,0.585959
114369.882812,75002.953125,99934.000000,68516.000000,92877.695312,48346.000000,1364.439941,41055.000000,0.585959
82558.164062,74951.609375,72187.000000,13273.000000,78798.742188,11039.000000,430.429993,8334.000000,0.587034
128985.671875,74986.296875,112730.000000,64508.000000,93568.156250,45182.000000,1849.539917,22846.000000,0.587034
77157.718750,81612.171875,61959.000000,58784.000000,92414.148438,41687.000000,443.519989,32180.000000,0.593485
102162.015625,75358.375000,88846.000000,22397.000000,84893.562500,17290.000000,254.869995,18063.000000,0.594560
126544.570312,81771.101562,101420.000000,63298.000000,91075.296875,45548.000000,680.679993,10943.000000,0.597785
99883.656250,84187.187500,77755.000000,28312.000000,82074.375000,22607.000000,1724.029907,4353.000000,0.598860
92612.492188,83904.062500,72338.000000,20788.000000,96607.742188,14102.000000,99.329994,1593.000000,0.601011
74015.890625,74462.421875,65143.000000,35263.000000,80402.046875,28743.000000,206.360001,14685.000000,0.601011
81896.140625,72432.101562,74099.000000,33093.000000,86865.976562,24967.000000,468.159973,15739.000000,0.602086
92514.531250,75583.835938,80216.000000,55543.000000,85576.125000,42536.000000,686.070007,26525.000000,0.604236
115398.460938,76908.835938,98334.000000,56185.000000,86261.078125,42686.000000,1779.469971,15972.000000,0.605311
101123.164062,77280.710938,85755.000000,15742.000000,83018.242188,12427.000000,923.229980,17401.000000,0.610687
55585.980469,79438.328125,45858.000000,42451.000000,106519.218750,26118.000000,2828.979980,8995.000000,0.611762
76942.054688,75167.695312,67083.000000,38080.000000,82715.546875,30171.000000,779.239990,13096.000000,0.611762
91529.406250,75696.218750,79244.000000,32571.000000,85273.773438,25032.000000,207.129990,38795.000000,0.612837
83319.718750,74786.226562,73014.000000,45205.000000,89088.679688,33254.000000,455.069977,18319.000000,0.612837
89446.171875,75114.609375,78040.000000,54834.000000,90464.234375,39724.000000,1059.520020,3155.000000,0.613912
90364.156250,74610.140625,79374.000000,33537.000000,79043.398438,27806.000000,603.679993,4558.000000,0.614988
86239.562500,74744.375000,75615.000000,24235.000000,85358.460938,18607.000000,575.959961,19816.000000,0.614988
69131.320312,82230.843750,55096.000000,40535.000000,93499.289062,28412.000000,318.009979,2847.000000,0.614988
77984.851562,76429.125000,66870.000000,34487.000000,86429.828125,26150.000000,1561.559937,10071.000000,0.614988
67792.273438,75875.843750,58554.000000,19135.000000,85975.000000,14586.000000,441.209991,10458.000000,0.616063
82533.671875,72610.835938,74492.000000,42428.000000,83691.359375,33224.000000,167.860001,9957.000000,0.616063
96474.804688,75862.078125,83343.000000,17794.000000,83397.523438,13983.000000,1191.189941,9268.000000,0.617138
110487.031250,74878.273438,96702.000000,45580.000000,85812.437500,34810.000000,1161.159912,26719.000000,0.618213
99611.101562,74608.710938,87498.000000,44938.000000,86624.421875,33998.000000,967.889954,16352.000000,0.618213
122968.242188,72807.523438,110687.000000,54147.000000,91159.804688,38927.000000,274.889984,23429.000000,0.624664
86207.171875,76875.710938,73491.000000,40334.000000,85019.101562,31091.000000,1680.909912,20064.000000,0.625739
115652.054688,78563.078125,96475.000000,43953.000000,81872.039062,35183.000000,1896.510010,8489.000000,0.625739
135814.437500,76866.320312,115795.000000,19401.000000,84253.132812,15091.000000,1714.019897,13356.000000,0.626814
97182.640625,78962.554688,80658.000000,54956.000000,103440.656250,34818.000000,289.519989,5094.000000,0.626814
97372.242188,77248.085938,82609.000000,50771.000000,86493.757812,38469.000000,401.940002,12269.000000,0.626814
101994.531250,73962.789062,90374.000000,65519.000000,84176.695312,51010.000000,64.680000,6794.000000,0.632190
100929.609375,75326.820312,87811.000000,39638.000000,84322.265625,30807.000000,656.809998,18137.000000,0.633265
102618.632812,77077.171875,87253.000000,55497.000000,85358.765625,42609.000000,398.859985,9590.000000,0.638641
46872.281250,109680.507812,28007.000000,14519.000000,113831.468750,8359.000000,418.880005,18896.000000,0.639716
95127.851562,75048.742188,83070.000000,37938.000000,83026.281250,29946.000000,124.739998,7616.000000,0.640791
102630.484375,73706.273438,91254.000000,63735.000000,88340.953125,47282.000000,2778.159912,18570.000000,0.642942
83677.593750,77372.000000,70877.000000,17067.000000,88650.460938,12617.000000,1412.949951,15641.000000,0.642942
84564.765625,75354.695312,73546.000000,18304.000000,85112.171875,14094.000000,315.699982,9164.000000,0.644017
96068.742188,81839.062500,76931.000000,16178.000000,126899.039062,8355.000000,283.359985,21672.000000,0.644017
84072.593750,83950.906250,65631.000000,55626.000000,99421.976562,36667.000000,103.180000,12465.000000,0.646167
80154.984375,74937.406250,70099.000000,13175.000000,84032.781250,10275.000000,492.799988,11236.000000,0.646167
96686.523438,73670.195312,86011.000000,47072.000000,84799.210938,36379.000000,931.699951,14741.000000,0.647242
134939.109375,84978.460938,104066.000000,107035.000000,107077.484375,65510.000000,1425.270020,37918.000000,0.648317
102069.585938,88260.093750,75790.000000,75578.000000,111400.296875,44462.000000,124.739998,49450.000000,0.650468
77402.625000,80679.750000,62874.000000,14666.000000,89276.523438,10766.000000,569.029968,6895.000000,0.651543
71190.851562,77761.992188,59998.000000,41489.000000,92164.023438,29502.000000,1043.349976,11314.000000,0.660144
89668.953125,75391.546875,77947.000000,43953.000000,85365.968750,33743.000000,793.099976,19014.000000,0.661219
46861.222656,98844.453125,31070.000000,38581.000000,127274.960938,19866.000000,2673.439941,28879.000000,0.664445
88549.523438,78049.054688,74353.000000,29229.000000,84710.203125,22613.000000,234.849991,14593.000000,0.669820
86783.875000,76976.265625,73886.000000,37832.000000,83587.015625,29662.000000,235.619995,7852.000000,0.671971
92234.875000,74590.078125,81039.000000,13859.000000,84733.968750,10719.000000,1327.479980,13056.000000,0.671971
81817.140625,74857.500000,71629.000000,34085.000000,86887.648438,25709.000000,689.149963,13588.000000,0.675196
51972.519531,76558.125000,44490.000000,19270.000000,102523.031250,12318.000000,247.169998,24512.000000,0.676271
104702.656250,75684.601562,90663.000000,65913.000000,96475.140625,44775.000000,551.320007,22704.000000,0.678422
72133.320312,82060.289062,57608.000000,29875.000000,85407.789062,22924.000000,318.779999,16024.000000,0.680572
90613.000000,74940.234375,79242.000000,45640.000000,90369.906250,33098.000000,1188.109985,26988.000000,0.682722
130676.273438,77923.976562,109902.000000,56343.000000,94509.726562,39070.000000,340.339996,7972.000000,0.684873
106145.984375,80035.695312,86916.000000,18124.000000,83200.789062,14276.000000,268.729980,14168.000000,0.684873
59832.230469,82353.203125,47614.000000,19636.000000,104776.492188,12282.000000,143.220001,3353.000000,0.687023
127451.492188,77069.710938,108378.000000,62566.000000,96057.851562,42686.000000,1279.739990,4675.000000,0.695624
77514.804688,76360.132812,66527.000000,45945.000000,86936.671875,34635.000000,294.139984,19477.000000,0.696699
113979.625000,76003.421875,98282.000000,27216.000000,88923.515625,20058.000000,2009.699951,9905.000000,0.699925
44650.011719,91517.585938,31974.000000,9731.000000,88894.742188,7174.000000,252.559998,10865.000000,0.699925
88139.515625,73885.718750,78179.000000,36021.000000,78139.500000,30211.000000,277.970001,7026.000000,0.701000
77720.203125,72410.101562,70342.000000,39260.000000,81242.296875,31670.000000,957.109985,9585.000000,0.701000
136346.109375,77668.265625,115048.000000,22982.000000,84293.062500,17868.000000,385.000000,7191.000000,0.701000
83297.601562,79487.914062,68677.000000,50747.000000,94511.226562,35189.000000,224.069992,60098.000000,0.702075
61799.332031,75675.578125,53519.000000,10528.000000,87525.437500,7883.000000,127.049995,8312.000000,0.702075
95796.195312,74532.539062,84233.000000,15086.000000,79545.914062,12429.000000,175.559998,9618.000000,0.702075
77363.914062,75698.312500,66978.000000,34875.000000,86085.421875,26550.000000,910.909973,8006.000000,0.704225
35216.621094,77277.062500,29866.000000,26847.000000,84143.718750,20910.000000,172.479996,12557.000000,0.704225
80528.648438,87066.320312,60615.000000,18604.000000,92457.101562,13187.000000,5508.580078,8155.000000,0.704225
110484.664062,75722.359375,95622.000000,19202.000000,85178.164062,14774.000000,1027.179932,10490.000000,0.706376
95416.203125,74171.734375,84307.000000,15891.000000,82476.648438,12627.000000,3415.719971,12323.000000,0.707451
83427.953125,75666.843750,72258.000000,40537.000000,84364.328125,31490.000000,974.049988,11847.000000,0.707451
70421.390625,71394.218750,64643.000000,32311.000000,88087.429688,24039.000000,612.919983,8074.000000,0.711751
82774.625000,75086.750000,72246.000000,24331.000000,85297.773438,18694.000000,555.169983,10650.000000,0.716052
82245.320312,76149.710938,70782.000000,32221.000000,85332.406250,24746.000000,993.299988,13834.000000,0.717127
118247.992188,76535.257812,101254.000000,62699.000000,87519.523438,46950.000000,505.889984,26577.000000,0.717127
94234.359375,74690.906250,82684.000000,38922.000000,83087.687500,30700.000000,574.419983,18426.000000,0.717127
110093.609375,77287.476562,93354.000000,22330.000000,83082.718750,17614.000000,224.069992,6127.000000,0.718202
86364.382812,74320.812500,76156.000000,28536.000000,86038.617188,21736.000000,714.559998,12485.000000,0.719278
86121.062500,81242.968750,69471.000000,22691.000000,109869.031250,13535.000000,1679.369995,19696.000000,0.720353
59641.050781,74006.171875,52815.000000,17346.000000,91212.992188,12463.000000,847.000000,20628.000000,0.720353
97340.640625,74106.578125,86083.000000,51112.000000,86351.890625,38791.000000,550.549988,32421.000000,0.722503
89008.515625,75800.945312,76955.000000,16172.000000,86173.523438,12299.000000,240.239990,10406.000000,0.725728
82133.140625,73955.140625,72783.000000,28632.000000,84634.289062,22171.000000,204.049988,23877.000000,0.725728
186177.718750,82546.367188,147812.000000,69414.000000,101100.453125,44996.000000,1802.569946,34484.000000,0.726804
88807.062500,80615.835938,72195.000000,41418.000000,110921.914062,24471.000000,2184.489990,51785.000000,0.727879
113458.226562,79413.851562,93631.000000,53246.000000,87881.976562,39707.000000,1186.569946,26361.000000,0.731104
100351.335938,74037.750000,88828.000000,59992.000000,87361.914062,45004.000000,434.279999,18742.000000,0.741856
79565.640625,75807.421875,68785.000000,12976.000000,80644.390625,10545.000000,392.699982,10807.000000,0.746156
90438.414062,77259.632812,76715.000000,17021.000000,85760.617188,13007.000000,646.799988,16179.000000,0.747231
98242.820312,77748.632812,82811.000000,45844.000000,85404.140625,35179.000000,379.609985,17205.000000,0.749382
96604.359375,73799.796875,85787.000000,36272.000000,79622.234375,29855.000000,142.449997,9019.000000,0.752607
76753.242188,80282.500000,62655.000000,24793.000000,92006.453125,17660.000000,555.940002,15301.000000,0.754758
88879.742188,71926.484375,80983.000000,54768.000000,83110.093750,43187.000000,274.119995,16489.000000,0.754758
86773.601562,73130.773438,77762.000000,24143.000000,84152.523438,18802.000000,210.979996,4392.000000,0.757983
106070.140625,82830.835938,83923.000000,27212.000000,85463.445312,20867.000000,1218.140015,29114.000000,0.759058
91895.960938,75334.859375,79943.000000,32063.000000,81208.921875,25875.000000,703.010010,7749.000000,0.760133
110517.054688,75069.406250,96482.000000,22943.000000,91226.335938,16482.000000,539.000000,26711.000000,0.760133
67744.078125,75691.343750,58655.000000,33507.000000,88964.671875,24683.000000,1195.039917,18165.000000,0.760133
78490.453125,74533.796875,69015.000000,30249.000000,90823.218750,21827.000000,1436.049927,7150.000000,0.762284
93583.406250,77084.609375,79563.000000,16897.000000,83795.828125,13215.000000,476.629974,4718.000000,0.764434
88559.000000,76621.898438,75746.000000,35863.000000,85100.937500,27618.000000,524.369995,13306.000000,0.765509
81989.359375,73777.031250,72831.000000,33335.000000,83924.640625,26031.000000,800.029968,22491.000000,0.766584
43816.562500,80462.968750,35688.000000,35007.000000,93443.250000,24552.000000,505.119995,18843.000000,0.766584
82290.351562,73040.976562,73835.000000,38694.000000,82506.906250,30735.000000,433.509979,9763.000000,0.766584
93080.960938,77158.531250,79060.000000,27760.000000,85108.500000,21376.000000,405.789978,18537.000000,0.767659
82434.921875,74363.796875,72649.000000,46809.000000,97346.320312,31513.000000,157.849991,57397.000000,0.768735
91998.664062,79238.062500,76090.000000,36337.000000,94506.781250,25198.000000,518.209961,16433.000000,0.770885
95251.882812,75998.335938,82139.000000,34962.000000,86741.234375,26415.000000,641.409973,6070.000000,0.771960
62639.890625,73349.796875,55967.000000,39836.000000,93576.539062,27899.000000,131.669998,16753.000000,0.774110
88893.960938,75175.875000,77495.000000,43103.000000,84699.054688,33351.000000,1379.069946,16414.000000,0.781636
81256.242188,75112.976562,70896.000000,21477.000000,77832.156250,18084.000000,62.369999,6647.000000,0.781636
72086.710938,75048.062500,62950.000000,48225.000000,85793.843750,36838.000000,1088.010010,16088.000000,0.782712
67403.593750,76084.015625,58059.000000,17613.000000,86121.437500,13403.000000,208.669998,2624.000000,0.782712
90878.445312,75426.281250,78962.000000,30435.000000,86084.945312,23170.000000,450.449982,13346.000000,0.782712
80353.273438,75679.867188,69583.000000,28161.000000,82174.601562,22459.000000,529.760010,7295.000000,0.783787
89264.468750,74285.234375,78751.000000,46577.000000,84166.609375,36267.000000,1017.169983,14392.000000,0.783787
97858.093750,77445.093750,82810.000000,57384.000000,84681.781250,44410.000000,285.669983,14340.000000,0.784862
110546.281250,75213.195312,96323.000000,61868.000000,89160.664062,45475.000000,1777.159912,54993.000000,0.787012
83480.093750,74810.296875,73131.000000,13770.000000,80696.656250,11183.000000,796.179993,12927.000000,0.789163
98284.695312,76235.171875,84491.000000,61435.000000,91916.179688,43803.000000,1455.299927,24074.000000,0.791313
102840.625000,77147.539062,87362.000000,44840.000000,95305.000000,30834.000000,569.799988,29525.000000,0.791313
119109.093750,73247.687500,106569.000000,59250.000000,89041.445312,43609.000000,207.129990,24174.000000,0.792388
87835.359375,75504.367188,76239.000000,47102.000000,93578.593750,32987.000000,1695.539917,25268.000000,0.794538
42090.410156,76633.906250,35995.000000,23347.000000,101443.281250,15083.000000,407.329987,12105.000000,0.794538
100777.929688,73477.320312,89886.000000,26478.000000,81490.664062,21294.000000,353.429993,10223.000000,0.797764
143061.109375,73747.968750,127131.000000,31672.000000,99642.664062,20831.000000,2242.239990,21864.000000,0.799914
19983.050781,82184.453125,15935.000000,47937.000000,123108.242188,25519.000000,261.799988,9127.000000,0.804215
97723.000000,75324.320312,85024.000000,21257.000000,91434.679688,15236.000000,3809.189941,20146.000000,0.806365
79486.640625,75690.335938,68823.000000,40656.000000,87625.609375,30407.000000,857.779968,12596.000000,0.808515
77499.000000,81434.281250,62369.000000,28933.000000,109018.171875,17393.000000,443.519989,37516.000000,0.809590
94662.539062,75163.007812,82538.000000,18867.000000,88967.312500,13898.000000,1403.709961,26486.000000,0.809590
57804.300781,82765.562500,45771.000000,21762.000000,102493.312500,13915.000000,798.489990,30488.000000,0.810666
81392.125000,74230.296875,71859.000000,35918.000000,81004.921875,29059.000000,950.949951,8099.000000,0.816041
78337.195312,75477.539062,68019.000000,12744.000000,78947.984375,10579.000000,1011.009949,4182.000000,0.818192
74405.359375,72686.250000,67086.000000,53779.000000,90878.781250,38782.000000,682.219971,48467.000000,0.819267
81928.531250,75841.406250,70796.000000,33321.000000,82280.523438,26540.000000,1491.489990,13719.000000,0.820342
78284.265625,73444.101562,69855.000000,18441.000000,76534.062500,15791.000000,1332.869995,11703.000000,0.821417
53307.621094,77258.859375,45219.000000,49016.000000,96887.726562,33155.000000,102.409996,40302.000000,0.822492
96082.960938,77506.898438,81243.000000,51429.000000,86335.484375,39039.000000,702.239990,24525.000000,0.824642
97486.000000,75551.273438,84563.000000,16972.000000,84861.296875,13107.000000,158.619995,15283.000000,0.824642
37129.210938,76961.765625,31617.000000,23108.000000,84485.687500,17925.000000,120.889999,8998.000000,0.830018
46132.839844,87010.734375,34747.000000,26060.000000,86034.367188,19851.000000,210.979996,12596.000000,0.830018
98559.609375,77822.664062,82999.000000,16769.000000,84542.906250,12999.000000,609.839966,9700.000000,0.831093
134255.765625,77575.945312,113419.000000,26612.000000,86445.804688,20175.000000,2652.649902,7414.000000,0.832169
89302.390625,73937.484375,79155.000000,13508.000000,82403.453125,10743.000000,82.389999,4355.000000,0.832169
81761.054688,73339.992188,73061.000000,32330.000000,86364.445312,24533.000000,1392.159912,12188.000000,0.835394
83744.742188,78661.554688,69771.000000,49715.000000,95784.867188,34015.000000,98.559998,93157.000000,0.835394
99763.570312,74365.109375,87919.000000,45477.000000,82506.453125,36123.000000,610.609985,18489.000000,0.835394
84801.765625,73123.015625,76003.000000,40933.000000,81778.648438,32803.000000,167.860001,10122.000000,0.839695
52565.812500,79422.562500,43375.000000,45411.000000,100342.398438,29659.000000,2420.879883,24024.000000,0.842920
89439.062500,76147.828125,76975.000000,38680.000000,91795.492188,27615.000000,1527.679932,30664.000000,0.843995
84640.601562,79108.468750,70119.000000,32836.000000,95357.828125,22567.000000,552.089966,22197.000000,0.845070
86388.875000,75866.070312,74626.000000,45041.000000,79653.703125,37058.000000,429.660004,6368.000000,0.846146
90542.695312,83680.804688,70910.000000,17065.000000,85073.164062,13146.000000,913.989990,33004.000000,0.847221
76806.171875,74866.421875,67234.000000,40501.000000,82651.601562,32114.000000,1460.689941,10320.000000,0.848296
68801.101562,74319.250000,60670.000000,33804.000000,88269.140625,25098.000000,166.319992,9681.000000,0.850446
83747.898438,73597.078125,74575.000000,28959.000000,84428.000000,22479.000000,260.259979,11275.000000,0.851521
95597.109375,76386.304688,82018.000000,35514.000000,84456.257812,27558.000000,549.779968,28265.000000,0.852597
97933.929688,80873.453125,79361.000000,48257.000000,86309.992188,36642.000000,800.799988,17457.000000,0.853672
89966.781250,73842.015625,79847.000000,36603.000000,86341.085938,27783.000000,570.570007,14842.000000,0.855822
72525.164062,75313.085938,63110.000000,33037.000000,80781.757812,26802.000000,18.480000,10168.000000,0.855822
116983.203125,78940.382812,97119.000000,23603.000000,83419.414062,18543.000000,297.989990,1917.000000,0.856897
95777.234375,74427.664062,84335.000000,61257.000000,90845.171875,44191.000000,304.919983,7325.000000,0.856897
102666.820312,73439.414062,91618.000000,21879.000000,84533.789062,16962.000000,330.329987,14096.000000,0.856897
81190.671875,75078.835938,70871.000000,33405.000000,86261.484375,25379.000000,565.950012,6778.000000,0.857972
65020.953125,77378.125000,55070.000000,26779.000000,86172.476562,20366.000000,221.759995,37488.000000,0.859047
102332.656250,76159.718750,88058.000000,64759.000000,99275.921875,42750.000000,1052.589966,56026.000000,0.860123
42534.390625,93986.101562,29659.000000,50478.000000,110821.289062,29851.000000,353.429993,9447.000000,0.860123
84318.281250,76641.929688,72100.000000,28352.000000,84396.648438,22016.000000,823.899963,12165.000000,0.864423
84970.031250,73980.625000,75271.000000,44910.000000,81785.695312,35987.000000,392.699982,22938.000000,0.864423
74714.250000,71716.929688,68275.000000,19633.000000,82462.882812,15603.000000,1831.829956,14905.000000,0.868724
45719.671875,80463.085938,37238.000000,46806.000000,106918.023438,28690.000000,735.349976,12999.000000,0.868724
89870.406250,76810.429688,76679.000000,44707.000000,91084.593750,32167.000000,838.529968,59828.000000,0.870874
111705.210938,75363.265625,97139.000000,16701.000000,84958.218750,12883.000000,748.440002,4116.000000,0.874100
93213.679688,77612.140625,78710.000000,50419.000000,87455.921875,37782.000000,1406.789917,31679.000000,0.877325
166251.546875,79872.890625,136410.000000,88872.000000,97126.953125,59966.000000,659.889954,63482.000000,0.880551
97462.304688,75662.648438,84418.000000,14214.000000,91236.898438,10210.000000,569.799988,14159.000000,0.882701
109192.226562,75222.812500,95131.000000,37370.000000,82263.968750,29771.000000,319.549988,33972.000000,0.882701
89817.468750,75532.882812,77930.000000,19553.000000,83371.851562,15370.000000,492.029999,8575.000000,0.883776
122510.835938,78402.343750,102406.000000,50190.000000,84344.117188,38998.000000,708.399963,12481.000000,0.884851
101139.750000,77412.554688,85623.000000,39803.000000,85472.304688,30519.000000,792.329956,8713.000000,0.887001
95773.281250,74521.789062,84225.000000,60545.000000,90333.000000,43925.000000,1155.770020,48659.000000,0.888077
75489.242188,74459.882812,66442.000000,34736.000000,85420.578125,26650.000000,221.759995,10723.000000,0.896678
38460.359375,74268.914062,33938.000000,32544.000000,87046.101562,24502.000000,127.049995,12238.000000,0.896678
78562.343750,76400.968750,67390.000000,27829.000000,82967.945312,21982.000000,1225.069946,21173.000000,0.896678
86599.804688,75435.703125,75235.000000,45953.000000,83983.820312,35859.000000,2236.849854,30832.000000,0.896678
95397.242188,75441.085938,82872.000000,16643.000000,82256.078125,13260.000000,491.259979,10923.000000,0.897753
66338.671875,99119.312500,43862.000000,39489.000000,105226.929688,24594.000000,1380.609985,4992.000000,0.897753
95300.859375,79378.218750,78682.000000,18797.000000,86911.257812,14174.000000,446.599976,12677.000000,0.897753
73431.289062,76550.007812,62866.000000,40528.000000,84733.078125,31346.000000,231.000000,8672.000000,0.904204
79479.531250,75360.554688,69118.000000,28101.000000,93740.562500,19646.000000,211.750000,30961.000000,0.904204
86090.250000,72594.992188,77719.000000,27028.000000,89681.890625,19751.000000,2973.739990,31344.000000,0.904204
86943.453125,74324.343750,76663.000000,18217.000000,81066.703125,14727.000000,659.889954,3317.000000,0.908504
96135.890625,73548.226562,85663.000000,32421.000000,78720.414062,26991.000000,235.619995,30729.000000,0.909580
116739.882812,80257.062500,95327.000000,56938.000000,84295.054688,44267.000000,231.769989,21295.000000,0.909580
38800.062500,84731.789062,30010.000000,17054.000000,97987.984375,11406.000000,33.110001,10274.000000,0.910655
79956.695312,74824.601562,70031.000000,16873.000000,84007.367188,13163.000000,318.009979,8646.000000,0.911730
85718.164062,72348.265625,77647.000000,21113.000000,81665.687500,16943.000000,188.649994,10970.000000,0.913880
86045.218750,75567.304688,74623.000000,26266.000000,81323.218750,21167.000000,693.769958,11513.000000,0.913880
63089.402344,78503.593750,52668.000000,39588.000000,91071.304688,28488.000000,703.779968,21325.000000,0.917106
78063.062500,75187.992188,68042.000000,33436.000000,84926.039062,25802.000000,927.849976,12489.000000,0.921406
80289.281250,75120.835938,70045.000000,29496.000000,85817.976562,22525.000000,668.359985,24755.000000,0.921406
112323.781250,75352.406250,97691.000000,52366.000000,87980.578125,39007.000000,424.269989,3327.000000,0.932158
88201.921875,71910.750000,80383.000000,52681.000000,92108.476562,37483.000000,861.630005,15681.000000,0.935383
117345.023438,75725.695312,101555.000000,53961.000000,84840.054688,41683.000000,1528.449951,17343.000000,0.938609
48302.179688,72181.773438,43855.000000,25694.000000,75990.882812,22159.000000,157.080002,2450.000000,0.939684
89722.671875,73683.179688,79802.000000,32015.000000,82273.351562,25502.000000,1550.010010,10266.000000,0.941834
110566.820312,75838.937500,95546.000000,23525.000000,82862.218750,18606.000000,121.659996,10035.000000,0.942909
88844.984375,73407.609375,79318.000000,49230.000000,86799.500000,37170.000000,591.359985,8897.000000,0.942909
83836.382812,77451.062500,70939.000000,36755.000000,90969.289062,26479.000000,1444.520020,25518.000000,0.945060
83324.460938,78768.039062,69327.000000,37661.000000,89170.539062,27679.000000,2343.109863,9228.000000,0.946135
111305.476562,76843.421875,94927.000000,33796.000000,86737.992188,25535.000000,2276.119873,22377.000000,0.947210
90165.070312,72541.164062,81458.000000,26573.000000,87838.609375,19826.000000,926.309998,17400.000000,0.950435
94395.523438,76318.554688,81059.000000,25945.000000,99185.179688,17143.000000,3716.020020,12358.000000,0.950435
109328.890625,74367.156250,96346.000000,55732.000000,91765.546875,39802.000000,363.440002,36433.000000,0.951511
80152.609375,76406.656250,68749.000000,20182.000000,87033.460938,15197.000000,826.209961,34932.000000,0.951511
88007.585938,74523.414062,77394.000000,48185.000000,89018.781250,35474.000000,1225.839966,16688.000000,0.952586
108800.382812,76151.210938,93634.000000,48570.000000,84293.304688,37762.000000,926.309998,6259.000000,0.952586
87600.734375,75731.820312,75807.000000,48490.000000,84735.640625,37503.000000,386.539978,23337.000000,0.953661
112298.500000,75640.507812,97297.000000,17725.000000,84194.070312,13797.000000,1753.289917,8345.000000,0.954736
87721.601562,75434.289062,76211.000000,21259.000000,80594.078125,17287.000000,1508.429932,9275.000000,0.955811
55053.523438,74386.906250,48503.000000,35719.000000,81091.914062,28867.000000,468.159973,45517.000000,0.957961
87894.609375,74592.554688,77223.000000,17095.000000,78197.664062,14327.000000,362.669983,5408.000000,0.963337
94070.835938,76138.703125,80971.000000,25248.000000,80750.234375,20491.000000,955.569946,8830.000000,0.963337
81793.445312,75220.171875,71263.000000,24216.000000,80140.382812,19803.000000,284.899994,7125.000000,0.964412
71610.343750,77480.234375,60571.000000,11946.000000,82977.539062,9435.000000,162.470001,3264.000000,0.966563
92840.015625,77964.679688,78040.000000,24968.000000,91108.179688,17960.000000,1244.319946,17620.000000,0.967638
89456.445312,72952.609375,80362.000000,35282.000000,80650.203125,28670.000000,360.359985,8332.000000,0.970863
100009.265625,74294.742188,88219.000000,37576.000000,84755.835938,29055.000000,396.549988,4049.000000,0.976239
