"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD86","CD206","Time"
134852.218750,77456.195312,114099.000000,29281.000000,86396.812500,22211.000000,1836.449951,28642.000000,0.568900
87246.812500,76036.695312,75198.000000,23924.000000,83495.757812,18778.000000,148.610001,2353.000000,0.569954
87332.132812,76480.242188,74835.000000,15406.000000,92095.929688,10963.000000,190.190002,22431.000000,0.571007
61665.031250,75354.835938,53630.000000,40012.000000,92980.164062,28202.000000,328.789978,25370.000000,0.572061
104750.843750,76343.406250,89922.000000,34365.000000,88729.992188,25382.000000,256.410004,28495.000000,0.572061
108784.585938,76415.179688,93297.000000,16727.000000,93814.351562,11685.000000,4159.540039,5959.000000,0.574168
58357.300781,78638.484375,48634.000000,27822.000000,98954.875000,18426.000000,2515.589844,16926.000000,0.574168
107259.093750,76587.265625,91782.000000,40907.000000,90895.812500,29494.000000,425.039978,18037.000000,0.575221
103818.640625,74559.570312,91254.000000,19041.000000,82761.046875,15078.000000,292.600006,8117.000000,0.577328
97827.281250,76249.476562,84082.000000,16898.000000,84061.585938,13174.000000,276.429993,6402.000000,0.579435
98517.742188,75066.375000,86010.000000,41191.000000,89618.671875,30122.000000,765.380005,17524.000000,0.579435
97414.906250,77359.656250,82526.000000,17357.000000,91424.882812,12442.000000,1932.699951,12433.000000,0.582596
74876.203125,72950.476562,67266.000000,31637.000000,86253.539062,24038.000000,444.289978,4358.000000,0.582596
88337.804688,74876.570312,77318.000000,21775.000000,80415.101562,17746.000000,1090.319946,12126.000000,0.582596
92386.554688,69848.132812,86683.000000,39341.000000,89376.773438,28847.000000,2105.179932,20706.000000,0.587863
146889.437500,78881.546875,122038.000000,71662.000000,92855.414062,50578.000000,175.559998,42741.000000,0.592077
99240.593750,75959.820312,85622.000000,39029.000000,92882.726562,27538.000000,406.559998,26904.000000,0.592077
96310.484375,74400.070312,84836.000000,33659.000000,88817.695312,24836.000000,725.339966,17690.000000,0.595238
92869.242188,76392.648438,79671.000000,35175.000000,86160.671875,26755.000000,443.519989,22271.000000,0.598399
141831.078125,76422.515625,121627.000000,46385.000000,93503.343750,32511.000000,526.679993,25536.000000,0.598399
87253.921875,70507.179688,81102.000000,45002.000000,91031.882812,32398.000000,500.500000,12091.000000,0.599452
102200.726562,73756.492188,90810.000000,57325.000000,95259.679688,39438.000000,212.519989,31227.000000,0.603666
95205.273438,73955.140625,84367.000000,18528.000000,81696.226562,14863.000000,273.350006,9024.000000,0.604720
