"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD86","CD206","Time"
109411.843750,76332.164062,93937.000000,40693.000000,93426.398438,28545.000000,224.069992,1918.000000,0.574168
106610.500000,72119.101562,96879.000000,45737.000000,84694.414062,35391.000000,298.759979,1812.000000,0.575237
61069.371094,70949.164062,56410.000000,35099.000000,84886.273438,27098.000000,151.690002,1292.000000,0.580583
113773.429688,84405.031250,88339.000000,78328.000000,103354.414062,49667.000000,169.399994,3131.000000,0.580583
120174.804688,78233.593750,100670.000000,44489.000000,103018.554688,28302.000000,173.250000,2586.000000,0.583791
85438.500000,79981.968750,70007.000000,34044.000000,94719.062500,23555.000000,217.139999,1752.000000,0.588068
108151.789062,75780.609375,93531.000000,36181.000000,83600.406250,28363.000000,150.149994,1606.000000,0.590206
83100.890625,75107.226562,72511.000000,49612.000000,96827.546875,33579.000000,183.259995,1963.000000,0.591275
102308.164062,72972.593750,91882.000000,58437.000000,93257.859375,41066.000000,224.839996,2313.000000,0.595552
106642.890625,92668.273438,75419.000000,55215.000000,112130.718750,32271.000000,66.989998,1931.000000,0.597690
74200.750000,95343.820312,51003.000000,38343.000000,108261.031250,23211.000000,194.039993,2371.000000,0.597690
96432.140625,72616.078125,87030.000000,44636.000000,84873.929688,34466.000000,169.399994,1919.000000,0.598760
65411.210938,84468.757812,50750.000000,55597.000000,111869.976562,32570.000000,151.690002,1942.000000,0.599829
80369.070312,77757.617188,67737.000000,51662.000000,98259.304688,34457.000000,289.519989,2105.000000,0.600898
60506.101562,104510.250000,37942.000000,83054.000000,202478.484375,26882.000000,360.359985,4356.000000,0.608383
77124.539062,81081.101562,62338.000000,66427.000000,124845.429688,34870.000000,588.279968,3243.000000,0.613729
81078.492188,87610.226562,60650.000000,33979.000000,98646.578125,22574.000000,102.409996,1694.000000,0.614798
114587.132812,72738.375000,103241.000000,57237.000000,89796.859375,41773.000000,265.649994,2661.000000,0.624421
93193.140625,80227.851562,76127.000000,27466.000000,95526.820312,18843.000000,184.029999,1894.000000,0.626559
95103.359375,75644.085938,82395.000000,52660.000000,94980.765625,36335.000000,254.869995,2315.000000,0.629767
52798.070312,92461.171875,37423.000000,44014.000000,122499.750000,23547.000000,184.799988,1656.000000,0.630836
99231.109375,74553.304688,87229.000000,33879.000000,88623.890625,25053.000000,362.669983,1922.000000,0.630836
112499.164062,75270.500000,97950.000000,45203.000000,88775.062500,33370.000000,197.119995,2085.000000,0.636182
111375.781250,72655.562500,100462.000000,53423.000000,93011.257812,37642.000000,210.209991,2724.000000,0.638321
115734.210938,75222.484375,100831.000000,61388.000000,94291.234375,42667.000000,126.279999,2289.000000,0.638321
122675.156250,77092.218750,104286.000000,36965.000000,89770.187500,26986.000000,69.299995,2153.000000,0.640459
115984.640625,81044.562500,93790.000000,39670.000000,86252.179688,30142.000000,237.159988,2185.000000,0.642597
75787.070312,80621.726562,61606.000000,44707.000000,93889.570312,31206.000000,251.019989,1751.000000,0.642597
73301.734375,87560.187500,54864.000000,55750.000000,118240.515625,30900.000000,216.369995,1908.000000,0.643667
97553.945312,80569.812500,79351.000000,37516.000000,90956.632812,27031.000000,130.899994,1976.000000,0.646874
101106.570312,77276.140625,85746.000000,27178.000000,86136.843750,20678.000000,180.949997,1863.000000,0.651151
145185.406250,81573.281250,116642.000000,68297.000000,129683.960938,34514.000000,332.639984,4558.000000,0.651151
92281.484375,77114.210938,78426.000000,82104.000000,124514.453125,43214.000000,442.750000,3621.000000,0.655428
87905.671875,75139.054688,76671.000000,46778.000000,86788.867188,35323.000000,317.239990,2385.000000,0.656497
57525.429688,91417.992188,41239.000000,51828.000000,95477.156250,35575.000000,491.259979,3384.000000,0.661843
101605.062500,74577.375000,89287.000000,34795.000000,82040.843750,27795.000000,154.000000,1918.000000,0.663982
98106.156250,72799.265625,88318.000000,44675.000000,86853.187500,33710.000000,151.690002,1999.000000,0.667189
110556.554688,89949.531250,80550.000000,60326.000000,104562.937500,37810.000000,329.559998,2508.000000,0.672535
89009.304688,82128.117188,71027.000000,55370.000000,116938.812500,31031.000000,753.059998,4686.000000,0.673605
80390.398438,94400.023438,55810.000000,52474.000000,102245.820312,33634.000000,184.029999,2005.000000,0.674674
132426.125000,75695.171875,114653.000000,36802.000000,89950.984375,26813.000000,287.979980,2170.000000,0.675743
121253.945312,90971.000000,87352.000000,46862.000000,107202.875000,28648.000000,265.649994,2651.000000,0.677882
105988.773438,72561.351562,95727.000000,49672.000000,87510.531250,37199.000000,249.479996,2468.000000,0.678951
110256.351562,83252.796875,86793.000000,34118.000000,89707.414062,24925.000000,153.229996,1691.000000,0.681089
79614.625000,83495.343750,62490.000000,34746.000000,88569.187500,25710.000000,220.220001,1941.000000,0.681089
35871.531250,93336.906250,25187.000000,34861.000000,94802.710938,24099.000000,759.219971,2009.000000,0.685366
167615.093750,82521.921875,133114.000000,70168.000000,96847.867188,47482.000000,350.350006,3212.000000,0.687504
88250.906250,94027.171875,61510.000000,62758.000000,96163.398438,42770.000000,398.089996,5106.000000,0.689643
135072.625000,78740.804688,112421.000000,80630.000000,97564.070312,54161.000000,247.169998,3397.000000,0.691781
92943.500000,76422.078125,79704.000000,50495.000000,89429.250000,37004.000000,175.559998,1699.000000,0.692851
87637.859375,90936.125000,63159.000000,88854.000000,130426.140625,44647.000000,263.339996,5519.000000,0.692851
108450.414062,79721.453125,89153.000000,39761.000000,91646.226562,28433.000000,160.929993,1495.000000,0.693920
128401.070312,78305.742188,107462.000000,43554.000000,85969.367188,33202.000000,203.279999,1972.000000,0.697127
82332.218750,74540.992188,72386.000000,20657.000000,88285.976562,15334.000000,144.759995,1306.000000,0.698197
105587.453125,74256.921875,93187.000000,39206.000000,81015.429688,31715.000000,130.129990,2387.000000,0.698197
73161.109375,90880.742188,52758.000000,49014.000000,92885.937500,34582.000000,314.160004,1802.000000,0.698197
79507.179688,77126.406250,67559.000000,24086.000000,84724.390625,18631.000000,271.039978,1388.000000,0.711027
96985.929688,82626.843750,76925.000000,70152.000000,112924.164062,40713.000000,406.559998,2668.000000,0.712096
46926.792969,91940.046875,33450.000000,25934.000000,117133.750000,14510.000000,80.080002,1304.000000,0.714235
71645.101562,79822.750000,58822.000000,50056.000000,112260.296875,29222.000000,160.929993,2101.000000,0.714235
43701.222656,80799.062500,35446.000000,44999.000000,106517.898438,27686.000000,1086.469971,2601.000000,0.727065
125764.843750,76139.718750,108250.000000,40137.000000,81230.890625,32382.000000,100.869995,1706.000000,0.737757
83257.312500,93793.640625,58174.000000,62898.000000,122805.320312,33566.000000,134.750000,2381.000000,0.738827
67007.804688,103126.218750,42583.000000,38562.000000,116789.093750,21639.000000,237.159988,1569.000000,0.740965
32257.281250,77201.671875,27383.000000,25325.000000,88550.351562,18743.000000,244.089996,1932.000000,0.746311
92556.406250,69892.687500,86787.000000,35514.000000,88351.578125,26343.000000,29.259998,1653.000000,0.747380
91143.882812,77004.070312,77570.000000,47060.000000,85513.343750,36066.000000,70.839996,1603.000000,0.747380
105087.382812,74662.382812,92242.000000,36896.000000,83535.421875,28946.000000,106.259995,1679.000000,0.749519
118590.851562,86999.015625,89334.000000,98587.000000,128107.976562,50434.000000,223.299988,3472.000000,0.757003
39878.410156,132596.234375,19710.000000,90590.000000,137498.421875,43178.000000,262.570007,3661.000000,0.757003
41357.292969,99100.250000,27350.000000,74450.000000,129085.015625,37798.000000,346.500000,3512.000000,0.757003
118204.546875,78251.390625,98997.000000,28614.000000,86222.226562,21749.000000,89.320000,1787.000000,0.758073
85451.140625,74367.898438,75303.000000,30309.000000,82905.406250,23959.000000,291.829987,1809.000000,0.759142
92629.875000,78992.726562,76850.000000,37305.000000,87196.679688,28038.000000,71.610001,1608.000000,0.761280
82247.695312,77642.640625,69423.000000,51180.000000,92811.992188,36139.000000,358.049988,2603.000000,0.763419
67029.921875,103065.867188,42622.000000,28710.000000,140560.187500,13386.000000,194.039993,1831.000000,0.764488
137861.328125,81593.054688,110731.000000,57520.000000,114262.406250,32991.000000,196.349991,1820.000000,0.776249
102308.953125,74227.765625,90329.000000,82627.000000,109676.195312,49373.000000,178.639999,2690.000000,0.777318
44841.980469,99420.273438,29559.000000,52615.000000,131454.265625,26231.000000,190.190002,2681.000000,0.783734
124677.804688,74009.625000,110403.000000,53819.000000,91834.351562,38407.000000,241.009995,2328.000000,0.786941
105989.562500,74926.453125,92706.000000,39837.000000,81898.421875,31878.000000,182.489990,2220.000000,0.790149
115207.281250,76139.531250,99163.000000,55072.000000,90313.507812,39963.000000,258.720001,3070.000000,0.791218
95880.718750,75286.523438,83463.000000,38928.000000,89055.937500,28647.000000,207.899994,1514.000000,0.793357
143740.500000,86001.531250,109535.000000,66514.000000,106560.289062,40907.000000,275.660004,3296.000000,0.798703
93339.289062,82603.015625,74054.000000,49574.000000,100057.953125,32470.000000,292.600006,1695.000000,0.799772
93574.710938,73777.257812,83122.000000,26541.000000,80267.234375,21670.000000,114.729996,1205.000000,0.799772
129121.554688,83400.945312,101463.000000,48870.000000,100985.156250,31715.000000,157.080002,3237.000000,0.800841
124116.906250,79235.960938,102657.000000,58892.000000,91188.328125,42325.000000,277.970001,2776.000000,0.800841
131345.406250,75294.148438,114323.000000,59872.000000,86887.921875,45159.000000,196.349991,2685.000000,0.804049
117456.414062,74294.937500,103609.000000,35025.000000,85112.484375,26969.000000,268.729980,1612.000000,0.809395
122788.125000,78688.132812,102265.000000,74355.000000,96998.812500,50237.000000,378.839996,6605.000000,0.811533
91529.406250,73314.812500,81818.000000,27561.000000,82228.796875,21966.000000,37.730000,1255.000000,0.812602
126219.882812,84322.437500,98099.000000,59349.000000,90497.593750,42979.000000,243.319992,2945.000000,0.813672
91275.812500,93168.000000,64205.000000,59554.000000,163871.640625,23817.000000,660.659973,3485.000000,0.817949
105610.359375,71942.289062,96206.000000,56864.000000,94007.343750,39642.000000,299.529999,2468.000000,0.819018
113100.351562,74059.976562,100083.000000,60689.000000,91510.351562,43463.000000,337.259979,2538.000000,0.820087
127747.742188,74573.570312,112266.000000,46534.000000,83970.820312,36318.000000,197.119995,2391.000000,0.826502
99287.203125,78104.507812,83310.000000,58222.000000,118431.843750,32218.000000,381.919983,2458.000000,0.826502
55733.710938,87958.500000,41526.000000,46801.000000,92278.429688,33238.000000,281.049988,2417.000000,0.830779
104586.523438,77324.312500,88642.000000,35284.000000,90080.726562,25670.000000,121.659996,1977.000000,0.831848
96865.062500,75579.507812,83993.000000,37464.000000,91025.867188,26973.000000,286.440002,2549.000000,0.833987
119730.820312,77019.593750,101879.000000,43315.000000,84346.820312,33655.000000,130.899994,1762.000000,0.833987
107428.156250,74158.000000,94938.000000,27643.000000,85348.703125,21226.000000,173.250000,1834.000000,0.838264
168458.812500,79893.164062,138186.000000,71916.000000,103588.882812,45498.000000,257.949982,3064.000000,0.838264
94295.195312,75327.656250,82038.000000,35633.000000,96633.476562,24166.000000,289.519989,2198.000000,0.840402
76297.414062,77429.273438,64578.000000,44913.000000,91792.500000,32066.000000,159.389999,1655.000000,0.840402
74604.445312,86894.218750,56267.000000,62029.000000,107705.601562,37743.000000,200.199997,2588.000000,0.840402
163066.281250,86375.421875,123724.000000,59455.000000,102681.187500,37947.000000,447.369995,2881.000000,0.843610
79262.281250,78546.757812,66133.000000,46209.000000,106388.648438,28465.000000,183.259995,2135.000000,0.853233
68374.500000,84088.484375,53289.000000,43091.000000,109385.750000,25817.000000,206.360001,2045.000000,0.856440
113843.742188,82592.890625,90333.000000,63457.000000,96955.632812,42893.000000,259.489990,2826.000000,0.857509
78043.312500,89916.789062,56882.000000,54442.000000,115878.890625,30790.000000,142.449997,1840.000000,0.857509
137808.390625,82766.625000,109119.000000,63421.000000,91479.226562,45435.000000,161.699997,2355.000000,0.858579
74461.453125,82034.523438,59486.000000,63330.000000,125640.093750,33034.000000,113.189995,2415.000000,0.863925
94233.570312,71878.898438,85918.000000,28639.000000,80133.445312,23422.000000,147.839996,1486.000000,0.866063
132012.953125,73626.265625,117507.000000,66095.000000,90803.546875,47703.000000,218.679993,2577.000000,0.866063
105416.023438,85501.789062,80800.000000,74738.000000,103316.523438,47408.000000,226.379990,2818.000000,0.874617
95711.664062,75884.781250,82659.000000,39731.000000,88809.679688,29319.000000,255.639999,1826.000000,0.875686
49648.339844,102425.585938,31767.000000,80878.000000,154283.828125,34355.000000,187.879990,2257.000000,0.879963
79375.250000,78080.195312,66623.000000,60941.000000,95869.546875,41659.000000,155.539993,2605.000000,0.881032
110463.335938,76750.375000,94323.000000,24034.000000,82642.960938,19059.000000,177.099991,1474.000000,0.886378
90841.312500,75633.000000,78714.000000,18150.000000,79203.515625,15018.000000,185.569992,1107.000000,0.887447
88561.375000,80773.203125,71855.000000,41174.000000,103867.718750,25979.000000,188.649994,2030.000000,0.887447
34639.132812,79756.531250,28463.000000,29751.000000,86922.632812,22431.000000,194.039993,2126.000000,0.887447
159825.687500,77088.601562,135874.000000,56832.000000,90291.929688,41250.000000,232.539993,3349.000000,0.887447
175282.046875,76873.500000,149431.000000,71985.000000,91357.476562,51639.000000,543.619995,4947.000000,0.891724
154913.468750,78671.570312,129048.000000,94208.000000,102144.390625,60444.000000,226.379990,3545.000000,0.893863
138402.468750,76875.796875,117987.000000,69298.000000,91913.015625,49411.000000,258.720001,2751.000000,0.893863
107251.195312,78207.437500,89874.000000,59309.000000,93358.179688,41634.000000,71.610001,2349.000000,0.893863
33473.089844,89534.812500,24501.000000,27120.000000,84213.992188,21105.000000,267.959991,1573.000000,0.894932
101630.343750,85554.867188,77850.000000,58346.000000,102530.265625,37294.000000,100.099998,2157.000000,0.897070
134053.531250,88752.382812,98987.000000,90282.000000,124188.687500,47643.000000,374.220001,5542.000000,0.901347
72166.500000,79789.187500,59275.000000,32150.000000,94947.609375,22191.000000,104.720001,1474.000000,0.910970
39887.890625,137757.843750,18976.000000,81633.000000,173248.062500,30880.000000,206.360001,2430.000000,0.910970
140877.546875,79005.906250,116859.000000,40267.000000,97424.531250,27087.000000,245.629990,2258.000000,0.913109
132445.078125,84519.710938,102697.000000,83206.000000,107323.273438,50809.000000,300.299988,3470.000000,0.914178
108491.492188,74089.000000,95967.000000,34156.000000,85675.648438,26127.000000,241.779999,2405.000000,0.917385
70603.882812,103329.531250,44780.000000,88716.000000,145775.062500,39884.000000,273.350006,3359.000000,0.918455
88881.320312,72835.250000,79974.000000,34073.000000,85984.140625,25970.000000,202.509995,1353.000000,0.923801
100672.859375,74558.671875,88490.000000,50748.000000,104988.343750,31678.000000,304.919983,2963.000000,0.924870
132234.937500,78973.429688,109735.000000,33553.000000,92333.804688,23815.000000,178.639999,1903.000000,0.930216
108041.984375,73908.335938,95803.000000,45270.000000,91571.187500,32399.000000,265.649994,2352.000000,0.931285
42321.089844,75315.132812,36826.000000,30954.000000,99081.828125,20474.000000,137.830002,1831.000000,0.934493
107894.250000,82854.375000,85342.000000,27968.000000,85498.218750,21438.000000,155.539993,1496.000000,0.935562
91344.539062,81114.828125,73801.000000,19507.000000,85017.679688,15037.000000,147.069992,1060.000000,0.944116
57560.191406,82057.484375,45971.000000,44302.000000,125540.531250,23127.000000,176.330002,1626.000000,0.947323
59730.320312,76292.382812,51309.000000,57593.000000,93888.585938,40201.000000,585.200012,3456.000000,0.948393
50917.082031,76720.976562,43494.000000,25800.000000,82664.945312,20454.000000,508.199982,1457.000000,0.951600
85090.109375,86089.781250,64775.000000,43265.000000,120129.437500,23603.000000,220.220001,2672.000000,0.951600
33764.601562,92686.476562,23874.000000,63337.000000,142690.062500,29090.000000,259.489990,2482.000000,0.969777
92186.679688,93885.726562,64350.000000,36611.000000,109070.757812,21998.000000,183.259995,2059.000000,0.974054
154044.468750,76695.718750,131630.000000,41311.000000,84022.023438,32222.000000,308.000000,2624.000000,0.989023
108670.031250,74997.882812,94960.000000,26345.000000,82499.335938,20928.000000,199.429993,1447.000000,0.989023
112379.085938,75088.968750,98082.000000,32653.000000,86170.054688,24834.000000,204.049988,1699.000000,0.989023
88201.132812,79817.031250,72420.000000,36592.000000,85292.835938,28116.000000,186.339996,1860.000000,0.990092
130841.382812,77591.054688,110513.000000,52500.000000,88884.750000,38709.000000,119.349998,1738.000000,0.994369
98633.875000,76968.796875,83983.000000,43502.000000,89734.257812,31771.000000,117.039993,1651.000000,0.994369
185017.218750,83094.882812,145921.000000,83257.000000,102558.750000,53202.000000,585.969971,4093.000000,0.997576
77908.218750,82925.296875,61571.000000,52993.000000,105205.828125,33011.000000,194.809998,2291.000000,1.002923
60409.722656,95524.468750,41445.000000,28886.000000,132336.453125,14305.000000,103.180000,2014.000000,1.002923
