"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD86","CD206","Time"
83000.562500,72362.015625,75171.000000,44110.000000,80940.585938,35715.000000,371.910004,1319.000000,0.475515
93614.210938,73999.804688,82907.000000,50466.000000,94175.226562,35119.000000,127.820000,1756.000000,0.477737
105717.804688,72552.437500,95494.000000,57083.000000,89467.437500,41814.000000,63.910000,2308.000000,0.487736
170776.671875,76325.187500,146636.000000,100858.000000,105770.820312,62492.000000,267.959991,4643.000000,0.488847
78281.890625,72671.007812,70596.000000,37332.000000,86244.718750,28368.000000,177.099991,1321.000000,0.503290
77529.023438,72821.031250,69773.000000,32818.000000,84980.070312,25309.000000,41.579998,1607.000000,0.517734
125207.101562,75315.031250,108950.000000,58973.000000,92156.390625,41938.000000,161.699997,2307.000000,0.518845
81413.453125,69489.101562,76782.000000,51628.000000,87869.226562,38506.000000,188.649994,1808.000000,0.519956
77213.812500,78083.585938,64806.000000,50126.000000,96285.179688,34118.000000,426.579987,1800.000000,0.536621
97391.992188,74755.296875,85381.000000,48980.000000,90195.101562,35589.000000,187.110001,2066.000000,0.541065
83420.054688,77044.718750,70959.000000,43833.000000,89193.015625,32207.000000,237.159988,2024.000000,0.574395
88291.984375,75152.656250,76994.000000,40034.000000,84000.390625,31234.000000,143.989990,1662.000000,0.584394
65301.402344,75464.523438,56710.000000,64071.000000,95037.734375,44182.000000,217.909988,3613.000000,0.584394
123750.343750,78202.070312,103707.000000,61071.000000,96705.468750,41387.000000,161.699997,2731.000000,0.587728
78459.640625,75739.156250,67890.000000,40793.000000,87981.640625,30386.000000,36.959999,1612.000000,0.603282
79595.664062,74624.210938,69902.000000,32270.000000,80960.359375,26122.000000,46.199997,1673.000000,0.616614
95877.562500,74302.109375,84566.000000,50241.000000,86816.281250,37926.000000,116.269997,1935.000000,0.622169
66032.945312,73837.382812,58609.000000,46508.000000,85154.875000,35793.000000,130.129990,1078.000000,0.634390
114882.593750,75263.867188,100034.000000,46331.000000,92826.312500,32710.000000,72.379997,2045.000000,0.673276
100071.671875,74785.304688,87695.000000,54122.000000,87667.500000,40459.000000,170.940002,2204.000000,0.676609
84602.679688,72311.992188,76675.000000,41038.000000,83578.304688,32179.000000,65.449997,1493.000000,0.677720
60746.261719,92466.828125,43054.000000,58909.000000,123115.640625,31358.000000,83.930000,1757.000000,0.691052
99608.734375,76396.851562,85448.000000,67048.000000,99054.507812,44360.000000,248.709991,2344.000000,0.694385
98834.531250,78902.921875,82091.000000,67957.000000,94687.570312,47035.000000,227.919998,2458.000000,0.709939
79374.460938,74289.289062,70022.000000,42813.000000,88875.289062,31570.000000,157.080002,1358.000000,0.715494
82012.273438,77572.367188,69287.000000,34512.000000,85083.640625,26583.000000,56.980000,1292.000000,0.724383
88750.968750,76004.328125,76527.000000,36486.000000,81992.476562,29163.000000,127.820000,1676.000000,0.728827
127927.867188,77617.750000,108015.000000,63872.000000,92553.460938,45227.000000,351.889984,4210.000000,0.749936
114840.726562,75695.757812,99427.000000,52610.000000,81372.843750,42371.000000,107.799995,1634.000000,0.762157
101197.421875,75068.476562,88347.000000,46101.000000,85339.523438,35403.000000,147.839996,1721.000000,0.782155
70058.781250,74099.804688,61962.000000,30052.000000,82137.296875,23978.000000,-3.850000,788.000000,0.784377
94888.484375,73566.921875,84530.000000,36423.000000,86031.062500,27746.000000,61.599998,1814.000000,0.784377
