"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD86","CD206","Time"
169906.890625,80696.140625,137987.000000,75649.000000,103659.710938,47827.000000,97.790001,2636.000000,0.600140
91573.640625,83351.210938,72001.000000,50813.000000,108383.429688,30725.000000,74.689995,1684.000000,0.600140
62131.921875,84068.914062,48435.000000,45994.000000,108383.835938,27811.000000,40.040001,1388.000000,0.602291
96086.125000,73747.757812,85387.000000,42192.000000,89977.390625,30731.000000,31.570000,1382.000000,0.603367
44846.722656,79331.531250,37048.000000,61981.000000,122128.289062,33260.000000,124.739998,2463.000000,0.606593
107662.781250,76677.523438,92019.000000,38408.000000,87927.718750,28627.000000,33.110001,1526.000000,0.608744
104265.781250,86984.601562,78556.000000,67040.000000,114953.781250,38220.000000,74.689995,1924.000000,0.611971
108615.523438,79641.820312,89378.000000,43265.000000,90768.140625,31238.000000,42.349998,2480.000000,0.613047
113978.046875,75577.125000,98835.000000,56392.000000,98955.906250,37347.000000,164.009995,1750.000000,0.615198
44142.832031,98215.734375,29455.000000,46739.000000,145287.062500,21083.000000,188.649994,1861.000000,0.615198
69612.429688,87856.414062,51927.000000,71669.000000,114293.710938,41095.000000,254.869995,3877.000000,0.618424
78526.789062,97492.406250,52787.000000,31039.000000,94353.726562,21559.000000,-13.860000,1253.000000,0.620575
149140.937500,78291.148438,124843.000000,80809.000000,107537.484375,49247.000000,73.919998,3246.000000,0.621651
97798.843750,76533.148438,83746.000000,38249.000000,94641.945312,26486.000000,77.769997,1672.000000,0.622726
80245.835938,72587.867188,72450.000000,51818.000000,103730.968750,32738.000000,24.639999,1425.000000,0.624877
112894.164062,76248.617188,97033.000000,51768.000000,96085.062500,35309.000000,60.059998,1751.000000,0.629179
41335.171875,86241.828125,31411.000000,35035.000000,85664.062500,26803.000000,83.159996,1566.000000,0.632406
144393.046875,76300.523438,124022.000000,71401.000000,91841.726562,50950.000000,149.379990,2683.000000,0.633481
151945.437500,76912.171875,129471.000000,77211.000000,99924.968750,50639.000000,113.959999,2039.000000,0.634557
131792.546875,75434.335938,114499.000000,34997.000000,83091.093750,27603.000000,97.790001,1796.000000,0.634557
181311.328125,83439.859375,142407.000000,91501.000000,105836.843750,56659.000000,265.649994,3259.000000,0.635632
83311.820312,78041.273438,69962.000000,31792.000000,86719.406250,24026.000000,131.669998,1199.000000,0.636708
89927.281250,73660.140625,80009.000000,38688.000000,88009.187500,28809.000000,38.500000,1082.000000,0.636708
90321.492188,88254.382812,67071.000000,62191.000000,117622.851562,34651.000000,144.759995,4741.000000,0.637783
91410.109375,75473.750000,79374.000000,27330.000000,93451.890625,19166.000000,93.939995,1303.000000,0.638859
94386.039062,77575.093750,79738.000000,23509.000000,109563.781250,14062.000000,42.349998,848.000000,0.641010
69811.515625,74409.906250,61486.000000,41341.000000,90413.265625,29966.000000,49.279999,1612.000000,0.642086
88072.359375,82599.828125,69878.000000,61001.000000,112340.851562,35586.000000,14.629999,2070.000000,0.642086
84310.382812,84616.382812,65299.000000,37501.000000,106934.054688,22983.000000,135.519989,1486.000000,0.644237
97882.585938,78093.484375,82143.000000,44290.000000,100620.148438,28847.000000,72.379997,1343.000000,0.650690
116935.804688,74290.453125,103156.000000,44101.000000,85286.921875,33888.000000,47.739998,1428.000000,0.650690
95646.093750,75810.781250,82683.000000,33304.000000,86725.109375,25167.000000,13.860000,1086.000000,0.654992
