"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD86","CD206","Time"
88408.906250,82522.203125,70211.000000,53494.000000,97115.789062,36099.000000,80.080002,1215.000000,0.624771
50000.679688,77654.023438,42198.000000,53007.000000,109744.953125,31654.000000,66.220001,1362.000000,0.628902
58574.550781,74039.812500,51847.000000,13105.000000,88953.843750,9655.000000,56.209999,223.000000,0.635098
53940.410156,79732.921875,44336.000000,40189.000000,92831.890625,28372.000000,16.170000,958.000000,0.644392
62271.750000,73485.929688,55535.000000,49548.000000,93797.562500,34619.000000,77.769997,1200.000000,0.647490
27465.931641,142540.968750,12628.000000,46945.000000,151496.343750,20308.000000,96.250000,1367.000000,0.651621
48673.480469,87026.382812,36654.000000,18054.000000,98615.351562,11998.000000,114.729996,249.000000,0.658849
62868.203125,75405.023438,54640.000000,18730.000000,84468.031250,14532.000000,19.250000,292.000000,0.682601
51556.980469,83012.023438,40703.000000,50313.000000,97177.007812,33931.000000,146.300003,1480.000000,0.684666
56424.171875,73469.921875,50331.000000,28441.000000,81468.140625,22879.000000,90.860001,1110.000000,0.704287
36387.402344,78281.359375,30463.000000,26344.000000,88833.562500,19435.000000,-13.860000,521.000000,0.711516
79224.359375,82113.679688,63230.000000,32280.000000,89769.250000,23566.000000,49.279999,622.000000,0.718745
41640.902344,87391.625000,31227.000000,18771.000000,103489.218750,11887.000000,-14.629999,295.000000,0.719777
42617.339844,85333.648438,32730.000000,21637.000000,111776.953125,12686.000000,33.879997,340.000000,0.723908
56979.542969,89251.929688,41839.000000,51692.000000,124845.656250,27135.000000,76.229996,1305.000000,0.725974
57472.500000,76528.789062,49217.000000,25705.000000,84632.140625,19905.000000,18.480000,674.000000,0.730104
51925.121094,77320.773438,44011.000000,19051.000000,86805.703125,14383.000000,-37.730000,463.000000,0.736300
46413.292969,108598.726562,28009.000000,21343.000000,120279.890625,11629.000000,10.010000,381.000000,0.748693
95018.835938,80103.343750,77739.000000,29931.000000,92252.179688,21263.000000,21.559999,443.000000,0.748693
58556.382812,79409.656250,48326.000000,21795.000000,84030.898438,16998.000000,-13.090000,349.000000,0.760052
100968.320312,80402.679688,82299.000000,80823.000000,88470.484375,59871.000000,137.830002,1953.000000,0.764183
