"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","Alexa Fluor 488-A","Time"
29442.511719,25256.000000,76399.453125,41814.238281,25976.000000,105494.984375,903.340027,4208.879883,0.565395
47767.351562,43786.000000,71495.031250,39428.480469,25662.000000,100693.046875,1399.339966,2666.559814,0.616886
60669.632812,53894.000000,73775.289062,43302.476562,26038.000000,108989.593750,484.839996,1814.799927,0.897564
46995.519531,38283.000000,80450.812500,29275.998047,17195.000000,111580.804688,1183.579956,2071.679932,0.954103
87437.203125,79994.000000,71633.929688,42940.558594,29514.000000,95349.742188,3275.459961,2286.959961,1.058096
104422.992188,91575.000000,74730.710938,47990.796875,32279.000000,97435.632812,899.619995,3489.199951,1.168146
60468.183594,54782.000000,72338.414062,37622.000000,26666.000000,92462.140625,1112.280029,2528.239990,1.243868
66603.320312,63026.000000,69255.789062,47249.277344,26838.000000,115378.523438,1463.199951,3051.359863,1.426612
127077.031250,106502.000000,78196.843750,85856.156250,54646.000000,102965.804688,624.960022,3886.479736,1.504354
109597.492188,96019.000000,74803.765625,68408.078125,44999.000000,99628.703125,2068.320068,5307.119629,1.541710
84963.710938,74467.000000,74773.812500,63487.835938,44343.000000,93830.789062,757.020020,2403.439941,1.666904
135108.171875,115323.000000,76779.554688,60031.917969,40907.000000,96175.515625,1340.440063,4521.919922,1.709309
85045.875000,76623.000000,72740.132812,35272.640625,25087.000000,92144.453125,1053.380005,2332.719971,1.729502
72196.523438,64663.000000,73171.226562,30208.878906,22311.000000,88735.109375,710.520020,2040.479980,2.076815
28463.701172,22027.000000,84686.843750,21504.080078,15739.000000,89541.359375,64.480003,621.919983,2.159605
29705.580078,20470.000000,95104.296875,29006.638672,20822.000000,91296.664062,1336.099976,3130.399902,2.269655
97659.015625,85731.000000,74654.226562,43883.839844,31875.000000,90226.554688,671.460022,2514.719971,2.486727
93419.875000,82703.000000,74028.335938,61706.316406,40987.000000,98665.070312,2290.899902,3219.839844,2.719952
