"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","Alexa Fluor 488-A","Time"
39199.011719,31818.000000,80738.789062,55538.078125,26654.000000,136555.234375,4175.700195,5808.399902,0.547111
42159.140625,37371.000000,73932.765625,26336.958984,17407.000000,99156.601562,3375.280029,10394.799805,0.796072
32160.111328,28579.000000,73748.039062,22530.558594,14995.000000,98470.343750,755.160034,10622.559570,0.804103
17297.050781,10146.000000,111726.742188,47630.957031,21186.000000,147339.859375,1755.839966,24683.359375,0.890436
18965.531250,12994.000000,95653.765625,36443.679688,14102.000000,169364.125000,2841.459961,20635.679688,0.913525
38038.500000,34943.000000,71341.648438,37422.320312,22411.000000,109433.281250,2592.219971,13094.639648,1.113296
37330.660156,31459.000000,77767.953125,50936.078125,22759.000000,146673.703125,1892.859985,18564.000000,1.274920
27239.990234,27322.000000,65339.285156,24064.558594,16142.000000,97701.335938,1240.000000,9361.040039,1.367276
24703.300781,16117.000000,100450.171875,26521.039062,15525.000000,111953.804688,3808.040039,27015.039062,1.417470
85229.945312,70299.000000,79455.328125,50256.957031,32779.000000,100480.195312,7098.379883,9887.279297,1.437547
47570.640625,36606.000000,85166.078125,43019.597656,24558.000000,114803.007812,4712.620117,14179.359375,1.456621
59428.542969,55319.000000,70404.546875,51510.156250,34759.000000,97119.304688,6760.479980,19388.718750,1.589132
64174.070312,58016.000000,72492.281250,39387.917969,26768.000000,96433.296875,4423.700195,26598.000000,1.794926
17921.150391,11830.000000,99279.835938,37639.679688,19622.000000,125713.687500,3608.400146,15367.039062,1.902341
16154.709961,9399.000000,112641.250000,45711.117188,22631.000000,132372.578125,1383.839966,15916.159180,1.928442
40553.859375,32395.000000,82041.609375,44631.597656,31819.000000,91925.460938,3543.300049,62448.878906,2.137247
71607.968750,63854.000000,73494.218750,45769.359375,25802.000000,116252.250000,15683.520508,10290.799805,2.268755
35523.140625,24434.000000,95278.890625,34232.640625,11974.000000,187361.828125,2900.979980,17622.798828,2.315937
