"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","Alexa Fluor 488-A","Time"
45904.531250,43464.000000,69215.890625,20374.638672,14460.000000,92342.484375,454.459991,1203.279907,0.604187
51199.902344,44738.000000,75001.945312,19585.279297,14758.000000,86972.554688,476.779999,1209.519897,0.606260
76640.273438,70166.000000,71583.062500,41108.078125,29158.000000,92395.195312,615.039978,2112.239990,0.606260
49164.070312,39683.000000,81193.882812,30009.199219,18983.000000,103602.328125,407.959991,1580.799927,0.607296
34549.070312,19955.000000,113465.687500,22556.558594,9735.000000,151850.703125,1845.739990,1608.879883,0.609369
30960.890625,25439.000000,79761.507812,28381.599609,15579.000000,119392.546875,303.179993,980.719971,0.612478
49026.613281,47688.000000,67375.617188,26189.279297,18588.000000,92335.953125,220.720001,1154.399902,0.613514
54892.363281,50238.000000,71607.664062,37096.796875,27162.000000,89506.507812,319.920013,1288.559937,0.614550
50697.460938,47774.000000,69546.382812,20686.638672,16158.000000,83903.921875,1340.440063,1084.719971,0.614550
51685.750000,45318.000000,74744.632812,38593.359375,26374.000000,95899.539062,363.320007,1889.679932,0.616623
51430.582031,46553.000000,72402.523438,25573.599609,19117.000000,87670.210938,425.320007,931.839966,0.616623
46639.230469,42398.000000,72091.812500,34720.398438,22734.000000,100089.554688,806.000000,2500.159912,0.617659
24710.410156,14427.000000,112249.359375,40815.839844,22795.000000,117346.210938,608.840027,46419.359375,0.617659
62954.312500,58030.000000,71097.265625,33661.679688,21038.000000,104860.343750,598.299988,1446.639893,0.619732
65226.351562,55986.000000,76352.562500,24787.359375,18502.000000,87799.390625,305.660004,1185.599976,0.619732
21596.230469,16694.000000,84780.796875,29175.119141,18562.000000,103007.257812,866.140015,2186.079834,0.625950
64520.882812,62843.000000,67285.781250,29516.238281,21419.000000,90311.226562,460.040009,1586.000000,0.625950
30455.291016,23985.000000,83215.257812,21144.238281,13461.000000,102942.492188,573.500000,1772.159912,0.628023
34728.402344,30211.000000,75335.492188,31445.439453,15075.000000,136703.703125,314.959991,1646.319946,0.628023
38574.121094,32190.000000,78533.507812,16932.240234,12682.000000,87499.710938,122.139999,761.279968,0.629059
48363.011719,44775.000000,70787.679688,22029.279297,16311.000000,88511.484375,278.380005,1004.639954,0.629059
58789.429688,52919.000000,72806.070312,16586.958984,13655.000000,79607.687500,355.260010,845.519958,0.630095
50243.210938,45122.000000,72974.132812,23663.119141,17122.000000,90572.726562,662.780029,1219.919922,0.631132
55914.621094,46487.000000,78826.781250,45494.796875,23207.000000,128476.187500,864.900024,1893.839966,0.633204
26673.560547,20178.000000,86632.890625,23922.080078,17846.000000,87849.234375,417.880005,2044.639893,0.635277
40719.761719,36782.000000,72552.070312,14600.559570,11598.000000,82502.351562,138.259995,620.880005,0.636313
42907.269531,36022.000000,78062.593750,27380.078125,18946.000000,94710.273438,463.140015,1061.839966,0.637350
40025.351562,33997.000000,77156.843750,21987.679688,15689.000000,91846.812500,236.220001,929.759949,0.638386
49504.562500,40722.000000,79670.226562,21448.958984,15426.000000,91124.015625,298.839996,1104.479980,0.638386
51131.960938,47295.000000,70852.828125,21803.599609,16207.000000,88166.890625,460.040009,942.239990,0.638386
61567.070312,57562.000000,70095.890625,31690.878906,23770.000000,87374.570312,716.099976,1854.319946,0.639422
52310.640625,44994.000000,76193.046875,28058.158203,20034.000000,91784.937500,494.140015,1182.479980,0.641495
40623.382812,35770.000000,74428.125000,22584.638672,15070.000000,98215.445312,146.320007,673.919983,0.641495
47575.382812,42562.000000,73255.492188,28884.958984,19474.000000,97206.773438,187.240005,1147.119995,0.644604
48181.312500,43917.000000,71899.507812,14533.999023,11945.000000,79740.484375,300.080017,752.959961,0.646677
45338.101562,43103.000000,68934.375000,16579.679688,13147.000000,82647.437500,301.320007,902.719971,0.647713
30148.771484,23883.000000,82729.554688,21584.160156,13247.000000,106781.875000,156.860001,873.599976,0.648749
38804.011719,31338.000000,81149.398438,35890.398438,20762.000000,113289.335938,488.559998,1605.759888,0.649786
71298.289062,61608.000000,75844.125000,34942.957031,23736.000000,96478.835938,403.619995,1918.799927,0.649786
65127.601562,54374.000000,78497.125000,27721.199219,19206.000000,94592.140625,737.179993,1758.639893,0.651859
27988.910156,18671.000000,98242.257812,34682.957031,13579.000000,167389.531250,591.479980,2060.239990,0.652895
49664.929688,45290.000000,71866.656250,24611.599609,16794.000000,96042.984375,277.140015,1404.000000,0.653931
42186.000000,31319.000000,88275.546875,36847.199219,14851.000000,162603.062500,428.420013,1036.880005,0.653931
57312.921875,54047.000000,69496.179688,25878.318359,19695.000000,86111.265625,230.639999,1083.679932,0.656004
43860.800781,38882.000000,73927.820312,24862.238281,16454.000000,99025.875000,706.179993,1109.679932,0.657040
48348.000000,42922.000000,73820.765625,27168.958984,17162.000000,103749.265625,260.399994,1074.319946,0.658077
62012.632812,57019.000000,71275.546875,36882.558594,25259.000000,95694.015625,831.419983,1870.959961,0.659113
54009.140625,43207.000000,81920.585938,40115.917969,24995.000000,105182.507812,463.760010,1493.439941,0.659113
66765.273438,61642.000000,70982.921875,31520.318359,23674.000000,87256.718750,539.400024,1174.159912,0.660149
57666.839844,52835.000000,71529.375000,26991.119141,20663.000000,85606.632812,180.419998,827.839966,0.662222
56975.589844,53310.000000,70042.250000,26886.078125,21310.000000,82684.476562,321.160004,1226.159912,0.669476
98215.960938,86591.000000,74334.296875,41514.718750,28863.000000,94262.851562,430.899994,2045.679932,0.672585
88279.343750,68158.000000,84883.281250,38519.519531,26074.000000,96817.335938,413.540009,2176.719971,0.672585
49382.902344,38226.000000,84663.789062,26497.119141,14066.000000,123454.812500,567.919983,1472.639893,0.672585
51681.800781,47986.000000,70583.476562,14880.319336,11798.000000,82657.789062,385.019989,1053.520020,0.672585
44149.941406,41392.000000,69902.664062,18910.318359,14708.000000,84260.718750,292.640015,723.839966,0.672585
39382.292969,30347.000000,85048.210938,31789.679688,20411.000000,102070.859375,558.619995,2016.559937,0.673622
36642.570312,28638.000000,83853.890625,31256.158203,18702.000000,109528.585938,228.779999,1532.959961,0.673622
40866.699219,37295.000000,71812.304688,25683.839844,15775.000000,106701.500000,478.640015,1737.839966,0.674658
28860.281250,20946.000000,90298.265625,24088.478516,12742.000000,123894.406250,362.080017,1137.760010,0.676731
37638.761719,34990.000000,70497.117188,27469.519531,18362.000000,98041.750000,141.979996,827.839966,0.676731
90377.585938,79978.000000,74057.687500,36911.679688,27946.000000,86561.367188,536.919983,3937.439941,0.677767
39214.019531,37195.000000,69093.421875,17765.279297,12879.000000,90400.289062,534.440002,926.639954,0.678803
46793.281250,42123.000000,72802.140625,28505.359375,21231.000000,87990.539062,521.419983,1138.799927,0.679840
25150.441406,13919.000000,118417.937500,29881.279297,15429.000000,126923.296875,539.400024,1966.639893,0.683985
