"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","Alexa Fluor 488-A","Time"
49288.101562,30519.000000,105840.460938,41438.796875,25107.000000,108166.367188,4715.100098,7235.279785,0.533592
35192.132812,31250.000000,73803.257812,32078.798828,20946.000000,100368.390625,5132.359863,14800.239258,0.534646
50225.832031,43674.000000,75367.500000,27032.718750,19310.000000,91746.054688,8299.940430,11909.040039,0.569446
57666.050781,53139.000000,71119.187500,27415.439453,18803.000000,95553.804688,4658.680176,13974.479492,0.582100
52786.222656,45342.000000,76295.656250,21282.558594,17070.000000,81709.070312,12111.080078,5866.639648,0.587373
48381.179688,44731.000000,70883.929688,27847.039062,20555.000000,88785.382812,3909.719971,15714.399414,0.595809
61729.023438,53739.000000,75280.039062,28320.238281,22415.000000,82801.484375,8175.939941,4605.119629,0.669626
40680.261719,32611.000000,81752.218750,29017.039062,17303.000000,109903.523438,1024.239990,20792.718750,0.671735
77322.039062,70866.000000,71506.468750,33802.078125,25458.000000,87015.992188,2821.620117,10706.799805,0.691771
31801.451172,29115.000000,71583.031250,36339.679688,23963.000000,99384.773438,1730.420044,31457.917969,0.698098
55559.121094,49982.000000,72848.679688,24327.679688,19550.000000,81551.851562,4957.520020,17703.919922,0.698098
45957.460938,26359.000000,114263.375000,65684.320312,33251.000000,129460.398438,1934.400024,26824.718750,0.703371
39183.210938,30430.000000,84387.468750,36793.117188,19978.000000,120696.453125,10139.480469,21990.798828,0.706535
48333.781250,42490.000000,74549.375000,20465.119141,16190.000000,82841.390625,2194.179932,9838.399414,0.711807
50987.390625,41377.000000,80757.648438,32018.478516,22565.000000,92991.937500,5891.859863,29940.558594,0.723407
46369.050781,36578.000000,83078.414062,28083.119141,20066.000000,91720.093750,4090.140137,17695.599609,0.724462
54818.890625,45790.000000,78458.414062,31295.679688,22606.000000,90727.851562,2860.060059,23896.080078,0.731843
51530.121094,47210.000000,71533.109375,25473.759766,19610.000000,85132.507812,12914.600586,19683.039062,0.735007
37541.589844,27052.000000,90948.015625,19686.160156,11080.000000,116439.734375,6152.879883,10756.719727,0.737116
61524.410156,53178.000000,75822.023438,23207.599609,18986.000000,80108.140625,3889.880127,11819.599609,0.737116
37234.281250,33807.000000,72179.906250,24122.798828,16991.000000,93044.070312,514.599976,15057.119141,0.738171
63098.882812,44023.000000,93933.820312,66932.320312,25843.000000,169735.578125,5570.700195,52702.000000,0.739225
56541.089844,53709.000000,68991.734375,31153.199219,23865.000000,85550.218750,1892.239990,11025.040039,0.740280
52071.269531,46619.000000,73200.687500,41408.636719,24991.000000,108589.351562,3447.199951,22353.759766,0.748716
33868.089844,19562.000000,113463.828125,31473.519531,16714.000000,123408.437500,4597.919922,12516.399414,0.755043
70890.648438,59671.000000,77858.421875,28379.519531,22839.000000,81434.398438,13631.940430,11171.679688,0.755043
46272.671875,43119.000000,70329.226562,21169.199219,17115.000000,81060.164062,17072.939453,23772.318359,0.760316
23256.810547,15243.000000,99990.710938,40675.437500,18603.000000,143294.375000,6291.760254,34880.558594,0.762425
43618.269531,41006.000000,69710.937500,29234.398438,21870.000000,87604.273438,414.160004,23124.398438,0.764534
44467.519531,42851.000000,68008.296875,23198.238281,16343.000000,93025.750000,17279.400391,14814.799805,0.768752
42374.812500,35535.000000,78150.445312,22744.798828,16699.000000,89263.023438,7581.359863,10901.279297,0.768752
36428.480469,30717.000000,77721.687500,27112.798828,18473.000000,96187.109375,12951.179688,7996.559570,0.770861
66149.859375,58786.000000,73745.406250,20780.238281,17174.000000,79297.398438,13353.560547,12449.839844,0.780352
57355.582031,51863.000000,72476.625000,27813.759766,20739.000000,87892.500000,10623.700195,14138.799805,0.782461
23846.941406,15507.000000,100782.421875,30002.958984,16531.000000,118944.640625,8565.919922,16588.000000,0.782461
48348.000000,32303.000000,98087.937500,41637.437500,25407.000000,107401.539062,6996.700195,20697.039062,0.784570
77284.125000,70203.000000,72146.382812,31306.078125,24335.000000,84309.640625,10505.280273,25810.718750,0.786679
71880.523438,65199.000000,72252.062500,34528.000000,27515.000000,82239.765625,1868.680054,23594.478516,0.786679
65296.660156,53385.000000,80158.882812,45798.476562,30173.000000,99474.656250,42024.218750,4702.879883,0.787733
52964.761719,44707.000000,77641.054688,27227.199219,20579.000000,86707.890625,6708.399902,18665.919922,0.793006
52775.953125,44467.000000,77781.828125,25871.039062,19907.000000,85170.257812,4353.020020,17460.558594,0.795115
45752.851562,42663.000000,70282.421875,22934.080078,17907.000000,83934.109375,8942.879883,14022.319336,0.795115
53240.472656,48151.000000,72463.031250,36046.398438,24499.000000,96425.843750,1554.339966,20161.439453,0.799333
39173.730469,36337.000000,70652.210938,23515.439453,14373.000000,107222.437500,8946.599609,10261.679688,0.807769
53744.492188,39626.000000,88886.062500,47442.718750,31210.000000,99622.109375,3555.080078,34534.238281,0.808824
46507.300781,44731.000000,68138.484375,18530.718750,14187.000000,85601.554688,3142.780029,13660.399414,0.810933
28223.541016,22707.000000,81457.609375,32773.519531,20823.000000,103147.742188,15645.080078,23681.839844,0.814097
55642.863281,44879.000000,81254.273438,34872.238281,25515.000000,89570.328125,4119.280273,38384.320312,0.814097
42564.410156,40503.000000,68871.476562,25331.279297,18387.000000,90287.203125,14848.379883,14103.439453,0.824642
34672.312500,28630.000000,79367.265625,22544.080078,15270.000000,96755.000000,7462.939941,4829.759766,0.824642
18350.910156,14222.000000,84562.320312,31653.439453,16090.000000,128927.273438,5095.780273,45514.558594,0.836242
54813.363281,49346.000000,72797.164062,25393.679688,20214.000000,82329.093750,3878.719971,10794.159180,0.836242
24224.560547,18946.000000,83795.039062,29784.558594,16278.000000,119914.046875,2470.699951,46855.117188,0.836242
107582.203125,87778.000000,80322.031250,56722.636719,39138.000000,94981.210938,1634.320068,5926.959961,0.841514
43072.382812,36378.000000,77596.117188,29679.519531,18570.000000,104742.976562,15906.100586,8002.799805,0.843624
39453.390625,34947.000000,73986.820312,24663.599609,13379.000000,120812.742188,11333.599609,12523.679688,0.845733
55087.492188,50862.000000,70980.570312,44727.277344,29370.000000,99804.117188,9341.540039,41188.160156,0.845733
23899.080078,20461.000000,76548.078125,42618.160156,21529.000000,129733.085938,6758.620117,38649.519531,0.853114
43009.179688,36325.000000,77595.312500,24288.158203,18133.000000,87781.867188,11666.540039,9693.839844,0.858387
