"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","Alexa Fluor 488-A","Time"
77631.718750,67773.000000,75069.312500,28893.000000,23289.000000,81305.843750,325.709991,1972.000000,0.540793
97736.429688,80456.000000,79611.906250,38266.000000,30952.000000,81022.250000,378.069977,2096.000000,0.561261
76923.093750,68599.000000,73488.421875,28503.000000,22935.000000,81446.375000,210.979996,1538.000000,0.580652
60421.570312,53324.000000,74259.031250,44330.000000,30584.000000,94991.203125,381.919983,1701.000000,0.581729
118105.796875,95239.000000,81271.140625,82046.000000,47095.000000,114172.773438,1927.309937,6500.000000,0.591425
70575.445312,63436.000000,72911.789062,27388.000000,22268.000000,80604.453125,592.899963,1537.000000,0.603275
89396.406250,80470.000000,72805.804688,31166.000000,26278.000000,77726.429688,294.910004,1714.000000,0.604352
79192.765625,71595.000000,72490.781250,26162.000000,21391.000000,80153.000000,411.179993,1320.000000,0.608661
95483.351562,59384.000000,105375.140625,38670.000000,21404.000000,118402.039062,480.479980,1740.000000,0.614048
90576.664062,80626.000000,73624.296875,42263.000000,33330.000000,83100.757812,412.720001,2313.000000,0.617280
88216.140625,75915.000000,76155.351562,29221.000000,24395.000000,78500.820312,313.389984,1502.000000,0.619434
78708.492188,70854.000000,72800.968750,34246.000000,27942.000000,80321.593750,293.369995,1358.000000,0.628052
91754.554688,81807.000000,73505.031250,42021.000000,31643.000000,87029.937500,253.329987,3194.000000,0.631284
94187.750000,79820.000000,77332.601562,45915.000000,35960.000000,83678.679688,542.849976,2020.000000,0.645289
75262.515625,66967.000000,73654.250000,27971.000000,23907.000000,76676.601562,88.549995,1385.000000,0.647443
87653.664062,79318.000000,72423.296875,32387.000000,26018.000000,81578.687500,297.989990,2214.000000,0.648521
98236.500000,86210.000000,74678.429688,54806.000000,40242.000000,89254.164062,811.579956,2916.000000,0.648521
54597.691406,44047.000000,81234.000000,53600.000000,29227.000000,120187.828125,414.259979,2091.000000,0.649598
73236.164062,65462.000000,73318.953125,29698.000000,23110.000000,84218.445312,391.160004,1596.000000,0.651752
83259.679688,75665.000000,72114.007812,39657.000000,30529.000000,85130.898438,506.659973,1987.000000,0.664680
97288.500000,84042.000000,75865.632812,41937.000000,33678.000000,81607.679688,296.449982,1973.000000,0.666834
107920.320312,91331.000000,77439.921875,53343.000000,40855.000000,85568.164062,597.519958,2847.000000,0.670066
86312.242188,74799.000000,75623.460938,35780.000000,28367.000000,82662.179688,310.309998,1476.000000,0.675452
83792.140625,75098.000000,73123.148438,27431.000000,22330.000000,80506.851562,75.459999,1469.000000,0.676530
89719.515625,77990.000000,75392.460938,31487.000000,25238.000000,81762.898438,264.109985,1523.000000,0.681916
65175.792969,37059.000000,115258.406250,49788.000000,24391.000000,133775.015625,264.880005,1374.000000,0.693766
110039.101562,81094.000000,88927.945312,66940.000000,45014.000000,97458.125000,693.000000,3384.000000,0.699153
123376.671875,106094.000000,76211.789062,41556.000000,32654.000000,83402.164062,458.919983,3582.000000,0.700230
94351.281250,83983.000000,73626.867188,34217.000000,27227.000000,82361.085938,326.479980,1979.000000,0.701307
100191.750000,89085.000000,73706.757812,34443.000000,28633.000000,78834.093750,360.359985,2408.000000,0.703462
85052.984375,76974.000000,72414.484375,26992.000000,21642.000000,81736.804688,321.859985,1642.000000,0.715312
94800.789062,83390.000000,74503.718750,44079.000000,32298.000000,89440.882812,267.959991,2009.000000,0.715312
87253.132812,73838.000000,77442.804688,42429.000000,32334.000000,85997.000000,591.359985,2179.000000,0.720698
75406.289062,69076.000000,71541.867188,29736.000000,24788.000000,78617.820312,367.289978,1393.000000,0.721775
71446.812500,66155.000000,70778.304688,27453.000000,22139.000000,81266.539062,105.489998,1013.000000,0.722853
69260.093750,61992.000000,73219.601562,25657.000000,21724.000000,77400.898438,104.720001,922.000000,0.727162
82906.554688,75687.000000,71787.289062,32268.000000,25891.000000,81677.632812,261.029999,1311.000000,0.733625
83417.679688,75635.000000,72279.515625,27305.000000,23175.000000,77215.125000,146.300003,1284.000000,0.736857
98844.804688,87302.000000,74200.968750,48156.000000,36854.000000,85633.898438,507.429993,2326.000000,0.736857
91484.375000,79591.000000,75329.125000,36855.000000,29187.000000,82753.601562,280.279999,1816.000000,0.747630
67112.875000,52779.000000,83334.468750,60422.000000,34415.000000,115060.765625,532.070007,3025.000000,0.758403
88152.156250,80899.000000,71411.765625,25878.000000,20823.000000,81445.546875,264.880005,1335.000000,0.765944
76098.335938,68695.000000,72598.890625,25386.000000,21303.000000,78096.835938,140.910004,1349.000000,0.771330
99891.554688,91588.000000,71477.632812,38548.000000,31936.000000,79104.515625,492.799988,2047.000000,0.776716
78402.765625,65739.000000,78160.664062,53543.000000,35519.000000,98792.023438,629.859985,2520.000000,0.777794
97847.031250,87039.000000,73673.914062,46665.000000,35263.000000,86726.523438,303.380005,2511.000000,0.779948
82071.523438,71942.000000,74763.554688,35520.000000,28578.000000,81455.625000,524.369995,2080.000000,0.784257
75007.343750,67907.000000,72388.437500,29039.000000,24035.000000,79180.359375,170.169998,1775.000000,0.785335
94024.218750,82723.000000,74489.210938,30069.000000,24083.000000,81825.437500,472.009979,2018.000000,0.792876
59908.070312,49255.000000,79710.390625,38684.000000,26899.000000,94248.664062,451.220001,2132.000000,0.795030
68869.039062,63154.000000,71466.593750,24441.000000,19990.000000,80128.328125,321.859985,1190.000000,0.798262
89917.804688,79623.000000,74009.437500,41329.000000,32887.000000,82358.921875,414.259979,1875.000000,0.799339
97785.414062,80731.000000,79380.468750,43768.000000,34079.000000,84168.539062,89.320000,1325.000000,0.807957
78379.062500,69291.000000,74131.570312,40607.000000,29579.000000,89969.929688,360.359985,2144.000000,0.821962
69250.609375,63679.000000,71270.085938,27920.000000,22939.000000,79766.554688,116.269997,917.000000,0.823039
84721.179688,72858.000000,76206.968750,37311.000000,29438.000000,83063.171875,324.169983,1589.000000,0.824117
55560.703125,43602.000000,83510.531250,53888.000000,36274.000000,97359.101562,494.339996,1867.000000,0.824117
101153.179688,91299.000000,72609.507812,38481.000000,30387.000000,82992.429688,516.669983,2298.000000,0.834889
