"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","Alexa Fluor 488-A","Time"
78446.210938,67727.000000,75908.445312,33370.000000,26255.000000,83295.992188,1072.609985,23488.000000,0.532015
71348.851562,45007.000000,103893.140625,48725.000000,29195.000000,109376.320312,4863.319824,31443.000000,0.538237
97385.671875,76958.000000,82931.820312,69688.000000,47550.000000,96047.804688,5917.449707,5396.000000,0.541348
82959.484375,72844.000000,74636.664062,30280.000000,24108.000000,82314.171875,9573.410156,4555.000000,0.548608
63169.980469,58430.000000,70852.437500,34103.000000,25598.000000,87310.500000,3032.260010,4830.000000,0.549645
72811.929688,62655.000000,76159.968750,70447.000000,44747.000000,103175.960938,2112.879883,14334.000000,0.550682
63302.703125,55722.000000,74451.843750,33750.000000,26170.000000,84518.148438,1104.179932,3766.000000,0.553793
51868.242188,44698.000000,76048.984375,33324.000000,24938.000000,87574.046875,3388.770020,30301.000000,0.554830
83739.210938,77158.000000,71125.914062,40133.000000,29634.000000,88754.687500,2644.179932,9043.000000,0.558978
58915.042969,51970.000000,74293.945312,23976.000000,19446.000000,80802.796875,850.079956,5028.000000,0.564164
82736.703125,62596.000000,86622.664062,52697.000000,34228.000000,100898.406250,1955.029907,17178.000000,0.568312
51601.222656,48554.000000,69649.007812,35581.000000,26906.000000,86666.039062,2266.109863,10634.000000,0.576608
91658.960938,79859.000000,75219.593750,30066.000000,23571.000000,83594.476562,431.970001,3927.000000,0.576608
77516.382812,70319.000000,72243.835938,34979.000000,27871.000000,82249.781250,3942.399902,20867.000000,0.580757
92743.632812,81454.000000,74619.375000,43041.000000,33354.000000,84569.617188,1704.779907,17787.000000,0.580757
74820.898438,66714.000000,73499.750000,33993.000000,28170.000000,79082.898438,515.130005,9595.000000,0.583868
56305.671875,45967.000000,80276.039062,33012.000000,24613.000000,87899.664062,3274.040039,11346.000000,0.593201
83338.679688,70175.000000,77829.484375,26909.000000,21743.000000,81106.937500,3433.429932,11685.000000,0.596313
66956.453125,56108.000000,78207.359375,38942.000000,30216.000000,84461.976562,2066.679932,8787.000000,0.598387
65743.804688,58798.000000,73277.765625,39724.000000,30206.000000,86186.585938,1358.279907,18115.000000,0.599424
57879.351562,44987.000000,84317.273438,34409.000000,25947.000000,86909.015625,2510.969971,23089.000000,0.600461
86578.468750,77651.000000,73070.609375,35095.000000,27943.000000,82309.914062,3921.609863,9608.000000,0.601498
75185.882812,71058.000000,69343.101562,32440.000000,26390.000000,80560.359375,1943.479980,7490.000000,0.603572
63467.023438,52758.000000,78838.750000,34963.000000,25826.000000,88722.031250,7945.629883,9412.000000,0.633647
65924.710938,56643.000000,76274.953125,29105.000000,21683.000000,87968.703125,1191.959961,9955.000000,0.638832
62202.230469,52158.000000,78156.476562,28901.000000,22846.000000,82905.367188,1046.429932,7062.000000,0.639869
57372.171875,49088.000000,76595.968750,46363.000000,29508.000000,102970.242188,2336.949951,10308.000000,0.642981
80896.789062,74794.000000,70883.382812,33472.000000,27486.000000,79808.671875,495.109985,7059.000000,0.644018
64200.140625,58088.000000,72431.835938,30288.000000,25080.000000,79144.914062,3337.949951,15241.000000,0.647129
72179.929688,65175.000000,72579.734375,31960.000000,26279.000000,79703.585938,3517.359863,8808.000000,0.650240
67187.132812,54558.000000,80706.328125,36273.000000,28634.000000,83019.742188,7931.000000,34474.000000,0.654388
86605.335938,76906.000000,73801.367188,51139.000000,38830.000000,86310.726562,994.839966,10895.000000,0.655425
54555.031250,45551.000000,78490.453125,42602.000000,27231.000000,102528.914062,4633.089844,10040.000000,0.657500
58971.132812,50482.000000,76556.640625,35882.000000,28230.000000,83300.132812,10194.029297,6344.000000,0.658537
96058.468750,80544.000000,78159.617188,41129.000000,28356.000000,95056.781250,2306.919922,22005.000000,0.665796
98138.539062,80372.000000,80022.992188,51252.000000,36148.000000,92919.414062,1943.479980,6266.000000,0.668907
59795.101562,48882.000000,80167.179688,30503.000000,22738.000000,87916.476562,752.289978,6709.000000,0.669944
67597.140625,60355.000000,73399.820312,27700.000000,22323.000000,81321.835938,1001.769958,12050.000000,0.672018
90425.773438,80409.000000,73700.000000,42814.000000,35385.000000,79295.132812,3803.029785,7730.000000,0.675130
63809.089844,56214.000000,74390.593750,29313.000000,24486.000000,78455.312500,2460.919922,8586.000000,0.677204
78943.125000,71923.000000,71932.718750,52861.000000,39283.000000,88188.242188,609.070007,10099.000000,0.679278
67740.132812,62822.000000,70666.601562,31930.000000,26450.000000,79113.968750,929.389954,6289.000000,0.681352
113494.562500,102291.000000,72713.921875,59757.000000,45795.000000,85516.648438,2142.139893,21601.000000,0.684463
84610.585938,73593.000000,75347.375000,30513.000000,25405.000000,78712.851562,4038.649902,11175.000000,0.685500
80655.054688,70330.000000,75157.250000,36444.000000,28558.000000,83633.093750,2792.790039,17204.000000,0.685500
89145.968750,76644.000000,76226.062500,38039.000000,29351.000000,84934.890625,314.929993,11872.000000,0.686537
116348.835938,103451.000000,73706.757812,41985.000000,33307.000000,82611.132812,1368.289917,4469.000000,0.687574
79423.445312,75015.000000,69387.390625,28137.000000,22787.000000,80922.734375,1667.819946,8885.000000,0.688612
53864.570312,41331.000000,85409.710938,42063.000000,27907.000000,98779.546875,4462.149902,13759.000000,0.692760
75300.429688,62783.000000,78602.312500,44122.000000,35583.000000,81262.945312,1331.329956,4817.000000,0.693797
96233.851562,78118.000000,80734.039062,59789.000000,41686.000000,93996.351562,1167.319946,23703.000000,0.694834
82706.679688,73434.000000,73811.382812,45236.000000,35310.000000,83958.835938,4376.679688,12688.000000,0.694834
51745.000000,49154.000000,68990.531250,29878.000000,22834.000000,85753.023438,3207.049805,22538.000000,0.694834
87554.125000,68423.000000,83859.914062,39236.000000,28019.000000,91772.390625,5516.279785,11354.000000,0.695871
66674.421875,61147.000000,71460.171875,34182.000000,26991.000000,82996.250000,407.329987,4963.000000,0.700019
61954.960938,53101.000000,76463.351562,26083.000000,20333.000000,84069.023438,1374.449951,6610.000000,0.701056
78823.835938,69546.000000,74278.882812,38184.000000,29610.000000,84512.898438,2355.429932,3813.000000,0.703130
93611.843750,80295.000000,76405.078125,36564.000000,28535.000000,83976.109375,2284.589844,9506.000000,0.704167
88899.492188,78270.000000,74436.140625,37819.000000,31134.000000,79607.695312,1775.619995,6263.000000,0.710390
81970.398438,70535.000000,76160.945312,35667.000000,27763.000000,84193.804688,4733.959961,3028.000000,0.711427
73580.601562,65331.000000,73811.484375,39763.000000,32019.000000,81386.296875,1848.000000,14600.000000,0.712464
66575.671875,62191.000000,70156.500000,38540.000000,28747.000000,87861.601562,3659.809814,15179.000000,0.713501
69976.625000,63994.000000,71662.781250,18933.000000,17022.000000,72893.500000,309.539978,3508.000000,0.715575
51297.863281,45024.000000,74668.109375,37154.000000,27571.000000,88314.695312,5873.560059,18393.000000,0.716612
63123.371094,44823.000000,92293.093750,55942.000000,34599.000000,105963.031250,2594.899902,32429.000000,0.717649
88183.750000,72487.000000,79727.539062,60868.000000,43799.000000,91076.171875,5644.869629,67095.000000,0.717649
127736.679688,114842.000000,72894.507812,93116.000000,60410.000000,101017.218750,4512.199707,17802.000000,0.718686
74246.570312,64562.000000,75366.671875,38430.000000,29878.000000,84294.414062,1465.309937,6419.000000,0.720761
75448.164062,71201.000000,69445.250000,32311.000000,25701.000000,82391.101562,4641.560059,13723.000000,0.720761
95833.320312,81850.000000,76732.226562,34787.000000,29070.000000,78424.523438,1523.059937,15013.000000,0.722835
69049.164062,59642.000000,75872.804688,37908.000000,30974.000000,80207.226562,4595.359863,15005.000000,0.722835
92718.351562,83115.000000,73108.226562,43768.000000,35391.000000,81048.281250,3020.709961,22269.000000,0.724909
73916.351562,64560.000000,75033.796875,36549.000000,27716.000000,86422.117188,3573.569824,4278.000000,0.725946
68822.429688,55610.000000,81106.757812,44475.000000,25390.000000,114797.703125,365.750000,8470.000000,0.725946
81721.554688,72662.000000,73707.078125,42881.000000,31782.000000,88422.671875,9827.509766,17635.000000,0.726983
138796.687500,113201.000000,80354.242188,65809.000000,40833.000000,105621.890625,3407.250000,38355.000000,0.726983
64550.113281,55602.000000,76082.812500,31067.000000,25190.000000,80826.000000,2534.839844,7525.000000,0.728020
95646.093750,81459.000000,76949.914062,62847.000000,42007.000000,98048.929688,5170.549805,43642.000000,0.732168
70247.593750,64634.000000,71227.937500,32317.000000,24522.000000,86368.445312,3746.049805,14541.000000,0.733205
72284.210938,61591.000000,76914.132812,37803.000000,27555.000000,89909.539062,1458.380005,24107.000000,0.736317
93129.945312,83514.000000,73081.929688,37905.000000,30234.000000,82163.859375,2411.639893,4761.000000,0.742539
66639.664062,58610.000000,74514.539062,30000.000000,24738.000000,79476.109375,1349.039917,5153.000000,0.743576
93507.562500,76291.000000,80325.484375,51396.000000,36695.000000,91791.476562,1914.989990,27687.000000,0.746687
78932.851562,69021.000000,74947.390625,37896.000000,28605.000000,86822.312500,1228.919922,14617.000000,0.746687
51018.203125,41019.000000,81511.703125,35755.000000,26779.000000,87502.890625,5053.509766,16450.000000,0.746687
94221.718750,82706.000000,74661.031250,46124.000000,35954.000000,84073.609375,1081.849976,10138.000000,0.747724
70405.593750,63682.000000,72455.335938,36345.000000,29378.000000,81077.882812,693.769958,4934.000000,0.747724
65210.550781,54247.000000,78781.101562,36252.000000,27747.000000,85624.070312,1591.589966,10961.000000,0.747724
95977.890625,82479.000000,76261.929688,41269.000000,33131.000000,81633.671875,4497.569824,3790.000000,0.749798
84030.718750,74905.000000,73520.281250,31966.000000,25785.000000,81245.835938,16263.939453,7121.000000,0.752910
88428.656250,77487.000000,74790.093750,43420.000000,32383.000000,87872.445312,7076.299805,8993.000000,0.753947
57235.500000,44667.000000,83976.664062,39156.000000,28079.000000,91389.570312,4286.589844,13974.000000,0.753947
72371.109375,57902.000000,81912.765625,44101.000000,30714.000000,94100.515625,2089.010010,3920.000000,0.761206
102409.281250,81638.000000,82210.421875,65985.000000,43634.000000,99106.039062,7201.040039,43935.000000,0.762243
90868.171875,79073.000000,75311.882812,33124.000000,26289.000000,82575.007812,5691.839844,15076.000000,0.762243
86753.851562,72079.000000,78878.742188,45145.000000,34783.000000,85059.453125,1250.479980,21878.000000,0.762243
65848.078125,56618.000000,76219.929688,39518.000000,28106.000000,92145.859375,8694.069336,11624.000000,0.765354
49179.082031,38259.000000,84241.625000,36683.000000,26947.000000,89214.281250,1380.609985,15956.000000,0.765354
71641.148438,62202.000000,75481.078125,34419.000000,27514.000000,81983.117188,5297.600098,13649.000000,0.768466
70210.460938,51587.000000,89195.195312,51732.000000,33031.000000,102640.195312,2671.899902,13257.000000,0.769503
99351.984375,89754.000000,72544.203125,55812.000000,41770.000000,87567.515625,1955.029907,17618.000000,0.770540
91952.054688,59393.000000,101462.625000,55474.000000,37909.000000,95901.875000,2219.909912,27783.000000,0.771577
74801.945312,66183.000000,74070.687500,42450.000000,30515.000000,91168.382812,382.690002,4061.000000,0.772614
84008.601562,74346.000000,74053.585938,43551.000000,33162.000000,86067.132812,3274.809814,8163.000000,0.772614
89703.710938,65366.000000,89937.007812,72959.000000,38070.000000,125596.039062,14861.769531,32373.000000,0.772614
87155.960938,58107.000000,98298.882812,70520.000000,43311.000000,106707.273438,1460.689941,12410.000000,0.772614
66808.718750,60283.000000,72630.359375,27417.000000,22315.000000,80519.859375,1548.469971,5007.000000,0.779873
68433.750000,61290.000000,73174.656250,43013.000000,29946.000000,94132.773438,8331.399414,12523.000000,0.781947
92271.210938,82754.000000,73073.039062,47752.000000,36486.000000,85771.937500,810.039978,9156.000000,0.782984
82950.789062,73151.000000,74315.640625,30936.000000,24847.000000,81596.242188,865.479980,11844.000000,0.784021
62537.980469,54945.000000,74592.578125,22883.000000,18369.000000,81640.820312,1801.029907,41470.000000,0.784021
90165.070312,82735.000000,71421.515625,44540.000000,34415.000000,84816.898438,8791.089844,54766.000000,0.784021
112371.179688,97787.000000,75310.187500,47678.000000,37739.000000,82795.671875,1089.549927,6733.000000,0.786096
90431.304688,77891.000000,76087.179688,76386.000000,49015.000000,102132.671875,11527.669922,23445.000000,0.786096
88424.703125,71786.000000,80726.062500,48895.000000,33966.000000,94340.890625,2376.219971,19408.000000,0.786096
90322.281250,78828.000000,75092.109375,37996.000000,28648.000000,86920.750000,1022.559998,15933.000000,0.787133
86519.218750,78259.000000,72453.312500,38662.000000,30711.000000,82503.101562,1864.939941,12000.000000,0.792318
58721.492188,54514.000000,70594.187500,26756.000000,20582.000000,85194.898438,1131.900024,5024.000000,0.792318
60792.082031,53780.000000,74080.882812,33852.000000,26016.000000,85275.398438,3029.179932,18111.000000,0.793355
99536.054688,83323.000000,78288.046875,88450.000000,53551.000000,108245.578125,2942.169922,54899.000000,0.794392
100254.164062,88499.000000,74241.039062,60885.000000,43299.000000,92153.625000,4748.589844,17150.000000,0.795429
59719.261719,49794.000000,78599.070312,49186.000000,30838.000000,104528.625000,509.739990,6476.000000,0.798540
75233.281250,63368.000000,77807.226562,32661.000000,25388.000000,84310.359375,3146.989990,8184.000000,0.799577
50809.640625,41499.000000,80239.539062,30530.000000,23391.000000,85537.773438,2085.159912,6990.000000,0.802689
85600.453125,71174.000000,78819.671875,39340.000000,29938.000000,86117.515625,2430.889893,8048.000000,0.803726
110129.164062,88147.000000,81879.421875,73821.000000,51107.000000,94662.828125,702.239990,7050.000000,0.806837
86757.015625,75206.000000,75601.789062,37017.000000,30470.000000,79617.531250,804.649963,6170.000000,0.806837
101209.273438,70732.000000,93774.406250,76359.000000,42088.000000,118900.007812,3320.239990,13424.000000,0.808911
69149.492188,58426.000000,77564.460938,36188.000000,26494.000000,89515.242188,9151.450195,16636.000000,0.815133
66660.203125,56863.000000,76827.523438,42783.000000,30207.000000,92820.429688,1727.880005,2381.000000,0.817208
67218.734375,60653.000000,72630.320312,39988.000000,32041.000000,81790.632812,2306.919922,18991.000000,0.819282
68046.648438,62969.000000,70820.648438,40513.000000,29737.000000,89284.726562,2558.709961,7265.000000,0.821356
76337.703125,63778.000000,78441.914062,25180.000000,21366.000000,77234.703125,4703.159668,13457.000000,0.823430
61796.171875,55175.000000,73400.523438,22207.000000,18499.000000,78672.250000,2433.969971,3347.000000,0.823430
74151.773438,62138.000000,78206.742188,35759.000000,28734.000000,81558.500000,2346.959961,3267.000000,0.826541
72860.125000,63516.000000,75177.296875,28603.000000,22600.000000,82943.632812,1751.750000,7927.000000,0.826541
75632.234375,59783.000000,82910.429688,51678.000000,34471.000000,98249.820312,503.579987,5655.000000,0.831726
105192.453125,94263.000000,73134.656250,39597.000000,31767.000000,81689.460938,5526.290039,11867.000000,0.835875
74599.703125,69326.000000,70521.390625,17357.000000,15594.000000,72945.257812,152.459991,2168.000000,0.836912
71673.539062,64211.000000,73152.531250,42229.000000,31315.000000,88376.812500,6305.529785,19407.000000,0.836912
104306.859375,89418.000000,76448.296875,46727.000000,34858.000000,87850.734375,846.229980,12130.000000,0.838986
89809.570312,80329.000000,73270.679688,59510.000000,42637.000000,91470.960938,972.509949,2075.000000,0.841060
64459.261719,55840.000000,75651.898438,28648.000000,23264.000000,80703.039062,9875.250000,6767.000000,0.842097
75051.585938,58571.000000,83976.390625,44886.000000,27163.000000,108296.171875,5321.469727,24410.000000,0.845208
93599.203125,80738.000000,75975.593750,59980.000000,42198.000000,93152.500000,2922.919922,25754.000000,0.847282
122837.101562,111610.000000,72128.414062,63778.000000,47306.000000,88355.703125,2145.989990,6331.000000,0.849357
102156.484375,88883.000000,75322.921875,43935.000000,35527.000000,81046.078125,6426.419922,28604.000000,0.851431
88480.789062,82943.000000,69911.593750,44422.000000,33663.000000,86481.898438,5457.759766,7025.000000,0.851431
88732.015625,73485.000000,79133.726562,49015.000000,34457.000000,93224.804688,10135.509766,20017.000000,0.854542
70342.390625,62994.000000,73180.921875,33452.000000,27506.000000,79702.984375,1665.510010,5382.000000,0.855579
72869.601562,63274.000000,75474.640625,39607.000000,30890.000000,84029.921875,5367.669922,3967.000000,0.857653
67858.632812,61710.000000,72065.851562,35539.000000,27482.000000,84749.429688,4020.939941,19184.000000,0.864913
79738.648438,57862.000000,90314.062500,44551.000000,31618.000000,92342.789062,2217.599854,18260.000000,0.864913
63549.972656,56954.000000,73125.875000,33819.000000,25802.000000,85898.843750,6909.209961,6094.000000,0.864913
88717.000000,80611.000000,72126.101562,36097.000000,29623.000000,79858.664062,3502.729980,22812.000000,0.866987
68545.929688,58638.000000,76609.476562,28303.000000,23726.000000,78178.601562,819.279968,6798.000000,0.868024
59024.062500,49142.000000,78714.765625,35883.000000,25858.000000,90943.937500,469.699982,2195.000000,0.871135
80420.421875,73125.000000,72074.304688,25433.000000,21109.000000,78960.500000,4035.569824,3572.000000,0.873209
93621.320312,71706.000000,85565.593750,44009.000000,34090.000000,84604.687500,6006.000000,21924.000000,0.874246
104399.289062,91250.000000,74979.859375,36982.000000,29542.000000,82040.898438,580.579956,2361.000000,0.874246
93825.140625,78378.000000,78452.171875,40273.000000,32154.000000,82084.085938,3615.919922,16359.000000,0.875283
62210.921875,58120.000000,70148.921875,22348.000000,18380.000000,79684.359375,6654.339844,17835.000000,0.875283
63181.042969,52873.000000,78312.812500,38758.000000,30665.000000,82832.031250,4974.969727,12069.000000,0.878394
88318.843750,77102.000000,75070.218750,34665.000000,28158.000000,80680.640625,5395.389648,5766.000000,0.880469
82889.960938,72418.000000,75012.789062,45820.000000,34706.000000,86522.781250,1822.589966,14183.000000,0.883580
77027.375000,68893.000000,73274.007812,39255.000000,30729.000000,83719.484375,3649.030029,8034.000000,0.884617
67086.015625,59882.000000,73420.203125,40551.000000,27486.000000,96687.421875,1752.519897,10287.000000,0.885654
78973.929688,71259.000000,72631.328125,38631.000000,28859.000000,87727.281250,7254.939941,24155.000000,0.886691
72904.359375,64795.000000,73738.101562,37742.000000,29487.000000,83883.062500,2865.939941,13818.000000,0.887728
60127.691406,48854.000000,80659.289062,36962.000000,29926.000000,80944.382812,1500.729980,20000.000000,0.888765
82317.210938,71938.000000,74991.539062,40333.000000,32818.000000,80543.109375,102.409996,5610.000000,0.889802
103988.492188,83386.000000,81728.234375,43759.000000,33870.000000,84670.500000,6977.739746,16827.000000,0.890839
99887.601562,93134.000000,70288.335938,50470.000000,35930.000000,92056.828125,974.049988,4310.000000,0.891876
102282.093750,94075.000000,71253.359375,48653.000000,35483.000000,89860.578125,4837.139648,5170.000000,0.891876
75538.218750,66786.000000,74124.414062,31623.000000,25190.000000,82272.531250,2859.780029,13302.000000,0.892913
84810.453125,70427.000000,78920.554688,38232.000000,30411.000000,82390.335938,4081.000000,26281.000000,0.892913
101343.570312,91306.000000,72740.585938,58841.000000,44266.000000,87114.351562,3315.619873,17609.000000,0.893950
51843.750000,43097.000000,78836.859375,36217.000000,26285.000000,90299.304688,3857.699951,6782.000000,0.893950
92354.164062,83215.000000,72733.554688,46674.000000,36251.000000,84379.117188,569.029968,7791.000000,0.894988
94052.664062,78625.000000,78395.359375,54794.000000,42853.000000,83797.632812,6236.229980,14142.000000,0.897062
86237.195312,67479.000000,83754.062500,41776.000000,29043.000000,94268.226562,10924.759766,8794.000000,0.899136
94322.843750,80295.000000,76985.390625,40416.000000,31475.000000,84152.601562,2356.199951,7661.000000,0.900173
70518.562500,63410.000000,72882.890625,37065.000000,30130.000000,80620.375000,1256.640015,6626.000000,0.901210
95467.554688,83852.000000,74614.343750,55513.000000,42200.000000,86210.898438,571.339966,4578.000000,0.902247
84507.882812,77462.000000,71497.109375,34322.000000,27974.000000,80407.757812,1496.109985,9186.000000,0.903284
86966.359375,77110.000000,73912.945312,37377.000000,29954.000000,81776.695312,4718.560059,22624.000000,0.904321
85259.960938,79270.000000,70488.171875,39962.000000,31442.000000,83294.625000,333.410004,3740.000000,0.905358
77329.945312,68739.000000,73726.632812,33236.000000,26647.000000,81741.085938,2651.879883,6343.000000,0.908469
70271.289062,62946.000000,73162.695312,44826.000000,33350.000000,88087.460938,714.559998,5331.000000,0.912618
72808.773438,64654.000000,73802.023438,48432.000000,35310.000000,89890.671875,5995.219727,29574.000000,0.912618
68196.750000,62475.000000,71538.093750,28380.000000,23551.000000,78973.789062,1105.719971,12114.000000,0.913655
66404.242188,62098.000000,70080.656250,31977.000000,24774.000000,84590.484375,2363.129883,6189.000000,0.914692
60569.300781,32822.000000,120939.304688,61256.000000,36930.000000,108704.945312,1354.429932,40847.000000,0.914692
68778.984375,58149.000000,77516.382812,60310.000000,43045.000000,91821.953125,5832.750000,27357.000000,0.915729
101632.710938,87058.000000,76507.625000,44145.000000,33026.000000,87600.273438,2404.709961,19483.000000,0.918840
61311.902344,45118.000000,89058.406250,44347.000000,29130.000000,99770.851562,1441.439941,11399.000000,0.919877
69578.460938,60503.000000,75366.414062,39561.000000,30531.000000,84919.257812,1915.760010,7210.000000,0.928174
60299.121094,48899.000000,80814.804688,35769.000000,26327.000000,89040.046875,1097.250000,6755.000000,0.929211
52783.851562,38391.000000,90105.554688,36117.000000,26599.000000,88986.945312,1981.979980,7962.000000,0.930248
75651.984375,69192.000000,71654.648438,30373.000000,24920.000000,79876.601562,1235.849976,13973.000000,0.933359
76171.015625,62675.000000,79648.093750,45360.000000,30055.000000,98909.101562,3123.119873,28827.000000,0.936470
79515.875000,71481.000000,72902.609375,30537.000000,24265.000000,82475.703125,1935.779907,5088.000000,0.938544
81430.039062,70655.000000,75530.382812,32326.000000,25471.000000,83173.679688,798.489990,16678.000000,0.938544
75946.648438,70199.000000,70901.859375,37816.000000,30579.000000,81046.125000,3243.239990,8150.000000,0.938544
55856.953125,49670.000000,73699.250000,33382.000000,24662.000000,88708.250000,2996.839844,29382.000000,0.941656
84429.671875,74422.000000,74348.750000,39523.000000,32102.000000,80685.921875,6326.319824,22100.000000,0.942693
81996.468750,71946.000000,74691.031250,31525.000000,26318.000000,78502.265625,1729.419922,8043.000000,0.946841
91437.765625,77768.000000,77055.679688,42551.000000,33736.000000,82660.140625,3946.250000,12345.000000,0.947878
75462.382812,66646.000000,74205.539062,33871.000000,27026.000000,82134.617188,646.029968,7697.000000,0.949952
68436.914062,49007.000000,91519.203125,48835.000000,33035.000000,96880.601562,1199.659912,21882.000000,0.950989
60687.011719,56375.000000,70548.726562,35528.000000,26771.000000,86973.335938,9254.629883,14007.000000,0.953063
93218.421875,81829.000000,74657.664062,32998.000000,27009.000000,80068.015625,1170.400024,9898.000000,0.957211
83121.429688,75178.000000,72460.632812,24676.000000,19994.000000,80882.585938,5368.439941,4297.000000,0.958249
62241.730469,55987.000000,72857.523438,34330.000000,26131.000000,86098.921875,2480.939941,6250.000000,0.959286
80317.718750,68451.000000,76897.375000,27409.000000,21895.000000,82040.476562,599.059998,9328.000000,0.960323
76746.921875,66043.000000,76157.750000,42277.000000,30543.000000,90713.601562,2898.280029,15080.000000,0.961360
75809.984375,66351.000000,74878.804688,40931.000000,33135.000000,80955.312500,5871.250000,9497.000000,0.961360
54963.460938,47183.000000,76342.867188,40098.000000,29599.000000,88782.132812,3370.289795,6529.000000,0.962397
72597.843750,64771.000000,73455.289062,27831.000000,22407.000000,81400.125000,9179.939453,15122.000000,0.963434
64007.382812,58868.000000,71257.523438,36529.000000,28404.000000,84282.656250,730.729980,2582.000000,0.965508
79267.023438,66743.000000,77833.539062,44060.000000,36823.000000,78416.109375,1202.739990,3572.000000,0.965508
84948.703125,78366.000000,71040.992188,34754.000000,27898.000000,81641.632812,843.919983,7215.000000,0.969656
65281.652344,56395.000000,75863.078125,43821.000000,33003.000000,87017.945312,1916.529907,8592.000000,0.971730
56612.980469,46964.000000,79000.695312,55128.000000,31456.000000,114854.671875,4101.790039,45472.000000,0.971730
71431.015625,65539.000000,71427.750000,46411.000000,34711.000000,87626.148438,3153.149902,10860.000000,0.972767
98851.125000,85977.000000,75349.312500,33142.000000,26809.000000,81017.351562,814.659973,37668.000000,0.972767
