"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","Alexa Fluor 488-A","Time"
75048.421875,66929.000000,73486.437500,34844.000000,26661.000000,85650.812500,261.029999,2307.000000,0.644723
69686.695312,64666.000000,70624.242188,44619.000000,32538.000000,89868.789062,406.559998,4072.000000,0.650993
63614.750000,51426.000000,81069.039062,36657.000000,27314.000000,87953.179688,211.750000,2540.000000,0.655172
86087.093750,77967.000000,72361.445312,24954.000000,21179.000000,77217.312500,177.869995,2042.000000,0.671891
89417.734375,75403.000000,77716.820312,45987.000000,34735.000000,86765.632812,427.349976,3021.000000,0.683386
105085.015625,83299.000000,82676.289062,61076.000000,42359.000000,94494.132812,633.709961,5607.000000,0.684431
105720.171875,93341.000000,74227.585938,40114.000000,32489.000000,80916.960938,602.140015,3795.000000,0.686520
84067.851562,71163.000000,77420.429688,32183.000000,24491.000000,86119.187500,168.629990,1136.000000,0.689655
62379.980469,55848.000000,73201.093750,33208.000000,25096.000000,86719.781250,244.860001,1238.000000,0.694880
72132.531250,64292.000000,73528.242188,32619.000000,26292.000000,81306.812500,462.769989,2119.000000,0.696970
72421.671875,61755.000000,76855.757812,67862.000000,38879.000000,114390.906250,946.329956,4100.000000,0.712644
64511.402344,58116.000000,72747.937500,30987.000000,24724.000000,82137.367188,348.039978,1954.000000,0.713689
107206.953125,95902.000000,73261.398438,67384.000000,51210.000000,86234.671875,804.649963,4386.000000,0.729363
57887.250000,47690.000000,79549.148438,46533.000000,32558.000000,93666.289062,217.909988,2396.000000,0.737722
69347.781250,58019.000000,78332.546875,49093.000000,37655.000000,85443.078125,682.219971,3175.000000,0.749216
68169.101562,57050.000000,78309.031250,40830.000000,27134.000000,98615.570312,593.669983,1607.000000,0.756531
69411.773438,61602.000000,73844.523438,23985.000000,17202.000000,91377.804688,379.609985,1395.000000,0.757576
74923.601562,68146.000000,72054.031250,29936.000000,24482.000000,80135.851562,348.809998,2474.000000,0.761756
90962.968750,81726.000000,72943.125000,42099.000000,32858.000000,83967.367188,363.440002,2201.000000,0.776385
84652.453125,72178.000000,76862.523438,39409.000000,30566.000000,84496.109375,217.909988,2139.000000,0.785789
65115.750000,59799.000000,71362.835938,31784.000000,25843.000000,80601.960938,186.339996,2048.000000,0.789969
99871.015625,86483.000000,75681.320312,46595.000000,37943.000000,80479.921875,404.250000,2688.000000,0.791014
57576.781250,46014.000000,82004.437500,39616.000000,26478.000000,98054.023438,947.099976,1927.000000,0.793103
90848.421875,75639.000000,78713.921875,51865.000000,37347.000000,91011.992188,261.029999,2322.000000,0.802508
70163.062500,62879.000000,73127.851562,43648.000000,31503.000000,90801.375000,1757.909912,2346.000000,0.804598
65838.601562,56219.000000,76749.828125,45204.000000,33007.000000,89753.375000,526.679993,2197.000000,0.805643
84914.734375,58895.000000,94489.718750,49012.000000,28463.000000,112850.031250,448.139984,2774.000000,0.809822
74474.093750,65934.000000,74024.546875,62759.000000,37678.000000,109161.148438,428.119995,2429.000000,0.811912
89697.390625,76592.000000,76749.640625,39278.000000,29584.000000,87010.656250,390.389984,2116.000000,0.811912
90497.664062,79686.000000,74427.820312,33011.000000,25734.000000,84068.117188,385.000000,2952.000000,0.814002
84462.851562,72434.000000,76419.335938,50382.000000,38370.000000,86052.515625,483.559998,3215.000000,0.818182
82660.859375,70134.000000,77241.593750,42625.000000,31090.000000,89851.140625,492.029999,2816.000000,0.819227
54680.640625,47667.000000,75178.859375,35940.000000,24663.000000,95501.914062,462.769989,2602.000000,0.821317
64343.132812,53807.000000,78368.835938,38692.000000,26203.000000,96772.085938,389.619995,2512.000000,0.834901
58085.542969,33966.000000,112073.671875,60485.000000,37390.000000,106016.179688,510.509979,3278.000000,0.841170
86261.679688,78363.000000,72141.773438,38659.000000,31707.000000,79905.265625,477.399994,2298.000000,0.842215
93155.218750,83906.000000,72760.226562,31267.000000,26450.000000,77471.242188,351.119995,3297.000000,0.842215
61683.992188,51542.000000,78431.617188,43749.000000,30998.000000,92494.179688,374.220001,2342.000000,0.847440
52644.019531,45486.000000,75849.242188,46438.000000,33070.000000,92027.843750,228.689987,1943.000000,0.851620
69441.789062,60552.000000,75157.507812,40626.000000,29512.000000,90216.367188,348.809998,2103.000000,0.868339
88193.234375,76535.000000,75518.804688,47470.000000,38215.000000,81407.671875,210.209991,3601.000000,0.876698
65232.671875,59662.000000,71655.125000,44443.000000,35098.000000,82985.257812,482.789978,2990.000000,0.878788
76935.734375,69990.000000,72039.726562,38767.000000,30630.000000,82945.945312,435.819977,2207.000000,0.879833
77299.921875,59902.000000,84570.257812,56627.000000,37018.000000,100251.421875,512.049988,2729.000000,0.881923
59603.132812,52542.000000,74343.406250,42145.000000,28654.000000,96391.945312,463.539978,2038.000000,0.882968
121393.773438,101751.000000,78187.554688,73182.000000,55491.000000,86429.429688,703.779968,6847.000000,0.882968
74684.234375,66300.000000,73823.617188,28016.000000,23244.000000,78990.562500,422.729980,2037.000000,0.884013
75776.804688,65610.000000,75691.335938,32890.000000,24718.000000,87202.804688,621.390015,2585.000000,0.885057
113407.664062,96466.000000,77045.640625,64270.000000,42594.000000,98887.140625,281.049988,3570.000000,0.885057
49914.570312,39359.000000,83111.906250,33826.000000,22367.000000,99111.226562,180.949997,1581.000000,0.886102
73759.140625,67051.000000,72092.578125,34997.000000,28299.000000,81047.507812,1208.130005,2763.000000,0.889237
106365.601562,94906.000000,73449.273438,50931.000000,38170.000000,87446.000000,418.109985,3215.000000,0.890282
77604.859375,52095.000000,97627.640625,74507.000000,34011.000000,143567.984375,747.669983,2905.000000,0.890282
108978.921875,95863.000000,74502.601562,41020.000000,31303.000000,85879.523438,316.470001,3061.000000,0.890282
88105.539062,77070.000000,74920.000000,57836.000000,39870.000000,95067.476562,493.569977,4192.000000,0.894462
69678.789062,63555.000000,71850.664062,31845.000000,25043.000000,83336.421875,252.559998,1985.000000,0.900731
78245.554688,70027.000000,73227.484375,24583.000000,20383.000000,79039.960938,200.970001,2332.000000,0.902821
54229.550781,45286.000000,78478.726562,41170.000000,29366.000000,91878.945312,331.100006,1735.000000,0.910136
71020.210938,63475.000000,73326.203125,43834.000000,33251.000000,86394.554688,267.959991,2790.000000,0.912226
69616.382812,59723.000000,76392.343750,39113.000000,28943.000000,88564.062500,573.649963,2619.000000,0.913271
78317.445312,69483.000000,73868.609375,35138.000000,27887.000000,82576.250000,368.829987,1698.000000,0.914316
62992.230469,56278.000000,73354.750000,35316.000000,25814.000000,89659.476562,173.250000,1642.000000,0.916405
65340.902344,60501.000000,70778.695312,32491.000000,25989.000000,81931.984375,282.589996,1942.000000,0.925810
68407.679688,57522.000000,77938.273438,42016.000000,30690.000000,89721.750000,324.940002,2162.000000,0.926855
60031.312500,47834.000000,82247.195312,53793.000000,34634.000000,101789.507812,558.250000,2923.000000,0.927900
80595.804688,71017.000000,74375.539062,40173.000000,30509.000000,86295.117188,328.789978,2368.000000,0.931035
92385.765625,83119.000000,72842.476562,48297.000000,36427.000000,86891.375000,451.989990,3768.000000,0.934169
65960.265625,59005.000000,73261.117188,36852.000000,29981.000000,80555.445312,560.559998,2661.000000,0.935214
88596.921875,79079.000000,73423.890625,35485.000000,28903.000000,80460.335938,385.769989,2911.000000,0.939394
93165.492188,84993.000000,71837.601562,38964.000000,30677.000000,83239.710938,484.329987,2951.000000,0.939394
75749.148438,66938.000000,74162.609375,40901.000000,32442.000000,82624.007812,560.559998,2960.000000,0.943574
94115.859375,85895.000000,71808.335938,45507.000000,35971.000000,82909.757812,777.699951,3575.000000,0.944619
113579.882812,99871.000000,74531.859375,48150.000000,37071.000000,85122.023438,418.880005,2703.000000,0.945664
66631.765625,59675.000000,73176.023438,33440.000000,27051.000000,81014.523438,273.350006,2401.000000,0.947753
70508.289062,58365.000000,79171.273438,25295.000000,20009.000000,82849.375000,292.600006,1986.000000,0.948798
69431.523438,53734.000000,84681.289062,46135.000000,33330.000000,90714.179688,542.079956,2480.000000,0.950888
101633.500000,90014.000000,73995.750000,61289.000000,44910.000000,89437.453125,310.309998,3276.000000,0.952978
55796.910156,43006.000000,85027.812500,37587.000000,24746.000000,99543.429688,308.769989,1958.000000,0.956113
56157.152344,50825.000000,72411.515625,27120.000000,21309.000000,83407.781250,275.660004,1686.000000,0.960293
86238.773438,76035.000000,74330.820312,39605.000000,31123.000000,83396.632812,163.239990,2293.000000,0.961338
79407.640625,72307.000000,71971.718750,40396.000000,31111.000000,85095.062500,351.119995,2859.000000,0.961338
59816.429688,50727.000000,77278.960938,45558.000000,29955.000000,99672.476562,600.599976,2423.000000,0.963427
