"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","Alexa Fluor 488-A","Time"
56434.441406,48821.000000,75756.078125,54109.000000,37137.000000,95486.640625,2101.329834,59999.000000,0.538405
77490.312500,69391.000000,73185.359375,25568.000000,20667.000000,81077.296875,3187.030029,9337.000000,0.543612
116788.859375,101412.000000,75473.078125,71995.000000,49652.000000,95026.671875,8345.259766,18153.000000,0.545694
91365.085938,81714.000000,73276.335938,34865.000000,28518.000000,80121.765625,6217.750000,7487.000000,0.590475
92542.968750,79504.000000,76284.156250,47500.000000,37540.000000,82923.820312,2895.969971,9411.000000,0.606096
99404.125000,89563.000000,72737.062500,46838.000000,36095.000000,85041.562500,1196.579956,10440.000000,0.620675
75829.734375,60098.000000,82691.234375,55223.000000,38374.000000,94311.109375,8634.780273,22557.000000,0.629007
63331.933594,56274.000000,73755.578125,44665.000000,32262.000000,90731.062500,706.859985,5458.000000,0.657124
72426.414062,65243.000000,72751.671875,29661.000000,23775.000000,81760.812500,3746.049805,2761.000000,0.660249
61556.011719,56142.000000,71855.921875,41633.000000,30474.000000,89534.046875,1372.909912,7684.000000,0.662331
76953.109375,69784.000000,72268.703125,28534.000000,23180.000000,80673.179688,6233.149902,4641.000000,0.686284
122097.664062,108286.000000,73894.992188,68474.000000,52142.000000,86063.289062,9503.339844,26721.000000,0.688366
96403.703125,80668.000000,78319.937500,50769.000000,39404.000000,84438.054688,2816.659912,7606.000000,0.690449
94734.429688,84286.000000,73660.109375,36356.000000,27722.000000,85947.148438,2411.639893,5320.000000,0.702946
92204.851562,76744.000000,78738.890625,29517.000000,24216.000000,79882.156250,4609.989746,5146.000000,0.712319
53924.613281,48906.000000,72261.148438,36720.000000,25802.000000,93267.257812,7317.310059,13464.000000,0.720650
103990.859375,91251.000000,74685.703125,45481.000000,36899.000000,80778.414062,2901.359863,6741.000000,0.734188
91264.750000,85479.000000,69971.882812,48019.000000,35447.000000,88779.671875,525.140015,10594.000000,0.736271
79028.445312,67557.000000,76664.273438,34917.000000,27601.000000,82907.164062,3503.500000,7807.000000,0.751892
108500.179688,98867.000000,71921.546875,55312.000000,39015.000000,92911.117188,6310.919922,5131.000000,0.767513
93794.335938,85226.000000,72124.765625,37907.000000,29822.000000,83303.382812,1913.449951,3009.000000,0.786258
96647.812500,83570.000000,75791.687500,45069.000000,35142.000000,84048.773438,5922.839844,16030.000000,0.792507
66925.640625,56287.000000,77922.765625,30457.000000,23099.000000,86411.960938,505.119995,3927.000000,0.827914
58997.203125,46931.000000,82385.648438,28814.000000,21879.000000,86308.984375,1506.119995,30780.000000,0.843535
74618.664062,67126.000000,72851.187500,29482.000000,24162.000000,79965.750000,3863.089844,9132.000000,0.846659
78789.859375,69874.000000,73898.335938,48830.000000,36562.000000,87525.929688,3322.549805,13031.000000,0.851866
55465.902344,42165.000000,86209.265625,47633.000000,29809.000000,104722.617188,6126.119629,32143.000000,0.857073
76298.203125,68074.000000,73453.585938,36277.000000,30254.000000,78582.976562,2464.770020,26183.000000,0.863322
74725.312500,60546.000000,80883.921875,60273.000000,35718.000000,110589.937500,4650.799805,27996.000000,0.865405
98108.523438,83466.000000,77033.046875,49944.000000,39898.000000,82037.453125,3845.379883,14920.000000,0.885191
84049.679688,63023.000000,87401.101562,52364.000000,39195.000000,87555.226562,4109.489746,8119.000000,0.885191
67996.093750,62299.000000,71529.117188,45691.000000,34123.000000,87753.289062,18716.388672,10132.000000,0.886233
72269.203125,66258.000000,71481.703125,36697.000000,28050.000000,85738.835938,10224.830078,18707.000000,0.888315
96251.234375,86790.000000,72680.273438,37001.000000,29026.000000,83542.257812,5146.679688,8707.000000,0.889357
53667.070312,47465.000000,74099.328125,41211.000000,28057.000000,96261.328125,3309.459961,31183.000000,0.891440
112982.640625,100907.000000,73378.757812,44152.000000,35547.000000,81400.562500,491.259979,4364.000000,0.892481
57345.312500,41591.000000,90360.476562,46333.000000,30487.000000,99599.164062,2502.500000,4089.000000,0.895605
78936.015625,71939.000000,71910.234375,31278.000000,26083.000000,78588.921875,12384.679688,16426.000000,0.896647
91965.484375,83445.000000,72227.820312,66601.000000,42673.000000,102283.953125,3048.429932,7551.000000,0.913309
102122.515625,94191.000000,71054.570312,44276.000000,32763.000000,88565.515625,1456.839966,26841.000000,0.918516
77184.585938,68586.000000,73752.210938,31450.000000,24410.000000,84437.000000,4317.390137,7964.000000,0.919558
66747.101562,58887.000000,74283.593750,51579.000000,37603.000000,89893.929688,6652.799805,24165.000000,0.922682
79049.773438,70999.000000,72967.296875,33832.000000,27571.000000,80418.335938,11414.479492,11425.000000,0.925806
87053.265625,73863.000000,77239.250000,46541.000000,32019.000000,95259.406250,5866.629883,6477.000000,0.937261
74559.414062,69323.000000,70486.359375,38140.000000,28299.000000,88326.203125,2442.439941,5763.000000,0.938303
55073.273438,47751.000000,75585.468750,34376.000000,26103.000000,86306.765625,3454.989990,5802.000000,0.939344
75749.148438,68031.000000,72971.085938,28086.000000,22731.000000,80975.054688,1898.049927,4185.000000,0.948717
72249.453125,55330.000000,85576.359375,51835.000000,39766.000000,85426.210938,4533.759766,11085.000000,0.949758
109521.656250,95971.000000,74789.382812,59858.000000,42823.000000,91606.242188,1303.609985,11061.000000,0.952882
73887.914062,68099.000000,71107.046875,36327.000000,28115.000000,84678.156250,11529.979492,1742.000000,0.953924
85245.742188,74158.000000,75334.625000,59450.000000,38590.000000,100961.781250,1624.699951,7769.000000,0.958089
86848.656250,77026.000000,73893.406250,39099.000000,32034.000000,79989.757812,5289.899902,17513.000000,0.960172
120675.664062,101775.000000,77706.703125,46371.000000,36175.000000,84007.460938,11449.899414,12597.000000,0.961214
81754.734375,70258.000000,76260.046875,64877.000000,43798.000000,97077.015625,4522.979980,9570.000000,0.964338
91023.804688,79570.000000,74969.664062,83434.000000,56978.000000,95965.648438,7303.449707,7130.000000,0.967462
87783.218750,77280.000000,74443.085938,56928.000000,43060.000000,86642.679688,18744.109375,11137.000000,0.973710
78607.375000,73471.000000,70117.632812,41781.000000,32623.000000,83933.414062,4139.520020,11861.000000,0.975793
