"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "CD86", "CD206", "Time", "Event #"
17589.3,14265,80808.7,28875.9,16733,113095,1567.02,1806.89,0.059,1
155005,129946,78174.1,74740,54574,89752.6,17520.9,2563.38,0.099,3
11509.5,6897,109365,38569.9,19109,132279,687.98,867.59,0.147,6
27892.5,27068,67532.3,22561.4,22460,65831.8,175.48,713.06,0.155,7
51399.8,41361,81442.3,55997.4,28693,127900,10240.2,1568.53,0.194,9
154835,124109,81761.1,141108,79465,116374,8454.2,9788.92,0.226,10
15119,10921,90728,24226.9,15453,102746,1612.12,1169.58,0.262,11
27123.1,21752,81718.4,24520.8,13736,116991,2031.14,1109.99,0.275,13
26002.9,15740,108267,34915.7,20652,110800,1233.28,3295.63,0.295,14
40645.5,28809,92462.2,46898.3,27021,113746,3320.18,1062.52,0.307,15
60990.4,51284,77939.8,58374,30340,126091,3504.68,2108.88,0.316,16
87089.6,64101,89039.2,71440.3,41009,114168,3703.12,1431.17,0.328,17
10806.4,6864,103177,21779.6,14836,96208.6,590.4,546.41,0.349,18
78150,68430,74844.9,36148.9,29194,81148.7,1590.8,2747.2,0.352,19
66620.7,47453,92008,72784.6,42681,111760,3466.96,3539.04,0.355,20
40709.5,38589,69137.2,23021.9,18765,80403.2,1294.78,923.14,0.374,21
35830.4,23684,99146.4,93312.9,36436,167838,2696.98,5435.82,0.382,22
84208.5,73544,75039.2,64770.3,42312,100321,4265.64,2310.88,0.383,23
103993,92104,73995.7,63470.4,47964,86723.3,10958.5,1612.97,0.419,24
79636,57948,90063.9,65323.8,36540,117161,3358.72,2171.5,0.429,25
144782,126553,74975.8,72229.1,49433,95758.1,10259.8,3574.39,0.434,27
89353.7,80932,72355.6,34817.7,27584,82722.4,1176.7,761.54,0.44,28
24505,17208,93326.4,43794.6,24680,116294,6566.56,1507.93,0.525,31
143834,125090,75356,90428.3,58786,100812,5216.02,2837.09,0.54,32
27022,22981,77059.8,32504.8,18773,113473,1775.3,2116.96,0.548,33
15282.6,8002,125163,47358.9,16694,185918,3372.66,2262.4,0.554,34
57873.8,44332,85554.9,53530,35148,99810.6,2074.6,1992.73,0.56,35
37085.8,33421,72722.3,27075.1,16909,104938,1093.06,1462.48,0.573,37
38435.1,31667,79542.8,30105.1,22323,88382.6,1830.24,6447.84,0.579,39
51828.7,46325,73322.1,37076.1,22629,107376,2769.14,3563.28,0.582,40
23271,19993,76281.2,33900.6,22253,99838.8,3535.84,1427.13,0.583,41
87501.2,78637,72923.4,52956.3,40125,86493.3,1828.6,998.89,0.585,42
