"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "CD86", "CD206", "Time", "Event #"
15185.4,6704,148447,42126.1,15040,183562,1047.96,1074.64,0.004,0
71936.6,63344,74426,42272.5,32580,85032.9,515.78,8269.88,0.006,1
12463.8,5229,156211,31105,10525,193681,57.4,810.02,0.011,2
91903.1,81796,73633.9,62130.1,42452,95914.5,2954.46,12389.7,0.025,3
75737.3,62825,79005.5,53237.1,39053,89338.8,1093.88,6079.19,0.032,4
29719,18960,102725,41582.7,19876,137108,1858.94,3553.18,0.039,5
100254,89985,73015,63712.8,50753,82270.7,1310.36,2494.7,0.04,6
41478.9,32105,84671.1,48050.8,30781,102305,1472.72,4777.3,0.042,8
49753.4,41197,79147.5,46887.2,32041,95902.2,1594.08,3700.64,0.042,9
58479.8,52896,72454,37535.6,27216,90385.6,911.02,6650.85,0.044,10
70485.4,53196,86836,111780,52184,140380,6602.64,24940.9,0.045,11
41513.7,29713,91564,63833,31329,133530,1621.96,5402.49,0.046,12
90060.8,74185,79560.9,73559.3,47165,102211,3992.58,8343.61,0.047,13
111607,86041,85009.4,141312,67977,136238,5598.14,39380.9,0.053,14
29099.7,27644,68986.9,29857.6,19196,101935,583.84,5155.04,0.053,15
64552.5,56624,74712.3,50054.6,28068,116873,3116,6359.97,0.055,16
97044.4,88796,71623.7,67669,48344,91733.3,785.56,5034.85,0.057,17
108977,94069,75921.8,91802.9,54513,110366,4560.02,7477.03,0.06,18
147584,130772,73961.2,78995.1,57876,89450.3,8198.36,13181.5,0.062,19
93225.5,82831,73760.2,46538.8,31963,95421.8,5438.24,7828.51,0.071,20
68846.1,47600,94787.8,64714.7,36624,115802,6208.22,7682.06,0.075,21
104604,93120,73618.1,61393.9,46496,86534.5,4957.72,5751.95,0.077,23
84699.1,69008,80437.6,47535.6,37268,83591.7,1348.08,1750.33,0.078,24
47395.3,41152,75478.6,55080.3,25588,141072,2238.6,10592.9,0.08,26
40299.5,30054,87877.4,93333.1,47826,127894,2661.72,9096.06,0.08,27
111313,101064,72182.3,79601.1,55276,94376.2,4709.26,4478.34,0.081,28
29510.5,17989,107510,39754.6,23873,109134,2854.42,5910.52,0.084,29
142942,127173,73662.1,80688.9,58001,91171.3,4349.28,6276.14,0.084,30
26549.5,23316,74624.7,27954.8,19296,94944.3,1136.52,2671.45,0.086,31
52522.4,37897,90827.9,87122.6,49001,116521,1083.22,6541.77,0.086,32
35415.7,20996,110545,89560.7,39604,148204,3854,7550.76,0.087,33
114810,94766,79397.5,84627.9,58062,95521.6,5330,5349.97,0.088,34
20180.6,18360,72034.5,28719.3,19884,94656.6,544.48,4135.95,0.091,35
54310.1,35568,100069,94164.3,51744,119263,1888.46,19210.2,0.091,36
14181.3,11113,83630.4,28145.7,13245,139264,786.38,3640.04,0.096,38
86061.8,80788,69814.2,66892.3,41536,105543,1371.04,5105.55,0.103,40
10044.9,8665,75972.2,23064.4,19049,79350.4,341.12,957.48,0.105,41
22065.5,13441,107588,32935.1,19925,108328,1313.64,5446.93,0.108,42
35523.1,24881,93567.2,76755,38437,130869,2113.14,7265.94,0.113,43
37453.1,32276,76048,72067.5,36976,127732,7872,13028,0.114,44
20888.4,16199,84507.8,26940.7,14407,122551,624.84,2374.51,0.123,46
20406.5,16583,80646.4,25231.8,17751,93154.9,756.86,3208.77,0.125,49
104882,93300,73671.5,61311,46276,86828.6,2517.4,3226.95,0.127,50
181343,148352,80110.1,94717.8,60100,103285,2106.58,10101,0.132,51
93532.1,86728,70677.5,52668.5,43068,80144.9,1791.7,3649.13,0.136,52
33645.3,30397,72539.4,39484.9,26045,99354.4,1585.88,7960.82,0.137,53
53853.5,43622,80907.4,72327.1,46578,101765,1644.1,10039.4,0.138,54
43076.3,37105,76082.8,42768.4,26069,107517,952.84,5121.71,0.142,55
86601.4,73216,77517.3,57207.4,33972,110360,7462,5500.46,0.144,56
74810.6,59163,82869.2,77175.1,45883,110231,1373.5,4124.84,0.146,57
16650.8,9681,112719,32209.9,18737,112660,896.26,2095.75,0.154,58
90208.5,76001,77787.2,62019.1,43441,93563.2,1083.22,2676.5,0.155,59
14376.4,8505,110779,22591.7,10937,135372,929.06,1213.01,0.156,60
31281.6,27638,74175.9,35245,19874,116223,1297.24,2145.24,0.157,61
134009,113937,77081.5,83287.6,53153,102691,2480.5,11502.9,0.16,62
24304.4,19605,81245.1,35291.4,16245,142374,1761.36,5899.41,0.165,64
107379,91794,76663,78608.3,48274,106717,3390.7,5720.64,0.176,65
99975.3,84840,77227.5,70972.7,51340,90597.3,2773.24,6656.91,0.179,66
79761.6,72557,72043.4,41086.8,31513,85446.2,2196.78,1406.93,0.194,68
21157,12192,113726,78393.2,31268,164308,1430.08,6642.77,0.195,69
102404,81719,82124.5,88432.6,54339,106655,2933.96,2651.25,0.197,71
11937.7,8601,90960.2,23306.8,14185,107679,473.96,832.24,0.198,72
33464.4,31074,70577.4,36291.3,23430,101510,1541.6,6007.48,0.198,73
26981.7,22172,79752.4,39081.9,25816,99212.7,990.56,5773.16,0.201,75
64979.1,60892,69934.8,32868.4,24904,86494.8,1823.68,11426.1,0.202,76
33375.9,25273,86547.9,44412.7,27085,107463,3394.8,2616.91,0.205,78
66518,57644,75624.9,56888.2,40104,92964,468.22,2154.33,0.21,80
40021.4,26813,97819.8,49840.5,28937,112878,3630.96,26976.1,0.217,81
47184.3,42369,72984.3,43254.3,27797,101979,1291.5,3600.65,0.225,83
84904.5,68261,81515,53094.7,37937,91720.9,1253.78,3888.5,0.228,84
79422.6,68871,75576.7,46220.6,34743,87186.3,1134.88,3036.06,0.23,86
86303.6,71816,78756.7,72507.9,40604,117030,5730.98,27842.7,0.232,87
74211,66668,72950.9,37645.7,31496,78332.2,1063.54,3184.53,0.234,89
10880.7,7334,97228.7,28686,16562,113511,6468.16,1611.96,0.235,90
63065.7,55225,74840.6,50125.3,32537,100962,400.98,6869.01,0.235,91
