"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "CD86", "CD206", "Time", "Event #"
82793.6,77364,70135.5,47614.4,36488,85520.2,3722.8,1742.25,0.003,0
33729.1,32800,67392.3,29906.1,19396,101048,636.32,1804.87,0.012,1
17965.4,11972,98344.5,20989.8,11396,120708,1319.38,1952.33,0.018,2
14402.5,11468,82305.7,29557.7,16828,115111,371.46,1492.78,0.032,3
31001.2,27781,73132.5,29179.9,21189,90251.3,543.66,1341.28,0.034,4
26785,21855,80319.3,36940.8,23215,104284,1156.2,2602.77,0.056,6
16067,12305,85572.4,22300.8,15921,91797.3,1175.06,1293.81,0.082,9
51769.5,31305,108378,75180.4,30397,162089,4766.66,2510.86,0.089,10
91773.5,80802,74434.7,43845.1,35510,80919,1220.16,1551.36,0.09,11
50225,43529,75617.4,45077.3,31037,95182.7,2328.8,3945.06,0.094,12
97485.2,87047,73394.7,77151.9,50919,99299.4,2537.08,4254.12,0.098,13
81224.6,72080,73850.4,50365.7,37956,86962.9,1751.52,3724.88,0.11,15
25694,22781,73916,31138.3,22173,92034.4,1025.82,2179.58,0.111,16
95577.4,83076,75397.9,51473.6,39616,85151.9,2037.7,5518.64,0.117,17
69220.6,60781,74635.8,37915.4,27677,89779.4,635.5,2669.43,0.12,18
19436.4,15109,84306.2,32426,13813,153846,1307.08,3119.89,0.122,19
17469.3,11952,95788.7,46608.5,24144,126513,1617.04,2389.66,0.127,20
21224.1,20360,68317.5,27041.7,16584,106862,2232.04,35366.2,0.135,21
54717,46116,77759,56924.6,35972,103709,4633,10174.7,0.137,22
56904.5,50020,74556,45250,31728,93466.5,2282.06,14312.7,0.137,23
37137.9,21209,114756,75352.1,39725,124311,2250.08,4520.76,0.139,24
27081.2,24373,72818,16639.8,12549,86899.6,282.08,643.37,0.146,25
53803.7,43168,81682.8,81144.4,29924,177713,3724.44,6753.87,0.157,26
22429.7,16644,88317.2,25507.5,17104,97735.2,790.48,1590.75,0.16,27
30446.6,21609,92338.8,46734.7,22617,135421,810.98,1687.71,0.16,28
50814.4,35967,92589.6,58668.9,29557,130085,3886.8,3891.53,0.176,29
20513.1,16985,79149.2,33910.8,22249,99886.5,971.7,3538.03,0.179,30
25003.5,18934,86544.3,48258.8,27334,115705,1377.6,1673.57,0.19,31
24028.6,18429,85449.1,31126.2,19529,104454,1515.36,1150.39,0.192,32
105719,97288,71215.6,50721.2,38760,85760.2,7011,9264.73,0.193,33
81172.5,75406,70547.7,41047.4,31962,84165,3188.16,1225.13,0.203,34
22070.2,15224,95007.5,44283.4,22952,126445,2806.04,1963.44,0.226,36
112557,89573,82352.1,76274.2,47701,104792,13479.2,3604.69,0.25,38
34289.9,27546,81580.9,51434.2,30938,108953,1050.42,1516.01,0.266,39
19805.3,15520,83631.5,27755.8,19040,95536,389.5,2440.16,0.285,40
33067,22041,98320.4,92086.8,42393,142358,34872.1,10107.1,0.293,41
30768.1,24065,83790.6,37049.8,18641,130256,2835.56,3136.05,0.295,42
79898.2,73244,71490,34761.2,26680,85386.4,4268.1,1058.48,0.317,45
59035.1,49605,77994.7,40163.7,28513,92314.6,3282.46,7422.49,0.324,46
71386,51269,91251.1,91520.1,48673,123228,4280.4,8813.26,0.342,47
74112.3,63499,76489.7,55807.6,41791,87516.5,1013.52,2333.1,0.345,48
36137,33708,70258.5,18024.5,15256,77428.6,733.9,886.78,0.401,51
17318.4,14177,80057.6,50134.4,37425,87791.8,1107.82,1052.42,0.419,52
13040.5,7734,110502,36523.6,16550,144629,2192.68,2513.89,0.438,53
57404.6,43738,86013.7,39264.8,28330,90831.5,3608,8953.65,0.452,56
28308.9,22728,81628.4,25218.7,18232,90650.1,1479.28,9192.01,0.454,57
41215.1,25044,107853,58389.1,17332,220782,2826.54,2563.38,0.466,59
29634.5,25501,76158.8,27354.8,18073,99193.7,442.8,1297.85,0.483,60
16327.7,13552,78959.1,22435.1,13488,109009,1303.8,3577.42,0.499,62
71295.1,63800,73235.1,51748.4,30476,111280,1055.34,1493.79,0.499,63
60123,48312,81557.8,42661.4,29528,94684.9,1293.14,3811.74,0.505,64
67458.9,58325,75799.2,42869.4,30001,93646.6,838.86,4558.13,0.517,65
97428.3,88625,72045.9,45040.9,34821,84770.8,682.24,876.68,0.541,66
27015.6,23385,75710.8,27257.9,20589,86763.4,1530.94,1460.46,0.576,67
22076.6,16010,90369.1,26383.2,15834,109199,1789.24,1316.03,0.582,68
43693.3,39500,72493.3,35723.7,22732,102991,3152.08,1447.33,0.585,69
19103,16296,76824.6,27062.9,20056,88432.3,610.9,1544.29,0.589,70
100288,86229,76221.3,59701.1,44741,87449.4,2279.6,1593.78,0.597,71
191064,165297,75751.9,142709,82517,113341,15056.8,5077.27,0.608,72
42838.5,28133,99792.7,52670.5,21605,159769,2304.2,4925.77,0.612,73
19096.7,15545,80509.5,25725.7,15113,111557,1366.12,1367.54,0.645,74
66931.2,56736,77312.5,64079.4,37460,112107,4059,4319.77,0.647,75
27832.5,22832,79889.2,34765.2,18276,124665,1189,2464.4,0.648,76
22928.2,21653,69395.5,34433.9,21653,104219,1389.08,2912.84,0.686,77
91268.7,77424,77254.9,45380.3,37284,79767.3,2438.68,7451.78,0.705,78
32017.9,25612,81927.5,36324.6,24808,95959.9,835.58,2492.68,0.716,79
87656.8,75388,76201.5,55810.6,36104,101307,1786.78,2576.51,0.729,80
33398,25577,85575.9,50803,30137,110476,1746.6,4484.4,0.73,81
33430.4,29448,74398.8,45859.1,32524,92406.2,1973.74,1841.23,0.733,82
34127.2,22781,98176.6,52623,23081,149417,1197.2,1855.37,0.744,83
24440.2,18608,86076.7,23739,18116,85877.8,556.78,1120.09,0.763,84
19492.5,17392,73450.9,30213.1,18468,107215,1388.26,3549.14,0.78,85
30889,26944,75131.4,36363,22484,105990,2264.02,1690.74,0.782,86
16394.1,14606,73559,24616.7,16606,97150.5,1242.3,2302.8,0.784,87
96927.5,82540,76959.5,67061,44312,99181,1699.04,2574.49,0.787,88
57293.2,43912,85506.6,45584.3,23260,128436,1604.74,1047.37,0.838,90
32200.4,25464,82873.3,64790.5,35676,119019,3865.48,3049.19,0.842,91
106947,91644,76479.4,61698.9,45160,89537.1,1516.18,1323.1,0.85,92
29984.5,27328,71906.5,32239.2,20420,103469,929.88,2171.5,0.851,93
21382.1,18837,74390.8,25479.3,13361,124976,1035.66,2225.03,0.876,94
21352.1,15020,93164.6,29769.8,18716,104242,1677.72,3686.5,0.893,96
56576.6,47760,77634.1,53208.8,32848,106158,2572.34,6122.62,0.9,97
37022.6,18170,133534,60778.8,25166,158277,4087.7,6020.61,0.903,98
38938.3,30176,84565.9,34765.2,22916,99422.8,1259.52,3256.24,0.914,99
33426.5,29916,73226.3,21497.8,16268,86604.6,712.58,1788.71,0.936,101
10354.5,8709,77918.8,21994.8,16853,85530.7,347.68,672.66,0.947,102
25258.7,25103,65942.4,23330,15051,101585,1376.78,1303.91,0.957,104
16892.6,11292,98040.3,25008.6,17036,96205.9,767.52,1579.64,0.973,106
98035.8,91472,70238.7,44063.3,34304,84180.6,4146.74,1169.58,0.978,107
46298,43584,69616.9,37422.5,24820,98812.3,1233.28,5282.3,0.989,108
53496.4,42393,82701,66716.6,43817,99786.3,1189,3703.67,0.99,109
34553.8,33340,67922,35889.3,26620,88356.3,1780.22,2184.63,0.994,110
103751,92854,73226.9,48221.4,37010,85388.8,722.42,1647.31,1,111
98743.7,82087,78834.2,49209.2,33555,96110.1,2413.26,1337.24,1,112
56456.6,39633,93355,71784.7,38033,123695,2610.06,4040,1.001,113
86460,77924,72715,53181.6,39648,87906.2,2055.74,3345.12,1.001,114
46249.8,43516,69653.1,42637.1,28012,99752.5,2057.38,1295.83,1.006,116
58825.8,39676,97167.2,84292.6,43308,127556,3321,6516.52,1.014,118
34028.5,25409,87767.7,38775.9,23253,109286,789.66,2471.47,1.02,120
15442.1,8458,119652,33095.7,16522,131277,807.7,4502.58,1.02,121
33421.7,30845,71010.8,28497.2,23001,81196,360.8,2343.2,1.026,122
20553.4,18820,71572.2,28150.7,19012,97038,1017.62,1687.71,1.029,123
28098.7,26435,69660.6,24913.7,19015,85866,903.64,4147.06,1.032,124
22558.5,18828,78520.9,22311.9,15692,93183.4,679.78,1154.43,1.035,126
15382.9,12512,80573.2,21118.1,11232,123219,1500.6,831.23,1.035,127
23241.8,17548,86800.5,30649.5,18680,107529,1031.56,1376.63,1.04,128
84499.2,75702,73151.8,43543.1,34342,83094.8,2256.64,3477.43,1.041,129
11413.1,6312,118500,25636.8,12616,133175,6263.16,1196.85,1.043,130
36415.8,31696,75294.9,26717.5,18676,93754.5,1032.38,3700.64,1.045,131
24174,17656,89729.7,25876.2,12988,130568,802.78,1003.94,1.051,132
87250.8,71385,80101.8,53785.5,35485,99334.6,2732.24,9861.64,1.053,133
26351.2,25124,68737.3,21919,14528,98877,847.88,2388.65,1.068,134
16188.7,13365,79382.1,28827.4,15585,121221,725.7,1344.31,1.073,135
18755.4,13470,91251.2,26967,16474,107279,1211.14,2126.05,1.08,136
22262.2,19173,76095.3,21761.5,13457,105979,882.32,1207.96,1.081,137
29042,25416,74885.7,28317.4,19016,97591.9,792.12,1910.92,1.09,138
16637.4,14532,75030.9,20225.2,11936,111049,661.74,1460.46,1.093,139
26442.1,16217,106858,31271.6,12489,164098,1053.7,1518.03,1.094,140
32573.3,21249,100462,52208.9,24801,137961,918.4,2814.87,1.096,141
22625.6,16272,91125.3,30573.7,20272,98839.7,682.24,1491.77,1.1,142
24043.7,18272,86237.1,68323.5,36288,123392,937.26,2301.79,1.107,143
17997,17022,69289.8,23552.2,13162,117271,505.94,1524.09,1.112,144
61593.1,39778,101477,59708.2,35602,109911,3870.4,5256.04,1.114,145
23141.5,17441,86956,28589.1,14273,131270,1831.88,2763.36,1.128,147
20799.9,19064,71503.5,31697.8,18412,112826,1138.16,2170.49,1.128,148
19971.2,19613,66732.9,19412.2,14937,85170.9,694.54,2661.35,1.132,149
46425.1,39632,76769.2,46449.9,29204,104237,5834.3,2012.93,1.133,150
32611.2,22253,96041.3,34438,23033,97986.7,1250.5,1864.46,1.14,151
57710.3,47917,78930.3,61440.3,33017,121954,6009.78,5780.23,1.144,152
30999.6,24453,83081.4,35549,22453,103761,1671.16,4730.84,1.145,153
41313.1,30320,89297.2,47164,26432,116939,7180.74,6094.34,1.151,155
35354.1,20204,114679,54115.8,25096,141319,2819.98,3299.67,1.152,156
19938.8,15814,82629.9,46190.3,23394,129398,1237.38,2918.9,1.162,158
22146.1,16019,90602.7,32772.5,19639,109363,1318.56,1766.49,1.17,160
25655.2,24204,69465.5,22267.5,16936,86166.8,1493.22,665.59,1.172,161
31653.7,25468,81453.5,28097.2,18920,97324.4,1351.36,989.8,1.191,164
60760.5,51136,77870.8,28993.1,22096,85992.5,2437.86,4590.45,1.194,165
23134.4,14312,105934,43874.4,25704,111864,1770.38,2835.07,1.201,167
18920.5,15052,82379.3,22221,15352,94859,619.1,866.58,1.204,168
103767,77636,87594.6,54360.2,28608,124530,3910.58,5510.56,1.204,169
82054.9,76889,69939.1,49926.3,34701,94290.4,3199.64,2301.79,1.206,170
16091.5,13650,77258.1,20735.3,12882,105489,1843.36,1635.19,1.207,171
37612.7,29264,84232.7,37721.5,27892,88631.7,913.48,1494.8,1.207,172
55230.5,44229,81837.4,38993.1,22229,114960,1132.42,8784.98,1.213,174
35463.1,26212,88665.9,54577.4,30676,116599,1819.58,2646.2,1.226,175
31242.9,26085,78494.8,39855.6,23093,113107,2460.82,3005.76,1.237,176
33232.1,28436,76589.6,30987.8,24580,82620.7,626.48,1434.2,1.259,179
16493.6,11960,90378.4,25431.8,8552,194890,355.06,1113.02,1.266,180
28607.5,19831,94539.9,32691.7,19779,108321,1992.6,1437.23,1.267,181
44065.4,40130,71962.9,58752.7,33954,113401,2505.1,3461.27,1.269,182
