"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "CD86", "CD206", "Time", "Event #"
30720.7,16909,119068,55610.6,19197,189847,993.02,11083.7,0.001,0
37410.4,29783,82319.8,74692.5,36243,135062,1660.5,6678.12,0.021,1
21472.2,11725,120017,64335,27037,155944,772.44,7321.49,0.024,3
105382,91962,75099.7,70349.5,44638,103285,2512.48,30568.7,0.035,5
115863,103184,73588.9,49334.5,38096,84869.4,3445.64,2784.57,0.038,6
49631,31508,103231,78066.9,31232,163813,1503.88,8643.58,0.043,8
68292.3,58429,76599.1,41214.1,25689,105142,747.84,4422.79,0.052,11
82498.1,70284,76925,38937.5,30156,84620.3,533.82,3455.21,0.057,13
20660.9,13749,98482.1,25964.1,14849,114592,1259.52,2941.12,0.061,16
97550.8,89730,71248.1,64317.8,47138,89421.1,1954.06,6499.35,0.061,17
88161.6,75555,76470.9,55580.3,38467,94691.8,2389.48,4256.14,0.062,18
31261.9,22048,92923.6,60361.6,30752,128638,1260.34,8857.7,0.064,19
102228,91580,73156.1,59011.3,43544,88815.1,1477.64,2821.94,0.067,21
76968.1,57637,87516.4,66792.3,44293,98826,3809.72,62956.3,0.067,22
119886,101761,77209.1,71275.7,43109,108356,1995.06,11648.3,0.068,23
76727.2,66772,75306.9,31870.5,25828,80868.4,961.86,3110.8,0.071,24
99821.2,90877,71986.2,54114.8,41337,85794,501.84,8588.03,0.077,25
65012.3,42504,100241,40668.7,25528,104405,2338.64,9641.46,0.077,26
90164.3,80716,73207.4,35019.7,28108,81651.2,3182.42,4194.53,0.08,27
104050,95759,71210.3,56520.6,42635,86880.1,822.46,5478.24,0.081,28
27063.8,26037,68120.5,31590.8,21825,94860.6,708.48,2090.7,0.082,29
48844.1,39176,81709.4,43346.2,27128,104716,2972.5,3698.62,0.085,30
89131,76792,76066.3,42340.2,32380,85695.1,2667.46,4914.66,0.087,31
35893.7,25905,90805.9,33235.1,16561,131519,1843.36,21304.9,0.087,32
20423.9,19120,70005.2,16833.7,12836,85946.7,932.34,1336.23,0.091,34
37546.3,28595,86051.3,75327.8,38483,128282,2124.62,8247.66,0.091,35
28628.8,20262,92597.9,35363.1,20646,112252,847.06,5910.52,0.092,37
56441.6,42635,86758.6,50800,33551,99228.8,1641.64,12431.1,0.094,39
