"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "CD86", "CD206", "Time", "Event #"
111852,93564,78345.8,63394.7,43448,95623.1,1516.18,2621.96,0.011,0
118293,96633,80225.7,85312.7,55577,100600,5305.4,2651.25,0.032,3
110535,84968,85256.1,86914.5,54444,104622,1245.58,1561.46,0.034,4
37817.3,29586,83769.2,70484.9,32166,143608,14273.7,3730.94,0.042,5
46963.9,40960,75142.3,59809.2,28544,137320,1847.46,2385.62,0.047,6
24226.9,23084,68780.8,13837,12716,71313.4,533,973.64,0.072,7
17332.6,6284,180762,54270.3,21436,165920,603.52,1335.22,0.074,9
126363,108658,76214.5,107786,67922,104000,8439.44,3891.53,0.09,10
45062.4,34017,86815.7,58457.8,29777,128659,1429.26,1872.54,0.139,15
92537.4,72301,83879,64818.8,45257,93863.1,1689.2,1135.24,0.146,16
40067.2,33641,78054.9,44475.3,28605,101896,2510.02,1818,0.156,18
78813.6,57097,90462.3,91916.1,47421,127028,20128.5,5592.37,0.182,21
18237.9,7709,155045,66013.6,21885,197682,285.36,1592.77,0.193,24
131643,107861,79986,86410.5,59297,95502.3,1175.06,1776.59,0.206,26
79376,65830,79021.6,85770.2,49782,112913,685.52,1439.25,0.207,27
31806.2,27340,76241.8,51269.6,30524,110078,719.96,1876.58,0.213,28
105140,91401,75387.3,57714.4,38253,98877.8,4008.16,3387.54,0.236,33
23818.5,19437,80309.2,56920.6,45529,81933.4,1059.44,1456.42,0.247,34
37803.1,19197,129055,73497.7,32413,148605,9686.66,2331.08,0.248,35
10463.5,8449,81162.2,30447.5,18053,110530,2186.12,1523.08,0.264,37
84802.6,59748,93017.7,67348.8,41844,105482,6673.98,2834.06,0.275,38
15431.9,7845,128916,32735.1,14769,145259,450.18,636.3,0.279,39
44488.1,34257,85108.7,66280.2,37797,114923,1275.92,2422.99,0.284,40
15063.7,10345,95429.3,23139.1,14829,102262,1868.78,1078.68,0.297,42
15999.9,7161,146428,47293.2,18093,171304,311.6,809.01,0.301,43
13050.8,7379,115910,38870.9,21495,118513,18111.3,753.46,0.308,45
47496.4,31974,97351.7,100118,42966,152710,4370.6,2869.41,0.319,47
68242.6,56416,79274.4,45841.9,32884,91360.3,231.24,901.93,0.32,48
62951.2,55344,74544.1,65617.7,37764,113874,4983.96,2629.03,0.321,49
50067.8,38622,84957.9,111009,69390,104844,3256.22,2339.16,0.325,50
20803.9,11830,115250,46790.3,20050,152940,3266.88,1934.15,0.329,52
53882,34860,101297,62707.9,30568,134442,4900.32,2525,0.354,55
95474.7,78496,79711.4,48350.7,33776,93815.5,6081.94,1120.09,0.37,58
35049.1,19304,118990,79705.2,32840,159061,2734.7,2990.61,0.373,59
12898.3,10769,78494.3,23574.4,17617,87697.8,464.12,497.93,0.376,60
16265.3,9585,111212,35232.8,20353,113449,-18.04,564.59,0.395,62
29836.7,24421,80069.6,74581.4,40917,119456,7014.28,3185.54,0.399,64
43411.3,32888,86505.8,83106.8,52972,102818,16361.5,7348.76,0.435,66
59701.9,50425,77592.9,50139.4,34749,94562.1,6042.58,2356.33,0.437,67
24215.9,16453,96457.3,47136.7,26421,116920,1288.22,1581.66,0.437,68
73680.1,57271,84313.2,49692,30339,107341,7137.28,3101.71,0.463,70
13455.3,7505,117496,33288.6,11797,184928,10356.6,822.14,0.471,71
61532.3,38957,103514,81632.2,41229,129759,2816.7,2224.02,0.476,73
19696.3,12705,101599,77541.7,34773,146141,1224.26,2048.28,0.494,77
30912.7,22609,89605.7,44631.9,30245,96710.1,1182.44,1433.19,0.498,78
45741,29586,101321,102224,38390,174508,5550.58,5273.21,0.503,80
36593.6,25526,93951.2,78144.7,41378,123768,1726.92,2236.14,0.513,81
67861.8,48012,92630.8,107517,50408,139783,12499.3,5865.07,0.559,84
114634,93943,79970.2,109709,68695,104664,2546.92,3143.12,0.56,85
29616.3,24153,80360,59159.7,31273,123976,906.92,1651.35,0.56,86
32804.8,20037,107296,57989.1,41073,92527.4,1029.1,579.74,0.566,88
38458.8,33416,75426,77079.2,41064,123014,1059.44,2582.57,0.586,91
100828,78205,84493.9,64212.8,43101,97636.9,3374.3,1718.01,0.593,92
77329.9,60619,83602.4,78078,42184,121300,3179.14,2011.92,0.656,99
14592.9,12233,78178.6,30245.5,19245,102996,945.46,1015.05,0.681,104
40290,31978,82570.7,62606.9,36538,112294,10992.1,4048.08,0.697,106
127024,114667,72598.5,71539.3,48879,95918.5,6874.88,3480.46,0.734,109
24181.9,15157,104558,31415,19505,105553,1550.62,746.39,0.734,110
136048,112893,78978,91322.2,62601,95603.8,2510.02,2090.7,0.8,116
19071.4,16993,73551.6,27331.6,16517,108446,707.66,745.38,0.813,118
25810.9,22593,74870.2,58281,36545,104515,1072.56,2380.57,0.837,119
40369,30280,87372,51028.2,29420,113671,4417.34,3289.57,0.853,122
21965.2,18025,79861.8,61426.2,50429,79827.6,428.86,490.86,0.874,123
88585.1,70725,82085.7,54607.7,38709,92453.1,4802.74,3079.49,0.891,125
13186.7,10101,85556.1,26113.5,15825,108144,257.48,244.42,0.898,127
