"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "CD86", "CD206", "Time", "Event #"
74686.6,65620,74591,34358.2,29284,76891.7,82,514.09,0,0
15612,10366,98702.2,21668.5,14318,99180.7,245.18,581.76,0.01,2
22554.5,19804,74638,23717.8,16284,95453.9,531.36,716.09,0.02,5
113679,103355,72082.1,53874.4,39003,90524.1,602.7,795.88,0.021,6
92692.3,71316,85179.8,48526.5,34480,92234,350.14,1006.97,0.027,8
33950.2,24877,89438.6,38448.7,21485,117281,490.36,1313,0.033,12
73193.5,66584,72041.5,49634.4,32092,101360,273.06,741.34,0.034,13
86205.6,72749,77658.4,50808.1,39885,83483.9,612.54,828.2,0.037,14
71869.5,56645,83150.1,68699.2,40609,110869,362.44,1050.4,0.038,16
28818.4,22852,82646.7,39209.2,27300,94125.1,438.7,776.69,0.04,18
104304,89481,76392.7,44167.3,34697,83423.6,348.5,815.07,0.046,19
68960.7,64921,69614,39040.5,27069,94520,75.44,723.16,0.048,20
72812.7,66671,71573.2,36901.4,26299,91956.6,774.9,721.14,0.049,21
17631.2,9933,116327,34219.8,22169,101161,779.82,923.14,0.054,23
73236.2,65288,73514.4,45230.8,32344,91647.5,342.76,642.36,0.055,24
62910.9,54414,75769.6,45399.5,26542,112098,574.82,1370.57,0.059,25
59627.6,56333,69368.9,42717.9,25373,110336,209.1,823.15,0.06,27
42745.3,34037,82303.3,49690,30465,106893,513.32,1741.24,0.064,29
39161.9,24183,106129,53924.9,28835,122560,321.44,714.07,0.065,30
19397.7,17153,74112.1,18374.9,9633,125010,797.86,653.47,0.07,33
37622.2,26935,91539.1,39327.4,20247,127296,3528.46,757.5,0.074,35
11894.2,10257,75997,20503,13137,102282,395.24,620.14,0.074,36
37545.5,35421,69466.8,23589.6,19225,80414.3,1435.82,867.59,0.076,38
72300,63158,75022.2,27915.4,22310,82001.9,186.96,524.19,0.081,41
62732.3,56188,73169.1,26912.5,20728,85089.5,131.2,438.34,0.082,42
150001,121329,81023.3,89247.6,53009,110338,561.7,1894.76,0.088,45
81996.5,76297,70431.6,36843.8,27517,87749.2,519.88,732.25,0.095,46
33375.9,27032,80916.1,20146.5,15612,84570.8,161.54,812.04,0.098,47
52136.1,42520,80357.2,49549.6,26424,122891,510.04,742.35,0.099,48
34413.2,28842,78195.1,32107.9,16318,128951,429.68,645.39,0.104,49
45790,40233,74587.8,42444.2,27737,100286,410.82,577.72,0.104,50
26928.7,18243,96738.5,44926.8,21303,138212,888.06,1359.46,0.106,53
112912,96653,76560.2,58504.2,41997,91295.4,411.64,1116.05,0.107,55
86993.2,72305,78849.1,120487,69681,113320,82163.2,2867.39,0.124,57
78616.9,72268,71293.4,29831.4,24840,78704.8,259.94,451.47,0.129,59
147125,130477,73897.9,101064,65801,100657,2956.92,2113.93,0.133,60
40804.3,38456,69537.9,46561,32636,93498.6,592.04,809.01,0.135,62
84465.2,79764,69398.6,54963.2,39796,90513.3,628.12,717.1,0.136,64
28511.9,19213,97254.7,46136.8,22457,134640,687.16,717.1,0.148,65
106547,86887,80364.5,63977.4,43091,97301.6,296.02,1085.75,0.153,67
79178.5,67322,77078,60042.5,40286,97675.2,423.94,1039.29,0.156,68
89111.2,75732,77113.9,57830.6,43744,86640.1,487.08,786.79,0.157,69
95099.4,76844,81105,57421.5,33768,111442,975.8,1610.95,0.16,71
40435.4,29363,90248.7,56077.2,20999,175012,1002.86,1251.39,0.162,72
23182.6,21704,70000.5,27392.2,18392,97606.3,298.48,758.51,0.163,74
93538.4,81052,75632.1,69594,45096,101138,1864.68,956.47,0.165,77
28169.8,26225,70396.1,31680.7,21541,96384.8,614.18,901.93,0.168,78
75583.2,68824,71972.3,42313.9,28984,95676.5,515.78,534.29,0.172,79
102708,91936,73214.7,45408.6,36228,82143.6,45.92,535.3,0.173,81
82491,74431,72632.8,71328.2,44447,105172,3025.8,1244.32,0.182,84
45446.3,30492,97677.1,81556.5,42332,126261,985.64,1553.38,0.183,85
61951.8,54008,75175.4,45600.5,33048,90428.3,1900.76,946.37,0.192,87
86005.7,71500,78831.8,42519,30760,90589.2,241.08,754.47,0.192,88
23339.8,16629,91983.6,48412.3,24789,127990,508.4,1133.22,0.193,89
101361,77756,85431.2,105446,53852,128324,860.18,1532.17,0.196,90
39291.4,22841,112736,58274,27997,136409,255.84,575.7,0.197,92
59956.3,45656,86063,61097.9,31004,129148,564.98,899.91,0.2,93
28371.3,18202,102150,37280.1,17722,137862,420.66,615.09,0.214,100
92065,65392,92267.8,53615.8,29520,119030,551.04,893.85,0.216,101
87278.4,74996,76269.1,53306.8,39776,87829.7,362.44,882.74,0.217,102
37986.4,31049,80178.9,38645.6,23453,107990,503.48,642.36,0.219,103
72940.7,67176,71160,38874.9,29272,87035.6,615,1036.26,0.221,104
24048.4,14881,105909,48890.1,18485,173333,1831.88,1560.45,0.223,105
100411,82185,80070.1,99773.9,53501,122218,1332.5,1886.68,0.224,106
67316.7,64346,68561.6,63448.2,34494,120547,410.82,891.83,0.224,107
14423,11902,79417.5,37135.7,28814,84463.2,2733.06,1264.52,0.227,109
20959.5,17424,78833.9,26036.8,16100,105984,457.56,816.08,0.228,110
71424.7,64572,72491,55167.2,39708,91050.6,190.24,691.85,0.237,113
130067,106276,80207,78955.7,50144,103192,1525.2,1288.76,0.24,114
63023.8,55188,74841.1,30710.1,23604,85265.8,285.36,838.3,0.24,115
73255.1,65054,73797.9,26440.8,21198,81744.7,235.34,552.47,0.244,117
102851,77346,87146.5,90438.4,37218,159250,9302.9,1693.77,0.25,118
79677,70701,73856.3,75327.8,50765,97245.8,482.98,1366.53,0.259,119
71961.1,62904,74972.1,46528.7,31032,98263.2,460.02,588.83,0.265,121
102613,89906,74798.7,60384.9,43730,90495.8,1166.04,1168.57,0.269,123
54822.8,45355,79216.6,64922.8,37211,114342,928.24,1087.77,0.27,124
72070.9,59808,78973.4,63666.4,42548,98064.3,205.82,783.76,0.27,125
73456.6,67478,71342.5,34470.3,25014,90311.2,650.26,581.76,0.278,128
106148,95312,72986.5,74265.3,46052,105686,838.86,1629.13,0.285,130
13952.2,10484,87215.8,21589.8,14068,100576,395.24,525.2,0.285,131
18927.6,15912,77956.3,43517.9,29256,97483.8,369,720.13,0.285,132
54316.5,35065,101517,43412.8,28473,99922.8,77.08,853.45,0.29,133
88889.2,80427,72431.4,54840,39647,90649.8,569.9,873.65,0.294,136
112778,92481,79919.3,89971.8,55189,106840,943.82,1805.88,0.294,137
20322,16117,82634.5,63699.7,28913,144386,3293.94,1079.69,0.295,138
129012,116514,72565.6,69657.7,44625,102299,812.62,1067.57,0.3,139
76976,71001,71051.1,41187.8,31081,86846.8,600.24,747.4,0.301,140
66456.4,55433,78568.5,55422.7,36873,98505.3,258.3,691.85,0.308,142
27348.2,15428,116171,46003.5,21812,138221,563.34,591.86,0.308,143
39966.9,34285,76397,40216.2,24445,107818,438.7,565.6,0.311,145
