"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "CD86", "CD206", "Time", "Event #"
35798.9,20882,112351,69091.1,21794,207761,292.74,1258.46,0.077,3
55701.3,37013,98625.9,122577,44193,181775,289.46,1244.32,0.122,4
13163.8,12997,66376.9,61387.8,58213,69110.2,-22.14,77.77,0.304,10
72524.4,60393,78700.5,42214,29293,94443.5,295.2,768.61,0.314,11
27537.8,20725,87079.3,53203.8,28293,123238,216.48,1795.78,0.325,14
91919.7,66104,91129.8,118885,45400,171614,543.66,3229.98,0.331,15
55025.1,47937,75226.3,70381.9,41617,110833,168.92,757.5,0.337,16
33688,31048,71108.4,59510.2,31020,125727,299.3,1808.91,0.337,17
32726.5,25452,84267.1,56436.8,36344,101768,227.14,991.82,0.357,23
28999.3,19567,97127.8,50428.3,33227,99463.3,262.4,1332.19,0.389,26
42766.7,27272,102770,50978.7,25432,131368,338.66,1392.79,0.391,27
104131,80509,84765.2,118204,62393,124159,555.96,2294.72,0.42,30
20449.2,17012,78777.1,27452.8,17280,104117,277.16,1139.28,0.425,31
42250,40561,68265,28401.2,21537,86423.4,49.2,404,0.427,32
67297.7,47148,93544.3,48406.3,24696,128456,259.12,815.07,0.433,34
65832.3,57132,75516.1,47308.4,29224,106091,197.62,879.71,0.454,36
27542.6,22424,80495.4,40994.9,21260,126371,102.5,1167.56,0.455,37
75714.4,57737,85941.8,65974.2,43353,99732.1,320.62,1306.94,0.473,38
10426.4,7076,96566.7,20186.9,13044,101423,109.88,489.85,0.475,39
15079.5,14312,69050.5,39193.1,36716,69957.4,33.62,242.4,0.476,40
17536.4,12772,89983.3,49901.1,22068,148193,287,1276.64,0.501,41
46160.5,34961,86530,39257.7,24113,106697,389.5,1047.37,0.518,42
54536.9,40436,88389.8,90987.9,34720,171745,622.38,2745.18,0.52,43
77566.9,54054,94043.5,53815.8,31314,112629,97.58,913.04,0.527,46
148218,116461,83406.7,87277.1,54281,105374,457.56,2354.31,0.539,47
48294.3,33033,95813.7,104014,32157,211980,245.18,1440.26,0.608,51
20843.4,12453,109692,68985,25429,177789,360.8,1660.44,0.636,54
24104.5,17917,88168.3,60645.4,29001,137046,264.04,1567.52,0.698,56
81250.7,67804,78532.9,58420.4,35708,107221,289.46,842.34,0.721,58
28814.5,16052,117642,58508.3,28948,132458,308.32,1592.77,0.747,61
56898.2,45052,82768.3,60326.3,31032,127402,165.64,1065.55,0.757,63
41675.7,27965,97666.9,59472.8,27993,139235,272.24,1300.88,0.763,65
23159.6,18881,80387.2,39418.3,24293,106340,113.98,667.61,0.877,70
72142.8,61625,76721.3,69565.8,33801,134880,444.44,1355.42,0.891,72
60320.5,38492,102701,66877.1,32940,133056,333.74,1019.09,0.973,74
75206.4,62228,79204.4,110466,51908,139468,386.22,1499.85,0.995,75
166252,131177,83059.2,112701,69209,106720,452.64,1802.85,1.005,78
81865.3,73005,73489.9,41853.4,29849,91892.7,204.18,695.89,1.005,80
22300.9,19776,73903.3,32127.1,25044,84071.3,324.72,699.93,1.04,84
61146.8,48577,82494.1,65617.7,37025,116146,336.2,1907.89,1.059,86
133000,114000,76458.5,104826,65904,104241,373.1,1751.34,1.065,88
151791,133508,74510.5,94179.5,60260,102425,223.04,1554.39,1.106,93
25711.3,14393,117072,54013.8,24973,141747,314.06,1600.85,1.106,94
20325.9,12636,105419,25102.5,13048,126082,84.46,498.94,1.112,96
117817,99633,77497.2,64487.5,44353,95286.7,207.46,1828.1,1.124,97
96548.3,74966,84403.4,71437.3,47090,99420.6,226.32,1465.51,1.142,98
20464.2,16260,82480.9,29177.9,20352,93956.5,12.3,485.81,1.159,100
33511.8,23479,93540.2,61813,22723,178277,328.82,1826.08,1.16,101
60095.3,51541,76413.1,61165.6,29973,133739,165.64,1296.84,1.183,104
76675,52185,96291.6,77377.1,41597,121908,409.18,1608.93,1.217,109
63252.1,53828,77010,126279,62004,133473,480.52,1877.59,1.285,112
41433.9,29909,90789.2,51213.1,31825,105461,202.54,1588.73,1.289,113
37513.9,27788,88473.9,38054.8,24236,102903,174.66,842.34,1.295,115
29595,17340,111853,95173.3,50956,122405,137.76,1566.51,1.299,116
18508.1,9217,131599,45992.4,24837,121358,264.04,1509.95,1.325,117
26457.1,23685,73206.4,45881.3,26497,113480,250.92,1730.13,1.326,118
29471.7,21635,89274.8,50773.7,23511,141530,232.06,804.97,1.347,120
32520.4,23799,89552.2,86251,70679,79974.9,480.52,1658.42,1.37,122
46888.9,32341,95015.9,75674.2,40257,123193,704.38,2889.61,1.374,124
11965.3,9409,83341.5,30601,18353,109272,45.1,492.88,1.404,125
39646.2,30144,86194.6,84567.3,30656,180787,382.94,1315.02,1.416,128
18995.6,14472,86020.8,39678.9,23256,111816,170.56,1222.1,1.439,130
36168.6,26300,90127.1,60680.8,29084,136734,323.9,1381.68,1.456,132
108190,89161,79522.7,71909,49097,95986,227.14,2153.32,1.488,136
20278.5,19885,66832.9,43411.8,41645,68316.4,4045.88,8795.08,1.501,137
97159.7,87077,73124.5,59427.4,41313,94271.4,309.14,955.46,1.53,140
17472.4,12193,93912.3,22978.5,15173,99250,93.48,250.48,1.559,146
50925.8,40125,83176.9,86737.8,41001,138642,373.1,1636.2,1.575,149
15288.1,12641,79259.5,25307.6,22821,72676.8,-8.2,246.44,1.593,152
20291.9,19085,69680.5,29541.5,27645,70031.9,93.48,278.76,1.643,154
18434.7,14365,84102.6,24986.4,20301,80661.5,35.26,407.03,1.694,157
27482.5,12334,146027,68170,31514,141765,388.68,2725.99,1.704,159
56938.5,46424,80379.1,78291.2,39324,130477,415.74,1530.15,1.705,160
27178.4,18471,96430.2,75726.8,37319,132984,457.56,1673.57,1.713,161
10449.3,9358,73178.8,24629.9,22490,71771.6,18.04,207.05,1.727,166
87509.9,65012,88215.2,57841.7,30992,122313,108.24,612.06,1.765,171
42209.7,34129,81052.9,52973.5,21125,164339,326.36,1143.32,1.786,174
29382.5,14492,132874,48979.9,24696,129979,131.2,1059.49,1.79,175
59192.3,52524,73856.3,49115.3,32520,98979.7,355.88,2067.47,1.815,176
37415.2,26532,92418.3,74503.7,41476,117723,437.88,2229.07,1.818,177
70909.6,64024,72584.2,54415.8,34524,103296,175.48,733.26,1.827,178
22613,15561,95235.7,41211,24313,111085,258.3,698.92,1.839,179
24078.4,17660,89354.6,30819.1,15240,132530,98.4,789.82,1.885,182
34650.2,31905,71174.9,42425.1,38849,71568.6,281.26,520.15,1.942,186
168045,149194,73816.6,78548.7,57342,89773.1,411.64,1717,1.945,187
37149.8,35237,69093.5,54692.5,32309,110939,238.62,1560.45,1.947,188
67729.1,52325,84829.3,51443.3,33185,101594,191.06,1050.4,1.948,189
26214.6,21368,80400.5,53894.6,32748,107855,305.04,996.87,1.98,190
65797.5,47249,91263.4,85756.1,43429,129409,441.16,2132.11,1.99,192
38067.7,24032,103812,94452.2,48980,126378,449.36,2175.54,1.993,194
17073.5,15884,70443.7,37716.4,35132,70357.1,119.72,297.95,2.002,195
28753.6,21120,89223.4,54471.3,25664,139099,162.36,1518.03,2.017,196
20733.6,13794,98506.2,42310.9,14081,196924,273.06,1022.12,2.025,197
55408.2,39005,93096.6,64903.6,22697,187405,134.48,1425.11,2.028,198
13189.8,13149,65739.6,19880.8,20009,65116.2,81.18,232.3,2.063,199
10021.9,7513,87421.5,20752.5,15485,87829.1,21.32,422.18,2.084,201
25770.6,14892,113410,57138.7,30636,122230,332.92,2853.25,2.085,202
89222.6,64592,90526.6,47871,22436,139832,241.08,854.46,2.091,203
40696.9,34305,77746.9,42327.1,28709,96622.9,77.9,588.83,2.098,204
98203.3,81668,78805.1,58935.5,44244,87297.7,330.46,765.58,2.123,205
12161.3,11470,69485.6,18221.4,13502,88443.1,-9.02,362.59,2.134,206
67699.1,51393,86329.4,71884.7,38081,123711,398.52,1546.31,2.151,208
36845.6,25565,94453.9,77990.2,31677,161353,542.02,1784.67,2.187,211
28366.5,20076,92599.6,50545.4,28444,116459,151.7,1234.22,2.232,212
21740,11305,126029,88990.1,33741,172848,456.74,1920.01,2.243,215
38992.8,22201,115104,101650,43197,154218,588.76,4023.84,2.278,219
22590.8,11384,130052,55439.9,33676,107890,327.18,1836.18,2.282,220
18618.7,15753,77458,39246.6,22077,116504,205.82,1290.78,2.314,223
109838,94737,75982.1,51935.2,36565,93084.3,355.88,2355.32,2.316,224
26544,22493,77339.1,25638.8,17309,97074.8,160.72,294.92,2.329,225
84014.1,59832,92023.5,71561.5,39688,118168,165.64,969.6,2.332,226
14020.9,6860,133947,71509,37528,124878,2509.2,1120.09,2.336,227
61004.6,52124,76701.7,60489.9,45672,86798.6,197.62,964.55,2.353,228
15392.4,9380,107543,53028,21028,165268,255.02,1811.94,2.37,231
23730.8,23432,66371.7,26202.4,25692,66838,23.78,190.89,2.389,233
70279.2,57409,80228.1,84182.5,41537,132821,241.08,1321.08,2.405,235
30443.4,18872,105720,32547.2,21160,100804,214.02,867.59,2.407,236
74246.6,55844,87132.4,104712,49524,138567,529.72,3326.94,2.439,239
84493.7,60496,91532.9,94597.6,49184,126048,350.96,2293.71,2.444,240
13008.1,8405,101428,22585.6,14885,99440.5,105.78,495.91,2.445,241
141449,119364,77661.5,69951.6,49108,93352.4,235.34,1515,2.458,243
99777.8,89989,72664.8,43596.6,34033,83952.3,254.2,844.36,2.506,245
10449.3,10184,67243.5,45456.1,44616,66770,694.54,2674.48,2.508,246
13843.2,12584,72093.6,19253.6,19084,66118.5,39.36,214.12,2.526,249
31918.4,26237,79727.2,64899.6,36873,115349,314.88,1234.22,2.562,253
91480.4,69296,86516.7,96514.6,48308,130934,633.86,1864.46,2.566,254
58508.2,40692,94229.7,43496.7,23152,123125,68.88,675.69,2.573,255
15046.3,12455,79171.2,46204.5,25379,119313,355.88,1447.33,2.574,256
43370.2,25834,110022,76538.8,25534,196446,254.2,1333.2,2.591,258
72947,58344,81939.1,79709.2,46220,113021,382.12,983.74,2.627,260
57790.1,35484,106733,109403,43992,162981,539.56,1945.26,2.631,261
48788,44053,72580.1,53864.3,35781,98657.2,389.5,1191.8,2.631,262
25787.2,20472,82551.2,34311.7,22520,99851.4,179.58,325.22,2.676,267
17475.6,11433,100173,44511.7,24649,118346,382.94,1035.25,2.68,268
79630.4,58261,89573.8,61160.6,37249,107606,350.14,1522.07,2.693,270
28432.9,21532,86539.9,66365.1,29420,147835,247.64,1723.06,2.698,271
18898.4,13761,90002.5,41623.1,22309,122274,317.34,2010.91,2.796,275
33135.8,25028,86766.2,27397.3,13344,134555,116.44,744.37,2.812,277
38923.3,32533,78408.9,66863,41777,104889,452.64,1733.16,2.817,278
104978,79401,86646.4,56544.8,35341,104856,159.08,974.65,2.82,279
190923,156417,79993.5,102819,63569,106001,533.82,1976.57,2.825,281
104795,81932,83823.8,52804.8,33452,103450,340.3,856.48,2.896,286
32243.9,19341,109257,68110.4,32381,137849,414.92,2430.06,2.943,289
19615.7,15672,82027.5,25417.7,17016,97894.4,195.16,377.74,2.944,290
46424.4,28129,108161,63780.5,39221,106573,407.54,1798.81,2.968,292
23141.5,17496,86682.6,49091.1,25880,124313,209.1,1453.39,2.974,293
126011,110968,74419.9,99538.5,66860,97567.4,387.86,1763.46,3.003,298
25422.2,22633,73612.4,37011.4,23565,102932,136.12,841.33,3.029,301
20619,14217,95047.3,23032,16249,92893.6,127.1,582.77,3.067,304
55091.4,52336,68986.4,48099.2,30692,102705,301.76,1449.35,3.072,305
9936.62,7116,91513,25025.8,15628,104946,203.36,762.55,3.094,307
117153,88257,86993,106571,70213,99472.3,221.4,1158.47,3.105,309
76836.2,71197,70726.8,42411.9,27997,99278.8,197.62,666.6,3.149,312
28620.1,21548,87045.1,86204.5,46152,122411,299.3,1895.77,3.16,314
18678,19019,64360.9,30830.2,30495,66256.5,243.54,157.56,3.161,316
92482.9,73389,82586.8,80847.5,45773,115754,248.46,934.25,3.186,321
49963.6,37549,87203.7,56073.2,39021,94175.2,154.16,1838.2,3.194,322
46238.7,35364,85688.8,55114.7,30512,118380,407.54,1807.9,3.208,325
74954.4,65257,75274.9,57981.1,34297,110792,177.94,678.72,3.223,326
46890.5,30344,101273,123575,45308,178745,1057.8,4621.76,3.244,328
104071,89549,76163.6,101289,67097,98932.4,342.76,2392.69,3.279,329
61882.3,38961,104092,130772,73905,115963,617.46,1613.98,3.333,331
143835,113781,82846.3,89593.1,55889,105058,1074.2,6391.28,3.339,333
46578.4,39281,77710.9,46194.4,33701,89831,119.72,726.19,3.356,334
22720.4,16360,91014.9,51660.5,28364,119363,148.42,1116.05,3.373,335
65611.9,55530,77434.5,62697.8,41130,99901.8,129.56,659.53,3.431,341
16843.6,14285,77274.2,48377,22797,139072,295.2,1170.59,3.457,344
145811,126385,75609.3,110872,56421,128783,635.5,3010.81,3.526,348
45003.1,31256,94360.3,54002.7,26456,133774,206.64,518.13,3.544,349
28271.7,23853,77676.4,38029.5,21773,114468,217.3,941.32,3.559,354
44375.1,32093,90616.8,94447.1,37993,162916,335.38,1740.23,3.563,355
68605.2,44593,100825,43729,27797,103098,88.56,764.57,3.563,356
37415.2,24143,101563,51852.4,26507,128200,238.62,1291.79,3.614,358
31137.9,17520,116475,94416.8,31712,195122,338.66,1623.07,3.617,359
155878,126989,80445,168157,88733,124197,647.8,2759.32,3.618,360
117610,101825,75695.2,59377.9,44001,88438.7,146.78,838.3,3.62,361
30701.8,25900,77686.1,65797.5,25272,170628,275.52,1619.03,3.629,362
31427,20904,98526.6,37310.4,21772,112308,159.9,964.55,3.691,367
43856.9,27577,104225,48820.4,29977,106732,53.3,673.67,3.739,372
11426.6,7825,95699.8,32605.8,19045,112200,4.92,482.78,3.752,374
54269.1,34360,103509,127085,57692,144364,703.56,2978.49,3.756,375
169434,136969,81069.9,93103.8,64377,94780,523.16,1929.1,3.757,376
13452.9,9756,90370,35349,24924,92947.8,27.06,622.16,3.762,378
38823,21056,120835,60775.7,25520,156074,309.96,1325.12,3.767,379
95274.8,76001,82155.9,80270.8,38293,137378,168.1,1068.58,3.785,381
35628.2,26701,87447.3,83728,41193,133207,329.64,1972.53,3.802,384
91769.6,65165,92292,73280.5,48761,98490.9,457.56,1934.15,3.802,385
79061.6,55460,93425.6,79509.2,38176,136492,305.86,935.26,3.823,389
28168.2,21404,86247.1,34789.4,20696,110164,167.28,993.84,3.836,390
44447.8,42077,69228.5,37712.4,26397,93628.8,293.56,1247.35,3.867,391
10928.1,5780,123907,21446.3,11076,126897,107.42,289.87,3.888,395
25480.7,20729,80558.7,32334.1,26425,80191.1,77.08,486.82,3.939,399
26543.2,23140,75174.4,41687.8,22580,120994,152.52,622.16,3.955,400
75731,58928,84223.2,59979.9,39584,99303.8,145.96,898.9,3.984,402
83381.3,61685,88586.9,67753.8,38193,116260,517.42,2252.3,3.985,403
110932,84745,85787.1,40891.9,22585,118658,281.26,1257.45,3.991,404
42371.7,27436,101213,94703.7,47932,129486,523.98,3521.87,4.036,406
20427.8,16289,82187.8,57875,34869,108776,707.66,3233.01,4.055,407
108057,90950,77862.8,108601,60902,116865,257.48,1363.5,4.057,408
