"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "CD86", "CD206", "Time", "Event #"
37076.3,28612,84923.5,31116.1,22028,92574.2,129.56,961.52,0.015,0
33438.3,32352,67736.6,18640.6,15380,79429.6,147.6,713.06,0.038,1
65452.3,46496,92254.9,32797.7,23312,92202.8,165.64,560.55,0.057,3
17068.7,10984,101841,27053.9,14956,118548,206.64,741.34,0.059,4
34628.9,28500,79629.4,32291.7,19920,106238,109.88,817.09,0.061,5
29288.5,24084,79698.1,27820.4,21396,85214.1,197.62,1044.34,0.081,6
31625.3,27560,75203,29655.6,22216,87482.5,261.58,920.11,0.096,7
15296,7805,128435,22578.5,10969,134899,82.82,444.4,0.101,8
36423.7,28629,83379.3,30381.8,17173,115944,150.88,1185.74,0.113,9
26997.5,16717,105839,35660.1,20173,115849,92.66,1332.19,0.134,11
35757.8,22769,102922,39881.9,21285,122795,59.04,566.61,0.139,13
23781.4,20541,75874.4,30231.3,19581,101182,76.26,965.56,0.142,15
16856.2,9675,114180,26922.6,15663,112647,96.76,674.68,0.187,17
19501.9,13094,97608,42852.3,20182,139152,328,1453.39,0.189,18
24681.2,18832,85891.4,27302.3,16528,108258,132.02,952.43,0.191,19
32988.8,19281,112129,57342.8,17393,216065,170.56,888.8,0.2,20
12998.7,10501,81123.7,35693.4,15825,147817,256.66,856.48,0.213,22
31430.9,26669,77237.9,33783.5,24269,91228.9,130.38,1263.51,0.249,23
21571.7,16028,88203.5,43652.2,31480,90876.4,681.42,2672.46,0.251,24
17583.8,14440,79804.2,31380.7,14472,142107,222.22,919.1,0.275,25
27578.1,22904,78910.2,40063.7,24184,108568,170.56,873.65,0.276,26
56332.5,43970,83962,48680,27942,114175,150.06,711.04,0.284,27
18960,15264,81404.8,21178.7,15264,90930.7,86.1,607.01,0.285,28
60313.3,47276,83608.9,64211.8,34924,120495,524.8,2430.06,0.36,30
23584.7,17077,90510.3,34666.2,17893,126971,172.2,1070.6,0.398,31
55992.8,36583,100307,59209.2,34759,111635,255.84,1953.34,0.439,33
25812.5,14252,118695,31389.8,15960,128895,114.8,765.58,0.448,34
134976,110829,79814.9,66916.5,47129,93051.9,206.64,997.88,0.451,35
27713.2,22661,80147,30833.3,17089,118245,127.1,711.04,0.463,36
56014.2,41196,89109.2,78274,37912,135307,491.18,2741.14,0.465,37
21789.8,15731,90777.1,37961.9,20259,122803,167.28,900.92,0.487,39
107929,86757,81529.3,72340.2,48213,98332.2,376.38,1086.76,0.49,40
17590.9,12012,95974,25947.9,17320,98182.6,86.92,844.36,0.501,41
23097.2,17205,87980.2,33076.5,19621,110479,132.84,725.18,0.504,42
35520,32751,71076.8,35597.4,18859,123703,286.18,1014.04,0.506,43
32528.2,27746,76831.7,38454.7,23746,106130,217.3,1112.01,0.55,45
14366.2,9221,102104,30628.2,11969,167704,61.5,1138.27,0.552,46
25709,25003,67386.4,46080.2,22687,133112,316.52,1231.19,0.559,48
20331.4,11342,117479,28992,16606,114418,209.1,1104.94,0.574,50
24017.6,17733,88762,20857.5,15441,88525.2,23.78,550.45,0.574,51
29948.1,24317,80712.2,43018.9,23165,121705,262.4,1119.08,0.575,52
25734.2,24048,70131.4,20609.1,14116,95681.1,164,696.9,0.64,55
38749.5,31840,79757.8,38090.1,24004,103994,170.56,594.89,0.64,56
37141.9,34888,69769.8,18405.2,15208,79313.9,176.3,630.24,0.665,57
92768.1,77928,78016.3,63061.4,29852,138443,201.72,748.41,0.668,58
15381.3,8482,118843,36712.5,14130,170275,195.98,943.34,0.681,59
28278.8,20020,92571.5,41094.9,25568,105335,130.38,954.45,0.688,60
48752.5,31533,101324,35396.5,20713,111995,300.12,677.71,0.714,61
16837.3,16119,68456.3,68252.8,67143,66619.2,227.96,1062.52,0.759,63
18523.1,17221,70491.4,22787.6,14757,101200,131.2,681.75,0.767,64
25079.3,14184,115877,38065.9,16908,147545,287.82,1175.64,0.768,65
30518.5,27591,72489.6,32058.4,23895,87925.5,197.62,854.46,0.771,66
41355.7,30792,88019.2,57241.8,32792,114400,152.52,1193.82,0.781,67
16474.7,10901,99044.4,28051.7,16661,110341,199.26,703.97,0.794,68
18189,16932,70401.1,19732.4,13748,94063.2,22.14,525.2,0.803,69
28842.9,24826,76139.9,59290,49018,79269.5,149.24,2170.49,0.814,70
38025.1,32035,77790.3,41110,29543,91195.5,287,1289.77,0.816,71
44251.9,42116,68859.6,28587,22292,84042.7,250.92,862.54,0.82,72
15655.4,10301,99601.4,30562.6,15113,132532,121.36,818.1,0.825,73
25139.4,17264,95431.8,21742.3,14368,99171.9,63.14,608.02,0.837,74
65492.6,57588,74531.5,44094.6,25424,113664,113.16,684.78,0.847,75
37927.1,24385,101931,69258.7,41429,109559,581.38,2925.97,0.882,77
27048.8,17517,101197,31409,21817,94349.3,154.98,549.44,0.922,78
23230,13836,110032,45038.9,23960,123192,513.32,1459.45,0.922,79
25082.5,17417,94379.4,39413.2,22445,115081,137.76,1294.82,0.935,80
22925,17113,87793.7,40237.4,24269,108657,59.86,751.44,0.961,82
26833.1,20238,86892.8,41736.2,16778,163025,225.5,664.58,0.975,83
34207.8,29733,75399.1,20462.6,13525,99152.5,70.52,454.5,0.982,84
22176.9,19161,75851.2,39588,22701,114287,152.52,975.66,0.989,85
12482.8,8600,95124.7,43207.8,31148,90910.1,103.32,915.06,1.004,86
39210.1,30330,84723.8,38958.7,22286,114565,106.6,843.35,1.026,87
75891.4,70555,70492.8,45004.6,33983,86791.1,230.42,763.56,1.044,88
34284.4,20013,112270,52071.6,21769,156762,281.26,796.89,1.063,89
15043.2,11828,83350.5,34922.8,17840,128290,39.36,715.08,1.092,90
22705.4,16469,90352.8,33502.7,21553,101871,127.92,809.01,1.147,91
18366.7,14719,81777.4,28579,13775,135967,126.28,1028.18,1.206,93
40350,37640,70254.5,37898.2,29016,85597.5,190.24,981.72,1.243,94
56595.6,54266,68349.4,50881.8,33246,100300,173.02,1042.32,1.281,95
65645.1,51709,83198.6,39864.7,28441,91859.4,121.36,757.5,1.299,96
23867.5,21320,73366.8,26196.4,17576,97679,145.14,589.84,1.309,97
29587.1,28872,67159.1,30705,21304,94455.7,240.26,724.17,1.313,98
19204.9,12749,98722.4,35337.9,19421,119247,123.82,712.05,1.328,100
23004,21789,69190.5,21777.6,13161,108443,70.52,488.84,1.346,101
112852,100672,73465.2,61615.1,47844,84399.4,214.02,1229.17,1.375,102
23017.4,20581,73294.4,34794.5,19045,119732,162.36,776.69,1.376,103
18448.1,14912,81076.5,23725.9,14224,109315,114.8,887.79,1.383,104
29438.6,20850,92531.7,39866.7,21462,121736,108.24,738.31,1.405,105
21262.1,16955,82184,21746.3,16251,87697.1,240.26,880.72,1.415,106
35145.5,24560,93782.4,32008.9,21856,95979.9,219.76,975.66,1.415,107
80887.3,67708,78292.5,47610.4,35500,87892.8,133.66,762.55,1.435,108
14754,9868,97985.5,24530.9,11196,143592,209.92,1064.54,1.455,109
18502.6,16228,74721.8,22286.7,15168,96293.4,58.22,687.81,1.46,110
18919.7,16357,75803.8,32928,20389,105840,241.08,1405.92,1.472,112
18283,12856,93201.1,22371.5,16236,90301.7,43.46,544.39,1.489,113
61186.3,48562,82572.9,77537.7,42774,118799,574.82,3384.51,1.496,114
19091.1,15796,79207.2,37635.6,25364,97243.7,95.94,803.96,1.5,115
89820.6,79715,73844.1,45956,29319,102724,127.1,673.67,1.528,117
42359,23392,118675,44128.9,17568,164619,217.3,577.72,1.637,119
35763.3,24437,95911.3,29374.8,21381,90038.3,199.26,1128.17,1.699,122
21007.7,11820,116477,41219.1,22696,119023,97.58,1083.73,1.7,124
29734.8,25317,76972,22272.5,17061,85554.9,129.56,453.49,1.704,125
9220.88,6896,87630.4,23954.2,18532,84710.8,46.74,570.65,1.722,126
29608.4,28309,68544.2,37751.8,24021,102997,194.34,1095.85,1.724,127
22022.8,19221,75089.1,19692,14901,86607.1,61.5,563.58,1.725,128
15341.8,10473,96003.1,32279.6,12749,165933,194.34,827.19,1.727,129
28726.8,24393,77179.4,25025.8,15645,104832,186.14,941.32,1.727,130
63199.2,51864,79859.3,67767,32300,137498,156.62,942.33,1.733,131
38343.4,35411,70963.1,29400.1,20919,92105.9,93.48,741.34,1.736,132
