"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "APC-A", "Alexa Fluor 488-A", "Time", "Event #"
103767,79802,85216.6,56943.9,41498,89929,217.25,2123.33,0.536,1
99856.7,79250,82576.8,71002.1,48434,96072.8,449.51,3104,0.55,2
94210.3,65958,93607.5,58460.9,31138,123042,349.18,2772.26,0.561,4
77348,68606,73886.9,53105.6,38798,89703.8,111.39,1882.77,0.569,5
51862.6,38424,88456.9,50885.2,29992,111190,256.75,2466.71,0.572,6
53395.6,43291,80832.9,51788.3,27471,123548,293.09,2547.22,0.582,7
105117,90642,76001.9,62621.3,41698,98420.7,361.82,3694.73,0.606,10
61457.5,44075,91382.5,73874.2,39067,123926,403.69,4162.27,0.623,11
112287,83733,87884.4,59382.4,42017,92621.7,229.89,2656.83,0.627,12
83774.5,74011,74181.4,45193.3,34651,85474.8,199.08,1907.02,0.649,13
67337.3,50935,86640.1,54534.4,31671,112847,300.99,3105.94,0.675,14
92427.7,85427,70906.7,37047.2,29479,82361.2,380.78,2355.16,0.698,16
46329.4,34419,88214.1,28509.3,17171,108810,210.14,1277.49,0.701,17
38650.1,25710,98521,41184.3,17066,158154,254.38,1480.22,0.705,18
39716.6,27762,93756.5,55234.7,28834,125541,395,3148.62,0.758,24
66714.3,62331,70144.7,50497.2,30859,107242,300.99,2702.42,0.776,25
70319.5,65067,70826.3,29692.7,25551,76159,71.89,1690.71,0.786,26
128394,105075,80080,91428.3,57463,104273,323.11,4134.14,0.795,27
95867.3,87265,71996.3,43203.8,35345,80107.6,90.06,2628.7,0.818,28
29088.3,21274,89608.5,50086.9,20526,159919,650.96,2825.61,0.835,29
43898.5,25063,114788,32248.6,19491,108432,90.06,2062.22,0.847,30
96430.9,86487,73071.1,67449.9,53447,82706.2,175.38,3173.84,0.85,31
69147.5,63285,71607.1,41675.1,31985,85390.6,145.36,2418.21,0.863,32
93042.9,81907,74446.2,59521.1,46647,83623.3,328.64,2436.64,0.908,33
27611.4,24448,74016,33491.2,15860,138391,346.81,2632.58,0.91,34
62257.6,46848,87092.6,61167.2,38912,103018,387.1,3821.8,0.941,37
41161.1,39777,67816.5,47293.3,35969,86169.1,156.42,2146.61,0.968,38
111836,85162,86063.1,78388.6,49790,103179,313.63,4150.63,0.986,39
69902.9,64919,70567.3,44318.3,31879,91108.4,420.28,2738.31,0.999,40
84004.7,65131,84527,61820,37823,107116,236.21,2922.61,1.004,41
63073.8,52962,78048.5,59954.7,36258,108368,421.86,3199.06,1.039,42
68738.7,59158,76149.6,58981.8,38898,99373.6,159.58,3134.07,1.065,43
54921,49655,72486.2,52218,34595,98920.6,127.98,1568.49,1.097,45
81028.6,74815,70979,45875.2,36667,81994,133.51,1397.77,1.112,48
85147.4,73123,76312.8,57800.4,46743,81039,279.66,2663.62,1.135,49
124296,106867,76224.6,66109.4,49955,86728.9,116.92,2290.17,1.135,50
33474.2,26090,84084.5,40349.1,21214,124650,289.14,3065.2,1.142,51
57062.4,45414,82345.5,68840.9,42850,105287,213.3,4332.99,1.197,54
94091.7,73670,83702.9,77900.7,48466,105338,315.21,3570.57,1.223,55
104714,95869,71582.3,78272.2,52541,97631.3,329.43,2986.63,1.23,57
56447.9,49527,74694,67530.4,39427,112250,802.64,4679.28,1.232,58
54718.5,41607,86188.2,46999.4,25299,121750,863.47,3065.2,1.26,59
38878.1,35727,71316.2,25192.8,21807,75711.4,172.22,1979.77,1.314,61
46916.1,34567,88948.8,50026.8,33095,99065,587.76,3000.21,1.397,62
82223.7,72778,74041.8,37680.6,30186,81807.4,214.09,2006.93,1.419,64
121704,106858,74641,61611.5,42270,95523.3,291.51,3631.68,1.45,65
36171.5,34383,68945,36845.4,26191,92195.9,246.48,2448.28,1.461,66
63374.8,57430,72319.9,52187.9,32710,104561,191.97,3055.5,1.494,68
74844.8,57271,85645.9,77036.4,37507,134606,505.6,3676.3,1.541,71
46976.2,18471,166674,37595.3,13203,186612,262.28,2090.35,1.544,72
57087,36914,101351,62386.5,34230,119444,264.65,2410.45,1.55,74
42914.4,40018,70279.3,26329.7,21314,80958.1,199.87,2263.98,1.56,75
