"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "APC-A", "Alexa Fluor 488-A", "Time", "Event #"
70014.6,63224,72574.9,49712.5,33320,97777.9,270.18,32235,0.587,0
44074.8,22981,125690,52252.9,17205,199038,158.79,12530.5,0.592,1
68523.1,52336,85805.7,41231.8,27572,98004,263.07,10516.7,0.592,2
80410.3,68412,77029.9,42069.9,30380,90753.5,1216.6,17387.2,0.596,3
112605,102693,71861.4,51079.2,41713,80251.4,899.81,17677.3,0.599,4
103570,89673,75692.1,61774.5,43033,94077.8,2497.19,20053.8,0.599,5
44539.9,39489,73918.4,40771,29589,90302.8,285.98,24581.7,0.602,6
109902,100509,71660.7,52797.1,41945,82491.6,342.07,19670.6,0.604,7
54309.6,37225,95614.1,67506.2,40969,107986,719.69,36408.9,0.606,8
65710.3,60014,71756.4,36716.4,27774,86636.7,226.73,10993,0.611,9
101908,85497,78115.5,185808,121181,100487,409.22,15517.1,0.613,10
85770.3,74712,75236.1,38886.3,30012,84914.5,197.5,4278.67,0.616,12
28420.7,19723,94436.9,37080.2,22043,110243,221.99,18859.7,0.619,13
79479.4,69025,75462,61788,40401,100229,1452.81,14314.3,0.622,15
86176.1,68224,82780.8,85525.9,50048,111993,601.19,74908.2,0.624,16
122264,98476,81366.8,89360.3,57096,102570,140.62,24768,0.624,17
95862.7,78581,79948.8,64939.6,48465,87813.5,100.33,8709.63,0.625,18
79707.3,76041,68695.8,45492,32825,90826.1,1056.23,13047.5,0.625,19
122798,111572,72130,99006.9,65716,98735.7,850.83,45245.7,0.626,20
69986.1,69165,66314,37487.6,27117,90599.5,95.59,16138.9,0.629,21
72745.8,66540,71648.1,35511.7,26412,88115,416.33,24721.4,0.631,22
27087.1,24029,73876.5,42358,19129,145118,204.61,38957.1,0.633,23
120906,101505,78062.2,73286.4,50785,94573.2,770.25,89160.5,0.635,24
77359.6,75585,67074.7,59171,39745,97567.7,798.69,44620,0.635,25
92664.9,85265,71223.7,45698.6,36449,82167,565.64,24256.8,0.635,26
32547.1,27704,76992.8,135002,106588,83006.3,749.71,65029.8,0.639,28
27477.4,24765,72714,49096.6,29641,108552,55.3,21004.4,0.64,29
152747,131169,76317.1,91638.8,60629,99055.6,3496.54,45115.7,0.641,30
87817.7,70761,81333.3,53873.8,35885,98388.6,533.25,32081.8,0.644,31
78868,53972,95766.2,47833.6,24512,127889,128.77,16361,0.646,32
38506.9,30425,82944.6,41518.9,23245,117057,1143.13,8152.85,0.646,33
120333,107388,73436.2,56041.8,44088,83305,421.07,14592.7,0.647,34
55099.7,41661,86676.1,38219,24669,101533,95.59,11607,0.651,35
120553,112473,70243.9,68881.6,46413,97262.1,1095.73,48753.2,0.653,36
103419,96319,70366.7,57261,42491,88316.6,1214.23,17890.7,0.657,37
69209.1,59121,76718.8,69974.8,33333,137578,815.28,39297.6,0.667,38
52879,39500,87733.6,62618.4,34028,120599,652.54,21860.9,0.668,39
44912.6,37329,78849.9,35044.2,22609,101581,657.28,9967.72,0.67,40
69383.9,52132,87223.7,63393.4,37168,111778,196.71,46216.6,0.674,41
89657.3,79328,74069.4,66970.7,41620,105454,1045.96,23615.6,0.679,42
33679,22641,97486.4,68088.2,40165,111097,442.4,39890.3,0.68,43
78050.3,76500,66864.1,43577.2,35588,80248.4,236.21,9418.7,0.68,44
90300.2,63849,92686.1,89324.4,35849,163295,724.43,85662.6,0.682,45
55181.3,50468,71656.5,57556.9,32320,116709,1369.07,28805.1,0.683,46
66082.2,62856,68899.7,35086.8,26860,85608.8,1577.63,10316,0.693,47
114867,101640,74064.6,60016.8,41368,95079.8,950.37,19296.2,0.695,48
84770.1,72338,76799.1,54353,37718,94439.7,889.54,30353.2,0.696,49
55062.7,46888,76961.9,46648.3,29896,102259,1431.48,7035.41,0.697,50
62092.8,53809,75625.1,42406.5,30677,90593.9,130.35,30779.1,0.7,51
38443.8,21339,118068,52805.8,29679,116604,297.83,22389.5,0.703,52
87783.9,73616,78148.8,54929.2,41092,87604.3,932.2,10889.2,0.704,53
62222.2,51181,79673.9,56858.5,33737,110451,580.65,27176.5,0.707,54
47098.6,39249,78642.9,55503.4,38129,95399.1,396.58,9035.55,0.709,55
90474.2,86680,68404.7,52966.9,42056,82538.4,706.26,30509.4,0.71,56
105438,81481,84805.2,83632.4,53037,103342,1745.11,42439.4,0.712,57
53140,51869,67141.9,55117.3,35053,103049,496.91,26495.6,0.714,58
82692.6,77805,69652.9,50158.7,34729,94652.9,475.58,22252.8,0.716,59
47757.7,39317,79605.5,45712.2,29073,103044,272.55,11537.2,0.716,60
107345,94341,74569.5,71287.2,51973,89890.5,227.52,24644.8,0.718,61
126998,116668,71338.9,128315,76796,109501,1565.78,90913.2,0.719,62
129934,114405,74431.5,69872,44817,102174,443.98,26013.5,0.72,63
48483.8,37837,83976.9,40514,19433,136630,207.77,9198.51,0.721,64
73297.1,57845,83042.6,49116.9,31157,103313,183.28,24955.2,0.721,65
65053.4,51165,83325.4,69840,39549,115731,295.46,21042.2,0.721,66
74011.6,64816,74833.8,41520.9,31668,85926.2,672.29,31308.7,0.726,68
36279.3,29421,80813.1,67053.2,40553,108362,816.07,9191.72,0.726,69
79547.9,58973,88400.7,56301.7,33277,110881,275.71,16036,0.73,70
88777.1,77377,75191.6,74918.9,45441,108050,389.47,39761.3,0.731,71
63281.7,55232,75087.4,56190.2,38916,94626.3,1316.14,8516.6,0.731,72
49754.3,31344,104029,154588,66816,151626,378.41,22928.9,0.732,73
89164.5,82037,71229.8,49406,36213,89411.8,324.69,27178.4,0.735,74
112033,101009,72688.3,59581.3,40133,97294.5,571.17,27871,0.74,75
81787.1,68476,78275.6,47834.6,37384,83856.4,811.33,29494.8,0.741,76
85527.8,78810,71122.3,39199.6,32122,79976,426.6,10680.7,0.741,77
72468.5,57420,82711.6,77452.6,43052,117902,823.97,24779.6,0.742,78
146081,121513,78786.1,80628.3,49565,106609,176.17,31984.8,0.746,79
118474,104896,74019,50567.1,40676,81472.2,172.22,14430.7,0.747,80
51597.7,43758,77277.5,40212.3,22910,115031,703.1,4856.79,0.75,81
69175.3,62304,72763.7,84589.8,48208,114995,594.87,51467.2,0.755,82
86578,79349,71506.6,36136.4,30401,77899.9,709.42,11189,0.757,83
95810.3,91100,68924.5,46084.7,37224,81136,150.1,5225.39,0.76,84
76173.8,64413,77501.8,56080.6,37337,98435.7,495.33,15603.4,0.761,85
36249.3,23308,101924,61504.8,27052,149001,841.35,38898,0.764,86
60905.5,51229,77914.9,50690.3,32905,100958,167.48,17111.8,0.767,87
63258.6,60488,68537.8,50629.2,27944,118739,367.35,66993.1,0.77,88
93246.2,80523,75891.2,54325.8,38447,92602.7,864.26,11891.2,0.772,89
97417.3,87710,72789.2,75670.7,48570,102103,601.98,39606.1,0.775,90
96035.2,87499,71929.5,59740.4,43371,90271,161.16,54075.6,0.776,91
68409.9,55043,81451,70356,41511,111075,209.35,17641.4,0.776,92
80345.6,58527,89967.6,86451.2,39887,142043,1043.59,40772,0.777,93
67870.9,58552,75966.4,37602.1,29180,84451.3,744.97,7273.06,0.777,94
102472,89610,74942.9,42933.2,32254,87234.7,248.06,13328.8,0.786,95
40652.9,30314,87887.8,40028,24746,106008,1716.67,22763,0.786,96
126629,118912,69789,72922.7,55460,86171.3,910.08,27736.2,0.786,97
69770.5,66080,69196.1,43462.8,31856,89414.2,86.9,12937.9,0.788,98
122499,98280,81686.1,70609.2,47692,97027.7,1187.37,36605.9,0.789,99
69646.5,52901,86281,77002.5,45281,111447,230.68,6841.41,0.789,100
131027,106865,80353.6,115270,69137,109266,1354.06,53873.8,0.791,101
28481.5,22408,83299.1,47660,23644,132103,642.27,35760,0.792,102
41784.1,37168,73675.2,59124.4,44884,86328.7,397.37,18578.4,0.795,103
91931.8,79157,76112.6,52224.8,39189,87335.8,805.01,29218.3,0.795,104
69778.9,50688,90219.2,56900.2,33540,111181,519.82,10887.3,0.798,105
88829.5,79617,73119.2,53326.7,38081,91773.3,598.82,16237.8,0.8,106
82722.6,71608,75708.2,58813,38600,99854.2,413.17,25134.6,0.803,107
49022.8,35600,90246.1,44802.4,30128,97456.4,1728.52,27342.4,0.804,108
71840.2,58153,80960.9,49402.1,33517,96596.2,904.55,11544.9,0.805,109
59587.2,46468,84038.6,82692.5,38320,141423,1264.79,58837.3,0.805,110
52885.1,43025,80555,61093.5,34913,114680,605.93,29182.5,0.806,111
91645.4,71625,83854.4,58250.4,33165,115106,470.05,17151.5,0.807,112
55567.8,47864,76084.2,39829.2,27848,93731.9,1506.53,13864.2,0.808,113
53545.8,40760,86093.7,47432,30188,102972,406.06,30687.9,0.812,114
73890.7,66617,72691.7,32321.4,26569,79725,398.16,8444.82,0.815,116
167717,132617,82881.4,129739,66509,127841,1389.61,55031,0.823,117
