"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "APC-A", "Alexa Fluor 488-A", "Time", "Event #"
24020.9,22137,71113.3,47796.8,29309,106875,891.12,6330.22,0.602,3
61282.8,51377,78171.7,84489.9,46021,120317,1241.09,7213.89,0.604,5
67126.3,61708,71290.4,57916.8,41560,91329,896.65,3344.56,0.604,6
119563,98776,79328,98826.5,55372,116967,12851.7,11921.3,0.608,7
69224.5,61755,73462.9,93415.9,54091,113182,8213.63,5117.72,0.608,8
57840.1,50964,74378.2,45391.2,27200,109366,28849.2,4704.5,0.61,9
65507,54453,78839.8,79786.4,43077,121385,2676.52,9807.67,0.611,10
22814.3,15484,96561.6,61674.5,32092,125947,5054.42,9654.41,0.612,11
71601.5,50685,92581.2,175392,67837,169442,4435.85,14065,0.612,12
148316,108251,89791.6,124445,65339,124820,15547.2,17046.8,0.613,13
73297.8,65329,73530.1,64021.9,38517,108932,11815.2,19161.4,0.615,14
67687.6,53292,83239.1,71923.6,41228,114330,12594.2,8133.45,0.618,15
114558,103301,72677.8,55550,41841,87008.5,7474.98,4852.91,0.624,17
48856.5,34733,92184.9,73857.7,39229,123387,4882.2,24667.1,0.626,18
71548.4,66406,70611,77587.4,41574,122306,6832.71,9503.09,0.629,19
20347.2,11115,119971,72808.2,28767,165869,4046.38,18521.2,0.632,20
50979.4,35677,93645.4,75694,48829,101593,1734.05,7705.68,0.64,21
78138.8,57261,89431,87233.1,37133,153958,36476.7,5772.47,0.64,22
59389.3,35032,111102,42137.8,21596,127873,778.94,7702.77,0.641,23
130081,114508,74449.1,67627.4,46412,95493.2,44898.9,8166.43,0.641,24
23957.8,22190,70757,48563.1,32020,99395,650.17,3361.05,0.654,25
108882,87657,81404.6,100220,49257,133342,2890.61,9372.14,0.655,26
93190.8,79103,77207.6,70941,46235,100556,3065.99,7785.22,0.655,27
23880.8,18952,82579.7,89741.5,42956,136914,4617.55,11186,0.655,28
25873.5,20585,82373,95486.8,51949,120461,4660.21,11535.2,0.656,29
36245.4,29845,79590.6,95790.4,47425,132372,35219,30233,0.656,30
37187.9,28293,86139.6,53222,34129,102199,1832.01,10057,0.657,31
50063.1,28657,114490,108739,43893,162357,4866.4,10213.1,0.658,32
123406,104021,77748.8,69746.9,48325,94587.3,12519.1,4172.94,0.658,33
85878.9,76708,73371.2,47492.2,35092,88693.9,1948.14,15325,0.66,34
126109,108061,76481.6,127711,67913,123241,9265.12,16205.8,0.66,35
68189.7,57384,77876.7,67078.4,47660,92237.7,5893.4,4110.86,0.671,37
88738.6,76373,76147,57385.2,39925,94196.5,6049.03,6369.99,0.672,38
104213,72220,94568.3,84567.5,32540,170320,11500,8289.62,0.673,39
18687.1,13741,89126,59341.7,30317,128278,3405.69,4933.42,0.673,40
46897.6,44093,69704.5,75861.8,40825,121780,4503.79,19397.1,0.675,41
184812,150065,80710.4,103059,68849,98099.5,9344.91,7517.5,0.675,42
20833.9,15397,88677.6,34571.8,21681,104501,473.21,3736.44,0.685,44
86354,62253,90908,49444.8,33933,95494.5,13095,4568.7,0.686,45
84637.6,68972,80421.2,76781.3,47352,106267,69004.1,16860.5,0.687,46
