"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "APC-A", "Alexa Fluor 488-A", "Time", "Event #"
45742.6,41679,71925.6,70733.4,43967,105433,340.49,3300.91,0.501,0
41834.1,40392,67875.8,76954,45176,111636,672.29,3244.65,0.504,2
36328.6,29205,81521.4,77611.6,42209,120504,301.78,2617.06,0.53,4
28867.3,19385,97593.4,57301.8,28377,132337,233.05,2235.85,0.534,5
95460,85492,73177.2,54372.4,39540,90120.1,111.39,3209.73,0.545,6
184914,161749,74921.8,106952,71185,98464.8,579.86,10564.3,0.546,7
91987.3,66751,90312.9,127761,52891,158305,409.22,6766.72,0.554,8
48640.1,29832,106854,106181,53676,129642,454.25,4909.17,0.578,11
21412.9,20204,69457.4,31406.7,18156,113366,104.28,1292.04,0.636,15
36366.3,33000,72221.3,39796.2,29916,87180.2,267.81,2123.33,0.643,17
65860.4,48907,88253.8,108402,55487,128035,1458.34,5095.41,0.675,19
171921,143112,78728.6,115105,73244,102992,771.04,6446.62,0.679,20
34339.7,27704,81233.2,48396.2,30524,103908,395,2207.72,0.683,21
132526,110749,78422.7,159525,65913,158613,1182.63,8958.92,0.692,23
138583,110985,81832.5,114270,57081,131196,481.11,7020.86,0.71,25
63178.5,55173,75045.2,73370.8,40069,120004,575.12,6133.31,0.712,26
72159.8,56821,83227.4,93235.4,63601,96072,698.36,3615.19,0.714,28
98377.5,81746,78869.5,97500.5,51378,124368,484.27,7042.2,0.715,30
76315.5,68517,72995.2,92439.1,61733,98133.7,673.87,4726.81,0.72,31
111337,89355,81658.1,91969.6,49595,121531,399.74,7553.39,0.721,32
76526.4,69704,71950.5,49321.6,35944,89927.1,408.43,3876.12,0.728,34
66811.4,54509,80327.1,74064.4,40221,120680,319.95,4015.8,0.73,35
31269.7,22752,90070.8,64770.8,37120,114354,227.52,2591.84,0.732,36
34215.7,21540,104102,61348.6,33764,119078,135.88,3957.6,0.733,37
29132.9,23753,80379.6,34303.1,22445,100160,185.65,1258.09,0.734,38
38008.7,30924,80550.4,87860.7,42072,136861,752.08,3255.32,0.739,39
40515.1,24699,107502,59659.9,32303,121037,434.5,2818.82,0.74,40
26477.2,16061,108039,70169.8,42845,107332,584.6,3357.17,0.742,41
84850.9,57938,95978.3,114288,58322,128425,370.51,8050.03,0.743,42
130436,119917,71284.6,83289.1,58521,93273,355.5,6517.43,0.749,44
58414.5,38350,99824.1,120115,51230,153657,485.85,7520.41,0.753,46
60011.5,49925,78776.4,97135.8,48625,130918,548.26,4750.09,0.755,48
74375.1,70036,69596.3,104742,66880,102637,810.54,4887.83,0.758,49
77381.9,62533,81098,86895.5,52705,108050,653.33,4519.23,0.763,51
127468,113245,73767.1,87836.4,58185,98933.5,297.83,4793.74,0.763,52
39494.8,33917,76313.8,25654.6,19837,84755.6,103.49,788.61,0.765,54
90395.7,86805,68246.9,79185,47265,109795,507.18,7116.89,0.766,55
27886.3,16921,108005,79111.3,29657,174820,587.76,2712.12,0.766,56
29015.9,21220,89612.9,70068,32612,140806,301.78,3033.19,0.767,57
35113.5,22943,100301,111433,58011,125887,2138.53,4303.89,0.769,58
32285.3,30637,69062,56143.6,34201,107582,297.04,3009.91,0.77,59
43824.6,40037,71735.8,43683,27621,103646,184.86,2441.49,0.772,60
115233,104352,72369.5,101790,61760,108013,477.95,6912.22,0.773,62
100125,87977,74585,101608,48669,136822,390.26,6318.58,0.775,64
57794.7,36100,104921,114053,59764,125068,774.2,6337.98,0.776,65
52046.6,37489,90984.7,150514,56517,174533,732.33,5704.57,0.776,66
58423,46697,81992.6,109276,57305,124972,636.74,5681.29,0.777,67
90262.5,83161,71132.4,83578.1,54537,100434,426.6,5513.48,0.784,69
149994,126764,77546,104730,71516,95972.7,831.08,7998.62,0.797,72
107011,91716,76464.9,97048.5,54080,117607,616.99,9365.35,0.81,73
119004,103153,75606.8,62047,47749,85160.2,165.9,3372.69,0.82,74
74268.8,63973,76083.4,112337,62645,117521,1093.36,6946.17,0.825,76
25678,18613,90411.6,55251.2,35697,101436,305.73,2139.82,0.826,77
45676.4,36744,81467.7,126264,59804,138366,946.42,4895.59,0.849,79
74985.7,58331,84247.9,104216,36287,188219,808.17,7391.4,0.853,80
78634.7,67080,76824.8,92108.3,48600,124206,624.89,5575.56,0.855,81
48784.9,37921,84311.2,66201.5,46741,92821.8,507.97,3622.95,0.862,82
161565,138197,76617.7,121287,82149,96759,703.1,8355.58,0.864,83
133104,113496,76858.1,126717,79644,104271,683.35,8074.28,0.869,84
25705.7,21636,77863.2,40584.8,28388,93693.3,188.02,1860.46,0.872,85
70792.3,57701,80404.9,102955,64773,104168,522.19,5035.27,0.874,86
51473.7,44845,75223.2,117433,66137,116366,871.37,5895.66,0.875,87
51546.1,45111,74884.8,79067.6,40499,127948,220.41,4314.56,0.885,88
49128.3,25472,126400,78181,31552,162388,1617.92,3867.39,0.885,89
142028,125269,74303.7,110310,70529,102501,382.36,7889.98,0.892,90
124642,107764,75800.4,114078,66404,112587,401.32,8142.18,0.894,91
32859.8,19165,112366,97608.2,26701,239573,480.32,7931.69,0.894,92
37210.2,27008,90292.2,76783.3,36672,137218,463.73,3437.68,0.896,94
125078,110261,74342.8,72540.5,51205,92842.8,158.79,4329.11,0.897,95
93330.9,90789,67370.9,59159.3,43889,88338,371.3,3456.11,0.902,97
40450.4,36871,71898.2,35497.2,25315,91895.8,97.17,1394.86,0.908,98
119898,108638,72328.8,78657.3,54110,95266.8,352.34,6241.95,0.913,99
63310.2,49460,83887.9,127475,67072,124556,1094.94,5735.61,0.92,100
23009.9,16833,89584.6,74734.6,24673,198509,421.07,4477.52,0.924,102
44961.8,37685,78190.8,76628.1,47797,105067,285.19,3133.1,0.925,103
114447,92476,81106.7,97669.3,53692,119214,534.83,8613.6,0.926,104
179659,156069,75441.7,104484,67105,102041,359.45,6589.21,0.93,106
59185.3,36933,105022,89680.4,47029,124972,658.86,5331.12,0.931,107
42676.5,26220,106668,101349,39560,167898,568.8,5417.45,0.935,108
27295.7,23748,75326.5,46084.7,32256,93632.4,183.28,2017.6,0.94,109
154109,130202,77569.2,110130,69850,103328,564.85,6574.66,0.943,110
58017.2,49853,76268.5,57127.2,31997,117007,289.14,3397.91,0.945,111
68975.8,53468,84544,79322.7,50072,103820,243.32,4426.11,0.95,116
38121.9,22005,113536,44309.6,30085,96522.3,302.57,2387.17,0.951,118
36680.5,24361,98677.9,91921.1,42877,140498,344.44,3441.56,0.953,119
89111.3,71517,81658.9,83897.2,49657,110725,379.99,7627.11,0.953,120
39649.6,32589,79734.8,61484.4,40473,99558.8,2808.45,3063.26,0.954,121
63975.4,56247,74540.8,76644.6,50311,99838.6,531.67,2969.17,0.96,122
31214.3,24460,83632.8,35346.8,22904,101139,300.2,1538.42,0.968,123
42613.3,30237,92360.6,85508.4,45721,122567,546.68,3433.8,0.982,124
153672,125223,80424.9,80726.3,58103,91053.5,428.18,4633.69,0.988,127
178413,151769,77041.2,113897,69837,106883,421.07,9663.14,1.006,130
49568.8,45301,71710.1,81886.4,49969,107397,272.55,3391.12,1.011,132
88824.9,74794,77830.2,93608.9,57918,105921,816.07,4077.88,1.016,134
137241,122860,73207.1,94913.5,63544,97888.9,407.64,6657.11,1.022,136
49098.3,38961,82587.8,88253.5,51173,113024,537.2,4719.05,1.024,137
32482.4,27564,77230.1,24199.6,17768,89258.4,218.04,803.16,1.045,138
30157.8,27552,71734.3,44572.5,29712,98313.9,281.24,2045.73,1.055,139
110359,89724,80608.5,88655.1,53628,108341,620.94,6479.6,1.063,140
50891.6,39286,84896.2,74751.1,44870,109180,278.08,2904.18,1.063,141
34938,26565,86192.2,79838.8,45009,116250,346.02,3750.02,1.068,142
63120.8,45440,91036.1,97046.6,48356,131525,571.96,4656.97,1.077,144
39224.6,34381,74768.7,57998.2,37565,101184,406.06,3032.22,1.077,145
81340.5,67354,79145,80709.8,51114,103482,395,5701.66,1.078,146
97581.3,86632,73819,57631.6,40988,92147.6,481.11,3816.95,1.081,147
34913.3,23143,98867.1,115509,50483,149951,771.83,4530.87,1.084,149
75692.5,53133,93361.7,105256,51881,132959,550.63,8731.94,1.09,151
23659.8,14525,106752,55852.6,31325,116851,604.35,1802.26,1.095,152
84465.9,59949,92337.8,112557,64889,113679,805.8,6383.57,1.1,156
145297,116785,81536.3,155472,76437,133299,811.33,11228.7,1.101,157
71087.9,53008,87889,108536,51456,138235,640.69,7872.52,1.102,158
58913.5,41093,93956.5,98890.5,60693,106782,955.11,4737.48,1.107,159
59711.2,52577,74428.6,88034.3,47489,121490,615.41,3720.92,1.111,160
39926,25621,102127,60324.3,32037,123401,309.68,3003.12,1.113,161
52634.9,42836,80527.6,76088.7,45668,109191,571.96,2574.38,1.114,162
67994.1,52466,84932.3,83596.5,45333,120852,582.23,6187.63,1.119,164
81660,64792,82597.7,68686.7,47400,94967.3,534.83,6772.54,1.119,165
13888.5,10661,85376.2,71585,34465,136121,488.22,2928.43,1.122,166
108147,102048,69453,78658.3,54064,95349,519.82,7695.01,1.127,170
68245.1,49344,90639.4,93974.6,41396,148776,303.36,5622.12,1.137,172
20227.9,13795,96096.8,75921.9,39271,126700,688.09,3065.2,1.139,173
35855.8,28396,82752.8,48990.8,25032,128262,304.94,1721.75,1.143,174
51304.3,42505,79103.2,88950.9,40317,144591,758.4,3488.12,1.148,175
47462.8,37169,83685.9,73666.6,48145,100277,536.41,3266.96,1.15,176
63602,53685,77642.2,85638.4,50037,112165,804.22,3554.08,1.154,177
16938.5,12201,90982.6,46382.5,21993,138213,314.42,2141.76,1.156,178
36782.1,30840,78163.2,86071,42520,132661,440.03,3846.05,1.164,181
41282,34332,78802.8,65151,41544,102776,384.73,2799.42,1.165,182
62674.9,48067,85452.9,65064.7,35895,118793,89.27,4137.05,1.17,183
40915.5,30760,87172.9,66654.5,40828,106992,576.7,4986.77,1.173,184
125207,97981,83746.8,109114,62697,114055,419.49,6713.37,1.175,185
24643.1,23468,68817.5,33951.9,18072,123123,362.61,1944.85,1.177,186
44239.6,28396,102102,78664.1,42236,122060,591.71,3912.01,1.178,187
27846.3,16487,110689,68513,39111,114803,365.77,3000.21,1.19,188
141870,129080,72029.8,68878.7,53100,85010.1,328.64,4655.03,1.197,190
108900,102960,69316.6,115217,71508,105594,574.33,7426.32,1.197,191
21582.3,16799,84196.6,56437.5,35455,104321,361.03,2587.96,1.199,192
