"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","Alexa Fluor 488-A","Time"
106628.054688,78214.000000,89344.312500,116699.734375,62358.000000,122647.195312,344.440002,71674.273438,0.574332
95824.187500,76276.000000,82331.726562,63332.273438,35664.000000,116379.085938,733.910034,70843.953125,0.578578
136593.375000,116141.000000,77076.867188,88910.203125,63965.000000,91093.867188,263.860016,68872.914062,0.578578
104542.125000,76312.000000,89779.765625,69022.289062,40748.000000,111010.234375,635.950012,56265.820312,0.583886
90205.500000,78592.000000,75220.226562,54720.613281,36676.000000,97779.750000,1190.530029,40514.960938,0.590256
75934.320312,69662.000000,71436.820312,49169.300781,32106.000000,100366.265625,469.260010,65935.750000,0.591318
132265.203125,119677.000000,72429.390625,90319.609375,63049.000000,93882.304688,519.030029,68547.960938,0.598749
125724.828125,100741.000000,81788.960938,66476.039062,46673.000000,93342.484375,207.770004,54920.429688,0.602995
57227.167969,46041.000000,81458.695312,39042.500000,24137.000000,106006.929688,192.760010,38172.410156,0.602995
66665.828125,60685.000000,71994.921875,45495.910156,32717.000000,91133.664062,1438.590088,31196.171875,0.604057
112196.695312,85529.000000,85969.937500,91966.671875,55897.000000,107825.601562,338.119995,120375.062500,0.608303
120847.648438,108045.000000,73301.601562,60492.113281,44781.000000,88528.859375,1267.950073,59157.390625,0.612550
73933.085938,60064.000000,80668.609375,64893.972656,40592.000000,104771.664062,509.550018,88370.882812,0.612550
105760.265625,89633.000000,77327.601562,68277.328125,46901.000000,95405.718750,1030.160034,85132.054688,0.616796
81508.351562,77128.000000,69258.000000,49133.410156,35100.000000,91738.093750,188.020004,69130.929688,0.621043
96985.343750,85677.000000,74185.976562,36567.062500,27901.000000,85891.515625,233.050003,31282.500000,0.627412
79895.968750,66180.000000,79118.507812,42225.070312,32112.000000,86175.328125,2030.300049,36434.171875,0.627412
69247.640625,55312.000000,82047.539062,45285.421875,33488.000000,88623.546875,1750.640015,29776.091797,0.628474
107043.085938,94463.000000,74263.734375,52318.890625,39551.000000,86692.398438,462.940002,23057.871094,0.632720
107419.617188,97581.000000,72143.679688,60102.171875,45005.000000,87520.406250,1332.729980,55715.832031,0.635905
77187.875000,59876.000000,84484.335938,87632.710938,54628.000000,105131.023438,948.790039,54547.953125,0.644398
