"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","Alexa Fluor 488-A","Time"
70158.320312,58886.000000,78081.296875,48216.000000,36630.000000,86264.914062,1720.949951,39547.000000,0.633011
37713.812500,31975.000000,77298.281250,51404.000000,31335.000000,107509.570312,371.139984,21222.000000,0.638174
112296.921875,99391.000000,74045.843750,57623.000000,45231.000000,83490.984375,2279.969971,22114.000000,0.639207
106638.945312,80831.000000,86460.515625,113979.000000,68959.000000,108321.289062,3408.789795,132146.000000,0.646435
124673.851562,108617.000000,75224.187500,106509.000000,73161.000000,95408.398438,1399.859985,66768.000000,0.648501
106633.414062,96418.000000,72479.492188,59916.000000,44914.000000,87426.078125,2063.599854,20644.000000,0.648501
24259.320312,9587.000000,165834.859375,117636.000000,33075.000000,233088.218750,223.299988,19412.000000,0.654696
103075.250000,91135.000000,74122.343750,53780.000000,40923.000000,86125.804688,2082.849854,26960.000000,0.661925
27618.400391,23562.000000,76818.585938,49245.000000,29438.000000,109631.093750,233.309998,21224.000000,0.666056
89045.640625,78570.000000,74273.835938,129161.000000,68202.000000,124112.125000,1265.109985,139980.000000,0.677415
34096.402344,24510.000000,91168.585938,70411.000000,43834.000000,105271.140625,558.250000,11087.000000,0.678447
37738.300781,25110.000000,98495.312500,87018.000000,49746.000000,114638.593750,422.729980,38629.000000,0.681545
120503.445312,106995.000000,73810.117188,58321.000000,45219.000000,84524.765625,1422.959961,35615.000000,0.681545
27269.220703,21690.000000,82393.531250,77329.000000,37294.000000,135888.703125,3213.209961,21828.000000,0.687741
85991.500000,78624.000000,71677.085938,51016.000000,40272.000000,83020.085938,1151.150024,30070.000000,0.687741
58698.582031,50738.000000,75818.328125,74110.000000,45314.000000,107182.625000,1137.289917,29664.000000,0.690839
31521.000000,19763.000000,104526.656250,51656.000000,35351.000000,95763.281250,1262.030029,48846.000000,0.692904
40470.121094,33164.000000,79973.765625,41195.000000,28047.000000,96258.273438,917.839966,71906.000000,0.696002
93347.984375,78174.000000,78256.875000,59936.000000,44478.000000,88312.554688,2193.729980,32376.000000,0.697035
130550.664062,106893.000000,80040.500000,82836.000000,57101.000000,95072.593750,8038.799805,5002.000000,0.716655
109561.945312,98068.000000,73217.070312,52562.000000,40976.000000,84066.359375,791.559998,30925.000000,0.719753
90592.460938,77273.000000,76832.367188,93105.000000,55181.000000,110576.632812,1250.479980,44837.000000,0.720786
30449.761719,18375.000000,108601.671875,136708.000000,56983.000000,157227.531250,988.679993,83100.000000,0.726982
94247.789062,81763.000000,75543.015625,95426.000000,66003.000000,94750.820312,798.489990,31449.000000,0.728014
78095.453125,64476.000000,79379.367188,46794.000000,35596.000000,86152.703125,530.529968,27133.000000,0.729047
47650.429688,38870.000000,80340.062500,67663.000000,35238.000000,125840.351562,4632.319824,4522.000000,0.731112
97423.593750,85606.000000,74583.000000,58579.000000,43382.000000,88493.695312,1404.479980,65428.000000,0.741439
28053.691406,12045.000000,152638.187500,115801.000000,56414.000000,134525.734375,1402.939941,32594.000000,0.749700
61481.750000,44475.000000,90596.242188,83551.000000,46559.000000,117605.585938,1159.619995,29627.000000,0.750732
88229.570312,77616.000000,74497.695312,58837.000000,42048.000000,91703.328125,1056.439941,9070.000000,0.754863
98968.039062,81399.000000,79681.195312,95120.000000,55427.000000,112468.375000,1237.390015,53050.000000,0.757961
31548.650391,25367.000000,81506.390625,57353.000000,37731.000000,99617.984375,656.809998,41568.000000,0.758994
96771.843750,77578.000000,81750.492188,113259.000000,63726.000000,116475.882812,855.469971,90913.000000,0.758994
50607.402344,42606.000000,77843.648438,73165.000000,38190.000000,125554.898438,12323.080078,12189.000000,0.785842
50804.902344,39983.000000,83274.148438,78977.000000,31787.000000,162828.718750,474.319977,17525.000000,0.786875
