"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","Alexa Fluor 488-A","Time"
236388.546875,205998.000000,75204.421875,159829.000000,108270.000000,96744.750000,949.409973,9456.000000,1.512519
222035.828125,194206.000000,74927.343750,174824.000000,109998.000000,104158.851562,510.509979,7661.000000,1.529940
239776.859375,198895.000000,79006.593750,213067.000000,121099.000000,115306.968750,843.919983,13803.000000,1.537113
217481.468750,179105.000000,79578.273438,173102.000000,114581.000000,99007.804688,1041.039917,9848.000000,1.540187
137870.796875,112812.000000,80093.437500,149072.000000,87144.000000,112108.492188,377.299988,5622.000000,1.543261
104835.375000,79489.000000,86433.242188,93395.000000,60693.000000,100847.460938,222.529999,2721.000000,1.543261
229516.343750,189080.000000,79551.414062,211198.000000,126472.000000,109439.812500,1072.609985,11668.000000,1.547360
192982.000000,162528.000000,77815.929688,131434.000000,87732.000000,98181.492188,761.529968,6970.000000,1.549410
131580.828125,115096.000000,74922.507812,149167.000000,95612.000000,102244.578125,428.889984,5352.000000,1.551459
111030.554688,91464.000000,79555.867188,127622.000000,75148.000000,111298.171875,462.769989,4408.000000,1.552484
174493.625000,151141.000000,75661.898438,148655.000000,101841.000000,95661.429688,658.349976,6839.000000,1.553509
210833.625000,163909.000000,84297.945312,193888.000000,119777.000000,106085.835938,1399.859985,13372.000000,1.553509
188327.312500,157797.000000,78215.804688,134615.000000,92965.000000,94897.328125,830.829956,10106.000000,1.553509
144685.343750,127505.000000,74366.484375,107391.000000,77857.000000,90396.203125,590.589966,3815.000000,1.554533
148148.703125,133153.000000,72916.671875,96717.000000,73205.000000,86584.867188,385.000000,3935.000000,1.554533
136165.984375,126104.000000,70765.195312,104770.000000,75336.000000,91141.109375,309.539978,4988.000000,1.554533
211050.875000,182704.000000,75704.039062,122673.000000,89200.000000,90128.906250,425.809998,7988.000000,1.555558
193563.437500,174915.000000,72523.078125,214226.000000,130883.000000,107267.679688,1081.849976,9158.000000,1.556583
198624.968750,156132.000000,83372.320312,209025.000000,126900.000000,107948.484375,1150.380005,11818.000000,1.556583
185740.859375,162232.000000,75032.750000,207150.000000,127560.000000,106426.640625,1258.949951,10526.000000,1.557608
216915.046875,184466.000000,77064.312500,179904.000000,123250.000000,95660.757812,1280.510010,7059.000000,1.557608
