"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","Alexa Fluor 488-A","Time"
146680.890625,125181.000000,76791.843750,98111.000000,72377.000000,88837.648438,264.880005,3713.000000,0.511349
89896.468750,73989.000000,79626.085938,83992.000000,62965.000000,87421.585938,408.099976,4372.000000,0.513394
162047.171875,141553.000000,75024.367188,130290.000000,94917.000000,89959.500000,605.219971,7351.000000,0.515439
150242.203125,136337.000000,72220.109375,86286.000000,65201.000000,86729.335938,401.169983,4922.000000,0.533848
93178.921875,80604.000000,75760.187500,85147.000000,61432.000000,90835.296875,254.869995,4620.000000,0.561461
116304.593750,98368.000000,77485.945312,86250.000000,65956.000000,85700.781250,639.099976,4439.000000,0.572710
122835.523438,104964.000000,76694.382812,104732.000000,76820.000000,89348.039062,591.359985,5055.000000,0.578847
121127.546875,108536.000000,73139.007812,85055.000000,66008.000000,84446.796875,403.479980,4382.000000,0.594187
120062.625000,106221.000000,74075.968750,114392.000000,80349.000000,93302.898438,237.929993,3912.000000,0.610550
112007.781250,103744.000000,70756.304688,78057.000000,62692.000000,81598.031250,516.669983,6869.000000,0.618732
210906.312500,178292.000000,77524.273438,177148.000000,111492.000000,104129.187500,940.169983,14308.000000,0.620777
136146.234375,114236.000000,78105.679688,105415.000000,71756.000000,96277.351562,343.419983,4372.000000,0.627936
115023.210938,93520.000000,80604.804688,97428.000000,66068.000000,96643.484375,198.659988,5858.000000,0.631004
122848.953125,112708.000000,71432.632812,72641.000000,55552.000000,85696.296875,247.169998,2985.000000,0.638163
88557.421875,76816.000000,75553.257812,78693.000000,60816.000000,84800.460938,283.359985,3351.000000,0.639186
94876.632812,86140.000000,72182.898438,72383.000000,61560.000000,77058.039062,201.739990,2557.000000,0.641231
119541.226562,110169.000000,71111.242188,87905.000000,67481.000000,85371.320312,417.339996,4033.000000,0.649413
123538.625000,110460.000000,73295.570312,106486.000000,73436.000000,95030.593750,522.830017,6828.000000,0.652481
154949.031250,128305.000000,79145.312500,118937.000000,89393.000000,87195.367188,275.660004,3895.000000,0.653504
95985.789062,88801.000000,70838.445312,80051.000000,64481.000000,81360.750000,267.959991,3095.000000,0.654526
235734.421875,195083.000000,79192.398438,133121.000000,93739.000000,93069.250000,473.549988,8932.000000,0.654526
171081.609375,142899.000000,78461.054688,104909.000000,80195.000000,85732.476562,438.899994,8174.000000,0.658617
109081.625000,91500.000000,78128.679688,101826.000000,74908.000000,89086.195312,275.660004,4404.000000,0.658617
129322.210938,104588.000000,81034.734375,113992.000000,75580.000000,98843.343750,545.929993,4710.000000,0.659640
212048.640625,175612.000000,79133.656250,167339.000000,106312.000000,103156.078125,896.279968,12194.000000,0.663731
132405.578125,115021.000000,75441.289062,97178.000000,72093.000000,88339.468750,263.339996,4276.000000,0.681116
132362.140625,117108.000000,74072.523438,94758.000000,69940.000000,88791.257812,463.539978,3534.000000,0.683162
113693.640625,102361.000000,72791.656250,76146.000000,57469.000000,86834.718750,338.799988,3910.000000,0.693389
137500.296875,120518.000000,74770.742188,99137.000000,77634.000000,83688.109375,924.769958,6379.000000,0.697479
114445.726562,103832.000000,72235.109375,75075.000000,60008.000000,81990.992188,362.669983,4854.000000,0.699525
182999.562500,148413.000000,80808.687500,126943.000000,90841.000000,91581.304688,476.629974,4980.000000,0.704638
92325.718750,83660.000000,72324.390625,99782.000000,62668.000000,104348.531250,539.000000,5598.000000,0.710775
92751.531250,80948.000000,75092.210938,82540.000000,64256.000000,84184.218750,350.350006,4655.000000,0.710775
163213.218750,142941.000000,74830.460938,127636.000000,86361.000000,96857.984375,448.139984,5591.000000,0.717933
156392.359375,135640.000000,75562.734375,96260.000000,74140.000000,85088.960938,451.989990,4413.000000,0.722024
164147.781250,135920.000000,79146.476562,135524.000000,92420.000000,96101.507812,647.570007,6474.000000,0.726115
119330.296875,104217.000000,75039.875000,80279.000000,62105.000000,84714.031250,217.139999,3985.000000,0.728160
103975.062500,86993.000000,78329.414062,97914.000000,75717.000000,84748.367188,897.820007,6527.000000,0.730206
103979.804688,91828.000000,74208.523438,59357.000000,50096.000000,77651.328125,385.769989,2793.000000,0.730206
165790.984375,147120.000000,73853.171875,118418.000000,87620.000000,88571.578125,461.229980,6392.000000,0.738387
164276.546875,145137.000000,74178.382812,133086.000000,94661.000000,92138.515625,499.729980,6248.000000,0.741455
97668.492188,90121.000000,71024.546875,58728.000000,47497.000000,81032.445312,224.839996,2599.000000,0.743501
112954.203125,105793.000000,69972.179688,80066.000000,61541.000000,85263.570312,361.130005,3952.000000,0.751682
135094.750000,122657.000000,72181.531250,80013.000000,62053.000000,84504.093750,341.109985,6218.000000,0.766000
135720.421875,122108.000000,72841.859375,87350.000000,68748.000000,83268.890625,232.539993,4357.000000,0.786454
136327.140625,121444.000000,73567.539062,75475.000000,59520.000000,83103.664062,300.299988,3515.000000,0.787477
105530.570312,96628.000000,71574.000000,80211.000000,62832.000000,83662.914062,395.009979,4406.000000,0.790545
90183.242188,80368.000000,73539.828125,67353.000000,54628.000000,80801.898438,267.959991,3282.000000,0.797704
119425.093750,107920.000000,72522.640625,54565.000000,45392.000000,78779.789062,331.100006,4276.000000,0.802817
98833.742188,90796.000000,71337.593750,58857.000000,46716.000000,82568.125000,465.849976,3575.000000,0.812022
169813.671875,152665.000000,72897.578125,140752.000000,105997.000000,87024.390625,577.500000,5495.000000,0.818158
137473.437500,117309.000000,76801.093750,102498.000000,70969.000000,94651.320312,335.720001,6344.000000,0.818158
117896.445312,101878.000000,75840.335938,121909.000000,88818.000000,89952.804688,481.250000,4615.000000,0.819180
121865.406250,107909.000000,74012.101562,98408.000000,75297.000000,85651.039062,475.859985,6642.000000,0.827362
89064.601562,77580.000000,75237.664062,88531.000000,64444.000000,90031.148438,542.849976,3586.000000,0.832476
102504.875000,94568.000000,71036.289062,67142.000000,51384.000000,85634.007812,547.469971,4399.000000,0.844748
107154.023438,93997.000000,74709.257812,76485.000000,59225.000000,84635.218750,372.679993,4948.000000,0.857020
127967.367188,110625.000000,75809.898438,96011.000000,71845.000000,87579.890625,281.820007,2827.000000,0.861111
136722.140625,115732.000000,77422.164062,146039.000000,100384.000000,95342.000000,549.779968,8804.000000,0.862134
110489.406250,97660.000000,74145.343750,99038.000000,75964.000000,85442.507812,794.639954,6223.000000,0.863156
131632.968750,118665.000000,72697.914062,87238.000000,65629.000000,87114.375000,308.769989,5041.000000,0.876451
170864.359375,145908.000000,76745.390625,110077.000000,82436.000000,87510.390625,582.119995,7048.000000,0.893837
112645.312500,93394.000000,79044.937500,87456.000000,65958.000000,86896.460938,577.500000,5126.000000,0.895883
86992.429688,81225.000000,70189.421875,62751.000000,53801.000000,76438.164062,412.720001,4343.000000,0.895883
115945.140625,104921.000000,72421.921875,90236.000000,69689.000000,84858.539062,751.519958,6397.000000,0.905087
121563.625000,108229.000000,73610.531250,85291.000000,66853.000000,83610.773438,446.599976,6332.000000,0.909178
99468.906250,87288.000000,74681.445312,73326.000000,56328.000000,85312.679688,97.790001,3250.000000,0.939859
142839.109375,125860.000000,74377.125000,126887.000000,92212.000000,90179.875000,458.919983,6944.000000,0.941904
88476.054688,70457.000000,82296.531250,79259.000000,58653.000000,88560.140625,406.559998,6255.000000,0.944972
158502.437500,136112.000000,76316.679688,130527.000000,97904.000000,87373.523438,525.909973,9079.000000,0.945995
95676.109375,82644.000000,75870.351562,65846.000000,52276.000000,82548.093750,308.769989,3323.000000,0.955199
231526.890625,182940.000000,82941.656250,235982.000000,147340.000000,104963.468750,635.250000,12092.000000,0.958267
100593.070312,84784.000000,77756.039062,80405.000000,64160.000000,82129.398438,416.569977,5973.000000,0.965426
160139.328125,136569.000000,76846.796875,94496.000000,70009.000000,88458.484375,247.939987,4284.000000,0.977699
121024.843750,106533.000000,74450.960938,72239.000000,58341.000000,81147.992188,237.159988,3287.000000,0.979744
103182.695312,88808.000000,76143.828125,110884.000000,82840.000000,87722.046875,594.440002,5691.000000,0.981789
114493.914062,103222.000000,72692.578125,55093.000000,45446.000000,79447.585938,147.839996,2689.000000,1.017584
97946.570312,92752.000000,69206.343750,63293.000000,47856.000000,86676.070312,224.839996,5307.000000,1.018606
114922.093750,106321.000000,70837.687500,76272.000000,61301.000000,81541.281250,462.000000,6454.000000,1.022697
97004.101562,85769.000000,74120.734375,95206.000000,64969.000000,96036.882812,817.739990,7512.000000,1.027811
98528.804688,89053.000000,72509.453125,89334.000000,70829.000000,82658.148438,293.369995,4373.000000,1.028833
194877.203125,169439.000000,75375.054688,141120.000000,99999.000000,92485.320312,877.799988,7721.000000,1.030879
144205.812500,123944.000000,76249.531250,125691.000000,91532.000000,89993.500000,901.669983,5681.000000,1.040083
127457.812500,116028.000000,71991.890625,114016.000000,86060.000000,86824.921875,754.599976,8929.000000,1.053378
119997.843750,104746.000000,75078.562500,90630.000000,71006.000000,83648.250000,488.949982,3792.000000,1.064628
114864.421875,103804.000000,72518.929688,66985.000000,54140.000000,81084.757812,449.679993,4086.000000,1.077923
129360.132812,117904.000000,71903.789062,98025.000000,72464.000000,88653.218750,354.970001,4811.000000,1.092241
123268.445312,106980.000000,75514.320312,137037.000000,96164.000000,93391.054688,427.349976,4188.000000,1.094286
107900.570312,98611.000000,71709.773438,75539.000000,56487.000000,87640.062500,259.489990,3707.000000,1.100422
109198.539062,98685.000000,72517.968750,88347.000000,69869.000000,82868.070312,529.760010,6151.000000,1.108604
118281.171875,104427.000000,74230.554688,83082.000000,66191.000000,82259.851562,133.979996,3023.000000,1.116785
111279.406250,92032.000000,79242.085938,88512.000000,62724.000000,92480.109375,353.429993,4450.000000,1.129058
93242.914062,73905.000000,82684.093750,85313.000000,58949.000000,94845.929688,206.360001,3393.000000,1.136217
125112.304688,108185.000000,75790.179688,92605.000000,70361.000000,86254.625000,287.209991,3924.000000,1.138262
117706.054688,105272.000000,73276.695312,65421.000000,52108.000000,82279.703125,172.479996,2903.000000,1.144398
133014.671875,111812.000000,77963.445312,119993.000000,88036.000000,89325.523438,685.299988,7793.000000,1.153602
131164.500000,117468.000000,73177.351562,117619.000000,87272.000000,88324.765625,959.419983,9010.000000,1.154625
125465.429688,113641.000000,72355.070312,105556.000000,79497.000000,87018.601562,559.019958,5557.000000,1.159739
96576.710938,87257.000000,72535.742188,65671.000000,54045.000000,79633.906250,272.579987,3394.000000,1.162807
98527.226562,88193.000000,73215.343750,68613.000000,53973.000000,83312.421875,100.869995,2636.000000,1.164852
146341.968750,130757.000000,73347.265625,91465.000000,72433.000000,82755.789062,441.979980,4704.000000,1.182238
123868.843750,109568.000000,74089.789062,104188.000000,75248.000000,90740.812500,1056.439941,9047.000000,1.185306
158777.359375,132013.000000,78822.796875,128439.000000,93769.000000,89767.171875,682.989990,7502.000000,1.192465
110747.734375,96484.000000,75224.539062,91652.000000,68036.000000,88284.226562,356.509979,4232.000000,1.198601
110316.390625,93518.000000,77308.062500,65721.000000,53070.000000,81158.687500,127.820000,2487.000000,1.204737
