"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","Alexa Fluor 488-A","Time"
30004.000000,17627.000000,111552.851562,70176.000000,26735.000000,172023.734375,756.820007,5117.000000,1.199673
67793.601562,47828.000000,92893.734375,79031.000000,33028.000000,156817.718750,1124.170044,4078.000000,1.247175
28584.800781,11687.000000,160292.078125,71729.000000,25927.000000,181310.281250,600.400024,2977.000000,1.267388
27199.201172,13441.000000,132618.625000,37336.000000,18993.000000,128829.148438,1498.630005,3637.000000,1.314890
21580.800781,17553.000000,80574.234375,38898.000000,23265.000000,109573.156250,489.800018,3090.000000,1.347232
36396.000000,25277.000000,94364.382812,61799.000000,27129.000000,149288.937500,1163.670044,5123.000000,1.357338
49380.000000,38241.000000,84625.609375,34380.000000,24357.000000,92504.328125,415.540009,2215.000000,1.357338
14480.799805,7728.000000,122801.984375,45043.000000,21236.000000,139006.312500,761.559998,2573.000000,1.368456
99256.804688,81516.000000,79798.992188,50469.000000,34040.000000,97166.171875,435.290009,3005.000000,1.387659
68984.804688,59025.000000,76594.460938,63006.000000,29489.000000,140023.796875,593.290039,3056.000000,1.399787
53668.800781,42244.000000,83260.078125,39930.000000,21936.000000,119294.882812,640.690002,3110.000000,1.500854
24053.599609,23165.000000,68049.929688,57866.000000,53241.000000,71229.062500,233.050003,341.000000,1.542292
19203.201172,9668.000000,130171.804688,36107.000000,19412.000000,121899.250000,1568.940063,2641.000000,1.640328
36350.402344,33832.000000,70414.406250,36980.000000,25628.000000,94565.375000,811.330017,2918.000000,1.765652
45084.800781,29328.000000,100745.960938,71964.000000,36052.000000,130817.507812,1019.890015,5189.000000,1.828313
48576.800781,36892.000000,86293.218750,69476.000000,28440.000000,160097.718750,492.170013,3088.000000,1.956670
100462.398438,78984.000000,83357.437500,77901.000000,37340.000000,136725.218750,698.360046,3514.000000,1.967787
37242.402344,26636.000000,91632.296875,42889.000000,19736.000000,142418.609375,618.570007,2242.000000,1.986990
75568.000000,50118.000000,98815.281250,67224.000000,31122.000000,141558.781250,650.960022,3310.000000,2.002150
23748.800781,19800.000000,78606.132812,53882.000000,28428.000000,124215.937500,811.330017,4246.000000,2.038534
32507.201172,26544.000000,80258.890625,56705.000000,26624.000000,139581.531250,1197.640015,3488.000000,2.156783
19624.800781,18373.000000,70001.148438,46239.000000,27125.000000,111716.835938,696.780029,3195.000000,2.351844
71743.203125,54553.000000,86187.062500,53053.000000,30413.000000,114322.218750,662.020020,2666.000000,2.466050
30750.400391,24724.000000,81510.210938,27451.000000,16996.000000,105850.125000,451.090027,2373.000000,2.486264
90088.000000,72231.000000,81737.859375,60937.000000,40339.000000,99000.156250,739.440002,4589.000000,2.536798
111711.203125,100824.000000,72612.726562,54524.000000,35624.000000,100305.554688,509.550018,2830.000000,2.572171
160731.203125,138161.000000,76242.070312,72181.000000,43573.000000,108563.882812,1155.770020,5080.000000,2.613609
57567.199219,45775.000000,82418.882812,56145.000000,34395.000000,106978.304688,606.720032,2602.000000,2.664143
28918.400391,22605.000000,83839.695312,43961.000000,20765.000000,138744.437500,1493.100098,4374.000000,2.791488
123558.398438,109432.000000,73995.929688,49022.000000,34844.000000,92202.554688,1181.050049,3523.000000,2.802605
131617.609375,108254.000000,79680.117188,76402.000000,47278.000000,105907.218750,1405.410034,4721.000000,2.824841
142816.796875,107284.000000,87241.734375,103712.000000,59344.000000,114533.390625,1195.270020,6966.000000,2.864257
132460.796875,113829.000000,76263.093750,80658.000000,45905.000000,115150.914062,1301.920044,5068.000000,2.866278
74192.804688,66797.000000,72792.179688,23098.000000,18889.000000,80139.265625,167.480011,1728.000000,2.877396
36431.199219,31537.000000,75706.476562,69654.000000,32981.000000,138408.312500,880.059998,4459.000000,2.896599
20801.599609,17785.000000,76651.875000,35932.000000,16061.000000,146618.500000,827.130005,2580.000000,2.900641
44235.199219,38300.000000,75691.859375,55490.000000,33756.000000,107731.734375,1337.470093,3905.000000,2.926919
20152.800781,12509.000000,105582.703125,32443.000000,16509.000000,128789.421875,632.000000,2060.000000,2.943090
47936.800781,32688.000000,96108.242188,62337.000000,32372.000000,126199.109375,481.110016,2707.000000,2.981495
19579.201172,13384.000000,95871.375000,38869.000000,12008.000000,212135.140625,979.600037,2600.000000,3.044157
40948.000000,31469.000000,85276.554688,29485.000000,20077.000000,96245.906250,338.119995,2155.000000,3.046179
102066.398438,80160.000000,83445.906250,92178.000000,46336.000000,130373.304688,766.300049,4995.000000,3.047189
32149.599609,18377.000000,114651.804688,85423.000000,33113.000000,169065.984375,1982.900024,3973.000000,3.096712
101557.601562,82185.000000,80984.109375,38526.000000,25213.000000,100140.406250,1166.830078,4622.000000,3.127033
75893.601562,67606.000000,73569.851562,24230.000000,19842.000000,80029.093750,481.110016,976.000000,3.254378
120900.000000,103037.000000,76897.648438,78754.000000,46409.000000,111211.671875,986.710022,4810.000000,3.274591
50206.402344,42600.000000,77237.718750,50376.000000,32440.000000,101770.703125,1280.590088,3048.000000,3.317040
161157.609375,131520.000000,80304.328125,85876.000000,54976.000000,102371.398438,921.930054,4823.000000,3.410022
76491.203125,56954.000000,88017.132812,45689.000000,32398.000000,92421.578125,631.210022,1974.000000,3.446406
29660.000000,18429.000000,105474.953125,60008.000000,30969.000000,126987.781250,579.070007,4557.000000,3.678862
158136.796875,131117.000000,79041.273438,71357.000000,46569.000000,100419.859375,1271.109985,3868.000000,3.803175
82436.000000,58713.000000,92015.835938,75606.000000,45837.000000,108098.585938,1433.060059,4070.000000,3.846634
45048.800781,33628.000000,87793.460938,47928.000000,25020.000000,125539.945312,868.210022,2974.000000,3.872912
144520.000000,117920.000000,80319.390625,67884.000000,45012.000000,98836.890625,943.260010,3869.000000,4.075047
154931.203125,126959.000000,79975.195312,61896.000000,42559.000000,95312.773438,954.320007,3130.000000,4.106378
43595.199219,36730.000000,77785.328125,64695.000000,35438.000000,119641.390625,1215.020020,4855.000000,4.112442
50755.199219,38861.000000,85594.617188,48447.000000,25213.000000,125927.992188,851.619995,2133.000000,4.239788
36865.601562,29793.000000,81093.687500,78927.000000,34181.000000,151328.515625,1348.530029,4817.000000,4.262022
119646.398438,100167.000000,78280.734375,53799.000000,38183.000000,92338.765625,616.200012,2850.000000,4.325695
13351.200195,11466.000000,76311.210938,29816.000000,25678.000000,76097.101562,390.260010,6050.000000,4.392400
121504.000000,100449.000000,79272.929688,59205.000000,40565.000000,95650.414062,1137.599976,3451.000000,4.519745
109628.804688,82289.000000,87309.765625,66000.000000,35505.000000,121824.421875,944.840027,4563.000000,4.526819
109868.804688,91383.000000,78793.234375,74370.000000,47815.000000,101932.710938,579.859985,2929.000000,4.534905
61207.199219,42380.000000,94650.187500,73761.000000,42844.000000,112827.960938,752.869995,3249.000000,4.615759
70052.000000,43849.000000,104698.578125,57314.000000,34313.000000,109466.687500,626.470032,2716.000000,4.708741
20072.000000,9513.000000,138278.000000,72126.000000,22793.000000,207381.625000,1794.880005,5123.000000,4.728955
79584.804688,69045.000000,75540.148438,77120.000000,45925.000000,110051.968750,1421.210083,5829.000000,5.006891
93405.601562,75065.000000,81548.382812,81049.000000,45225.000000,117448.921875,951.160034,3324.000000,5.014977
132217.609375,110633.000000,78322.148438,62343.000000,42941.000000,95147.085938,1016.730042,4030.000000,5.015987
70939.203125,55160.000000,84283.390625,62381.000000,34300.000000,119189.539062,964.590027,3311.000000,5.022051
70536.000000,56539.000000,81760.335938,53672.000000,34075.000000,103226.648438,862.680054,2367.000000,5.178706
30077.599609,20323.000000,96991.859375,59402.000000,27399.000000,142084.375000,1279.800049,3159.000000,5.311104
70989.601562,61313.000000,75879.078125,53266.000000,30453.000000,114630.429688,926.670044,2729.000000,5.362648
47260.800781,35128.000000,88171.367188,53725.000000,22460.000000,156764.109375,425.020020,2253.000000,5.567816
110693.601562,86505.000000,83861.218750,76335.000000,43197.000000,115811.062500,903.760010,4436.000000,5.586009
76791.203125,61229.000000,82192.890625,61359.000000,36285.000000,110823.304688,983.550049,4799.000000,5.587019
23180.000000,15109.000000,100544.351562,35944.000000,20597.000000,114367.429688,936.150024,2939.000000,5.803304
126810.398438,102573.000000,81021.773438,74655.000000,39261.000000,124617.054688,771.040039,4429.000000,5.812399
106172.804688,79580.000000,87435.796875,87265.000000,52824.000000,108265.164062,870.580017,4396.000000,5.815432
69319.203125,56721.000000,80092.093750,33171.000000,20325.000000,106956.687500,743.390015,2178.000000,5.851816
46055.199219,39449.000000,76510.773438,47083.000000,23657.000000,130432.070312,425.809998,2417.000000,5.859901
47884.800781,31043.000000,101091.335938,72260.000000,27027.000000,175218.546875,1516.010010,4183.000000,5.904372
119539.203125,99193.000000,78978.570312,65364.000000,42393.000000,101047.226562,861.890015,3279.000000,5.982194
80281.601562,71030.000000,74072.023438,62517.000000,39330.000000,104172.750000,1018.309998,2800.000000,5.988257
92423.203125,73184.000000,82764.640625,51533.000000,28864.000000,117006.195312,925.880005,2861.000000,6.019588
142404.796875,122028.000000,76479.507812,88425.000000,48168.000000,120308.523438,2012.130005,5612.000000,6.035759
18143.201172,9755.000000,121889.578125,50939.000000,19871.000000,168000.515625,861.100037,3772.000000,6.062037
