"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","Alexa Fluor 488-A","Time"
119436.804688,105648.000000,74089.531250,49926.000000,37892.000000,86349.367188,489.010010,2947.000000,0.138812
73511.203125,61615.000000,78189.250000,37540.000000,26069.000000,94373.453125,826.340027,1954.000000,0.185293
99622.398438,84689.000000,77092.109375,30584.000000,25045.000000,80030.070312,347.600006,1750.000000,0.230307
78508.804688,70196.000000,73296.953125,43689.000000,30756.000000,93094.101562,695.989990,2462.000000,0.244544
91170.398438,77376.000000,77219.593750,52174.000000,36240.000000,94350.867188,299.410004,2325.000000,0.257735
90993.601562,72273.000000,82511.546875,42275.000000,27153.000000,102034.195312,644.640015,2348.000000,0.284115
82120.804688,61893.000000,86954.406250,50509.000000,33057.000000,100134.859375,562.480042,2912.000000,0.295212
19054.400391,15525.000000,80434.726562,43046.000000,36513.000000,77261.875000,302.570007,10173.000000,0.304634
66521.601562,57237.000000,76166.812500,49617.000000,36133.000000,89992.515625,310.470001,1854.000000,0.312171
84510.398438,75632.000000,73229.234375,22091.000000,18336.000000,78957.015625,665.179993,1378.000000,0.314265
107062.398438,88392.000000,79378.695312,60064.000000,43852.000000,89764.531250,765.510010,2993.000000,0.348183
91199.203125,74808.000000,79895.617188,46995.000000,31640.000000,97340.851562,556.160034,2039.000000,0.371213
117889.601562,95980.000000,80496.070312,71101.000000,45260.000000,102953.500000,850.040039,3421.000000,0.373307
58635.199219,44597.000000,86165.359375,40844.000000,26081.000000,102632.281250,256.750000,1651.000000,0.377495
14068.000000,7421.000000,124236.695312,80742.000000,52233.000000,101305.835938,398.160004,11072.000000,0.381891
115787.203125,95725.000000,79271.148438,47473.000000,33705.000000,92306.500000,627.260010,2523.000000,0.419787
118481.601562,100140.000000,77539.554688,55681.000000,38652.000000,94409.343750,823.179993,3031.000000,0.431303
61548.000000,49837.000000,80936.046875,40856.000000,25497.000000,105013.875000,687.300049,1795.000000,0.444912
