"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","Alexa Fluor 488-A","Time"
36056.000000,19313.000000,122351.062500,65672.000000,25777.000000,166965.906250,1108.369995,31676.000000,0.585831
77332.000000,64089.000000,79078.000000,33518.000000,25929.000000,84717.335938,2823.459961,27949.000000,0.586850
83872.804688,68140.000000,80667.570312,30294.000000,20636.000000,96207.968750,2301.270020,48719.000000,0.596019
64401.601562,53701.000000,78594.875000,40003.000000,24753.000000,105911.875000,1218.180054,13318.000000,0.658168
90935.203125,80685.000000,73861.679688,37932.000000,24761.000000,100396.250000,1404.619995,7254.000000,0.713186
78393.601562,68916.000000,74548.773438,37067.000000,28195.000000,86157.937500,11221.950195,11867.000000,0.769222
25799.201172,17648.000000,95805.554688,51595.000000,30640.000000,110356.726562,862.680054,37811.000000,0.779410
89252.000000,74765.000000,78234.726562,40872.000000,23869.000000,112220.343750,2772.110107,18121.000000,0.780429
25504.000000,14611.000000,114395.335938,59069.000000,31543.000000,122725.992188,3735.120117,47329.000000,0.787561
96859.203125,76261.000000,83237.367188,31760.000000,23845.000000,87289.718750,1455.970093,17038.000000,0.849710
104224.804688,75972.000000,89907.812500,65551.000000,41104.000000,104514.171875,2502.719971,40703.000000,0.921028
93625.601562,73749.000000,83199.070312,42628.000000,31637.000000,88303.843750,688.090027,19520.000000,0.960763
78670.398438,66585.000000,77431.000000,36296.000000,29197.000000,81470.515625,1882.570068,4391.000000,0.963819
92199.203125,80384.000000,75168.773438,43071.000000,32080.000000,87989.437500,1441.750000,17715.000000,0.982159
90629.601562,81089.000000,73246.695312,52524.000000,35681.000000,96471.875000,4965.939941,34124.000000,0.987253
116149.601562,95633.000000,79595.757812,59185.000000,42133.000000,92059.625000,2893.770020,22295.000000,0.987253
96915.203125,88502.000000,71766.000000,50708.000000,36838.000000,90211.179688,1411.729980,25688.000000,0.987253
75840.000000,65402.000000,75995.390625,26640.000000,20526.000000,85056.960938,3632.420166,6063.000000,0.991328
35992.800781,25337.000000,93098.007812,48556.000000,22509.000000,141373.046875,795.530029,23689.000000,0.993366
84650.398438,76692.000000,72336.734375,32367.000000,24948.000000,85025.000000,1399.090088,7883.000000,1.000498
83350.398438,74055.000000,73762.093750,45005.000000,31603.000000,93328.093750,1520.750000,4795.000000,1.001516
71919.203125,60520.000000,77879.992188,39082.000000,26008.000000,98480.390625,3197.920166,15774.000000,1.002535
74080.000000,61244.000000,79271.554688,46433.000000,29900.000000,101773.679688,3778.570068,3054.000000,1.003554
78257.601562,69021.000000,74306.226562,41711.000000,30105.000000,90801.265625,659.650024,16588.000000,1.003554
83173.601562,61793.000000,88211.695312,48028.000000,30049.000000,104747.679688,3003.580078,28301.000000,1.004573
55631.199219,50136.000000,72719.125000,23840.000000,17304.000000,90290.007812,563.270020,2823.000000,1.007629
131432.000000,102776.000000,83808.742188,76869.000000,47144.000000,106857.437500,2668.620117,76722.000000,1.016799
92368.804688,79889.000000,75773.656250,42859.000000,26913.000000,104366.195312,1451.229980,31516.000000,1.016799
40449.601562,29932.000000,88564.242188,45939.000000,20764.000000,144994.140625,1105.210083,27916.000000,1.018837
89944.000000,75215.000000,78369.601562,80546.000000,50587.000000,104348.210938,683.350037,64159.000000,1.025968
56556.800781,37693.000000,98334.085938,51370.000000,24477.000000,137540.734375,816.860046,28398.000000,1.038195
99580.804688,84629.000000,77114.554688,42798.000000,30881.000000,90826.390625,5129.470215,12734.000000,1.042270
127720.000000,93120.000000,89886.796875,42201.000000,28896.000000,95711.679688,2734.979980,19210.000000,1.045326
88931.203125,74576.000000,78151.078125,29389.000000,22384.000000,86045.281250,395.790009,5141.000000,1.049402
66142.398438,41020.000000,105673.039062,44007.000000,24904.000000,115806.406250,1748.270020,12620.000000,1.053477
79008.000000,68846.000000,75209.429688,22237.000000,17966.000000,81115.664062,1790.930054,1279.000000,1.054496
80629.601562,71160.000000,74257.187500,47632.000000,34732.000000,89877.085938,2105.350098,7761.000000,1.060609
71079.203125,55162.000000,84446.664062,32338.000000,23978.000000,88385.328125,559.320007,9046.000000,1.064684
89714.398438,73829.000000,79637.031250,37462.000000,26433.000000,92880.484375,1391.190063,9738.000000,1.067741
81444.804688,68617.000000,77787.820312,31669.000000,23465.000000,88449.164062,611.460022,10501.000000,1.079967
34144.800781,21840.000000,102459.421875,41330.000000,20468.000000,132333.531250,1711.140015,26123.000000,1.084042
88716.000000,70365.000000,82627.609375,47985.000000,33081.000000,95061.976562,6715.000000,11029.000000,1.092193
60590.402344,48909.000000,81188.593750,56830.000000,26457.000000,140772.218750,2231.750000,65246.000000,1.100344
44742.402344,35292.000000,83085.062500,33513.000000,20508.000000,107095.179688,1497.050049,10194.000000,1.104419
59008.000000,42461.000000,91075.304688,46345.000000,29837.000000,101795.281250,2479.810059,16825.000000,1.108494
75324.804688,65059.000000,75877.070312,50594.000000,32440.000000,102211.117188,691.250000,32110.000000,1.115626
48483.199219,26285.000000,120882.429688,60731.000000,28125.000000,141513.484375,2267.300049,10798.000000,1.118683
69868.000000,48320.000000,94761.375000,48176.000000,25668.000000,123003.835938,2405.550049,24583.000000,1.122758
20304.800781,14508.000000,91721.492188,43191.000000,16904.000000,167449.453125,695.989990,19494.000000,1.125814
93422.398438,81039.000000,75550.421875,43782.000000,31999.000000,89668.335938,4156.189941,16701.000000,1.129890
76796.804688,69245.000000,72683.296875,39106.000000,24845.000000,103153.593750,270.179993,1615.000000,1.133965
77216.000000,67837.000000,74596.867188,33946.000000,24521.000000,90725.703125,1420.420044,15238.000000,1.142116
135540.000000,105113.000000,84506.671875,63136.000000,37213.000000,111189.132812,1953.670044,25114.000000,1.143135
128802.398438,100282.000000,84174.570312,54965.000000,36430.000000,98879.664062,1017.520020,18661.000000,1.144154
55368.000000,43166.000000,84061.468750,65424.000000,37070.000000,115663.000000,793.160034,42307.000000,1.147210
48529.601562,33251.000000,95649.343750,42970.000000,24803.000000,113537.953125,2918.260010,47824.000000,1.148229
45192.000000,34744.000000,85243.585938,49508.000000,27400.000000,118414.460938,652.540039,20399.000000,1.148229
