"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","Alexa Fluor 488-A","Time"
18727.201172,15605.000000,78648.250000,36395.000000,15765.000000,151296.093750,583.020020,29941.000000,0.689187
76252.000000,55700.000000,89717.250000,90140.000000,42032.000000,140545.656250,3230.310059,40501.000000,0.928948
67855.203125,45445.000000,97853.648438,54341.000000,34565.000000,103031.734375,11931.370117,42046.000000,0.960047
27414.400391,16532.000000,108675.906250,59212.000000,27060.000000,143404.203125,1666.109985,55162.000000,1.136607
44881.601562,37118.000000,79243.523438,33424.000000,25738.000000,85106.664062,6906.970215,2254.000000,1.139616
43726.402344,34481.000000,83108.195312,74013.000000,43525.000000,111442.062500,1174.729980,23876.000000,1.146639
126746.398438,108204.000000,76766.585938,74473.000000,55288.000000,88277.078125,1617.920044,46615.000000,1.207833
43396.800781,37385.000000,76074.703125,38663.000000,26957.000000,93994.820312,605.140015,7462.000000,1.222881
67732.804688,54153.000000,81970.289062,74928.000000,43181.000000,113718.570312,1964.730103,124608.000000,1.294107
30430.400391,23668.000000,84260.890625,74960.000000,23600.000000,208160.109375,7606.910156,76252.000000,1.332228
85928.804688,74201.000000,75894.257812,32496.000000,25309.000000,84146.273438,824.760010,14169.000000,1.345269
40147.199219,19141.000000,137458.171875,47503.000000,20209.000000,154048.031250,1033.320068,45330.000000,1.516813
91567.203125,73064.000000,82132.765625,91390.000000,48360.000000,123848.945312,1642.410034,15033.000000,1.549918
23214.400391,14684.000000,103607.945312,54337.000000,23656.000000,150533.890625,1391.979980,5699.000000,1.656256
107314.398438,95621.000000,73550.335938,87607.000000,51333.000000,111846.414062,5535.530273,18652.000000,1.702402
39618.402344,35213.000000,73735.031250,57401.000000,34121.000000,110249.750000,720.480042,11616.000000,1.732498
60310.402344,43181.000000,91533.375000,90257.000000,39993.000000,147902.968750,1733.260010,26025.000000,1.743533
108339.203125,81662.000000,86945.195312,57044.000000,37374.000000,100027.710938,3355.920166,11944.000000,1.802721
74095.203125,51392.000000,94487.531250,69900.000000,37940.000000,120742.398438,1247.410034,4842.000000,1.825794
158208.796875,125772.000000,82437.835938,106967.000000,69052.000000,101520.429688,1227.660034,85167.000000,1.847864
50026.402344,34525.000000,94961.046875,62211.000000,33357.000000,122225.023438,2733.400146,23753.000000,1.860905
178797.609375,153408.000000,76382.453125,104617.000000,66448.000000,103181.132812,26745.451172,36804.000000,1.928118
26925.599609,21321.000000,82763.289062,38539.000000,21097.000000,119718.070312,5617.689941,10429.000000,1.935141
75224.000000,63045.000000,78196.210938,67778.000000,45873.000000,96830.359375,2347.090088,74839.000000,2.079599
