"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "CD86", "CD206", "Time", "Event #"
33316,16359,133468,95382.4,29363,212886,489.1,3911.73,0.061,0
20817.6,14051,97096.4,54909.7,15351,234419,1120.55,1577.62,0.226,3
37596.8,33394,73784,41558.5,20866,130527,575.97,3392.59,0.266,4
45900.8,29658,101428,73848.2,20846,232165,705.18,9734.38,0.268,5
104026,76396,89237.9,81257.5,38156,139566,1111.79,4899.51,0.308,6
32279.2,26383,80182.3,44627.9,18591,157320,348.21,3415.82,0.325,7
59109.6,34678,111708,151749,55718,178489,2947.01,7000.31,0.369,9
42811.2,34514,81290.9,54276.4,26358,134952,2634.57,2506.82,0.376,10
63915.2,48610,86170.5,45342.9,22434,132459,1064.34,2785.58,0.401,11
46492.8,25135,121223,65277.3,28607,149544,1228.59,1225.13,0.455,14
16320,10042,106507,47728.6,15546,201205,1164.35,9456.63,0.501,16
62894.4,57134,72143.5,35651,25274,92443.7,137.24,1447.33,0.513,17
52908,43795,79172.9,25446.9,17447,95586.1,360.62,8010.31,0.517,18
63021.6,53905,76619.7,47896.2,26769,117260,350.4,3128.98,0.647,19
44564,38947,74987.7,85656.1,44103,127283,1016.89,2079.59,0.65,20
51870.4,38431,88454.1,38730.5,20715,122532,3564.59,2898.7,0.673,21
28666.4,22141,84850.8,38304.2,21097,118989,762.12,7837.6,0.681,23
56124.8,41006,89698.9,110113,38618,186866,5382.29,2975.46,0.723,24
48856.8,41971,76287.9,59814.2,37831,103618,1353.42,2372.49,0.753,25
52815.2,45316,76381.3,66270.1,32455,133819,67.89,2169.48,0.785,26
35895.2,25938,90694.3,55288.4,17058,212415,1676.81,10194.9,0.865,30
94590.4,84410,73440.1,58730.5,33482,114956,608.82,5013.64,0.904,31
81144.8,54323,97894.2,152518,49987,199960,2836.78,7850.73,0.924,32
93766.4,79866,76942.3,35135.9,25290,91050.4,606.63,1420.06,0.942,33
71871.2,59321,79401.1,135546,58041,153049,3690.88,22676.5,1.011,35
50899.2,46584,71606.8,53000.8,27471,126441,1359.26,1729.12,1.045,36
71581.6,61019,76880.5,53287.6,31631,110406,486.91,1231.19,1.064,37
76995.2,68010,74194.4,65060.2,38542,110627,3809.14,3661.25,1.072,38
61918.4,53480,75876.7,53108.8,32412,107384,4436.94,1850.32,1.075,39
40082.4,33939,77398.9,40747.4,16999,157093,529.98,2754.27,1.106,40
44440,31831,91496.3,48482,21287,149261,1031.49,3071.41,1.113,41
43936,40043,71907.4,47838.6,24315,128939,272.29,1306.94,1.14,42
54242.4,41458,85745.3,60325.3,28006,141165,898.63,3834.97,1.141,43
24156.8,20639,76706.2,46817.5,14763,207833,1666.59,1577.62,1.166,44
90622.4,81593,72788.5,36280.2,27977,84986.2,322.66,1626.1,1.19,45
37572.8,28087,87669.4,45004.6,16887,174656,483.99,1058.48,1.201,47
42220,37567,73653.2,37342.7,16719,146378,373.76,3217.86,1.255,49
33932.8,23531,94506,54339,14943,238316,3257.26,13532,1.262,50
61514.4,58063,69431.6,40824.2,23807,112381,445.3,2309.87,1.28,51
68405.6,61639,72730.4,51643.3,28355,119362,3458.01,2248.26,1.281,52
68068.8,41124,108476,83460.3,36960,147989,532.17,3156.25,1.29,54
68617.6,56063,80212,49520.3,32731,99152.6,246.01,1384.71,1.317,55
107746,90929,77657,73402.8,39921,120501,4417.96,1969.5,1.351,57
66316,53608,81071.6,96328.8,40056,157604,2357.17,3454.2,1.373,58
42233.6,34038,81315.6,68924.4,32342,139665,638.75,3487.53,1.377,59
52852.8,44402,78009.1,88711.3,77206,75302.3,261.34,1115.04,1.45,61
74946.4,66679,73661.7,29415.2,20775,92792.2,3547.8,3457.23,1.46,62
53366.4,46987,74433.8,75862.1,36975,134461,938.78,3460.26,1.473,63
159625,134811,77598.8,80695,52927,99919.2,1808.21,2458.34,1.521,66
68987.2,46753,96702.8,61580.7,24289,166156,1322.76,1990.71,1.536,67
33908,23972,92699.6,84343.1,20324,262143,192.72,2063.43,1.545,68
31137.6,27315,74707.4,43482.5,17939,158853,543.12,1697.81,1.628,70
45805.6,35259,85139,100599,34735,189804,326.31,1805.88,1.662,72
42064.8,34465,79987.2,77348.8,44117,114902,1059.96,2999.7,1.768,76
32983.2,24631,87758.8,58579,28787,133360,187.61,1823.05,1.9,78
25820,24070,70300.8,57880.1,21474,176643,571.59,1115.04,1.912,80
55012.8,41136,87643.9,55936.8,35584,103020,450.41,3322.9,1.991,81
