"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "CD86", "CD206", "Time", "Event #"
86484.8,64262,88199.4,104226,43590,156700,16600.9,7180.09,0.887,1
102708,86863,77490.7,45705.5,31807,94172.9,5883.8,4082.42,1.693,5
69424.8,62483,72817,40077.8,24935,105335,5651.66,2009.9,2.068,7
32966.4,27847,77584.2,31963.5,26519,78990.8,314.63,776.69,3.234,37
67644,50171,88360.2,86522.7,45807,123788,7793.48,3194.63,3.643,46
34697.6,30314,75012.9,109114,91866,77840.7,302.22,745.38,4.244,68
52088.8,38954,87633.9,79276.9,33130,156821,1677.54,2171.5,4.38,72
38592.8,32566,77664.4,36963,27382,88467.1,8517.64,895.87,4.431,74
74469.6,54783,89086.8,92815,57151,106432,1870.99,5222.71,4.909,84
24982.4,18614,87957.8,42496.8,27682,100609,140.89,666.6,5.077,90
33792.8,18555,119356,60724.2,36575,108807,168.63,721.14,5.099,92
52312.8,31278,109610,81997.9,31786,169062,2246.21,6391.28,5.693,106
32564.8,25718,82983.4,53680.5,26358,133470,1570.23,10542.4,5.886,112
108053,81540,86845.1,77292.3,41728,121392,5785.25,3404.71,5.928,114
149411,134531,72784.8,76777.2,44231,113759,10494.5,3092.62,6.612,132
177925,135215,86236.6,85750,55467,101316,5633.41,8004.25,7.306,152
84401.6,73331,75429.8,59450.6,36359,107158,4894.65,2251.29,7.517,159
40494.4,33109,80154.7,34620.8,28677,79119.4,91.25,953.44,7.78,163
68519.2,58606,76621.4,31556.4,15342,134799,1958.59,8619.34,8.415,180
163084,127779,83643.4,121803,78791,101312,41457.4,6600.35,8.479,185
53633.6,45632,77027.8,43022,38324,73569.8,120.45,809.01,8.868,193
51278.4,43846,76645.1,28695.1,22982,81827.6,66.43,486.82,9.077,201
60307.2,52295,75576.9,52744.2,39043,88534.3,568.67,1442.28,9.635,210
52452.8,31063,110664,35132.9,17335,132822,2426.52,46791.3,9.75,215
33946.4,22947,96950,48137.6,31511,100116,1224.21,2996.67,10.263,229
19283.2,17582,71877.1,74992.5,69054,71172,483.26,735.28,10.847,233
35026.4,27965,82084.4,37686.1,24041,102733,742.41,643.37,11.227,245
54677.6,28438,126006,65268.2,18386,232645,8267.25,9092.02,11.786,260
43846.4,34149,84146.5,49527.4,33174,97842.5,1075.29,1301.89,11.881,262
52617.6,36059,95630.7,111223,54891,132793,3369.68,5534.8,12,264
43898.4,32719,87928.3,68676,37503,120010,4060.26,6174.13,14.133,311
89496,72902,80453.4,102024,59334,112688,2366.66,3663.27,14.217,314
43377.6,27196,104530,71734.2,28332,165932,3559.48,11054.5,14.231,315
41501.6,34287,79326,72902.8,34175,139803,2171.02,3069.39,14.932,328
37339.2,27002,90625.2,45842.9,25950,115775,1093.54,3012.83,15.327,338
109634,86387,83171.6,128306,81395,103307,5563.33,3303.71,15.566,340
89860,77116,76366.3,34046.1,27224,81958.7,5748.02,2691.65,16.466,363
60906.4,50334,79301.5,48392.1,31130,101877,1965.16,5083.33,16.562,364
148880,124351,78463.4,73618.9,46811,103067,2066.63,7272,17.495,383
