"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "CD86", "CD206", "Time", "Event #"
124173,104066,78198.3,69068.9,76166,59429.4,524.14,-43.43,0.278,0
27214.4,17844,99950.9,37944.7,16260,152936,537.28,1341.28,0.374,11
36584.8,21646,110765,43144.2,17230,164103,1043.17,1125.14,0.395,12
88266.4,79748,72536.3,50975.7,31968,104503,950.46,1218.06,0.412,13
76535.2,53705,93395.6,101078,30298,218636,1253.41,2126.05,0.433,14
96282.4,66618,94718.6,90064.7,41070,143718,1451.97,1890.72,0.44,17
59938.4,40695,96525.9,93003.8,46999,129686,1197.93,1892.74,0.447,18
86976.8,76459,74551.2,59187,31103,124711,989.88,1968.49,0.454,21
52608.8,45254,76187.1,44249.1,19938,145446,1181.87,1701.85,0.454,22
66521.6,50295,86679.8,54223.9,34995,101546,615.39,1373.6,0.466,23
157182,134731,76456.4,88007.4,54815,105220,1241.73,3972.33,0.469,25
69839.2,47143,97087.2,52899.8,24915,139147,962.87,1208.97,0.474,27
99003.2,88622,73212.9,48479,32906,96551.4,529.98,1632.16,0.479,29
96519.2,81508,77605.7,50846.4,38580,86373,821.25,1806.89,0.481,30
32887.2,23335,92363.2,54752.1,26419,135820,475.23,982.73,0.484,32
55832.8,40818,89643.2,84812.7,42502,130777,1446.13,2071.51,0.522,38
136224,106795,83595.5,85585.4,58463,95939.7,1035.87,2316.94,0.548,43
88225.6,76530,75551.5,34146.1,25250,88625.6,456.25,1121.1,0.553,44
53241.6,41867,83341.1,46752.9,33531,91378.1,21.17,448.44,0.595,46
93905.6,85395,72067.4,60058.6,35267,111606,1140.99,1703.87,0.671,51
65035.2,51481,82790.7,47845.7,27373,114551,621.96,1438.24,0.683,52
97012.8,89546,71000.7,58723.4,37402,102896,714.67,2501.77,0.708,53
65415.2,56857,75400.6,78227.5,49481,103610,904.47,981.72,0.738,55
57648,49308,76620.8,39333.4,25772,100022,795.7,878.7,0.738,56
57580.8,43295,87160.5,48732.5,29579,107973,809.57,1462.48,0.786,58
37756,29594,83610.8,62859.4,22698,181494,949.73,1350.37,0.799,60
177150,147138,78903.7,90401.1,54658,108393,1432.26,3556.21,0.813,63
24967.2,20354,80389.6,64363.3,48978,86122.6,122.64,695.89,0.862,66
64208.8,44721,94094.2,66922.6,32517,134878,1007.4,1350.37,0.898,68
35461.6,22525,103175,34487.5,20809,108615,429.24,682.76,0.985,79
46711.2,39983,76564.2,48133.6,40319,78238.1,66.43,621.15,1,80
59195.2,35810,108333,153848,43682,230818,2715.6,2830.02,1.007,82
35603.2,30894,75525.7,32197.8,19690,107167,751.9,805.98,1.018,84
88753.6,75534,77005.8,33864.3,25950,85523.3,435.08,931.22,1.041,86
137423,118054,76288.5,73977.5,48966,99011.3,1286.99,3321.89,1.058,88
18702.4,13270,92364.8,93395.7,29202,209601,1245.38,2151.3,1.073,90
74100,67027,72451.7,34878.3,26739,85485.1,731.46,975.66,1.199,96
52885.6,45981,75377,40778.8,18217,146702,816.14,883.75,1.243,99
71108,51026,91328.6,72239.2,29654,159650,1265.09,1583.68,1.254,100
71425.6,58727,79706.9,39153.7,27171,94438,754.82,811.03,1.269,104
57259.2,44810,83743.3,91011.1,48366,123320,866.51,1353.4,1.283,105
78903.2,66670,77561.1,86907.5,35742,159352,1521.32,2191.7,1.496,113
108568,93579,76033.2,41924.1,32447,84677.7,473.77,1322.09,1.531,116
83012,67910,80110.1,43795.6,28690,100041,649.7,959.5,1.542,117
31952.8,25909,80823.6,39285,18497,139189,1073.1,1169.58,1.598,122
73071.2,55192,86766.1,70187.9,42712,107694,1332.25,1886.68,1.683,126
132214,110146,78666.5,53826.9,37026,95273.7,396.39,1547.32,1.751,132
114193,95609,78274.4,50470.7,37693,87752.3,416.83,1614.99,1.799,136
68916.8,56074,80545.9,63922.9,34574,121168,1067.99,2024.04,1.801,137
53381.6,45871,76266.4,35841.9,29131,80633.4,152.57,757.5,1.805,138
59241.6,51102,75974.7,38823.4,19742,128879,654.08,1081.71,1.83,140
16684,10428,104853,53670.4,15788,222786,913.96,1050.4,1.85,142
91698.4,71466,84089.6,52238.2,35582,96213.9,626.34,791.84,1.852,143
28067.2,21857,84156.7,72962.4,25969,184130,609.55,1395.82,1.854,144
110735,80620,90016.6,142762,45372,206208,2235.26,3473.39,1.95,150
78826.4,68386,75541.3,29404.1,22434,85897.7,463.55,1365.52,1.975,155
45860,39366,76347.1,42936.1,26198,107407,326.31,879.71,1.982,157
61680.8,54254,74507.2,39810.2,26090,99999.9,748.98,1235.23,1.991,159
113574,101847,73081.8,39705.1,30899,84213.6,718.32,944.35,1.997,162
122222,108950,73519.2,51020.1,37394,89416.9,621.23,1720.03,2.085,174
28576,21787,85957.5,41917,21935,125237,664.3,867.59,2.087,175
62739.2,57663,71305.3,99995,45487,144069,1474.6,1657.41,2.102,179
106938,74102,94575.9,77605.4,49094,103596,462.09,1279.67,2.176,184
61217.6,44279,90606.3,50914.1,36387,91700.5,421.94,644.38,2.336,191
