"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "CD86", "CD206", "Time", "Event #"
60188,44510,88620.1,47533.6,25166,123785,682.55,2037.17,0.019,0
40784,32656,81847.8,66213.6,29200,148609,264.26,1028.18,0.033,1
70106.4,60835,75523.8,66719.6,32759,133476,545.31,1330.17,0.043,2
34136.8,25442,87932.9,56623.6,27478,135049,1427.15,2836.08,0.058,3
64798.4,54250,78278.9,56582.2,27850,133148,1313.27,2836.08,0.115,5
53092.8,43462,80058.2,39555.6,16418,157895,406.61,1894.76,0.134,6
47600.8,40097,77800.5,66674.1,34097,128151,1777.55,1937.18,0.162,7
43396,36963,76941.8,42569.5,15063,185211,397.12,1187.76,0.187,10
37142.4,36410,66854.3,52699.8,19150,180352,962.87,1602.87,0.271,12
52491.2,32275,106586,80902,22423,236453,1197.2,3810.73,0.299,13
82034.4,65038,82662.5,55941.9,25834,141914,977.47,2666.4,0.354,14
82764.8,68786,78854.3,35717.6,26790,87375.6,502.97,1748.31,0.417,16
129358,116631,72687.2,64924.8,39895,106653,1231.51,2866.38,0.46,17
25045.6,23158,70877.8,52916.9,11346,262143,699.34,1226.14,0.663,19
46449.6,38283,79516.3,99943.5,39819,164492,1445.4,1896.78,0.741,21
17360,10001,113759,57538.7,19221,196184,1470.22,2731.04,0.75,22
44441.6,32878,88585.8,44041.1,18026,160117,858.48,1375.62,0.805,24
92812.8,74815,81301.6,94815.8,45451,136715,1179.68,2995.66,0.834,25
56734.4,51886,71659.9,46967,26926,114314,308.79,974.65,0.864,27
102482,92358,72719.6,45040.9,33634,87762.5,510.27,2030.1,0.874,29
27611.2,19601,92318.1,44818.8,23553,124708,976.01,1729.12,0.883,31
55607.2,42962,84825.5,50890.9,24582,135676,691.31,1318.05,0.884,32
88952.8,79772,73078.4,58255.8,43272,88229.1,735.84,1499.85,0.886,33
89821.6,75419,78051.3,99453.7,34335,189830,931.48,3447.13,0.909,35
44083.2,29506,97913.5,57549.8,25970,145228,996.45,1807.9,0.914,36
34881.6,25323,90273.7,44550.1,24143,120931,1292.83,2866.38,0.916,37
99611.2,85167,76650.8,42329.1,23835,116387,512.46,1846.28,0.918,38
90867.2,60770,97993.6,97791.2,40610,157814,1155.59,2824.97,0.935,39
31269.6,22930,89371.3,47070,15638,197262,765.77,2302.8,0.98,40
44902.4,30361,96924.5,61992.8,21001,193456,1353.42,2442.18,0.988,41
29459.2,23810,81085.2,64457.2,29170,144815,765.04,1641.25,0.996,42
130206,103854,82164.9,54079.4,35370,100202,915.42,2670.44,1.001,44
77732.8,59119,86170.2,58291.1,26991,141535,672.33,1699.83,1.001,45
66542.4,50038,87152.2,60071.8,21378,184155,814.68,1487.73,1.037,47
39282.4,28249,91132.8,63172.5,24537,168728,766.5,2141.2,1.049,50
55343.2,44547,81419,39657.6,24659,105398,669.41,2061.41,1.07,51
54448,47843,74583.6,40881.8,23879,112200,540.93,1923.04,1.092,53
42257.6,37200,74446.1,52036.2,23268,146564,382.52,1188.77,1.109,55
65376,46970,91217.4,58927.4,18254,211563,911.77,2262.4,1.116,56
53677.6,41930,83897.3,30314.1,17594,112917,657.73,942.33,1.124,57
67076.8,52779,83289.7,35185.4,19135,120507,681.09,1334.21,1.174,62
67376,54891,80442.2,65610.6,32699,131498,821.98,1630.14,1.185,63
31151.2,27351,74641.7,45067.2,16759,176235,529.98,1554.39,1.191,64
50802.4,42850,77698.6,53597.7,25094,139977,588.38,1320.07,1.209,67
34200.8,22642,98992.3,53396.7,20146,173702,920.53,1895.77,1.224,68
62575.2,58063,70628.9,28983,18799,101039,392.74,1299.87,1.233,69
55280,44463,81479.7,40033.4,15599,168192,897.9,1681.65,1.247,70
48639.2,41125,77510.5,60174.8,41557,94896.5,368.65,901.93,1.249,71
59541.6,53799,72531.4,40600,23783,111877,364.27,1305.93,1.286,74
49135.2,42226,76259.3,50973.7,22342,149522,1241.73,2353.3,1.291,75
58772.8,51740,74444,33987.5,20828,106943,615.39,958.49,1.3,76
92627.2,73666,82404.6,51413,27474,122640,942.43,1823.05,1.311,77
45399.2,34342,86636.8,56960,28806,129589,613.93,1291.79,1.322,78
22995.2,10858,138793,46245.9,14442,209858,1015.43,2417.94,1.325,79
59582.4,42819,91193,61813,38951,104002,414.64,1610.95,1.386,83
22556.8,17152,86187.2,42703.8,26212,106769,589.84,924.15,1.397,87
36208,23287,101899,37179.1,14231,171216,828.55,1520.05,1.409,89
72056,62192,75930.4,41765.5,22612,121048,713.94,1792.75,1.415,90
35067.2,27539,83451.3,34653.1,16839,134867,808.84,1456.42,1.416,91
31173.6,26759,76347.9,51337.3,20855,161325,1127.12,2144.23,1.417,92
46105.6,23598,128044,73551.2,27450,175601,730,1396.83,1.447,95
179451,147085,79957.3,72930.1,48397,98757.1,562.1,3147.16,1.449,96
25746.4,19904,84772.7,45961.1,26800,112392,316.09,831.23,1.452,97
27295.2,21291,84017.6,36966,16175,149775,1015.43,1695.79,1.484,98
154212,130550,77414.3,70215.2,44610,103152,832.2,2914.86,1.485,99
121045,97774,81134,46944.8,29834,103123,754.82,1675.59,1.485,100
67968.8,52910,84188.3,31671.6,17210,120606,431.43,1112.01,1.501,103
40500,33040,80333.2,118201,33968,228051,1510.37,2336.13,1.501,104
108450,94087,75540.8,46178.2,35463,85337.8,894.25,1690.74,1.531,107
36854.4,28870,83660.9,72389.7,19554,242617,721.24,1618.02,1.585,109
47093.6,36435,84707.7,58536.6,29571,129730,1099.38,1358.45,1.593,110
37491.2,28947,84880.1,35809.6,14515,161682,1495.77,1092.82,1.599,111
61703.2,55662,72648.9,55613.6,30334,120152,407.34,1499.85,1.638,113
28859.2,24590,76914.1,67059,23678,185606,1131.5,2737.1,1.642,115
37147.2,31090,78304.2,97411.5,44342,143971,730.73,2884.56,1.654,116
84129.6,70522,78181.5,65337.9,36666,116784,684.01,2069.49,1.658,117
72556,61074,77856.9,41469.6,28770,94464.8,752.63,1239.27,1.67,118
99498.4,81686,79826.7,85735.9,30806,182393,1188.44,6326.64,1.722,122
72617.6,58174,81807.5,131299,43182,199268,1008.86,2851.23,1.783,127
28451.2,15998,116551,103649,32286,210393,2052.03,3393.6,1.8,129
89324.8,61259,95561.3,78555.8,35467,145156,3008.33,2597.72,1.824,130
36884.8,33414,72343.4,65490.4,27730,154778,757.74,924.15,1.833,131
53586.4,49778,70550,32452.3,19218,110667,417.56,1500.86,1.933,136
36637.6,30715,78172.9,90262.7,32235,183510,1537.38,1558.43,1.935,137
61688.8,50353,80289.9,73984.5,24385,198837,738.03,2737.1,1.949,138
55773.6,37570,97289.8,72774.5,23618,201937,1001.56,1786.69,1.991,141
44712,35290,83033.3,86277.2,29134,194078,665.76,1548.33,2.038,143
29332.8,21930,87658.7,58829.5,22906,168316,880.38,1908.9,2.065,146
25058.4,14410,113964,94578.4,32206,192458,1564.39,2011.92,2.09,149
83985.6,80414,68446.8,33071.4,23534,92095.3,428.51,1678.62,2.112,152
54573.6,48686,73461.3,71353.5,38554,121290,711.75,1281.69,2.112,153
74343.2,53021,91891.1,49396.1,26473,122284,503.7,1557.42,2.117,154
33813.6,25782,85951.8,77212.5,27814,181930,762.85,1642.26,2.119,155
110463,91814,78847.6,111031,41286,176247,938.78,2812.85,2.126,156
64903.2,58975,72123.7,32969.4,20091,107545,553.34,967.58,2.133,158
71645.6,44715,105007,122071,56379,141897,1613.3,3170.39,2.144,161
65116,55994,76212.5,43653.2,20810,137475,611.01,1186.75,2.156,162
60856,53305,74819.6,41023.2,20042,134143,619.77,1519.04,2.183,163
34697.6,26290,86494.6,61928.1,13094,262143,888.41,1424.1,2.191,166
30889.6,23966,84468.9,58258.8,15770,242108,659.92,1173.62,2.215,169
34537.6,30355,74566.2,37922.5,20839,119261,486.18,1602.87,2.218,170
55207.2,45599,79345.1,98335.6,34511,186738,613.2,1595.8,2.235,171
50529.6,41068,80634.8,37238.7,18460,132203,511.73,1026.16,2.241,172
35696.8,28906,80932.2,42089.7,15354,179653,679.63,1508.94,2.258,173
51536,28631,117965,93756.3,37203,165159,1898.73,1925.06,2.26,175
72738.4,62521,76246.1,39971.8,17501,149682,635.1,1335.22,2.28,176
73393.6,63000,76348,27473,21084,85395.1,167.9,989.8,2.291,177
39065.6,32267,79344.3,30662.6,25887,77626,50.37,301.99,2.303,178
53637.6,43569,80681.1,102835,40194,167672,1465.84,2360.37,2.375,180
37388,30074,81474.4,42460.4,16682,166808,533.63,907.99,2.418,186
63732.8,54130,77162.3,57240.7,21346,175739,562.1,1839.21,2.454,187
71566.4,46296,101308,128639,39816,211736,2911.24,4792.45,2.455,188
19047.2,9266,134716,51596.9,11734,262143,1238.81,1262.5,2.455,189
53474.4,41547,84350.2,33738,18555,119162,752.63,1850.32,2.504,191
