"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "CD86", "CD206", "Time", "Event #"
25766.4,19979,84520.1,117707,41487,185940,397.12,2948.19,0.691,3
62725.6,50174,81930.6,58018.4,25230,150705,361.35,2449.25,1.487,7
32267.2,19614,107814,144806,49834,190432,409.53,2344.21,4.286,35
51765.6,27375,123927,152900,43919,228157,317.55,3085.55,5.03,45
43104.8,20962,134764,137686,44530,202637,392.01,2299.77,5.359,52
37512.8,27418,89665.1,86459,49066,115481,104.39,1621.05,5.751,59
45893.6,31454,95621.6,83338.1,56538,96601.4,91.98,762.55,6.075,65
162079,131366,80858.2,75974.2,45698,108955,378.14,3707.71,6.293,70
44980.8,23886,123414,93646.2,38970,157485,312.44,1951.32,6.441,71
103374,84438,80232.7,131204,63346,135740,429.24,2875.47,6.668,73
51127.2,37967,88252.2,127856,42555,196902,285.43,1424.1,6.937,77
40514.4,25475,104226,50550.5,18999,174371,152.57,1151.4,6.965,78
29496.8,12941,149378,78686.1,18397,262143,193.45,2101.81,7.314,83
30702.4,22570,89149.9,48947.6,21898,146490,316.09,1510.96,8.054,92
69279.2,47963,94662.2,62818,27407,150211,186.15,1914.96,8.267,95
61192,42223,94978.5,114000,55147,135476,403.69,1857.39,8.553,100
39380,32013,80617.5,44548.1,29837,97848.4,57.67,1259.47,9.913,117
51301.6,42363,79364.1,53938,43199,81827.9,170.09,705.99,9.984,118
52252,35975,95188,61850.4,34199,118525,169.36,1187.76,10.031,119
58402.4,51652,74100.9,65586.4,47300,90872.5,793.51,2312.9,10.04,120
30386.4,15309,130081,87765,28189,204043,227.03,1824.06,10.307,124
29039.2,21147,89994.5,71914,24395,193194,136.51,1553.38,10.779,129
49229.6,41750,77276.9,28989,22530,84324.2,105.85,718.11,11.044,133
50988,31977,104499,101070,56285,117681,536.55,2364.41,11.628,142
42620,26215,106548,93240.2,36807,166017,261.34,1318.05,11.783,144
106550,90978,76753.6,85655.1,39750,141220,670.14,4640.95,12.559,152
72860.8,60751,78599.6,98024.5,47327,135739,248.93,1868.5,12.665,154
184401,139918,86371.2,78330.5,53882,95272.5,379.6,4450.06,12.965,160
33928.8,28446,78167.7,37384.1,32858,74563.5,149.65,546.41,13.584,166
139488,109199,83714,194431,126523,100711,8670.94,42708.9,13.755,170
