"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "CD86", "CD206", "Time", "Event #"
46984.1,39351,78248.3,31523.6,25027,82548,4888,5077.71,0.449,7
53287.3,40013,87277.5,44648,24537,119251,19057.6,1846.35,0.724,14
23429.6,13949,110078,56849.8,21097,176599,21969.6,2564.1,0.731,15
40114.6,29180,90094.3,37109.2,21948,110807,4198.4,962.28,1.498,28
81157.4,53603,99224.6,99050.5,49856,130202,5055.2,5383.62,1.628,29
42655.1,29236,95616.5,54502.5,23168,154173,70788.8,2383.92,3.029,45
46147.1,39620,76332.6,64014.4,33204,126348,25387.2,2794.77,3.137,49
53066.5,39757,87475.6,82556.1,35401,152832,5694.4,1540.44,3.466,54
42125.5,26932,102508,73091.7,29744,161046,57640,2977.92,3.847,60
127716,110001,76090,67399.2,46069,95879.5,3064,2614.59,4.184,67
35683.4,18224,128323,100884,34720,190424,5405.6,2641.32,4.337,70
103999,81973,83145.4,96866.6,54625,116215,28907.2,3338.28,4.488,73
25794.6,22813,74101.4,54511.4,41945,85170,45.6,71.28,4.506,74
23396.9,13893,110368,66572.5,32789,133060,31435.2,2939.31,4.628,76
59371.3,48341,80489.8,56591.4,25701,144305,1653.6,1862.19,4.95,80
43567.7,23585,121062,211281,93733,147723,198.4,565.29,5.052,81
63534.1,49289,84476.7,56507.2,30281,122296,58154.4,2346.3,5.138,83
36691.2,17780,135242,39625.7,12596,206170,1932,855.36,5.309,87
57444.7,33765,111497,59744.5,38385,102004,5192.8,1557.27,5.414,90
49489.4,27688,117139,75894.4,34760,143090,19822.4,3125.43,5.659,95
67844.4,50430,88166.8,55111.3,24398,148036,15671.2,2038.41,5.662,96
136997,98960,90725.8,134916,73888,119666,9395.2,5328.18,6.487,111
45111.3,37517,78802,77247.7,28361,178502,12125.6,3126.42,6.833,117
57183.4,40372,92825.9,57514.1,30884,122045,22291.2,2611.62,6.924,120
68799.1,46176,97644.2,106784,33684,207761,262143,3801.6,7.068,121
45432.7,36536,81494.3,30134.6,25304,78047,7873.6,556.38,7.171,123
85663.5,73335,76553.4,106328,70244,99201.5,22008.8,2991.78,7.22,124
75816,62000,80140,206476,73412,184325,58244,3962.97,7.36,127
109212,90812,78814.5,84490.6,48076,115175,43444,2631.42,7.396,128
32724.9,25137,85318.8,53843.1,40289,87583.8,544.8,624.69,7.775,132
76854.2,61718,81608.5,78076.4,40454,126485,16604.8,3860.01,7.85,134
64637.8,43957,96369.3,85334,34853,160458,3602.4,2799.72,8.193,139
26459.9,21183,81861.8,67030.9,27339,160684,134.4,624.69,8.608,145
84025.5,65287,84346,177577,63239,184027,34090.4,4819.32,8.903,148
73230.3,56276,85280.1,82155.1,34836,154556,56543.2,2638.35,8.918,150
70814.6,52908,87716.6,95790.4,33564,187037,1763.2,1986.93,8.969,151
69098.6,54841,82574.1,77903.1,44057,115883,19012,2396.79,8.998,153
48863.1,42373,75573.9,26394.4,18917,91440.6,716,909.81,9.181,160
90721,73042,81398.3,87437.8,47030,121844,2051.2,2337.39,9.182,161
62493.6,60284,67938.1,64641.1,40248,105255,10884,3039.3,9.461,165
43283.8,40080,70774.6,95630,75844,82632.9,428,524.7,9.675,170
39482.8,20470,126407,183541,100038,120240,2340.8,1136.52,10.413,179
89172.7,77617,75293.1,100032,57573,113867,11700,3516.48,10.665,182
38397.8,22549,111599,150448,62213,158484,17080,2846.25,10.9,189
23257.3,21345,71407.2,102680,94353,71319.7,192,253.44,11.671,200
55352.7,49744,72925.3,55001.4,35776,100754,2788.8,1927.53,11.71,201
115409,91300,82841.5,60670.2,35492,112028,11625.6,3407.58,11.884,206
94123.4,81177,75987.9,53432.3,37593,93148.7,6975.2,2421.54,12.192,211
22710.5,12585,118264,57924.9,22653,167579,20480,1528.56,12.415,213
57136.6,35200,106378,120265,39956,197259,19612,4682.7,12.455,214
64516.1,43537,97115.8,65754.8,31297,137691,36510.4,1807.74,12.522,215
70298.3,55517,82984.8,53197.7,28461,122496,32098.4,2663.1,12.682,217
50877.8,28528,116879,192783,67524,187107,10202.4,8163.54,12.713,219
