"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "CD86", "CD206", "Time", "Event #"
96733.3,69277,91509.6,72096.8,41081,115015,397.6,10938.5,0.121,0
119032,112145,69560.6,47087.4,33713,91535,926.4,2831.4,0.223,2
48888.8,27329,117237,35237.1,21093,109482,174.4,1966.14,0.261,4
140961,122338,75512.2,64900.4,44418,95756.6,507.2,2376.99,0.513,8
101724,82989,80330.7,64699.5,39561,107180,325.6,2259.18,0.516,9
168861,145093,76271.4,82863,57345,94698.9,796.8,4554.99,0.535,10
112527,96311,76570.7,68011,36855,120938,3056,10930.6,0.568,11
46006,26969,111797,120302,40925,192648,1169.6,9821.79,0.594,12
40898.5,27296,98194.8,49973.2,20736,157940,290.4,3062.07,0.673,13
130471,114521,74663.8,78439.7,48077,106925,3728,2630.43,0.887,16
109644,97384,73786.4,44875.7,34232,85913,477.6,2678.94,0.919,17
60880.6,55965,71292.2,56712.2,31741,117094,830.4,6312.24,0.987,19
124242,109829,74136.1,56237.9,40197,91688.7,928,3687.75,1.006,20
102347,69037,97156.7,87114.1,34697,164542,698.4,7062.66,1.028,21
85704.8,67341,83407.6,96579.5,41369,152999,990.4,26530,1.197,25
82786.9,52492,103359,112488,41468,177776,398.4,8421.93,1.364,26
198481,160869,80858.7,79228.7,52693,98539.3,424.8,3937.23,1.559,28
85403.8,73578,76069.2,51578,29754,113605,510.4,3143.25,1.626,30
72936.2,66442,71941.7,62995.7,36334,113626,1315.2,3302.64,1.64,31
112113,102136,71937.5,48930.8,35596,90086.7,408.8,1935.45,1.687,33
39343.2,32445,79469.7,40590,20537,129528,892,3352.14,1.786,34
93536,81761,74974.3,47544.8,34789,89565.5,2088,3013.56,1.861,35
43818.8,37144,77312.9,70762.2,34408,134779,354.4,4389.66,2.248,37
82745.5,77337,70119.2,44775.7,29037,101058,626.4,2325.51,2.469,40
105028,98705,69734.1,43388.7,26353,107901,753.6,2833.38,2.52,41
57083.5,48672,76862,69945.5,39924,114817,228.8,14261.9,2.541,42
62659,43952,93429.6,75610.3,31188,158881,224.8,4633.2,2.553,43
44680,34849,84023.8,39183.2,21445,119744,998.4,2015.64,2.684,44
47086.3,37508,82271.6,28807,12916,146167,159.2,1227.6,2.741,45
107273,96908,72545.8,30591,24200,82843.5,1049.6,1520.64,3.06,47
128773,111448,75724,49115.9,33976,94739.2,2885.6,1621.62,3.07,48
97120.9,90492,70336.8,53729.3,39816,88436.9,2655.2,3415.5,3.256,50
104362,93435,73200,41236.5,29947,90241.9,1914.4,1930.5,3.285,51
122554,108514,74015.1,49015.9,36533,87928.9,203.2,2224.53,3.332,52
89806.9,86090,68365.5,65885.5,43098,100187,482.4,20168.3,3.348,53
80351.7,69664,75590.4,64737.1,38320,110715,308,2066.13,3.477,54
91865.3,84443,71296.4,40520.7,31083,85434.6,540.8,1561.23,3.52,56
108034,93157,76001.9,53266.9,36609,95356.4,868.8,49281.2,3.626,58
75633.5,71903,68936.1,64974.7,40731,104544,223.2,4454.01,3.657,59
106684,99303,70407,58986.2,41571,92990.7,1380,2772.99,3.777,62
67463,51647,85605.2,84668.8,45887,120924,1445.6,30802.9,3.811,63
105218,93941,73403.2,44754.9,32933,89061.4,1864.8,1819.62,3.87,64
88043.3,84152,68566.5,41820.6,32076,85445.6,237.6,2919.51,3.909,65
28331.9,24400,76096.8,79503.9,66196,78711.2,211.2,956.34,3.916,66
42080.2,26773,103006,38951.6,22017,115944,379.2,5642.01,3.957,67
85721.2,69683,80619.7,40877.1,30035,89193.3,1460,1777.05,3.974,69
46742.3,38929,78689.5,28156.6,18725,98545.8,2483.2,3098.7,4.012,73
