"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "CD86", "CD206", "Time", "Event #"
48441.9,27800,114197,93112.5,55656,109642,237.6,1910.7,0.107,2
126747,115637,71832.4,54480.7,38709,92238.1,308.8,3646.17,0.141,3
75941.6,61664,80710.1,71849.2,40116,117377,257.6,14046.1,0.35,6
151805,123887,80304.7,116201,55003,138454,848.8,16884.4,0.407,7
100326,74212,88597,50002.9,35316,92790.6,660.8,9171.36,0.513,8
113521,99888,74480.7,69184.2,48288,93896.1,223.2,2561.13,0.546,9
133804,96649,90729.8,92447.2,60845,99574.6,876.8,3872.88,0.554,10
119938,104980,74874,58056.6,44448,85601.1,508,3670.92,0.582,11
125110,109763,74699,63825.3,46983,89029.1,865.6,5510.34,0.613,12
126500,108550,76373.4,70712.7,49286,94027.3,563.2,3398.67,0.85,18
99828.3,90529,72268,33673.9,26369,83691.1,383.2,1419.66,0.93,21
103465,95517,70989,63710.5,45609,91546.2,303.2,4956.93,1.062,25
78779.2,60160,85819.1,57131.9,32368,115676,332.8,4583.7,1.111,26
74655.4,64688,75634,83777.8,64292,85398.8,3966.4,6238.98,1.132,28
144168,121022,78070.1,81555.2,58090,92009,4063.2,3882.78,1.154,30
89236.7,73009,80102.7,80016.8,43237,121284,629.6,6035.04,1.174,32
92541.5,80476,75361.6,61078.1,38904,102889,330.4,2403.72,1.189,36
58139.6,53050,71823.6,54314.4,35946,99024.8,2215.2,3595.68,1.194,38
67802.3,60396,73572.6,104686,33256,206299,466.4,6930.99,1.198,39
90690.6,85211,69750.4,60577.1,41547,95554,535.2,3983.76,1.202,40
88973,81532,71517.2,34698.5,26968,84322.2,635.2,2692.8,1.209,41
61631.7,51676,78161.9,48711,31484,101395,137.6,2798.73,1.213,44
59616.2,49567,78822.7,47090.3,29791,103592,207.2,8712.99,1.223,46
121458,105830,75214.1,72039.3,53122,88874.1,706.4,5652.9,1.237,47
82423.4,68913,78384.3,64808.4,38577,110099,575.2,2803.68,1.239,48
82107.5,72954,73758.8,68024.9,45470,98044.4,581.6,21782,1.249,50
72825.5,66753,71497.8,45235.1,27381,108269,2276,2462.13,1.251,51
41324.4,21006,128927,97147.7,25982,245042,314.4,4201.56,1.253,52
60087.3,50544,77910,58588.2,27444,139908,319.2,15631.1,1.253,53
92518.9,83674,72463.6,49955.4,35374,92550.4,576,2213.64,1.261,54
111684,101240,72296.9,59220.8,38076,101930,417.6,2209.68,1.262,55
181287,148669,79914.5,137394,70761,127249,752.8,12662.1,1.271,59
108486,88924,79952.6,64033.2,41564,100964,2384,15361.8,1.348,70
64870.3,43763,97144.6,52630.4,30199,114215,502.4,7188.39,1.353,72
134850,106824,82729.5,100557,57144,115325,492,16515.2,1.357,73
119501,105788,74031.5,69572.2,49548,92021.6,780,3315.51,1.368,74
