"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "CD86", "CD206", "Time", "Event #"
96126.4,81089,77689.2,77423.9,57109,88848.6,608.8,2426.49,0.09,0
31547.9,25004,82687.6,112187,46556,157923,301.6,1828.53,0.248,5
73777.1,57773,83690.6,46709.2,30317,100971,146.4,2158.2,0.291,8
49001.9,34540,92976,99684.1,44556,146622,216.8,1292.94,0.512,16
89457.4,75972,77169,50612.8,34020,97500.2,207.2,1489.95,0.573,20
52892.6,39629,87470.5,77536.8,32729,155258,362.4,3254.13,0.627,22
63857,50624,82667,69701.9,29604,154303,187.2,2514.6,0.676,24
74599.2,69644,70198.9,57824.9,37196,101882,320.8,1629.54,0.779,26
29579.2,20557,94298.8,80698.9,33197,159312,160.8,1181.07,0.841,28
99006.2,76118,85242.2,134756,74642,118316,327.2,2267.1,0.871,29
59035.9,36257,106710,67021,21701,202400,293.6,1771.11,0.915,32
36613.2,20180,118904,106134,38368,181286,260,1682.01,0.955,34
58730.1,33609,114521,63245.2,22329,185626,182.4,1559.25,1.023,36
42059.9,20236,136215,113006,47452,156072,595.2,4126.32,1.03,37
86407.6,59401,95331.9,192283,87881,143392,1736,5870.7,1.166,39
62403.9,56349,72578.1,56763.6,31757,117141,111.2,912.78,1.246,42
108904,75972,93943.9,68085.3,40608,109881,228.8,1938.42,1.367,47
53596.1,44424,79067.1,27018.1,14744,120093,-13.6,348.48,1.428,50
177135,137501,84426.4,141329,70605,131183,619.2,6822.09,1.505,52
66595.6,42603,102444,90724.6,41208,144286,369.6,3084.84,1.677,53
84465.4,67324,82222.2,83975.8,48220,114132,221.6,2241.36,1.781,54
71699.2,62248,75486.4,47410.1,30056,103376,86.4,1121.67,1.805,56
86484.1,56398,100497,122217,54185,147820,401.6,3146.22,1.885,57
57165.4,41916,89378.6,66674.5,29036,150488,261.6,2026.53,1.922,59
46359.3,37174,81729.2,58060.5,35762,106399,155.2,778.14,2.046,64
54561.8,49743,71884.7,86614.1,48940,115986,161.6,719.73,2.069,65
35167.1,25303,91084.4,120652,37447,211154,260.8,1989.9,2.144,67
68787.4,43076,104653,125487,62932,130680,436,1640.43,2.207,69
47431,30003,103604,40982,25392,105773,47.2,702.9,2.308,71
42040.4,31627,87114.2,113515,51000,145869,224,1244.43,2.465,74
46598,33545,91037.3,156983,52729,195112,246.4,1557.27,2.552,75
86496.5,75921,74665,46049.9,23233,129898,96,1100.88,2.6,77
67653.3,54768,80954.7,63752,35028,119278,160,1417.68,2.686,79
50492.5,38929,85002.9,106514,55109,126667,124,1226.61,2.699,80
53304.4,36889,94699.2,89431.6,37549,156089,303.2,2248.29,2.748,81
51513.5,36264,93094.8,55223.2,25036,144556,80.8,1235.52,2.849,82
50878.6,35849,93011.8,48791.2,26313,121521,117.6,1334.52,2.925,83
35690.5,29710,78728,66398.3,49134,88563.5,86.4,352.44,2.943,84
43963.1,21152,136213,40952.3,14244,188420,49.6,1043.46,2.971,86
39151.3,23564,108887,117574,38600,199621,189.6,1565.19,3.027,88
150092,126605,77693.6,80268.2,48825,107741,211.2,2691.81,3.036,89
54034.5,42251,83813.5,59266.4,30619,126852,157.6,2386.89,3.198,92
85865.5,67648,83184.8,108101,46144,153530,329.6,2828.43,3.201,93
61116.9,49192,81422.9,58713.9,28536,134843,52,1089,3.278,96
131915,115520,74837.2,74217.3,45440,107040,256,2442.33,3.369,98
102703,80713,83390.8,68106.1,46809,95353.4,243.2,2870.01,3.387,101
71008.1,67431,69012.6,33562,27747,79270.5,8,763.29,3.388,102
