"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "APC-A", "Alexa Fluor 488-A", "Time", "Event #"
86848.3,64252,88583.9,88215.9,46952,123133,6017.6,17559.6,0.004,0
81836.8,71548,74960.3,57254.7,43148,86962.1,2315.2,6289.47,0.006,1
133532,108653,80542.3,66115.2,46537,93107.1,2457.6,9321.84,0.012,3
77974.3,69569,73454,50241.5,38049,86536.5,369.6,5843.97,0.022,5
30832.6,24109,83812.9,44781.7,31197,94073.5,1080.8,12683.9,0.029,8
72281.8,64152,73841.2,53493.7,33288,105316,3504.8,9355.5,0.039,9
79555.3,69844,74648.3,49674.2,32256,100925,1218.4,22992.8,0.045,10
59148.2,47573,81481.8,47224,31957,96844.9,1316,14376.8,0.046,11
79347.1,64609,80485.5,53175.9,29429,118418,2030.4,16827,0.049,13
67658.8,61541,72050.9,43820.4,27493,104456,2541.6,17184.4,0.055,14
116551,101689,75114,73212.5,52765,90932.5,5971.2,10296,0.055,15
74677.2,66373,73735.5,35515.3,28357,82079.5,296,5605.38,0.082,18
49664.9,45272,71895.2,57326.9,33196,113176,743.2,12369.1,0.087,19
72813,58885,81037.2,87590.2,47633,120511,2743.2,35333.1,0.091,20
61198,56502,70982.9,38912.9,25378,100489,1560.8,12815.5,0.1,21
61678.5,57240,70617.8,47237.9,32428,95466.3,2932,4835.16,0.105,24
86011.4,77389,72837.8,79581.1,48057,108526,1400,33247.2,0.108,26
54946.3,47840,75270.9,87616,54688,104996,1748.8,16922.1,0.111,27
83768.9,76486,71776.2,47419,32370,96004.1,2096.8,17271.5,0.122,30
74614.8,66289,73767.2,48227.9,30689,102990,3431.2,10715.8,0.124,31
113382,100312,74075.1,64644,48824,86771.1,477.6,2988.81,0.127,32
22315.8,15677,93288.8,49338.6,29453,109784,1478.4,11354.3,0.128,33
108696,88207,80759,72286.8,49551,95606.3,839.2,8558.55,0.128,35
35387,29517,78569.1,44402.5,28137,103421,671.2,4726.26,0.14,38
59540.5,41133,94864.2,134294,61689,142668,5829.6,10350.5,0.142,39
177091,153080,75815.6,117228,73612,104367,1660,4980.69,0.145,40
82448.3,73185,73831.2,48799.1,32881,97262.8,6256,7807.14,0.15,43
