"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "APC-A", "Alexa Fluor 488-A", "Time", "Event #"
59826,50301,77945.9,101120,51453,128797,23111.2,4602.51,0.027,1
101369,87472,75947.8,109052,59524,120067,22231.2,4341.15,0.132,3
30154,16325,121052,70168.2,27957,164486,13554.4,3169.98,0.172,5
145439,124033,76846.3,94491.5,62465,99137.1,85017.6,2996.73,0.181,6
30969.9,25072,80952.6,58378.3,37376,102362,6204,3357.09,0.232,8
39244.1,32617,78851.6,33682.8,21129,104474,3776.8,974.16,0.26,10
77220.8,62003,81620.9,106279,57987,120115,56628.8,6768.63,0.264,12
74258.3,68093,71469.8,59428.7,39193,99372.8,5515.2,2182.95,0.317,14
35071.9,28113,81758.4,48692.2,31653,100815,18997.6,5140.08,0.346,16
17206,10244,110076,61598.8,29120,138631,16123.2,2667.06,0.565,18
91232.7,79948,74786.4,74056,49580,97888.9,22669.6,1766.16,0.652,19
27006.7,24492,72264.9,33854,23992,92474.9,7646.4,1038.51,0.676,21
33664,27948,78939.6,33783.8,25820,85749.5,5317.6,1812.69,0.717,23
119018,106397,73309.9,87282.4,53305,107310,7304,4920.3,0.732,24
62327.5,45545,89684.8,87248.7,38793,147396,55580.8,1946.34,0.751,25
137880,115825,78015,82854.1,60433,89850.3,25059.2,2530.44,0.752,26
179643,157405,74795,121268,70105,113365,138503,3574.89,0.784,27
97356.5,79303,80455.4,159658,79287,131968,68391.2,11712.7,0.927,30
24586.4,19161,84092.3,39368.3,20729,124465,6944.8,2696.76,0.941,31
43216.7,25537,110908,159307,77317,135033,19188,5049,1.001,34
20387.6,15516,86112.7,29396.1,19564,98471.7,4099.2,1274.13,1.123,40
20866.6,12744,107306,50191,31192,105454,15564,2633.4,1.154,41
26594.9,19285,90377.1,54670.8,29797,120244,33040.8,3678.84,1.158,42
102131,89435,74839.2,84181.7,52891,104308,30296,3257.1,1.207,43
85642.4,75085,74750.8,83531.2,46073,118818,37786.4,2651.22,1.208,44
162616,136436,78111.3,86604.2,58560,96921,18908.8,2507.67,1.241,45
30981.6,27812,73004.8,75486.5,67744,73026.2,1269.6,1527.57,1.324,47
34799.7,29085,78412.7,54962.8,36061,99887.5,32552,2239.38,1.345,48
69927.8,51480,89020.7,95238,44700,139631,11139.2,2584.89,1.357,49
66767.2,50413,86796.2,58059.5,43673,87124.6,6935.2,2227.5,1.381,50
40755.8,33984,78595,47217.1,21972,140835,3180,1575.09,1.388,51
178632,148807,78671.1,104210,70247,97221.7,14388.8,4365.9,1.495,53
33549.4,21490,102312,120266,52514,150089,41000.8,5588.55,1.533,55
116619,97732,78200.8,108976,65312,109350,29095.2,3268.98,1.555,56
74002.5,57727,84013.2,100253,53499,122810,14826.4,2031.48,1.579,58
48381.1,36824,86104.2,61560.2,45068,89518.2,19108.8,2652.21,1.632,61
22856.3,11965,125191,51270.1,17373,193406,9983.2,2103.75,1.674,63
39730.1,32502,80110.5,71070.1,42630,109258,21479.2,2501.73,1.675,64
133531,111136,78741.9,138297,89348,101440,58189.6,5685.57,1.679,65
20398.6,11516,116085,29765.3,19948,97789.3,39274.4,1303.83,1.732,66
49555,39722,81759.1,63986.7,38394,109221,14499.2,4138.2,1.844,68
88992.5,78896,73922.8,55371.7,40708,89143.1,45272.8,1325.61,1.878,69
42822,38387,73107.6,58047.7,38599,98557.3,10197.6,1897.83,1.88,70
34742,28456,80013,78934.7,45548,113574,10867.2,3215.52,2.048,71
104483,83767,81743,108671,68919,103337,139045,3820.41,2.119,74
46253.2,28313,107062,74733.1,35913,136377,46805.6,1936.44,2.2,75
18989.9,13556,91805.9,47830.9,26084,120175,18283.2,2507.67,2.21,76
46368.7,42677,71205,47251.7,27377,113113,14756,3339.27,2.263,79
15114.1,9625,102911,44504.5,24365,119706,3629.6,2826.45,2.34,80
126349,99057,83592.4,121176,73921,107431,19304.8,4366.89,2.379,81
68865.4,54960,82117.2,106709,59728,117086,24932.8,4661.91,2.415,82
95214.6,74642,83598.8,120410,72301,109143,56537.6,3649.14,2.468,83
133960,116141,75591.1,162334,84493,125913,13780,4719.33,2.47,84
156464,128645,79708,119180,71717,108908,102442,3587.76,2.576,87
26164.3,22973,74640,59560.4,53053,73574.5,417.6,1493.91,2.649,90
26825,24869,70690.5,25582.6,18257,91832.2,7573.6,880.11,2.702,91
68401.3,46805,95775,51696.8,33445,101301,27956.8,1890.9,2.704,93
38086.6,25457,98049.4,79255.4,43633,119040,12619.2,4837.14,2.777,94
53065,37100,93737.6,82512.5,41676,129752,13049.6,5156.91,2.787,95
32095.4,21368,98437.2,58531.8,30044,127677,10438.4,1307.79,2.844,98
73013.5,67039,71376.5,41548.3,31727,85823.1,13215.2,651.42,2.94,100
49177.4,37553,85822.5,79547.5,43013,121201,15945.6,3840.21,3.024,101
122662,102876,78140.5,70964.2,50604,91904,30842.4,2896.74,3.037,102
13253.8,6923,125466,51976,19563,174119,7743.2,2260.17,3.076,104
43992,38834,74240.6,59865.3,35986,109024,10780.8,2917.53,3.093,105
106414,92884,75082.2,66258.7,48292,89918.2,3116,4155.03,3.147,106
68821,61624,73189.8,63834.2,39384,106222,8381.6,3779.82,3.174,107
47825.7,44869,69854.6,49041.6,29729,108110,55661.6,1650.33,3.224,110
32486.2,28223,75435.5,89599,41867,140253,33588.8,5006.43,3.233,111
98638,78710,82128.6,96483.4,51126,123678,41145.6,2397.78,3.382,114
158661,129855,80074.2,104839,62187,110485,69469.6,3881.79,3.403,115
109773,89493,80387.3,110516,52097,139024,70059.2,2863.08,3.447,116
51735.8,39072,86777.2,72219.5,39632,119423,12201.6,3457.08,3.458,117
58397.8,50224,76201.8,65638,36932,116475,41208.8,5073.75,3.581,119
30570.5,29268,68452.6,63985.7,41604,100792,23099.2,1738.44,3.637,123
100172,82380,79690.3,79524.7,55388,94095,3781.6,2469.06,3.654,124
20872,15573,87835.9,70888,38581,120415,16484.8,3708.54,3.673,125
49713.3,31836,102337,40719.7,23224,114907,32874.4,4331.25,3.743,126
78259.7,55500,92411.4,110735,54604,132905,54396.8,1973.07,3.894,128
101149,86069,77018.3,111010,59285,122715,13802.4,3336.3,3.899,129
45087.9,32788,90120.8,97390.3,46724,136601,11700.8,4465.89,3.911,130
48603.4,38997,81679.9,88065.5,45089,128001,22001.6,2914.56,3.918,131
138377,111848,81080.2,101717,62296,107007,105778,4558.95,4.048,133
52581.4,46441,74201.1,94081.7,56137,109834,13531.2,4418.37,4.162,137
35888.6,28797,81675,45650.9,34009,87970.1,23326.4,1814.67,4.192,138
80991.3,58901,90114.7,57470.5,33045,113977,20092.8,1573.11,4.197,139
55284.1,35353,102483,87228.9,46477,122999,56014.4,3501.63,4.202,140
59661.4,47819,81766.1,89377.2,43963,133235,16924,3107.61,4.202,141
100513,81224,81099.5,101697,54668,121914,63510.4,3703.59,4.204,142
27076.9,15185,116860,54693.5,35861,99952.5,60573.6,3881.79,4.243,143
61969.4,44588,91083.5,56999.2,36940,101124,38518.4,1510.74,4.289,144
73679.6,57249,84345,90209.8,43701,135283,10588.8,1774.08,4.293,145
124350,102201,79738.9,76983.4,48825,103332,36391.2,2236.41,4.313,146
70220.3,57776,79651.7,117353,67300,114277,24006.4,3753.09,4.385,147
114967,96313,78229.3,112240,66477,110651,54822.4,2790.81,4.426,148
42956.2,26589,105877,81075.1,39481,134580,4169.6,4619.34,4.48,149
95940,82309,76389.3,85493.4,42405,132128,16068,4148.1,4.485,150
35861.3,27873,84318.3,57006.2,36369,102724,24016.8,3475.89,4.68,152
43791.5,37405,76725.6,54319.3,35225,101061,20535.2,4189.68,4.765,156
30619.7,21357,93959.4,108440,50941,139508,43787.2,9661.41,4.882,159
84864,71364,77933.5,32221.5,22576,93536.1,3203.2,2616.57,4.887,161
18342.5,13553,88695.7,42338.3,20177,137517,4946.4,1608.75,4.888,162
51661,48669,69564.9,26181.5,21149,81130.7,17153.6,20100,4.933,165
135758,116956,76071.8,75597.4,56568,87582.2,20604,1892.88,4.963,166
54061,42672,83027.4,97594.2,46612,137216,13325.6,3267.99,5.007,168
36550,23932,100090,80916.7,43816,121028,22652,4268.88,5.094,171
201871,175613,75335.1,219076,102473,140109,31373.6,8801.1,5.245,173
11466,8433,89106.6,64198.5,43765,96134.2,116.8,18.81,5.298,175
34974.4,19212,119305,68269.4,34200,130822,22222.4,2649.24,5.306,176
106628,84429,82767.1,93209.5,46505,131353,23430.4,4593.6,5.356,180
45905.3,37505,80214.7,82995.7,28449,191191,66603.2,5880.6,5.357,181
21864.2,20075,71376.9,50969.2,47935,69684.3,211.2,1634.49,5.375,183
21847,12228,117089,46657.7,22384,136605,5608,2026.53,5.392,184
29184.5,23864,80147.2,59688.1,34344,113898,12110.4,3497.67,5.419,185
104428,83532,81930.2,63248.1,42968,96467.8,11380,2567.07,5.441,186
36490.7,30596,78162.4,28700.1,21572,87191.3,1376,724.68,5.506,188
37918.9,20655,120312,52815.5,17551,197215,4292,2214.63,5.663,190
125033,103391,79254.3,85240,64443,86685.7,13801.6,6826.05,5.706,191
34390.2,20100,112129,71833.4,28960,162558,8170.4,5736.06,5.756,192
55520.4,51660,70433.3,70073.2,41736,110032,24248.8,1840.41,5.761,193
60818.9,54184,73561,61986.9,33276,122081,4994.4,1711.71,5.783,196
24964.7,19732,82915.3,65021.2,35808,119002,9323.2,2718.54,5.788,197
66215,58972,73585.2,41317.7,34472,78550.5,6240,2565.09,5.854,200
38861.9,25921,98254.5,37695.2,25457,97041.9,39732,1367.19,5.875,201
105195,81052,85057,91342.4,48728,122850,49002.4,3559.05,5.887,202
36056.3,28913,81727.4,58858.5,39237,98309,20459.2,3368.97,5.934,205
77183.3,61991,81597.1,83976.8,40919,134497,25207.2,6433.02,5.938,206
22918.7,19831,75740.1,45133.1,26659,110951,2632.8,2394.81,6.06,208
76387,56428,88716.5,112543,56940,129533,18703.2,3126.42,6.11,209
18496.9,11976,101220,63701.6,25212,165586,48449.6,3319.47,6.114,210
82509.2,62066,87122.1,87921.9,49125,117294,25180,3061.08,6.184,212
45765.7,34369,87267.7,127191,62353,133684,57128,3204.63,6.305,214
141962,115445,80589,118080,71381,108411,24771.2,3281.85,6.379,217
47976.2,35113,89544.4,92459.1,53673,112895,24681.6,3267,6.389,218
26389.7,17344,99716.2,34942.1,24660,92861.4,1952,2556.18,6.505,220
89171.2,80592,72512.4,96687.4,57828,109575,21192.8,2397.78,6.511,221
43013.9,36464,77308,58536.7,37188,103159,6044.8,2777.94,6.601,224
32475.3,19533,108959,44828.2,29325,100183,10480,2869.02,6.787,228
22478,14502,101581,68649.6,32326,139176,13876,3085.83,6.801,229
20924.3,17205,79703.2,32842.3,19157,112353,2054.4,1523.61,6.963,231
36214.6,25233,94057.8,77920.9,39893,128008,9852,2779.92,6.984,232
24501.4,11916,134753,42116.6,20008,137952,6609.6,1556.28,7.014,233
27522.3,15796,114187,94805.4,47744,130135,51122.4,4229.28,7.057,234
19036.7,16100,77489.9,40576.1,23188,114680,11653.6,2725.47,7.087,235
23208.9,15640,97251.8,42473,19484,142861,3418.4,1544.4,7.155,238
42588,33697,82827.8,66077.5,32037,135171,30370.4,4481.73,7.162,239
76497.7,63580,78851.1,81756.2,46392,115493,11583.2,2585.88,7.212,241
33364.5,27159,80510.2,42151.2,27575,100179,13476.8,2360.16,7.212,242
35415.1,30288,76629.9,35054.9,30996,74117.9,1724,769.23,7.25,243
79507,60512,86108,108220,57616,123096,105798,3004.65,7.464,248
38397.8,34261,73449.1,73322.4,43637,110119,54169.6,3497.67,7.485,249
46708.7,35069,87288,59219.8,33081,117319,17705.6,2220.57,7.676,253
75793.4,62531,79435.7,73986.7,45827,105806,37651.2,1334.52,7.677,254
58702,50044,76874.3,50619.7,34428,96358,35134.4,5046.03,7.687,255
105216,93321,73889.3,69655.4,42665,106995,15211.2,2306.7,7.741,258
30479.3,24196,82554.6,48447.6,33536,94676.3,27637.6,1679.04,7.807,259
129522,112432,75497.7,134776,80480,109750,151660,3997.62,7.895,260
36868.3,25043,96482,69223.8,49555,91547.8,5415.2,41703.8,7.908,262
102483,81650,82257.2,86044.9,40134,140505,16802.4,2293.83,8.178,268
16461.9,14236,75783,101065,76668,86390.7,967.2,464.31,8.227,269
55147.6,52287,69121.4,65355.8,42831,100001,49612,5765.76,8.405,270
79143.5,58453,88733.6,119284,52453,149036,71872.8,7940.79,8.406,271
33497.1,25920,84693.9,93210.5,41460,147338,20474.4,2947.23,8.409,272
19852.6,13740,94691.2,39763.4,21736,119890,7828,1910.7,8.416,273
147468,128007,75499.3,123335,72375,111681,37616,5063.85,8.52,274
68806.9,49676,90774.8,82705.6,43848,123613,31083.2,2473.02,8.525,275
18793.3,12085,101915,40654.4,22769,117015,7276.8,2585.88,8.689,277
19939.1,8421,155175,84000.5,28433,193615,12114.4,2956.14,8.696,278
87158.8,72333,78968.6,63705.5,41277,101146,33110.4,2129.49,8.941,284
129042,103637,81600.9,112357,63749,115507,75468.8,3269.97,8.971,285
20613.8,13552,99686.3,68115,27012,165259,7193.6,2842.29,8.985,286
93301.3,76780,79637.8,71366.1,38780,120605,66521.6,3172.95,9.098,289
69005,63957,70708.7,63403.6,44021,94391.7,12819.2,2695.77,9.12,290
19647.4,17077,75400.4,73792.6,62629,77217.8,1012,1814.67,9.139,291
34600.8,28284,80172.5,54286.7,43464,81854.6,2888.8,841.5,9.203,293
55679.5,40692,89674,104950,54640,125878,21053.6,4228.29,9.246,295
52975.3,45821,75768.5,88454.5,44393,130583,20388.8,2978.91,9.431,296
30557.3,29377,68169,60416.7,38577,102638,19376.8,8231.85,9.495,297
59712.1,52729,74215.2,39630.7,28797,90191.2,23852.8,3187.8,9.505,298
28389.7,20977,88694.5,87198.2,32945,173459,6119.2,4599.54,9.61,302
45390.5,31825,93471,79520.8,47585,109519,17144,3841.2,9.664,303
57395.5,43096,87281.2,87995.2,50360,114513,8520,3943.17,9.691,304
59537.4,55745,69994.5,33189.8,26817,81109.9,2544,639.54,9.716,305
28175.2,16621,111094,113365,46541,159633,28528.8,19919.8,9.748,308
65833.6,49949,86377.5,86014.2,51613,109217,41718.4,4181.76,9.874,311
35501.7,18743,124134,86382.5,41316,137021,12008.8,2067.12,10.093,313
25511.5,20144,82998.4,31340.4,21632,94948.5,1616,2101.77,10.103,314
46750.1,42316,72403.2,45575.6,29864,100015,6517.6,3875.85,10.109,315
49756.2,33743,96637,169907,134716,82655.4,8693.6,2907.63,10.144,317
17003.2,11560,96394.7,66326,30984,140290,14512.8,2387.88,10.181,318
22992.1,16965,88818.6,64354,23669,178187,10167.2,3762,10.188,319
84228.3,72497,76140.9,74050,45285,107164,19169.6,2766.06,10.204,320
37075,19920,121975,149732,60148,163144,339.2,262143,10.229,321
63460.8,53441,77823.5,50706.8,32965,100808,7160.8,1553.31,10.322,323
160004,134784,77798.6,89063.4,59028,98882.9,24162.4,2715.57,10.361,324
84655,67605,82064.2,82229.4,48421,111294,25723.2,2506.68,10.396,326
71606.3,53198,88213.7,68102.1,39466,113088,22868,2269.08,10.495,329
48389.6,34968,90690.4,70648.4,30924,149722,13775.2,2008.71,10.584,332
98987.5,85595,75790,56865.6,40715,91532.5,36278.4,2453.22,10.614,333
158252,135989,76265,121752,74549,107032,50852,2808.63,10.656,334
94381.6,76772,80568.3,73340.2,48944,98202.5,10734.4,1969.11,10.857,335
43272.8,28972,97885.2,95079.6,43112,144534,21768,3735.27,10.866,336
106117,86815,80107.3,132526,72047,120550,28747.2,5642.01,10.882,337
79992.9,61785,84849.3,114569,62845,119475,18372,2795.76,11.07,342
54854.3,49944,71979.2,40168.3,32792,80277.7,4574.4,2550.24,11.081,343
61733.9,59360,68156.9,86963.6,52612,108326,10354.4,2958.12,11.143,347
112690,91752,80491.2,86854.7,53240,106914,43119.2,2102.76,11.161,349
44797.7,41089,71451.4,42465.1,30437,91434.4,18620,2312.64,11.181,351
113258,103300,71853.3,67846.7,46004,96652.5,40272.8,1857.24,11.378,355
43038.8,35393,79693.5,83660.9,47173,116228,9507.2,3558.06,11.589,359
42286.1,30701,90266.3,64728.2,29933,141717,2588,1704.78,11.591,360
167548,142509,77050.7,80203.9,59437,88433.8,18040,3133.35,11.611,361
58112.3,54751,69559.5,54819.3,40283,89184.9,10042.4,1264.23,11.648,362
32305.3,22436,94364.3,67168.5,33040,133231,23300,5932.08,11.677,363
29848.3,24960,78370.8,59829.7,37252,105256,7168.8,4392.63,11.976,371
151860,134988,73727.1,140810,75004,123035,55723.2,4184.73,12.048,374
44680,32672,89622.5,70038.5,36432,125989,7974.4,2436.39,12.105,376
76550.8,59276,84635.1,82782.8,48572,111695,17395.2,2806.65,12.134,377
81065.4,72529,73249.4,63841.1,43553,96064.4,28806.4,1697.85,12.196,379
111504,92536,78969.6,90080.1,50668,116513,13098.4,2588.85,12.306,381
71573.6,62048,75597.1,109669,56420,127389,9650.4,3778.83,12.453,384
85263.4,71336,78331,82228.4,49672,108490,23287.2,2264.13,12.527,387
40450.8,24212,109490,152312,55168,180937,24584,4188.69,12.666,389
24880.4,13770,118414,50239.5,25737,127929,10796,3778.83,12.701,390
101212,88036,75344.5,60138.5,44608,88352.7,18846.4,2109.69,12.718,391
67335.1,57080,77310.3,65438,44028,97405,32644.8,2746.26,12.762,395
17975.1,13829,85184.5,101778,67233,99209,265.6,123.75,12.784,397
41021.8,38557,69725.4,22239.4,17229,84594.5,5487.2,682.11,12.889,398
136034,111564,79910.6,130154,76044,112169,142530,4173.84,12.906,399
32370,25765,82336.5,35712.3,26053,89833.8,10013.6,2726.46,12.916,401
23215.9,20333,74828,39594.1,26601,97546.6,12472.8,1630.53,12.948,402
32816.9,28196,76276.5,61323.6,34192,117539,7046.4,2510.64,13.019,405
74448.7,54500,89524.2,59970.2,35904,109464,1728.8,2075.04,13.033,406
36988.4,34316,70639.6,36195.4,25304,93744.1,4065.6,1816.65,13.192,409
53954.9,37453,94411.4,77838.8,47837,106638,4535.2,3706.56,13.297,410
19124,18113,69194.1,32257.2,19573,108006,5690.4,1187.01,13.302,411
91256.1,79593,75139.3,89148.5,53933,108328,84662.4,6863.67,13.324,412
35353.5,32586,71101.9,29725.7,25130,77521.1,8962.4,811.8,13.465,416
70128.2,50072,91786.3,81507.7,45784,116672,11330.4,3176.91,13.574,419
69226.6,52435,86523,72541.3,32695,145406,53064.8,2001.78,13.603,421
22466.3,19108,77054.3,61397.8,39588,101641,6209.6,3337.29,13.604,422
33019.7,24574,88059.8,56504.2,28250,131082,4412.8,3557.07,13.709,427
34414.4,20419,110455,77922.9,34679,147258,6959.2,3479.85,13.717,428
48045.7,31120,101180,131983,62788,137759,76252,8312.04,13.726,429
43281.4,31421,90273.7,74878.6,36089,135976,8596.8,2707.65,13.773,430
24967.8,24139,67786.1,24416.4,17311,92435.5,6244.8,1123.65,13.815,431
56641.3,45731,81171.2,87458.6,47767,119993,6033.6,2582.91,13.87,433
25619.9,17957,93502.5,39449.5,25589,101034,11267.2,5790.51,13.949,435
51837.2,38921,87284.6,89297,41961,139467,15822.4,2881.89,14.16,441
152392,124425,80266.8,98059.5,62461,102887,9040.8,4708.44,14.164,442
110160,90414,79848.9,65720.2,45790,94060.6,21944,1699.83,14.226,443
41822,23737,115467,127525,46381,180192,30591.2,4972.77,14.36,445
32424.6,22113,96096.4,66685.4,30245,144496,15992.8,2724.48,14.366,446
20432.1,14156,94591.6,49996,24284,134926,13584,1671.12,14.37,447
83779,73292,74913.2,69241.6,46808,96945.3,73944.8,1662.21,14.409,448
54047,45290,78207.6,72801.6,52266,91285.5,3272.8,5499.45,14.694,453
16144.4,9321,113512,45769.7,23913,125436,6214.4,2663.1,14.833,456
142817,116897,80067.7,74378.7,54101,90099.7,16169.6,2306.7,14.857,458
54139,46872,75696.7,39630.7,30584,84921.4,3957.6,1935.45,14.885,459
109539,93816,76519.1,97817,63960,100227,23294.4,3424.41,14.947,462
20583.4,11554,116752,55519.2,21666,167936,13893.6,2854.17,15.067,465
80933.6,69077,76784.8,62965,41237,100067,16646.4,1651.32,15.13,466
71442.5,50852,92072.3,113016,52180,141944,20104,4995.54,15.217,467
156607,130320,78755.3,114021,67156,111271,55508.8,4211.46,15.43,469
32646.1,20885,102442,60223.7,37089,106415,12036,3509.55,15.535,474
115241,105889,71324.1,76037.9,54549,91353.1,49355.2,2787.84,15.581,477
49310,44269,72998.8,56617.1,39869,93066.3,16834.4,4555.98,15.599,478
41552.9,32244,84456.4,75637,39988,123961,17824,2463.12,15.622,479
30357.6,17993,110572,73617.4,40141,120191,11068,3573.9,15.632,480
41127.8,35617,75676.1,32669,20805,102908,4045.6,1379.07,15.715,482
50959,44875,74421.1,46649.8,38187,80059.7,6932,1715.67,15.759,483
29176.7,11215,170497,34226.3,17279,129814,23571.2,14034.2,15.793,484
33316.1,22396,97490.9,68928.8,30892,146229,13323.2,3474.9,15.825,486
45404.6,38196,77904.4,72241.3,39892,118681,44637.6,1422.63,15.926,490
20124.8,18451,71481.1,35958.8,20307,116048,10942.4,1090.98,16.019,492
23312.6,14541,105070,57597.2,29485,128021,21933.6,7331.94,16.026,494
38805,24149,105310,52862,32069,108029,6470.4,1969.11,16.03,495
22403.2,17796,82502.4,56023.1,34256,107179,41964,4376.79,16.084,496
24377.3,19946,80095.9,77425.9,33418,151840,11710.4,4190.67,16.178,499
88567.4,69925,83008.3,107018,60897,115170,174377,2481.93,16.257,501
19796.4,18344,70724.9,89233.6,76760,76185.7,994.4,5495.49,16.292,502
34045.4,30195,73893.1,60095,38663,101864,10725.6,2485.89,16.307,503
49650.9,33257,97841.7,68161.5,28205,158377,8452.8,1373.13,16.366,504
62308,46748,87349.5,61152.3,40348,99327.8,12093.6,1733.49,16.673,510
78963.3,64648,80047.9,59913.8,38760,101303,46456.8,1945.35,16.719,511
81588,72149,74109.8,94171.8,54661,112908,21504,2534.4,16.721,512
29215.7,21680,88315.4,91270.1,47188,126758,24092,4833.18,16.822,515
140657,116357,79222.3,81481,56469,94564,47942.4,2540.34,16.899,519
91994.8,83225,72441.8,85528.1,55913,100248,16612,2236.41,16.978,520
104680,94828,72344.7,110231,61992,116532,61392,5037.12,16.999,522
30309.2,19777,100437,62234.4,23989,170019,2592.8,1676.07,17.124,525
53478.4,47845,73252.3,29951.5,27189,72194.6,808,2063.16,17.189,527
28297.6,22253,83337.6,43490.7,26221,108699,10597.6,1756.26,17.275,528
176669,148483,77976.6,91216.6,60627,98602.5,12888,3965.94,17.3,531
