"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "APC-A", "Alexa Fluor 488-A", "Time", "Event #"
16347.2,10376,103251,42725.4,20316,137825,3986.4,10420.7,0.006,1
72126.6,51853,91159.4,51065.2,24361,137376,413.6,10829.6,0.011,4
73295.8,62620,76709,48514,29244,108720,657.6,5604.39,0.012,5
20275.3,13956,95210.9,49376.2,25520,126799,1032.8,9926.73,0.015,6
55062.5,50452,71525,46121.1,30196,100099,980,5387.58,0.02,9
81811.9,74789,71690,34188.7,28597,78350.5,409.6,1754.28,0.024,11
117594,98757,78036.6,74483.6,50593,96482.9,977.6,9911.88,0.025,12
78516.4,72144,71324.7,31170.2,25488,80146.2,4094.4,1794.87,0.026,13
66839,58381,75030.6,62768,41965,98023.6,1713.6,10620.7,0.026,14
64438.9,61712,68431.9,55418.2,35712,101699,2079.2,7079.49,0.028,15
58688.8,38549,99775,97993.2,47541,135085,2987.2,8680.32,0.031,17
98697.3,83476,77486.1,52415.6,38820,88488,2208.8,8084.34,0.033,18
70065.8,63190,72667.1,36451.8,27686,86285.7,692.8,4663.89,0.038,19
57238,50081,74901.6,49474.3,35409,91568.4,825.6,9905.94,0.038,20
36275.5,32017,74252.7,60965.2,26321,151796,926.4,25760.8,0.04,21
74531.3,66391,73571.5,47905.1,34131,91984.1,4179.2,8218.98,0.04,22
57992.2,39544,96110.1,51178.1,30924,108460,2103.2,10413.8,0.042,24
56894,38881,95897.8,78464.4,33777,152241,702.4,9009,0.044,25
65530.1,60032,71538.2,57898.2,39156,96905.1,1631.2,14166.9,0.045,26
30850.6,25677,78740.6,101837,57149,116783,1168,12953.2,0.046,27
37009.4,20973,115646,42152.2,23417,117969,303.2,10729.6,0.047,28
36452.5,31829,75055.8,39187.2,26513,96864.6,372,6565.68,0.05,29
23846.9,14541,107478,56293.4,24093,153125,2145.6,8296.2,0.051,30
53543.1,46093,76128.7,48708,31769,100479,499.2,5120.28,0.055,32
77830,69508,73382.4,70327.6,41652,110655,944.8,8177.4,0.057,33
54720.1,46661,76855.1,48741.7,28321,112790,712,11050.4,0.061,34
67096.4,64733,67928.7,37205.2,29389,82965.7,1024.8,15634.1,0.061,35
63697.9,57901,72097.3,33185.8,24585,88463,608,5352.93,0.066,37
42795.5,26689,105086,47979.4,28069,112023,812,10460.3,0.069,38
62617.6,42917,95619.6,65259.8,28705,148994,1397.6,18828.8,0.07,39
80703.5,64081,82535.9,65921.1,38869,111148,1452,7083.45,0.073,40
84010.7,81889,67234,63081.8,43621,94773.9,826.4,17698.2,0.077,42
53068.1,50172,69318.9,41051.3,28024,96001.3,687.2,13711.5,0.078,43
25528.6,15388,108724,32584.9,13708,155784,411.2,17622,0.08,44
60225.4,54050,73023.7,37317.1,27270,89681.4,1000.8,8950.59,0.086,47
55151.5,36268,99658.3,68175.4,29544,151230,1650.4,8729.82,0.089,48
65789.1,58985,73095.8,56653.7,38329,96868.2,3732.8,11694.9,0.09,49
46114.4,40865,73954.5,23963.9,19681,79797.8,484.8,6290.46,0.091,50
72185.1,64697,73121.2,33346.2,27261,80164.9,193.6,6329.07,0.092,51
56497,53872,68729.3,28184.3,22628,81628.4,522.4,2006.73,0.102,52
33133.6,26565,81740.8,54901.4,40581,88662.7,1508.8,6853.77,0.108,53
84943.6,65609,84849,62985.8,36649,112632,3484,8522.91,0.11,54
59560.8,52653,74134,43451.1,22537,126353,910.4,9912.87,0.114,56
48372.5,40231,78798.4,40971.2,28419,94482.1,869.6,11276.1,0.114,57
69241.4,58466,77614.4,72195.8,41250,114701,516.8,11620.6,0.115,58
32993.2,16419,131692,42604.7,19063,146469,414.4,16545.9,0.117,59
110789,95846,75753.4,74503.4,44486,109757,1872,5791.5,0.126,61
76344.1,69184,72318.5,39439.6,31680,81588.2,332.8,6287.49,0.127,62
88127.5,70792,81584.4,68550.6,30604,146796,417.6,16050.9,0.129,63
22425.8,19291,76185.6,51006.8,30139,110912,583.2,21160.3,0.129,64
56838.6,38064,97860.8,68372.4,37956,118054,951.2,16510.2,0.129,65
42339.2,33149,83705.1,56715.1,25597,145208,716.8,18435.8,0.135,66
42789.2,39740,70564.6,58516.9,40316,95122.7,1106.4,4243.14,0.135,67
79491.4,65483,79555.7,49843.5,38104,85727.1,275.2,10714.8,0.138,68
35231.8,25989,88843.5,41008.8,24593,109281,1203.2,11381,0.138,69
89214.1,81457,71776.9,46788.4,37941,80818.2,1083.2,7318.08,0.146,70
30406.7,19853,100375,30670.2,16665,120612,870.4,3038.31,0.146,71
65504.4,52065,82452.6,50240.5,35077,93866.7,224,16996.3,0.148,72
90771.7,75974,78300.7,46561.7,36130,84458,1578.4,12780.9,0.152,73
54051.7,48193,73503,59978.2,32997,119124,728,6536.97,0.155,74
41673.8,29676,92031.8,54126.3,25868,137128,1929.6,19557.4,0.164,78
78000.8,66568,76791.5,39984.1,30088,87091.2,2225.6,10720.7,0.17,79
64303.2,61036,69044.1,39929.7,29996,87239.3,1245.6,3260.07,0.171,80
82350.1,75948,71060.4,54462.9,37624,94867.1,794.4,10872.2,0.171,81
62764.3,60774,67682.2,32598.7,25446,83957.8,754.4,5848.92,0.172,82
95693.5,83213,75365.3,132354,51929,167035,1851.2,22943.2,0.173,83
83485.7,77468,70626.9,58127.9,42348,89956.2,864,7764.57,0.177,84
27739.9,25089,72460.6,38537.7,24485,103149,559.2,4900.5,0.178,85
66986.4,62732,69980.6,37519,27980,87878.7,434.4,4489.65,0.178,86
62276,52510,77724.6,41873,30698,89393.2,296.8,7491.33,0.178,87
38332.3,35587,70591.7,46554.8,31235,97679.3,2666.4,10505.9,0.186,88
58929,50852,75945.3,37467.5,28084,87433.2,3437.6,4903.47,0.187,89
66170.5,59276,73158.6,53441.2,36312,96450.8,1440,17547.8,0.187,91
72696.8,60008,79393.7,58493.2,35816,107031,2414.4,8656.56,0.187,92
95008.7,82848,75155.6,42461.1,32624,85297,220.8,3047.22,0.19,93
57598.3,51653,73079.3,30015.8,21589,91116.6,1473.6,3636.27,0.195,95
58596.7,51234,74954,32172,25537,82563.6,516,8912.97,0.203,97
72496.3,67460,70428.7,45417.2,33396,89126.4,1124.8,17551.7,0.203,98
79119.3,69332,74787.4,63127.4,45604,90718.2,480,15952.9,0.204,100
