"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "APC-A", "Alexa Fluor 488-A", "Time", "Event #"
127224,106622,78199.3,106936,55578,126096,6108,11458.3,0.005,1
61490.5,49582,81276.3,35183.6,25018,92165.4,6546.4,5848.92,0.006,2
79865,59869,87424.7,184445,89353,135281,1748.8,27545.8,0.008,3
86134.6,65729,85881.7,58601.1,40405,95049.6,522.4,24167.9,0.013,4
109323,91437,78355.7,79021.8,40541,127742,582.4,26266.7,0.042,6
93653,76412,80323.1,59656.4,42092,92883.3,1932.8,28788.2,0.054,7
107581,99662,70743.2,77626.9,48542,104803,3941.6,18880.3,0.119,9
76991.5,59231,85187,56580.5,37563,98715.7,5369.6,37026,0.127,10
92107.9,81948,73661.1,46025.1,35544,84861,1928.8,9997.02,0.133,11
108499,97516,72917,47896.2,38156,82265.6,4008.8,6537.96,0.139,14
47596.4,36909,84512.6,65681.5,33629,128000,448.8,22144.3,0.139,15
50191.4,35193,93465.9,71113.7,40937,113846,2023.2,8341.74,0.139,16
42672.2,32117,87074.4,74553.9,29141,167666,1164.8,7209.18,0.14,17
82439.8,75176,71868.3,36375.6,28712,83028.3,261.6,3387.78,0.14,18
98274.5,90085,71493.8,54017.4,37809,93630.7,721.6,12449.2,0.153,19
70129,61889,74261.6,121569,70373,113213,1149.6,61741.4,0.183,20
31719.5,30331,68536.1,45499.4,31599,94365.3,677.6,4338.18,0.205,21
74325.4,58101,83836.6,69859.4,46017,99491.5,9368.8,27696.2,0.251,26
35533.7,23229,100251,64139.1,30733,136772,855.2,24532.2,0.267,27
81410.9,73432,72657,40181.1,30248,87057.4,427.2,8367.48,0.272,28
75241.1,64545,76396.4,53722.4,33845,104026,326.4,16153.8,0.322,32
59234.8,52256,74288.3,35237.1,25376,91003.2,969.6,5159.88,0.355,34
54663.2,47117,76032.1,56798.3,33241,111980,1218.4,24667.8,0.357,35
87823.3,78808,73033.1,51808.7,35768,94926.6,800,26422.1,0.365,36
61893,55716,72801.7,46850.8,32212,95318.9,1329.6,11059.3,0.399,37
74723.2,65025,75310.4,54939.1,27365,131573,1919.2,23214.5,0.409,38
15925.3,7732,134982,62109.6,15956,255103,781.6,26282.5,0.426,39
159919,138077,75902.8,89245.5,58285,100348,5456.8,16603.3,0.431,41
82603.6,74874,72301.6,34302.5,26506,84812.9,31103.2,6231.06,0.496,44
65153.4,52736,80967.3,54557.9,32052,111553,1957.6,30821.7,0.507,47
91323.2,84901,70493.4,61128.5,41637,96215.4,712.8,23355.1,0.52,49
40983.5,31181,86138.9,69056.5,46717,96874.5,2211.2,26461.7,0.545,51
69972.2,53688,85413.9,60315.8,35724,110650,1676.8,36009.3,0.554,53
118184,101980,75949.3,56409.2,43320,85337.8,8511.2,12920.5,0.56,54
20519.5,16237,82820.9,44129.2,27821,103952,1400,16385.5,0.565,55
70092.4,64848,70836,38937.7,29028,87908.9,1144,12832.4,0.595,57
28540.2,24325,76892.5,34871.8,23585,96898.7,641.6,6811.2,0.596,58
105773,97212,71307.2,59936.6,40936,95954.8,5732,4707.45,0.64,61
133683,116496,75205,74069.8,53476,90774.2,1288,25564.8,0.672,62
25566.1,18102,92558.7,47573.5,27638,112808,620,3792.69,0.677,63
55879.2,36189,101194,73409.5,34733,138513,1860.8,25197.5,0.678,64
97545.2,90393,70721.5,75830,49693,100006,748,18810,0.697,65
25395.2,22038,75519.7,61268.1,36578,109773,4962.4,30909.8,0.702,66
23664.4,15032,103171,81434.4,38812,137506,1377.6,19623.8,0.711,67
54075.8,49145,72111.4,38380.3,25449,98836.6,8036,11180.1,0.712,68
70087.7,64140,71613.1,46035,32616,92499.1,440.8,12231.5,0.713,69
85223.6,80409,69460,53999.6,34957,101236,5053.6,25224.2,0.725,70
22797.8,19557,76396.1,42609.6,27173,102766,919.2,9566.37,0.744,73
48301.5,40568,78029.2,98951.5,54552,118875,4708.8,11549.3,0.758,74
95493.8,84919,73697.1,61771.1,47559,85120.1,1319.2,30551.4,0.774,75
90768.6,81113,73337.3,65625.1,43129,99719.6,1349.6,9842.58,0.777,76
51309.2,44157,76151,71770,46457,101245,1096,33331.3,0.847,78
