"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "APC-A", "Alexa Fluor 488-A", "Time", "Event #"
39961,29065,90104.3,86381.5,43721,129482,592.8,3159.09,0.009,0
32857.5,28409,75798.1,127718,112617,74323.8,260,60.39,0.119,5
96007.1,82445,76316.6,94926.1,56073,110946,523.2,1688.94,0.124,6
27191.6,19085,93373.2,60687,30285,131325,598.4,2121.57,0.16,7
67861.6,49721,89446.6,91460.2,43485,137839,547.2,2300.76,0.177,8
62656.6,60037,68395.6,32539.3,26177,81464.5,251.2,530.64,0.288,12
25627.7,21779,77117.2,30015.8,19943,98636.9,88,243.54,0.34,15
32615.7,29381,72751.2,31507.7,27041,76361.5,140,3975.84,0.395,17
88953.5,76570,76135,56624,36766,100933,469.6,1542.42,0.454,18
94252.9,77757,79439.2,74052,39037,124320,1039.2,2510.64,0.629,26
43812.6,27836,103151,115332,40236,187852,727.2,1897.83,0.695,29
126482,106417,77892.7,80733.5,56929,92939.5,441.6,2218.59,0.74,33
68698.5,56269,80012.5,63679.8,37101,112485,666.4,1085.04,0.755,34
113861,88576,84244.2,136431,64372,138898,1099.2,3518.46,0.897,37
69079.1,57568,78640.4,66992.3,35188,124770,238.4,1634.49,1.078,42
37351.9,26369,92832.2,142699,55925,167222,701.6,3248.19,1.082,43
86178.3,73774,76555.2,76959.6,49530,101830,853.6,2112.66,1.244,45
143795,121380,77638.6,111398,63776,114472,935.2,3524.4,1.281,46
129964,112945,75411,106087,59441,116965,885.6,3805.56,1.346,49
80601.3,58316,90580.4,94523.2,55352,111914,776.8,3861,1.351,50
27153.4,25141,70781.7,58845.6,34353,112261,601.6,1515.69,1.402,52
89005.8,74049,78773.3,51821.6,30981,109621,391.2,1157.31,1.468,56
172530,150283,75237.5,56287.4,41579,88719.2,1234.4,2611.62,1.477,57
24526.3,16669,96427.9,46027.1,28829,104632,438.4,1209.78,1.577,61
76840.1,59491,84648,73199.6,45463,105519,510.4,1667.16,1.577,62
32817.7,19936,107882,130418,54080,158045,3739.2,4686.66,1.595,64
58856.5,52784,73075.5,72873.9,39668,120396,841.6,2131.47,1.643,67
103647,79229,85734,97277.4,54473,117034,582.4,2092.86,1.685,68
89975.3,70485,83657.9,84278.7,50517,109335,664,2375.01,1.923,78
24825.1,19280,84384.6,37425,18096,135537,118.4,909.81,1.972,81
115175,109628,68851.9,74044.1,46988,103272,585.6,2109.69,2.05,85
120561,97892,80712.6,100799,54144,122007,1014.4,4010.49,2.056,86
100195,79468,82629.1,72563,46696,101839,731.2,2114.64,2.133,87
84590.2,76097,72850.5,67483.4,43329,102070,536,1951.29,2.149,88
73204.6,53837,89112.2,56589.4,31177,118954,351.2,1356.3,2.15,89
109347,89809,79793.7,91526.5,51477,116524,728,2498.76,2.181,90
75050,57961,84858.4,102331,49869,134480,602.4,3327.39,2.289,92
62811.1,50449,81595,92543.2,48181,125878,751.2,2482.92,2.332,93
22594.3,17680,83752.1,31870.1,25744,81131,219.2,2019.6,2.397,97
54154.6,44241,80221.4,40765.2,29637,90143.8,215.2,1296.9,2.521,100
83538.8,66544,82273.3,123041,53892,149626,1412,3322.44,2.548,102
17960.3,9996,117752,78870.3,22572,228994,533.6,1854.27,2.738,104
133429,110265,79303.6,104040,60985,111804,1056.8,3555.09,2.75,106
35926,23774,99034.6,31673.1,15662,132533,408,711.81,2.92,110
64470.1,53136,79515.1,76306.2,45156,110745,470.4,2068.11,2.922,111
69043.3,63708,71024.3,72854.1,38360,124467,2195.2,4484.7,3.045,114
33328.6,31177,70058.8,61384.9,34125,117888,509.6,1754.28,3.161,117
78596.7,64257,80161.1,62771.9,39269,104760,447.2,1280.07,3.165,118
30003.5,24262,81044.8,67036.9,38038,115498,993.6,1616.67,3.169,119
27565.2,16096,112234,83010.5,32548,167143,5267.2,2770.02,3.171,120
82790,61264,88563,89979.1,45504,129590,619.2,1922.58,3.27,124
21416.5,13744,102121,56265.7,30352,121489,589.6,1566.18,3.559,126
38675.5,33965,74625,50109.8,34493,95207.7,1187.2,2238.39,3.579,127
70497.2,54292,85097.3,53389.7,33920,103153,432.8,1425.6,3.68,130
59860.3,48405,81045.5,57186.4,36641,102283,484.8,1722.6,3.687,132
35362.1,25209,91931,84319.3,39757,138993,878.4,2478.96,3.772,135
31927,23133,90449.4,56418.1,27417,134859,507.2,1425.6,3.877,137
33208.5,29384,74065.9,58990.1,37596,102830,1253.6,1539.45,3.893,138
45675.2,37208,80449.7,70965.2,41260,112719,348.8,2239.38,3.967,139
71591.5,62583,74969.6,50355.4,34387,95969.1,317.6,1852.29,4.059,142
81849.3,66697,80424.5,63323.4,37673,110157,560.8,1996.83,4.08,144
108088,94005,75353.8,73112.5,44657,107296,435.2,2023.56,4.105,145
59203.6,50301,77134.9,60566.2,33149,119740,372,1495.89,4.179,147
94082.8,77080,79992.4,58562.5,34428,111478,402.4,1877.04,4.209,148
69416.1,51401,88505.1,46796.3,27933,109793,416.8,1525.59,4.253,151
19904.8,13241,98518.4,67230.9,34025,129494,583.2,1902.78,4.467,155
26004.4,18000,94679.2,49932.6,22208,147352,619.2,1798.83,4.496,156
103724,91033,74672.7,95045,57037,109207,646.4,3388.77,4.564,159
180379,153461,77031.4,98736.7,64209,100777,634.4,2727.45,4.587,160
81548.2,61998,86201.9,150429,69946,140944,1946.4,3501.63,4.594,161
60963.2,44783,89214.4,41823.5,25583,107139,192,832.59,4.638,162
16796.5,10521,104627,108900,49945,142895,940.8,2182.95,4.669,163
105888,89508,77529.2,113018,68052,108840,692.8,3818.43,4.777,168
20121.7,15412,85562.8,45837,21440,140111,1696.8,1307.79,4.852,171
24234.6,22970,69144,25853.8,17166,98704.3,788,1573.11,4.915,173
22985,19140,78701.5,30947.4,18916,107220,2574.4,1376.1,4.921,174
23176.9,17349,87551,47050.7,28513,108144,893.6,1573.11,4.946,176
62044.3,53744,75657.5,71279,34672,134730,404,1297.89,4.954,177
84410,69865,79179.8,81801.7,53613,99993.6,784,2046.33,5.001,180
63162.8,45142,91698.2,75867.7,41106,120957,280.8,1740.42,5.003,181
22162.1,14149,102652,74794.5,36385,134718,980.8,2270.07,5.108,183
76850.3,55812,90239.7,99968.2,46608,140566,393.6,2288.88,5.114,184
79196.5,60201,86214.9,82269,47389,113773,492,2538.36,5.151,187
29115.1,16732,114038,48519.9,25000,127192,1451.2,1915.65,5.168,189
14233.4,8637,108001,81680.9,69741,76756,2925.6,401.94,5.216,192
59799.5,51608,75938.2,57012.1,35544,105119,573.6,1506.78,5.25,194
98457.1,83080,77665.9,63698.6,42936,97227.3,596,1461.24,5.276,195
70525.3,49340,93675.4,85224.1,55948,99829.3,812,5242.05,5.356,197
95688.1,81741,76718.1,85665.7,52137,107681,684.8,2435.4,5.452,198
113581,88138,84454.6,138701,62254,146013,1127.2,3664.98,5.561,201
34388.6,28120,80145.6,56207.2,26268,140231,1199.2,1685.97,5.631,203
38808.1,23068,110254,113000,41528,178326,908.8,2751.21,5.642,204
28740.7,14348,131276,39941.6,17192,152257,380,1560.24,5.729,205
10793.6,9372,75477.2,103445,78220,86670.6,225.6,24.75,5.827,208
81005.3,73016,72706.9,83193.7,55244,98692.7,465.6,1954.26,5.831,209
75107.8,62689,78518.8,69854.4,43121,106166,414.4,2624.49,6.435,221
26243.1,18198,94508.6,36711.2,20118,119590,398.4,1136.52,6.532,224
36734.1,21796,110452,104924,45136,152346,3005.6,3579.84,6.612,225
34337.9,21926,102635,80482,38434,137235,2248,2266.11,6.687,227
