"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "APC-A", "Alexa Fluor 488-A", "Time", "Event #"
56986.8,45009,82976.4,36450.8,23909,99913.9,196.8,847.44,0.019,2
78961.7,68649,75381.1,39817.8,29289,89094.9,123.2,982.08,0.021,3
71524.4,63752,73525.9,33574.9,26700,82410.6,291.2,775.17,0.031,4
78333.1,70132,73199.6,46708.2,33712,90800.6,344.8,950.4,0.032,5
74238.8,57181,85086.2,90892.9,45673,130422,494.4,2369.07,0.039,7
73761.5,68448,70623.4,33553.1,26868,81842.1,285.6,1112.76,0.041,8
57630.3,52474,71975.8,51160.2,33002,101595,433.6,1187.01,0.043,9
102270,90852,73772.7,41013.7,31300,85874.6,296,1061.28,0.045,10
34936.2,30765,74421.5,36506.2,28649,83509.9,450.4,671.22,0.048,11
9572.94,6005,104475,50790,18657,178409,828.8,1600.83,0.051,12
38973.5,34068,74972.6,44360.9,23456,123944,220,919.71,0.056,13
56217.7,45172,81561.2,38322.9,25040,100301,228,984.06,0.06,14
50329.5,42469,77665.9,56461.7,33397,110797,356.8,1288.98,0.061,16
72128.9,65265,72428.4,40814.7,30757,86966.7,202.4,973.17,0.065,17
71757.7,69788,67385.7,53042.2,35608,97623.4,158.4,1291.95,0.068,18
60588.8,42952,92446.2,51416.6,33992,99130.4,333.6,1389.96,0.08,19
97705.1,86433,74082.9,42297.8,35697,77654.3,328.8,1366.2,0.081,20
21749.5,17584,81061,33864.9,23892,92891.9,432,1537.47,0.086,21
44662,32589,89814.7,73948,40605,119351,416,1767.15,0.092,23
56579.6,50545,73360.4,58165.5,34069,111889,321.6,1183.05,0.101,24
72377.8,65885,71994.4,49437.6,32329,100218,427.2,1403.82,0.103,25
112984,100105,73967.4,60537.5,44185,89790.3,846.4,2107.71,0.113,26
18777.7,12663,97182.1,40782.1,21875,122180,524,1370.16,0.118,27
66804.7,56247,77837.2,90111.8,56435,104644,1193.6,4232.25,0.119,28
