"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "APC-A", "Alexa Fluor 488-A", "Time", "Event #"
69679.7,47756,95622.1,112398,47096,156406,492.8,3765.96,0.086,1
24417.1,17817,89813.1,25838,20521,82516.4,240,1523.61,0.086,2
58638.1,44732,85909.5,37714.1,25272,97801.1,442.4,2429.46,0.087,3
37999.3,19429,128175,95688.5,34353,182547,311.2,2049.3,0.115,4
104803,92389,74341.9,61568.1,44801,90063.3,221.6,1328.58,0.157,5
113358,95557,77744.6,47925.9,34869,90076.3,177.6,1459.26,0.205,9
20978.1,15701,87562.6,53258,48485,71987.6,111.2,484.11,0.212,11
85009.9,67114,83011.1,48809,32538,98308,331.2,1499.85,0.234,12
59039.8,52353,73906.5,49708.9,26449,123170,90.4,987.03,0.237,13
32386.4,15164,139968,56298.3,19880,185592,388,1353.33,0.243,14
101530,79964,83211,124695,58540,139598,362.4,2540.34,0.281,17
48967.6,41372,77568,88805,47528,122453,502.4,2140.38,0.287,19
21096.7,16894,81839.2,64915.3,26030,163438,128,1974.06,0.289,20
57852.6,52144,72710.7,34691.6,21284,106820,271.2,1060.29,0.319,22
66870.2,46264,94726,54663.8,26552,134922,433.6,1498.86,0.325,24
77945.4,55625,91833.3,69347.5,45385,100138,220.8,1805.76,0.408,26
41227.7,33001,81873.2,36730,27981,86027.5,297.6,2336.4,0.483,28
63853.9,43741,95670.7,89806.9,52605,111883,440,2112.66,0.619,32
94417.4,77833,79500.2,72308.6,34745,136388,315.2,1973.07,0.62,33
99456.2,82104,79386.7,45197.5,33260,89057.8,202.4,858.33,0.633,34
37694.3,26861,91967.2,133165,94617,92236,228,87.12,0.66,36
41501.5,36850,73808.4,63968.9,38401,109171,234.4,2114.64,0.69,38
96599.1,92692,68298.4,84321.3,50852,108670,464,2660.13,0.73,40
67243,58997,74696,39389.1,26993,95632.4,42.4,717.75,0.745,42
84474,74502,74307.9,51752.2,36354,93294.7,232.8,2027.52,0.852,45
35663.2,19688,118713,37576.4,12172,202318,224.8,889.02,0.852,46
35377.7,26518,87431.6,53577.8,26514,132431,413.6,1977.03,0.905,49
42622.3,31745,87991.7,114888,61237,122953,1497.6,7446.78,0.932,51
85736,70432,79776.2,80654.3,34272,154230,256.8,1742.4,0.966,53
87418.5,73109,78363.2,62221.5,44405,91830.8,324.8,1733.49,1.071,54
147954,119181,81357.6,124471,78301,104179,376,2880.9,1.075,56
53331.7,36227,96479.1,60492,35027,113181,272,1671.12,1.077,57
57815.9,37273,101656,120244,47869,164623,383.2,2596.77,1.077,58
59778.4,41837,93640.5,84422.2,39337,140649,200,1516.68,1.08,59
65526.2,47605,90207.5,54693.5,32545,110137,97.6,1220.67,1.091,61
153853,133808,75353.4,60496.9,42052,94281.5,190.4,1698.84,1.134,64
34777.9,26929,84637.4,75655.8,40389,122761,484,2171.07,1.15,66
16784.8,12849,85610.6,55071.7,27605,130744,205.6,953.37,1.15,67
59240.2,40613,95594.2,109014,46069,155079,404.8,2672.01,1.158,68
56548.4,43086,86013,90491,49082,120827,394.4,3733.29,1.201,70
29368.6,22885,84103,58841.6,34689,111166,325.6,2114.64,1.235,71
16428.4,13681,78696.7,39799,15697,166163,209.6,1056.33,1.272,73
72276.4,63204,74943.1,54845,31552,113917,466.4,1892.88,1.297,75
48812.4,34837,91826.8,76022.1,37457,133011,182.4,1136.52,1.314,76
76406.5,63303,79101.7,59150.5,37939,102177,276.8,1416.69,1.442,77
35169.4,22848,100878,57827.9,28256,134124,408.8,1937.43,1.459,79
16955.6,14941,74372.9,133295,122409,71364,568,4230.27,1.463,80
29668.1,18120,107303,78974.3,27884,185614,288.8,1524.6,1.525,82
28682.9,20822,90277.8,82204.6,36882,146070,280,2508.66,1.538,83
49796.8,34792,93799.7,82034.4,46680,115171,796,4380.75,1.552,84
98112.3,89290,72011.3,63033.3,43758,94404.5,283.2,1818.63,1.572,85
30629,28944,69351.3,43516.4,26864,106160,203.2,1139.49,1.574,86
73540,57909,83225.7,55084.6,37029,97491.8,116,1094.94,1.576,87
92128.9,75222,80265.9,52193.8,32658,104739,205.6,1393.92,1.579,88
106999,100896,69500,82637.3,55360,97827.2,432.8,2142.36,1.708,91
78884.5,56012,92297.6,111913,55880,131251,280.8,2140.38,1.721,92
73636.7,54741,88157.9,107156,60113,116822,524.8,2886.84,1.743,93
84963.8,65084,85553.9,73538.2,36396,132416,330.4,1499.85,1.746,94
73589.9,63829,75557.9,73154.1,45601,105134,396,1869.12,1.877,104
122088,113065,70766,96860.6,52541,120817,472,2594.79,1.958,107
50210.2,43225,76126.6,70019.7,41193,111398,276,1637.46,1.983,108
62746.3,45577,90224.1,99244.5,45117,144160,325.6,2046.33,2.067,112
56338.6,48500,76128,76446.8,41664,120248,248,1441.44,2.157,117
52620.4,47083,73243.6,77550.7,41103,123649,358.4,2476.98,2.167,119
94079.7,75044,82159.9,81081,51568,103043,291.2,1392.93,2.172,120
90875.5,70225,84807.6,134787,66017,133804,492,3358.08,2.174,121
55883.1,42204,86777.4,81756.2,39688,135002,408.8,2490.84,2.178,122
65435.8,55713,76973,40815.7,29205,91590.5,0.8,736.56,2.232,125
69802.2,51864,88202.9,82637.3,43432,124694,324,2455.2,2.349,127
34960.4,27965,81929.7,47509.1,41737,74599.4,316,2269.08,2.375,128
54074.3,42117,84142.1,59473.3,38677,100774,197.6,1733.49,2.398,130
22901.6,18865,79558.9,65810.2,36517,118108,227.2,2098.8,2.489,133
106867,91760,76325.6,94003.5,53716,114689,505.6,2249.28,2.494,134
72217.1,65044,72763.3,57750.7,33024,114606,285.6,1910.7,2.517,136
21720.7,19431,73258.5,73845.1,32039,151051,183.2,1942.38,2.577,140
126830,101056,82251,68619.9,45716,98369.8,334.4,1865.16,2.615,141
34011.1,19505,114276,76257.7,22802,219175,268,1393.92,2.666,142
82233.1,63548,84805.6,61233.5,35192,114032,198.4,1143.45,2.678,143
92614.1,69533,87290.3,106255,47421,146844,320,2437.38,2.712,145
35280.2,16211,142627,65632,23619,182110,249.6,1268.19,2.81,147
16873,13663,80932.9,57996.2,27995,135768,268,1556.28,2.824,148
29688.4,28155,69105.2,38920.9,37871,67352.8,23.2,466.29,2.865,153
75712.3,65797,75411.9,56031,32193,114064,240,1551.33,2.966,156
50285,33615,98036,65411.3,32479,131987,192.8,1314.72,2.977,157
123272,97932,82493.5,103960,52856,128900,463.2,2798.73,3.14,160
53741.2,35384,99536.1,69919.7,38700,118405,508.8,2549.25,3.155,162
73398.8,57544,83592.8,54262.9,33340,106664,280,1573.11,3.187,164
46851.5,27837,110301,79500,40701,128009,291.2,1401.84,3.207,166
97283.2,82517,77263.5,83968.8,54417,101126,200.8,1685.97,3.315,167
19775.3,11303,114660,64191.6,40003,105164,333.6,2097.81,3.323,168
105165,83492,82548,83174.9,50708,107497,452,2033.46,3.341,169
28059.7,17577,104621,86254.7,31965,176843,236.8,1473.12,3.414,170
102900,79766,84542.9,66427,37330,116618,203.2,1590.93,3.437,172
87076.1,66716,85536,53287.7,34316,101768,163.2,964.26,3.474,173
66308.6,47508,91470.9,46706.2,28736,106519,157.6,1047.42,3.507,174
42736.2,30720,91170.6,58403.1,34020,112507,199.2,1180.08,3.52,175
62620,53536,76656.1,118472,57396,135274,480.8,2931.39,3.53,176
25601.9,23224,72246.3,56810.2,53080,70141.5,125.6,694.98,3.548,177
74054,63517,76407.9,65975.6,37789,114419,334.4,2634.39,3.57,178
54277.1,48945,72675.5,52292.8,31221,109768,181.6,1008.81,3.701,182
61159,53847,74435.3,44414.4,23604,123316,136,700.92,3.769,183
29164.2,24020,79571.4,59491.1,36208,107678,205.6,1881.99,3.785,184
60159.1,43040,91602.8,63725.3,29632,140939,363.2,1961.19,3.804,186
32305.3,15860,133490,96945.8,40084,158503,497.6,3330.36,3.81,187
16152.2,10277,103002,58120.9,32769,116238,276.8,1840.41,3.816,188
147016,124052,77667.7,95478.6,54544,114720,252,2604.69,3.835,190
63176.9,51224,80828.5,87042.8,51784,110158,317.6,1923.57,3.862,192
29804.6,18592,105060,56658.7,34660,107132,303.2,1999.8,3.865,193
18992.2,16669,74670,56144.9,31037,118552,404.8,1455.3,3.868,194
77461,56491,89863.6,89977.1,34591,170470,446.4,2083.95,3.874,196
28115.1,13604,135442,94889.5,44400,140060,340.8,2209.68,4.018,200
31274.9,28860,71019.8,45217.3,23592,125609,159.2,989.01,4.051,202
28487.2,14564,128188,57333.9,26468,141961,420,2171.07,4.133,204
65264.2,56042,76320.5,63570.9,38862,107204,264.8,1763.19,4.182,205
66705.6,56009,78052.1,71608.7,46169,101647,242.4,1755.27,4.187,206
99353.3,80081,81307.9,65223.2,43237,98861.3,381.6,2112.66,4.19,207
38663.8,22756,111350,156525,65248,157216,954.4,6006.33,4.194,209
25729.1,20553,82040.6,51240.4,25033,134147,199.2,1612.71,4.278,212
75231,62065,79438.3,88324.8,52353,110566,423.2,1864.17,4.427,214
103074,83385,81010.4,94526.2,61865,100135,289.6,1839.42,4.438,215
58067.9,41640,91391.4,45431.1,28952,102838,157.6,1089,4.459,216
53602.4,42768,82138.2,71277,38320,121900,183.2,1670.13,4.476,217
23847.7,15389,101559,49397,28297,114404,436.8,2464.11,4.565,221
45084,30036,98369.5,36637.9,21444,111971,224,777.15,4.587,222
65740,48564,88714.6,130849,68464,125253,529.6,4725.27,4.602,223
30054.2,27985,70381.7,41282,23477,115239,148,1229.58,4.641,224
129402,110672,76627.2,65101.4,45424,93925.8,504,2133.45,4.654,225
69254.6,62964,72083.6,89140.6,42692,136839,384,2326.5,4.667,226
42004.6,39400,69868.3,40075.2,28604,91818.2,316.8,1511.73,4.688,228
53061.1,37028,93913,101294,44308,149824,577.6,2521.53,4.701,229
79670.8,60765,85926.2,63370.9,35965,115475,471.2,2378.97,4.799,232
119160,95416,81844.3,123126,65644,122924,500,2475,4.907,234
99745.6,94599,69101.5,88048.6,51415,112231,293.6,1654.29,4.964,236
20783.9,11536,118073,91557.2,37104,161715,391.2,1804.77,4.969,238
130131,114415,74537.7,62430.4,49963,81889.4,357.6,2738.34,4.981,239
127328,113518,73508.8,94853.9,64798,95934.2,387.2,3172.95,4.998,241
126060,112716,73294.8,89869.2,61800,95302.1,449.6,2815.56,5.004,242
23537.3,20853,73972.1,26342.9,19365,89151,197.6,1037.52,5.009,243
21272.2,9853,141489,101051,26525,249670,620,2637.36,5.066,246
105327,82943,83222,76322.1,43471,115062,329.6,2352.24,5.129,249
131779,111492,77460.7,116156,64016,118914,488.8,2690.82,5.195,250
94484.5,78258,79124.7,79079.2,44262,117088,447.2,2189.88,5.223,251
55022.8,50565,71313.6,37357.6,24757,98892.1,150.4,818.73,5.231,252
18537.5,12754,95254.2,39120.8,14850,172648,100.8,1011.78,5.258,253
126215,113112,73127.7,90197.9,54476,108510,284,2121.57,5.282,254
35235.7,30068,76799.5,25887.5,14416,117686,148.8,620.73,5.312,258
51849.7,37433,90776.1,110227,61337,117772,725.6,3983.76,5.316,259
24456.9,16868,95020.6,49153.5,32272,99817.9,279.2,1516.68,5.378,263
143394,121525,77329.3,107410,62017,113505,396.8,2423.52,5.389,264
123937,105329,77114.1,75341,51893,95148.6,306.4,1607.76,5.417,265
54866.8,37752,95246.5,113001,38504,192333,468.8,2499.75,5.438,267
29301.5,25848,74292.1,60003.9,38332,102588,339.2,1780.02,5.456,268
70669.6,63292,73175.1,68193.2,41020,108949,301.6,1584.99,5.469,269
76893.2,61700,81673.8,87950.6,44852,128510,403.2,1508.76,5.48,270
27672.1,22712,79848.4,58151.6,32680,116616,230.4,1513.71,5.539,273
31363.8,27251,75426.9,58389.2,33024,115873,345.6,1947.33,5.602,274
9069.84,8373,70990.2,54009.4,47141,75084.6,92.8,43.56,5.671,276
13997.1,11101,82633.5,53787.7,32057,109961,275.2,1604.79,5.732,281
33474.5,27901,78627.4,57566.5,37065,101786,234.4,1387.98,5.745,282
19781.6,13825,93772.6,89131.7,38081,153392,448.8,3010.59,5.748,283
38808.1,28532,89139.5,58443.7,19572,195696,335.2,1407.78,5.777,286
62659.7,44985,91285.3,75021.2,35337,139134,200.8,1391.94,5.786,287
77199.7,75593,66929,67256.6,40537,108734,318.4,1759.23,5.807,289
100662,88892,74213.6,40953.3,35368,75885.5,289.6,2323.53,5.896,292
31639.1,28800,71996.6,86709.1,79204,71746,130.4,232.65,5.9,293
185822,155683,78223.1,105230,63991,107771,600.8,4299.57,5.969,294
60056.9,46153,85279.1,50430.6,32329,102231,162.4,1103.85,6.017,296
95988.4,81393,77287.9,73493.6,45509,105836,411.2,2115.63,6.069,297
107090,82776,84786.1,101035,48668,136054,445.6,2431.44,6.07,298
27748.5,19377,93849.7,95918.1,40325,155886,668,3247.2,6.071,299
126301,109120,75854.5,129518,67204,126303,381.6,2340.36,6.144,306
118362,95561,81172.9,90652.3,57245,103782,260,2630.43,6.302,310
52748.3,38356,90127,67776.4,36320,122296,218.4,1534.5,6.404,312
53179.6,39828,87505.8,63667.9,27920,149446,333.6,1262.25,6.457,315
90441,70441,84143.4,67310.1,43837,100628,176,1538.46,6.571,318
