"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "APC-A", "Alexa Fluor 488-A", "Time", "Event #"
113037,99895,74157.7,56177.6,43363,84903.1,108.8,1418.67,0.011,1
44853.1,32360,90837.3,48631.8,18188,175233,299.2,1260.27,0.03,3
57105.4,37818,98959.7,60564.2,34474,115134,265.6,1356.3,0.038,5
74871.4,58847,83381.9,44001.5,29227,98665.1,230.4,1448.37,0.039,6
27858.5,22072,82717.2,30751.4,19500,103350,200.8,749.43,0.042,7
44830.5,36476,80546.4,38430.8,27740,90793.1,151.2,1351.35,0.044,8
102776,93572,71982.2,74979.6,48932,100422,267.2,1536.48,0.048,10
18958.7,13143,94535.2,45966.7,26327,114425,276,1565.19,0.049,11
117270,94532,81299.4,72103.7,48336,97761.2,332.8,2250.27,0.056,12
46198.6,38925,77782.2,33399.6,23481,93219.1,26.4,577.17,0.064,14
56319.9,52243,70650.2,82645.2,50359,107552,465.6,3600.63,0.074,16
103036,91492,73805.3,42615.5,33632,83041.5,236,2485.89,0.076,17
63088.7,53680,77022.8,35595.4,28036,83206.7,67.2,692.01,0.077,18
87641.6,75533,76042,39355.5,32377,79661.5,180,1287,0.081,19
74895.6,68668,71479.5,45999.4,35660,84537.7,87.2,1503.81,0.083,20
44505.2,39472,73892.8,38234.8,22660,110581,188.8,1015.74,0.091,21
36411.2,30693,77745.5,84598.5,51553,107545,358.4,3451.14,0.096,23
71348.2,61513,76014.4,51772.1,33277,101960,181.6,1628.55,0.126,24
91521.3,82360,72825.9,66069.6,44456,97398.3,299.2,1442.43,0.132,25
64146.4,58529,71825.9,47530.9,34021,91560.6,164.8,1108.8,0.134,26
24517.7,22549,71257.9,24962.8,16625,98403.9,284,1040.49,0.136,28
84233,80833,68292.6,46420.1,35205,86413.5,276,1483.02,0.145,29
175485,146112,78710.8,105130,70356,97927.8,456,3912.48,0.146,30
64204.9,56837,74031.6,52896.7,30245,114619,208,1556.28,0.151,31
44426.5,35248,82601.4,54788.6,31552,113800,229.6,1423.62,0.158,32
56069.5,49776,73822.2,45950.9,30976,97218.3,116,1020.69,0.161,33
131579,110453,78070.9,79307.9,60821,85456.1,582.4,4025.34,0.163,34
25412.4,21148,78751,35674.6,21740,107542,137.6,939.51,0.178,35
74475.2,72105,67690.2,49523.8,35581,91216.9,176,1255.32,0.183,36
58519.5,46317,82801.9,37940.8,22745,109320,95.2,906.84,0.189,38
82944.4,73311,74147.7,64428.2,42635,99035.2,312,2080.98,0.19,39
97778.5,86265,74282.8,58549.6,40413,94947.3,132,1457.28,0.202,41
78689.5,73048,70597.4,42832.4,33708,83275.8,204,1268.19,0.203,42
72814.6,68021,70154.4,34733.2,27941,81467.1,173.6,1018.71,0.211,44
73113.3,66808,71721.2,54261.9,39960,88991.7,257.6,1892.88,0.216,45
79486.7,70312,74087.5,62377.9,38012,107545,356.8,1855.26,0.229,47
60926.6,42289,94419,42578.9,30625,91116.8,145.6,1067.22,0.23,48
24367.2,21141,75537.1,26819.1,17521,100315,80.8,678.15,0.237,50
49838.1,39744,82180.7,38046.7,23732,105066,89.6,845.46,0.245,51
97174.7,86409,73701.2,41694.8,35017,78033.9,285.6,1270.17,0.249,53
107820,95880,73697.4,52884.8,41692,83130.1,252.8,1618.65,0.255,55
90985.4,81532,73134.7,63978.8,43868,95580.2,255.2,1515.69,0.258,56
77302.7,71696,70661,45696.4,30944,96780,171.2,1517.67,0.261,57
37055.5,31956,75994.1,44277.8,21556,134616,230.4,1052.37,0.266,58
52547,45477,75724.5,51850.3,37617,90333.1,222.4,2065.14,0.271,60
18369,11092,108531,41543.4,15984,170332,236.8,1053.36,0.272,61
43332.1,42057,67523,31110.8,21513,94774,173.6,610.83,0.273,62
79632.5,72618,71866.5,37715,30990,79757.8,121.6,1395.9,0.28,64
28499.6,15708,118905,67253.7,26552,165996,320,1536.48,0.29,65
64647.2,58233,72754.6,22600.7,18825,78680.5,56,540.54,0.316,67
100830,90193,73264.9,37411.1,29649,82693.3,112,1032.57,0.316,68
27311.7,19483,91869.8,27548.7,16251,111097,170.4,1113.75,0.317,69
86073,78326,72018,37899.2,31190,79633.2,139.2,952.38,0.325,70
60908.6,40684,98115,42833.3,19388,144787,45.6,663.3,0.327,72
20701.2,12303,110272,31181,20299,100669,138.4,1134.54,0.332,73
115709,95357,79523.4,78004.1,56761,90063.2,304.8,1983.96,0.338,74
31352.1,27572,74520.9,32039.4,21604,97191.8,230.4,733.59,0.346,79
65877.2,59105,73045.1,28989.2,22145,85790.7,32.8,681.12,0.349,81
74005.6,65259,74319.7,36624.1,23599,101707,104.8,699.93,0.351,82
20096.7,12572,104761,40008.9,20460,128154,147.2,1274.13,0.356,83
73101.6,64605,74155,40805.8,31433,85077.8,148.8,832.59,0.361,84
55204.5,52960,68313.5,21813.7,18176,78652.1,103.2,346.5,0.368,86
152265,124341,80253.6,132679,73653,118057,576,3907.53,0.373,87
46911.5,34333,89546.4,46665.6,27545,111028,191.2,1386,0.377,88
80999.9,61775,85931.3,53251.1,34543,101030,348,1693.89,0.379,90
58820.6,54932,70175.2,47396.2,31456,98746.2,64.8,765.27,0.384,91
36419,26754,89211.1,79950.4,42898,122142,554.4,3339.27,0.386,92
49798.3,40481,80620.1,89448.5,49989,117268,364.8,2715.57,0.389,93
106120,95897,72522.2,59884.1,44301,88588.6,244,2098.8,0.393,94
15173.3,9976,99679.2,42167.1,24280,113816,263.2,1285.02,0.395,95
40099,32748,80247,31933.4,23852,87740.7,40.8,743.49,0.396,96
43907,42517,67678.5,25826.1,19249,87928.8,122.4,918.72,0.399,97
34416.7,28549,79005.7,46698.3,27109,112893,328.8,1542.42,0.403,98
81362.6,80221,66468.6,46971.5,36729,83811.9,108,1416.69,0.407,99
37791,24453,101283,58054.6,22689,167688,188,1390.95,0.424,101
91548.6,68049,88167.8,88981.2,50993,114358,875.2,4331.25,0.435,103
95364.4,78905,79206.6,78950.5,42265,122420,385.6,1864.17,0.436,104
81053.7,72973,72793.2,33240.2,27833,78268,191.2,1157.31,0.442,105
54610.1,41316,86623.3,39417.8,24084,107262,215.2,1195.92,0.446,106
35140.6,27562,83556,31489.9,17466,118157,212,1009.8,0.452,108
50056.5,46856,70012.4,32858.1,23464,91774.1,-17.6,495.99,0.457,109
55271.6,48968,73972.4,42181.9,32940,83923.3,210.4,1383.03,0.463,110
58283.9,40697,93857,55386.5,36585,99215.9,272.8,1314.72,0.466,111
85125.3,68628,81290,66033,44132,98059,212.8,1702.8,0.466,112
53167.9,49077,70998.9,36269.6,26241,90582.2,143.2,990.99,0.47,113
87243,76148,75084.8,41773.1,31152,87880,255.2,1069.2,0.471,114
74494.7,66972,72897.4,51585.9,40252,83989.3,164.8,1169.19,0.472,115
68697.7,59216,76029.7,55909.3,34752,105435,350.4,2109.69,0.476,116
34635.1,28338,80099.1,41687.9,25810,105853,56.8,1118.7,0.477,117
64279,46769,90072.3,46460.7,27781,109602,300,1154.34,0.483,118
71451.9,65525,71463.9,39428.7,29381,87948,262.4,991.98,0.492,119
20122.4,13700,96258.7,35599.4,16848,138476,158.4,1178.1,0.499,120
81785.3,70092,76469.3,51061.2,36908,90667.3,78.4,1061.28,0.51,121
81825.1,66755,80330.9,53748.1,35271,99867.7,328,1250.37,0.52,123
46827.3,43417,70683.7,28554.6,21929,85336.9,100,674.19,0.521,124
79845.5,57416,91137.5,51448.3,24616,136973,372,1997.82,0.532,126
34235.8,26580,84412.1,41338.4,20640,131258,104,925.65,0.542,127
39427.4,26332,98128.4,41831.5,23308,117619,252.8,927.63,0.544,129
16024.3,13478,77917.3,51670.1,44114,76761.4,285.6,2552.22,0.546,130
82000.6,74855,71792,54138.2,38759,91540,224.8,1787.94,0.551,132
66277.4,60185,72170,41684.9,30205,90444.1,127.2,1357.29,0.557,134
34057.9,29606,75390.8,56302.3,35878,102844,192.8,1736.46,0.566,135
75277.8,60456,81603.2,49889.1,31100,105130,161.6,1071.18,0.57,136
